,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2HIT,L2MPI,L3HIT,PhysIPC%,MEM,GT,Pred
284,1.05,0.6875,0.2645,0.38529411764705884,0.344,2.6,0.7855,0.000517,0.988,1.3,0.15695,1.03043254702,1.0292118574935296
555,1.05,0.5095,0.265,0.5196805476326298,0.255,1.925,0.81,0.000729,0.9855,0.9620000000000001,0.23915,1.02902054265,1.0264366274735646
733,1.05,0.6779999999999999,0.262,0.38680851063829785,0.33899999999999997,2.585,0.8390000000000001,0.0004255,0.989,1.295,0.1236,1.01335367144,1.0413069682621137
959,0.9715,1.2,0.96875,0.8070818070818071,0.6,1.24,0.17925,0.007435,0.99875,0.6195,0.52425,1.83873169045,1.7632621686751375
1263,1.0466666666700002,1.05333333333,0.648,0.6146616541364937,0.527,1.63333333333,0.789666666667,0.00144666666667,0.990666666667,0.815,0.622666666667,1.1822191308,1.1376489029497705
988,0.973,1.165,0.7625,0.6513994910941476,0.5845,1.535,0.7115,0.00145,0.9905,0.767,0.6725,1.22545031176,1.3758906286843353
724,1.05,0.5235,0.28600000000000003,0.5458078845086063,0.262,1.84,0.8125,0.0007425,0.966,0.9195,0.39125000000000004,1.0279705656,0.986557885116595
950,0.949,0.925333333333,0.5670000000000001,0.6130620984995437,0.46266666666699996,1.63333333333,0.823,0.00119333333333,0.986666666667,0.816,0.600333333333,1.29885652465,1.2155662515553445
1266,0.973333333333,1.12666666667,0.623,0.5528596187167293,0.564,1.81,0.861333333333,0.000406333333333,0.974,0.905,0.609333333333,1.16385763626,1.1548384000161427
115,1.05,0.5145,0.2655,0.5153061224489796,0.2575,1.94,0.773,0.0008145,0.9875,0.9704999999999999,0.2586,1.0363288811799998,1.0266331159792146
1174,0.993,0.988666666667,0.598333333333,0.6040000000007921,0.495,1.65,0.773666666667,0.00124666666667,0.989333333333,0.826333333333,0.610666666667,1.23600824702,1.1736035218888858
559,1.05,0.509,0.265,0.5205083766608897,0.254,1.92,0.7985,0.000782,0.986,0.9595,0.2555,1.03430642957,1.0231719110644906
544,1.05,0.6825,0.264,0.38680851063829785,0.34149999999999997,2.585,0.765,0.0006190000000000001,0.992,1.29,0.13190000000000002,1.02217761372,1.0380158692386985
503,1.05,0.503666666667,0.263666666667,0.5240704500972508,0.251666666667,1.90666666667,0.8033333333329999,0.0008103333333330001,0.988,0.9540000000000001,0.23176666666630003,1.0233600554200002,1.0212748711064892
108,1.05,0.674,0.265,0.3917391304347826,0.337,2.545,0.8125,0.0004795,0.987,1.27,0.1508,1.0320771277299998,1.0469622727112342
746,1.05,0.727,0.264,0.36299212598425196,0.364,2.75,0.8290000000000001,0.00015900000000000002,0.945,1.38,0.2289,1.02812527292,0.9982502014539056
245,1.05,0.5255,0.264,0.5016483516483516,0.2625,1.99,0.8315,0.0005165,0.9795,0.998,0.2649,1.02697065005,1.038197146749674
989,1.05,1.25,1.0366666666700002,0.8296875000012963,0.624666666667,1.2033333333299998,0.18,0.00711666666667,0.998333333333,0.6016666666670001,0.602666666666,1.7999434907799998,1.76195454817272
259,1.05,0.532,0.266,0.501088139281828,0.266,1.995,0.8525,0.000452,0.9755,0.998,0.27815,1.0106099683299998,1.032575056624479
1274,0.956,1.14,0.612,0.5353535353535354,0.5720000000000001,1.87,0.887,0.000193,0.929,0.935,0.726,1.1330255752,1.1425858062808838
756,1.05,0.564,0.265,0.4705274043433299,0.282,2.13,0.836,0.000227,0.933,1.06,0.374,1.01604397796,1.0433500432068366
255,1.05,0.6995,0.272,0.38823529411764707,0.34950000000000003,2.57,0.8325,0.0004015,0.9855,1.285,0.16635,1.01638950088,1.0268205189726562
107,1.05,0.5145,0.2655,0.516056338028169,0.2575,1.94,0.84,0.0005835,0.982,0.9695,0.2559,1.0326844439799998,1.0264296277658844
296,1.05,0.682,0.264,0.3875,0.341,2.585,0.769,0.000557,0.9905,1.29,0.14529999999999998,1.03897740471,1.0354208121589705
1262,1.0008,1.186,0.9944,0.8377581120943953,0.5934,1.192,0.1532,0.007712,0.9988,0.5966,0.52252,1.85073179157,1.7733439668419675
463,1.05,0.5065,0.263,0.5194508009153318,0.253,1.925,0.8495,0.000609,0.986,0.9625,0.2191,1.04091420605,1.0290559487779398
980,0.966,1.165,0.7195,0.6175,0.5820000000000001,1.615,0.698,0.00116,0.989,0.8075,0.6820000000000002,1.30520656895,1.2984594889751402
556,1.05,0.6835,0.266,0.39043478260869563,0.342,2.57,0.7815,0.000592,0.9915,1.285,0.13595000000000002,1.02066134666,1.032541391681034
958,0.974,1.1125,0.9705,0.8686605981794538,0.55675,1.1475,0.18975,0.007007500000000001,0.9985,0.574,0.5444249999999999,1.76027030647,1.7714116665802622
501,1.05,0.507,0.265666666667,0.5235867446397661,0.253333333333,1.91333333333,0.8226666666670001,0.0007303333333330001,0.984333333333,0.9546666666670001,0.24136666666630002,1.01301755331,1.0237653887515838
476,1.05,0.504,0.2625,0.5207238762405137,0.252,1.92,0.825,0.0007035,0.9885,0.9605,0.19365,1.03609343975,1.0318265423431003
294,1.05,0.6895,0.264,0.38181818181818183,0.34450000000000003,2.615,0.8235,0.00042,0.9855,1.31,0.1515,1.03101947734,1.0349084598124718
1271,0.967,0.999,0.762,0.764367816091954,0.5,1.31,0.759,0.00112,0.979,0.655,0.784,1.36393498852,1.3975904490403939
1115,0.974,1.07,0.746,0.6958904109589041,0.5355,1.44,0.6715,0.001715,0.9905,0.718,0.654,1.1534789555299998,1.385711254040706
1137,0.9738,1.17,0.971,0.83,0.5848,1.202,0.2068,0.00507,0.9986,0.6018,0.4985,1.7340103869,1.773838590515017
1136,0.938666666667,0.8576666666670001,0.580666666667,0.6768181818168708,0.428666666667,1.48333333333,0.7236666666670001,0.00152666666667,0.989,0.742,0.585,1.1406572921200002,1.2506279181054651
472,1.05,0.5055,0.264,0.5215641173087981,0.2525,1.915,0.8225,0.0007160000000000001,0.9875,0.9590000000000001,0.2207,1.05690699229,1.0284646231655934
739,1.05,0.5115,0.2645,0.5175936435868331,0.2555,1.935,0.851,0.000571,0.9835,0.9665,0.22535,1.03887764297,1.0296119350986248
1119,0.982666666667,1.22666666667,0.7993333333329999,0.6510500807748805,0.613333333333,1.53666666667,0.681333333333,0.00109666666667,0.991,0.7673333333329999,0.56,1.54833622694,1.4089259517419106
952,0.987,1.16,0.642,0.5538847117794486,0.5805,1.815,0.9,0.000385,0.9695,0.9059999999999999,0.653,1.15229444359,1.1347994748708907
516,1.05,0.6713333333329999,0.262333333333,0.3910919540232759,0.335666666667,2.56,0.828333333333,0.000490333333333,0.990333333333,1.28,0.1275,1.04181033703,1.0450178598952662
