,EXEC,INST,IPC,L2MISS,FREQ,L2MPI,PhysIPC%,INSTnom%,L3MISS,MEM,L3HIT,L3MPI,GT,Pred
6,0.40922222222200005,0.28445811497936946,0.82216183575,0.02717256637168241,0.28704418290554234,0.029440657578187427,0.8218599033840581,0.40900000000000003,0.007101387101381381,0.049064451514075645,0.9949166666670001,0.005690647482014389,1.0308516611399998,1.0049845812156946
68,0.3579047619046667,0.4776431536008003,0.48913043478260876,0.4378255372957741,0.4215843003226233,0.5480009164849832,0.4894409937891305,0.3577142857146667,0.007587179015752898,0.011157905367875576,1.0,0.00703186022610072,1.0170143724299998,1.0343907715292244
595,0.40370370370400005,0.29430281614192233,0.7946859903369566,0.03533982300890784,0.2930574313463079,0.039248195669582694,0.7942834138478261,0.4036296296293333,0.006738166738172458,0.008237696869720751,0.996166666667,0.005541167066345323,1.0682161805,1.0061979634480518
45,0.313523809524,0.36151778331578144,0.6464803312644929,0.028294816687731573,0.2796160524791512,0.040365448504948026,0.646635610765942,0.313523809524,0.008792057363483484,0.015041155380501943,0.9943571428569999,0.00930729701952518,1.0185696214,1.0230003580026905
502,0.316761904762,0.35762241262275096,0.653726708076087,0.027958027812871517,0.27954025523035714,0.03928285026918175,0.653933747412319,0.31695238095199996,0.010014095728374087,0.020920062616783315,0.9931428571430001,0.010446043165467626,1.02227650395,1.0216256597216615
500,0.3418095238093333,0.3315268809319793,0.7049689440978261,0.028449557522113818,0.27954025523035714,0.03686504754263707,0.7052795031057971,0.34171428571466667,0.008347122632844274,0.01311518456798869,0.9944285714290001,0.008014388489208633,1.0171849061,1.0174329627503615
326,0.435822222222,0.6463612276105758,0.3620289855072464,0.6909026548680739,0.6942825905203764,0.6995990376919405,0.36193236715000004,0.4359111111106666,0.005413413413419134,0.006841522328257334,1.0,0.0040585131894532375,1.1049491545399999,1.141009280301895
575,0.31922222222200003,0.35600527107997054,0.6570048309166667,0.03432212389368696,0.28014663322389344,0.04721331194857546,0.6565217391304348,0.3188888888893333,0.012280852280858,0.023237893248455283,0.9933333333329999,0.012549160671467626,1.00521932455,1.018092679459937
156,0.3406666666666667,0.3329920120814697,0.7028985507246377,0.03530973451315563,0.2799697729752923,0.045709703288029556,0.7020531400963769,0.3406666666666667,0.00826826826826255,0.013474726051608342,0.9956666666670001,0.007925659472417267,1.0278408868,1.0146958694703698
154,0.2846666666666667,0.39993602055159344,0.5845410628007247,0.20915044247780207,0.2808540742172368,0.3250801924619186,0.5846618357485508,0.28488888888933334,0.00875732875732304,0.014396135265691059,0.9990000000000001,0.010074340527582734,1.01669273162,1.0114391194502999
