,EXEC,L2MISS,MEM,L3MISS,INSTnom%,L3MPI,PhysIPC%,INST,FREQ,IPC,L3HIT,L2MPI,GT,Pred
218,0.3253333333333333,0.054297345132617934,0.9006716154118063,0.936936936936937,0.3253333333333333,0.925179856115108,0.389371980676087,0.7871926769218168,0.634574570711698,0.38937198067753637,0.680333333333,0.07193263833190533,1.02214943688,1.05014128428317
400,0.5995555555553332,0.04608849557531111,0.02108636738546483,0.01285857285856714,0.5991111111106666,0.007069544364503598,0.6190821256036232,0.3776875937119715,0.5588783844621613,0.6195652173913044,0.9946666666670001,0.0342101042502142,1.0476441774,1.0242041177981422
58,0.4453333333333333,0.01720353982300276,0.01819724284199364,0.011497211497211498,0.4453333333333333,0.008441247002402877,0.9178743961376812,0.25488633846318726,0.27979291272775236,0.917874396134058,0.987333333333,0.017044907778663607,1.00447456414,1.0136746722376189
434,0.36766666666666664,0.02185486725662943,0.023117709437963943,0.01486915486915487,0.36733333333333335,0.013151079136690648,0.75,0.31158612232407146,0.28279953694760457,0.75,0.987,0.026018444266249403,1.0261342949799999,1.0175272605008354
576,0.6263333333333333,0.024801769911495644,0.02108872393071757,0.013101673101673103,0.626,0.0067841726618705035,0.6481884057971016,0.3608399105637726,0.5571097819793336,0.6485507246376813,0.99,0.01735765838011923,1.00218361441,1.036191255928233
55,0.33266666666666667,0.02075044247785814,0.030272180982721813,0.014763334763329045,0.3328888888893333,0.014661870503597125,0.6814009661833333,0.34297492400802515,0.28156151520951894,0.6811594202898551,0.987,0.02782277465919319,1.0163076878200001,1.0191487750854442
539,0.426222222222,0.020548672566364404,0.01778249086839166,0.010862290862290862,0.42622222222266665,0.008306954436446044,0.8792270531376812,0.2655364530352978,0.27943919223055,0.8804347826086958,0.99,0.021242983159603546,1.01356609452,1.0133928438648112
50,0.97777777778,0.2627256637168273,0.017452574525754685,0.010753610753616473,0.976444444444,0.00358273381294964,0.5792270531398551,0.4033633454856266,0.9720239243677514,0.578502415460145,0.9990000000000001,0.11836407377711242,1.07505774641,1.2503456244979363
538,0.33555555555533334,0.021642477876087914,0.030309885707500886,0.014923494923500645,0.335555555556,0.014642685851366907,0.684541062802174,0.3414489807904858,0.2829763971962057,0.6847826086956522,0.987333333333,0.028652766639947334,1.02417276395,1.0184409937495842
369,0.36599999999999994,0.019099115044241024,0.019264757864969954,0.011531531531531532,0.36599999999999994,0.010258992805755396,0.7536231884057972,0.3099607338715144,0.28014663322389344,0.7536231884057972,0.9890000000000001,0.022896952686456654,1.03795060703,1.0186291966813437
214,0.37599999999999995,0.01717168141592312,0.022948038176033934,0.013933933933933934,0.37599999999999995,0.012273381294964029,0.7644927536231885,0.3061613367340985,0.2843912791818312,0.7626811594202899,0.985,0.020425020048123667,0.9807987852269999,1.0191626439416055
446,0.9888888888866667,0.29235398230088766,0.01641569459172853,0.01050765050764479,0.988444444444,0.0034580335731366906,0.588164251207971,0.3977671667620307,0.9691941603954392,0.5881642512065217,0.9990000000000001,0.13015236567779875,1.2930284507799998,1.2561967060428136
443,0.33899999999999997,0.02185486725662943,0.037066101095793565,0.018876018876018877,0.3393333333333333,0.0181294964028777,0.6956521739130435,0.3363917658337769,0.2812077947133779,0.6956521739130435,0.9840000000000001,0.028219727345640825,1.02796281888,1.0189635525926737
580,0.3753333333333333,0.49221238938035666,0.021215977377165077,0.014157014157014158,0.3753333333333333,0.012258992805755396,0.5166666666666667,0.45234681065248333,0.4186282076016135,0.516304347826087,0.9990000000000001,0.5755813953490679,0.9938178065009999,1.081053721950754
530,0.331777777778,0.020102654867249516,0.029635913750484275,0.013710853710853711,0.331555555556,0.013549160671467626,0.6792270531398551,0.3443994433109282,0.2819152357067212,0.6787439613514493,0.987333333333,0.02683640737772928,1.0142917337200001,1.0194331762158513
540,0.4488888888886666,0.01717168141592312,0.017589254153411102,0.010770770770776488,0.44888888888933337,0.007870503597122302,0.9154589371956523,0.2554583180162021,0.2826226766990034,0.9154589371992755,0.988,0.01693664795508698,1.00177964252,1.0130414166097734
208,0.6473333333333333,0.028959292035387975,0.023315659243548958,0.014105534105534105,0.6473333333333333,0.007093525179856116,0.6659420289855074,0.35061585075896573,0.5602932664477869,0.6648550724637682,0.991,0.019667201283087278,1.0030202990000001,1.0384300367063104
61,0.3308888888886667,0.020591150442459967,0.03038529515725698,0.01548977548978121,0.33066666666666666,0.015410071942446044,0.680676328502174,0.34336504850867916,0.2805003537200345,0.6799516908224639,0.986,0.027654370489173075,1.02020798394,1.0198309490192987
586,0.45133333333333336,0.01978407079645317,0.02132202191587133,0.01383955383955384,0.45133333333333336,0.009870503597122302,0.9239130434782609,0.2517961066334419,0.2812077947133779,0.9239130434782609,0.987,0.01905372894948639,1.00378349347,1.0118118755142307
