,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2HIT,L2MPI,L3HIT,PhysIPC%,MEM,GT,Pred
190,1.05,0.642272727273,0.262636363636,0.40882352941132966,0.32109090909099997,2.44636363636,0.8512727272730001,0.000607909090909,0.995363636364,1.22454545455,0.0602545454546,1.01661829844,1.3672485120196955
207,1.05,0.481166666667,0.263333333333,0.5474482475919051,0.24050000000000002,1.82833333333,0.7975,0.00106666666667,0.994,0.9135,0.14981666666670002,1.02507687123,1.1554956401275502
856,1.05,0.4836,0.2755,0.5697103583701522,0.24170000000000003,1.756,0.8433,0.0008975,0.9847,0.8778,0.5644,1.0207393527700002,1.1111010711000593
1289,1.00642857143,1.08857142857,0.998285714286,0.9167634533495935,0.544357142857,1.09,0.656142857143,0.00285071428571,0.997357142857,0.544928571429,0.41897142857159997,1.54653326137,1.9465785346267346
488,1.05,0.4727,0.263,0.5563204005006258,0.2364,1.797,0.8697,0.0007651,0.993,0.8987,0.11641,1.01978427886,1.1614280940694623
15,1.05,0.47175,0.26275,0.5575111295162822,0.23575,1.795,0.8275833333329999,0.00103608333333,0.995,0.8971666666670002,0.10742499999999999,1.01675423013,1.15280056047683
1097,1.0099333333299998,1.10626666667,0.768666666667,0.6943060498250788,0.553266666667,1.44,0.6735333333329999,0.0020066666666700003,0.996133333333,0.719733333333,0.43720666666700003,1.31449438175,1.9498270071899682
703,1.05,0.48,0.263333333333,0.5481360098318114,0.24,1.82333333333,0.8396666666670001,0.000874,0.993166666667,0.9121666666670001,0.13163333333330002,1.01208738578,1.1632924408302618
382,1.05,0.473181818182,0.264272727273,0.5580810965165686,0.23654545454499998,1.79,0.835636363636,0.000973454545455,0.992454545455,0.895818181818,0.12979090909090002,1.01143037561,1.1531207408392725
416,1.05,0.470071428571,0.262785714286,0.5590395986376782,0.235,1.7892857142900005,0.8173571428569999,0.0011021428571400002,0.995785714286,0.894714285714,0.09482857142859999,1.02262894252,1.1512436257112253
485,1.05,0.6422,0.2625,0.4097876269621422,0.3211,2.446,0.8152,0.0007517,0.9966,1.222,0.05374999999999999,1.0240199530399998,1.3624535563987592
486,1.05,0.4749,0.2637,0.5553061478987404,0.23739999999999997,1.7990000000000002,0.8559,0.0008419,0.9918,0.9004000000000001,0.11041999999999999,1.0231332799,1.1637059817123239
85,1.05,0.646428571429,0.263,0.40682414698202984,0.323285714286,2.46,0.8140000000000001,0.0007205714285710001,0.995857142857,1.23,0.0694714285714,1.02108989058,1.364185160965497
524,1.05,0.467647058824,0.263764705882,0.564262175027654,0.233941176471,1.77176470588,0.8281764705879999,0.00106523529412,0.993058823529,0.8859999999999999,0.1222823529412,1.02270814109,1.1449470233244337
314,1.05,0.476375,0.2635,0.5529868114817688,0.23825,1.8075,0.836625,0.000923375,0.99425,0.904125,0.110375,1.02125017158,1.160401274336019
57,1.05,0.470153846154,0.264076923077,0.5616203879806544,0.235076923077,1.7807692307700005,0.812692307692,0.0011316153846199998,0.992846153846,0.8904615384620002,0.1331307692308,1.0163120154,1.144672170073678
845,1.05,0.4922,0.2845,0.5783465513097813,0.2462,1.736,0.7983,0.001164,0.985,0.8676999999999999,0.6147,1.01919641017,1.1027415118922994
701,1.05,0.483,0.265833333333,0.5500102270409287,0.24166666666699999,1.81833333333,0.798833333333,0.0010883333333299998,0.993833333333,0.909,0.1369333333333,1.01943770296,1.1580732984555957
1020,1.0352857142899998,0.983714285714,0.613714285714,0.624573378835432,0.491428571429,1.60285714286,0.803714285714,0.00135714285714,0.993285714286,0.801714285714,0.470442857143,1.07031328203,1.7316057177932414
1149,1.011125,1.28125,1.00475,0.7838995147016843,0.6406875,1.275625,0.67575,0.002689375,0.9984375,0.637625,0.40499375,1.5244109642,2.451344058306046
