layer 5 particle 2700 205.294005076
layer 2 particle 2266 85.1215283076
layer 5 particle 3133 234.450999896
layer 2 particle 1399 61.5419626236
layer 3 particle 2700 133.202640216
layer 1 particle 100 23.9482720693
layer 1 particle 533 30.6049982707
layer 1 particle 966 36.6882324219
layer 5 particle 1833 146.625733376
layer 2 particle 3133 106.543334325
layer 4 particle 1833 120.766997337
layer 4 particle 966 76.0123650233
layer 3 particle 966 63.7341658274
layer 3 particle 533 45.8686669668
layer 1 particle 1399 41.9119675954
layer 4 particle 2266 148.057937622
layer 3 particle 1399 79.8143625259
layer 4 particle 1399 98.3342329661
layer 2 particle 1833 74.4240283966
layer 4 particle 3133 192.31783549
layer 4 particle 4000 237.881867091
layer 2 particle 533 37.3312632243
layer 3 particle 100 27.0406723022
layer 4 particle 533 50.7035017014
layer 5 particle 2266 176.088166237
layer 1 particle 2266 54.7111988068
layer 3 particle 4000 184.732405345
layer 1 particle 1833 49.0391333898
layer 5 particle 100 32.119901975
layer 4 particle 100 29.5507669449
layer 5 particle 1399 117.143932978
layer 2 particle 4000 131.438700358
layer 1 particle 4000 79.1933695475
layer 5 particle 533 59.3933343887
layer 1 particle 3133 66.4827982585
layer 3 particle 2266 116.905697187
layer 2 particle 966 49.7339010239
layer 5 particle 4000 292.226370176
layer 3 particle 3133 149.317940076
layer 2 particle 100 27.9831965764
layer 5 particle 966 87.5723600388
layer 1 particle 2700 61.6637627284
layer 4 particle 2700 167.33780702
layer 3 particle 1833 97.5285291672
layer 2 particle 2700 96.0071325302
