,EXEC,L3MISS,L2MISS,MEM,IPC,INST,L3MPI,INSTnom%,PhysIPC%,FREQ,L2MPI,L3HIT,GT,Pred
242,0.2794166666666667,0.00773916773916774,0.20696017699107716,0.01048073524213503,0.5647644927536233,0.41373379807129596,0.00895863309352518,0.27949999999999997,0.5648550724637682,0.2853197954851301,0.32450882117094004,0.999125,1.00698711755,1.0084052447289045
492,0.3183333333333333,0.010241670241664525,0.02252389380530176,0.019615883115362318,0.6551932367137682,0.3569730107045342,0.010628297362115107,0.31866666666666665,0.6549516908210146,0.28014663322389344,0.031545709703312566,0.9916666666670001,1.02117337188,1.0212013921122782
647,0.9666666666666667,0.007214071214071215,0.2860884955751199,0.010957935666313184,0.5739130434782609,0.4074462007236716,0.002457553956834533,0.9658666666666665,0.573768115942029,0.9713872274740608,0.13157177225346092,0.9996,1.16305227816,1.279943459569614
683,0.27607407407400003,0.007045140378481338,0.25936283185827985,0.009715250775694592,0.568840579710145,0.41138868326993355,0.008343725019985612,0.276148148148,0.5682769726246378,0.28014663322389344,0.4145950280679289,0.9997777777779999,1.01855502352,1.0255219023769202
481,0.2813333333333334,0.007235807235812955,0.24764601769892114,0.009954047366560624,0.5778985507246377,0.405156634943418,0.008482014388489209,0.2813333333333334,0.5772946859905796,0.2810309344647767,0.3921411387343193,0.9993333333329999,1.01581900498,1.0212283707649523
423,0.3144848484846667,0.008904488904487345,0.027682059533374267,0.017463286095312832,0.6492094861666667,0.360234476771313,0.009429692609553958,0.3146666666666667,0.6489459815543479,0.27947134864006196,0.03956404461605435,0.9940000000000001,1.01687734107,1.0219285389384378
305,0.31545454545466667,0.008241488241492923,0.03155430410297998,0.016320575853983738,0.6511857707500001,0.3594619969983172,0.00851406147808633,0.3153939393933333,0.6505928853753624,0.27985722554465375,0.04409127360218287,0.995181818182,1.01869129141,1.0213457547728024
425,0.301722222222,0.5649220649214929,0.05278407079633529,0.6998939554612937,0.4490036231884058,0.6891973633103111,0.6023501199035971,0.3016666666666667,0.4488526570050725,0.5123641391723858,0.07587209302328622,0.831166666667,1.21701405171,1.202303350631013
335,0.35919047619066663,0.00616902616902617,0.5045006321106178,0.00887643286371156,0.45238095238043485,0.516884352964556,0.005658787255913669,0.3592380952386667,0.45248447205000003,0.4578911827125379,0.6248138389284782,1.0,1.05061811479,1.0554343357114537
509,0.27628571428599996,0.008560397131823251,0.27675853350170726,0.013066707064588193,0.5698757763985508,0.41083912384617005,0.010234326824258995,0.27580952380933327,0.5692546583847827,0.27938866073170776,0.44592736854027504,0.9994285714290001,1.01377529081,1.0321676663259547
