,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
503,1.05,0.47742857142899997,0.263428571429,0.5521146699693675,0.238714285714,1.81142857143,7.72,0.000956285714286,0.991571428571,0.0639714285714,7.935714285710001e-06,0.9057142857139999,0.15272857142859997,1.01804059009,1.0246127429750054
645,1.05,0.4868,0.2646,0.5433357611070648,0.24359999999999998,1.838,5.744,0.000697,0.9882,0.0668,8.088e-06,0.9204000000000001,0.15344,1.04057725671,1.0243348987932142
245,1.05,0.909625,0.529625,0.5820967741935484,0.454875,1.71875,9.58125,0.00061875,0.996125,0.03575,2.31125e-06,0.8590000000000001,0.0691625,1.0279118089100001,1.0466894190972411
142,1.05,0.61875,0.269875,0.43577430972388953,0.309375,2.29375,7.175,0.0006889999999999999,0.9945,0.0389125,3.73125e-06,1.14625,0.066525,1.0284147453799999,1.0102259558053575
493,1.05,0.482166666667,0.265,0.5505319148933917,0.240833333333,1.81666666667,6.03,0.000740333333333,0.988,0.07165,8.81166666667e-06,0.9085,0.14544999999999997,1.00841356901,1.0243497937332255
358,1.05,0.5429999999999999,0.265,0.487152034261242,0.272,2.05,2.39,0.000256,0.9470000000000001,0.125,1.34e-05,1.03,0.33699999999999997,1.03843345959,1.0074948351433675
621,1.05,0.643,0.263,0.409255079006772,0.321625,2.44625,10.1525,0.000917,0.996125,0.04005,3.61e-06,1.22375,0.0756,1.02532894378,1.013493951790211
40,1.05,1.42611111111,0.938611111111,0.6581314878901843,0.713166666667,1.52,85.3888888889,0.00354666666667,0.999888888889,0.0317333333333,1.31761111111e-06,0.7598888888890001,0.0443066666667,1.3151538487299999,1.3052241257375878
369,1.05,0.5489999999999999,0.264,0.4804025423728814,0.27449999999999997,2.08,5.995,0.0006345,0.9890000000000001,0.0672,7.13e-06,1.04,0.13624999999999998,1.03795060703,1.0180911757883804
85,1.04,0.629,0.4,0.6373831775700934,0.314,1.57,143.0,0.0134,0.9990000000000001,0.113,1.06e-05,0.785,0.22809999999999997,1.02288817578,0.9738598583694716
175,1.05,1.45111111111,0.923555555556,0.635794183446491,0.725888888889,1.5733333333300001,93.6888888889,0.00377111111111,1.0,0.032166666666700004,1.3004444444399999e-06,0.785777777778,0.0597,1.3137024500799999,1.2896307426035614
517,1.05,0.6555,0.2635,0.40337078651685393,0.32799999999999996,2.49,7.1475,0.00064075,0.99125,0.063925,5.73e-06,1.245,0.12279999999999999,1.01794711642,1.0148230967700393
352,1.05,0.55,0.268,0.48625792811839325,0.275,2.05,3.05,0.000322,0.958,0.12300000000000001,1.3000000000000001e-05,1.03,0.3295,1.00742453205,1.0058648820680682
452,1.05,1.485,0.912,0.6149312377210217,0.742,1.63,80.1,0.00315,0.9990000000000001,0.0767,3.015e-06,0.8134999999999999,0.1532,1.33989621486,1.2938318358263392
693,1.05,0.4232,0.2644,0.6247544204322201,0.2114,1.6,79.66,0.01116,0.9990000000000001,0.0505,7.0839999999999994e-06,0.8001999999999999,0.09116,1.01741991825,1.0069692196219928
14,1.05,0.528666666667,0.418416666667,0.7913662414498059,0.26433333333299996,1.2641666666700002,155.0,0.017191666666700002,1.0,0.0362583333333,4.02083333333e-06,0.631916666667,0.3406916666667,1.05387569447,1.0692673549740652
366,1.05,0.612,0.40399999999999997,0.6575471698113208,0.306,1.52,115.0,0.0108,0.997,0.287,2.71e-05,0.758,0.2743,1.01478117292,0.9857107967092149
590,1.05,0.652,0.2665,0.40855855855855855,0.326,2.45,5.415,0.0004885,0.9855,0.07855,7.08e-06,1.225,0.1567,0.9915496599299999,1.0096890781465482
549,1.05,0.662,0.264666666667,0.39854651162674837,0.331,2.50333333333,8.166666666669999,0.000714333333333,0.9846666666670001,0.124533333333,1.091e-05,1.25,0.1592000000003,1.0361702244700002,1.0055699195350618
637,1.05,0.616,0.395,0.6420560747663552,0.308,1.56,129.0,0.0121,0.9990000000000001,0.114,1.06e-05,0.78,0.2211,0.9318295612649999,0.9810650537129931
103,1.05,0.696,0.265,0.3798319327731092,0.348,2.62,3.95,0.000333,0.972,0.107,9.01e-06,1.31,0.2245,1.0008605556999999,1.0033219115337666
495,1.05,0.9209999999999999,0.525285714286,0.5709440879930989,0.46042857142899996,1.75285714286,9.54857142857,0.000612142857143,0.996285714286,0.035785714285699995,2.29428571429e-06,0.8761428571430001,0.0704142857143,1.02656450919,1.0418743665443804
8,1.05,0.436230769231,0.379461538462,0.8679816322266888,0.218076923077,1.3465384615399998,13.5746153846,0.00184153846154,0.8313076923080001,2.61061538462,0.000348784615385,0.6736153846149999,4.65,1.1106354514899999,1.1419080224988132
623,1.05,0.47544444444399997,0.263777777778,0.554723262588015,0.237666666667,1.8033333333300001,8.001111111110001,0.000999,0.992888888889,0.0551444444444,6.884444444439999e-06,0.9015555555559999,0.1334555555555,1.02634349813,1.0250020544099825
501,1.05,0.644428571429,0.263428571429,0.4086229086225225,0.322285714286,2.4471428571400002,8.38857142857,0.000756142857143,0.994285714286,0.048185714285699996,4.3414285714300006e-06,1.22428571429,0.0978,1.01569961235,1.0133627615448109
620,1.05,0.47755555555600004,0.27,0.5651398793200947,0.23888888888899998,1.77333333333,8.091111111110001,0.000996333333333,0.9886666666670001,0.0979444444444,1.17766666667e-05,0.8864444444440001,0.1919111111109,1.03264036678,1.0227902769608925
586,1.045,0.677,0.265,0.3902542372881356,0.3385,2.55,6.21,0.000528,0.987,0.08065,6.86e-06,1.275,0.1508,1.00378349347,1.0076491210617202
