ACYC-1,AFREQ-1,EXEC-1,FREQ-1,INST-1,INSTnom%-1,INSTnom-1,IPC-1,L2HIT-1,L2MISS-1,L2MPI-1,L3HIT-1,L3MISS-1,L3MPI-1,PhysIPC%-1,PhysIPC-1,READ-1,TIME(ticks)-1,WRITE-1,ACYC-2,AFREQ-2,EXEC-2,FREQ-2,INST-2,INSTnom%-2,INSTnom-2,IPC-2,L2HIT-2,L2MISS-2,L2MPI-2,L3HIT-2,L3MISS-2,L3MPI-2,PhysIPC%-2,PhysIPC-2,READ-2,TIME(ticks)-2,WRITE-2,ACYC-C,AFREQ-C,EXEC-C,FREQ-C,INST-C,INSTnom%-C,INSTnom-C,IPC-C,L2HIT-C,L2MISS-C,L2MPI-C,L3HIT-C,L3MISS-C,L3MPI-C,PhysIPC%-C,PhysIPC-C,READ-C,TIME(ticks)-C,WRITE-C
7283.33333333,1.04777777778,0.822,0.431222222222,13877.7777778,1.64444444444,41.1,1.90777777778,0.0690222222222,104.122222222,0.00750777777778,0.999666666667,0.0453466666667,3.24644444444e-06,3.81111111111,95.2888888889,0.0301422222222,2110.0,0.0119611111111,13700.0,1.049,1.0786,0.8161,18090.0,2.154,53.87,1.32,0.05348,161.2,0.008959,0.9998,0.03499,1.9234e-06,2.641,66.04,0.02258,2100.0,0.009246,18244.4444444,1.05,1.17222222222,1.04333333333,20533.3333333,2.34444444444,58.6,1.12555555556,0.0469222222222,270.555555556,0.0131777777778,0.995666666667,1.20933333333,5.83555555556e-05,2.25,56.2777777778,0.291222222222,2188.88888889,0.159644444444
10089.0,1.047,0.711,0.6004,11960.0,1.423,35.56,1.184,0.2185,199.6,0.01669,1.0,0.03668,3.07e-06,2.367,59.17,0.021197,2100.0,0.008884,13644.4444444,1.04888888889,1.16444444444,0.810888888889,19577.7777778,2.32666666667,58.1888888889,1.43555555556,0.0456111111111,166.222222222,0.00848111111111,0.999777777778,0.0601777777778,3.06777777778e-06,2.87,71.7666666667,0.0349555555556,2103.33333333,0.0128011111111,18266.6666667,1.05,1.00544444444,1.04555555556,17622.2222222,2.01222222222,50.2777777778,0.964555555556,0.0741,244.666666667,0.0138555555556,0.998222222222,0.440111111111,2.573e-05,1.92888888889,48.2111111111,0.114466666667,2186.66666667,0.0651444444444
11933.3333333,1.03466666667,1.12033333333,0.706777777778,18933.3333333,2.24111111111,56.0444444444,1.58666666667,0.0464555555556,200.333333333,0.0105777777778,1.0,0.0339888888889,1.795e-06,3.17222222222,79.2888888889,0.02344,2111.11111111,0.00985111111111,9391.0,1.049,1.154,0.558,19440.0,2.31,57.73,2.07,0.3165,57.18,0.002943,0.9989,0.05814,2.9906e-06,4.14,103.55,0.040478,2103.0,0.011445,18355.5555556,1.05,1.23,1.04555555556,21700.0,2.46333333333,61.5666666667,1.18111111111,0.0935777777778,187.555555556,0.00853555555556,0.999888888889,0.0419,1.95022222222e-06,2.36222222222,59.0444444444,0.0266,2200.0,0.0103266666667
9309.0,1.049,0.9461,0.554,15900.0,1.893,47.3,1.709,0.2346,134.0,0.008421,0.9998,0.038927,2.4341e-06,3.416,85.4,0.024123,2100.0,0.010607,7622.22222222,1.04888888889,0.829333333333,0.452555555556,13977.7777778,1.65777777778,41.4888888889,1.83333333333,0.241555555556,66.6888888889,0.00477555555556,0.999777777778,0.0331777777778,2.35111111111e-06,3.66666666667,91.6555555556,0.0227788888889,2105.55555556,0.00982555555556,16622.2222222,1.05,1.26,0.958555555556,21855.5555556,2.51777777778,62.9888888889,1.31333333333,0.158888888889,218.333333333,0.00998888888889,0.999888888889,0.0417011111111,1.94333333333e-06,2.63,65.7111111111,0.0255877777778,2163.33333333,0.0128344444444
9405.55555556,1.04888888889,0.922444444444,0.558222222222,15533.3333333,1.84666666667,46.1111111111,1.65333333333,0.938888888889,6.36222222222,0.000409555555556,0.993888888889,0.0351622222222,2.25377777778e-06,3.30444444444,82.6222222222,0.0246422222222,2106.66666667,0.00945111111111,10124.4444444,1.04888888889,0.798666666667,0.602,13433.3333333,1.59666666667,39.9444444444,1.32777777778,0.811111111111,25.8444444444,0.00192222222222,0.998444444444,0.0370677777778,2.775e-06,2.65111111111,66.3,0.0244266666667,2101.11111111,0.0119933333333,18288.8888889,1.05,1.01311111111,1.04333333333,17777.7777778,2.02444444444,50.6333333333,0.972777777778,0.701555555556,58.0666666667,0.00328555555556,0.999444444444,0.0372222222222,2.10166666667e-06,1.94555555556,48.6444444444,0.0249188888889,2197.77777778,0.00985777777778
7052.22222222,1.03533333333,0.601222222222,0.418666666667,10140.0,1.20111111111,30.0666666667,1.43444444444,0.200444444444,137.444444444,0.0135555555556,0.999666666667,0.0405711111111,4.061e-06,2.87222222222,71.8111111111,0.0263744444444,2105.55555556,0.01239,11444.4444444,1.04888888889,1.10222222222,0.682555555556,18522.2222222,2.20555555556,55.1111111111,1.61444444444,0.959333333333,2.86333333333,0.000154666666667,0.986888888889,0.03349,1.799e-06,3.23,80.7444444444,0.0232388888889,2100.0,0.00983555555556,17166.6666667,1.00444444444,1.18333333333,0.999111111111,20344.4444444,2.36555555556,59.1555555556,1.18777777778,0.390666666667,115.777777778,0.00568222222222,0.999888888889,0.0336711111111,1.65566666667e-06,2.37,59.3,0.0207933333333,2153.33333333,0.00947666666667
9082.0,1.0194,0.9366,0.5405,15740.0,1.873,46.85,1.733,0.8112,34.59,0.002199,0.9981,0.069146,4.278e-06,3.467,86.68,0.039776,2100.0,0.010177,13088.8888889,0.995888888889,1.1,0.776666666667,18566.6666667,2.20222222222,55.0444444444,1.41666666667,0.0447111111111,155.333333333,0.00836333333333,0.999777777778,0.0446088888889,2.38988888889e-06,2.83555555556,70.8666666667,0.02968,2107.77777778,0.0108455555556,17288.8888889,1.00111111111,1.14555555556,0.997777777778,19933.3333333,2.29444444444,57.3666666667,1.15,0.257333333333,182.333333333,0.00920222222222,0.999888888889,0.0416666666667,2.05588888889e-06,2.30111111111,57.5444444444,0.0250011111111,2166.66666667,0.01064
11388.8888889,1.04044444444,0.925333333333,0.674222222222,15644.4444444,1.85111111111,46.2444444444,1.37222222222,0.0658,149.555555556,0.00957222222222,0.999777777778,0.0363377777778,2.29488888889e-06,2.74444444444,68.6111111111,0.02298,2111.11111111,0.00971555555556,11730.0,1.0032,0.8892,0.6978,14950.0,1.778,44.46,1.274,0.1643,218.5,0.01461,1.0,0.03412,2.3021e-06,2.549,63.73,0.020001,2100.0,0.009044,17288.8888889,0.997111111111,0.984111111111,0.993444444444,17144.4444444,1.96777777778,49.2222222222,0.990777777778,0.0868333333333,215.777777778,0.0125666666667,0.999777777778,0.0785777777778,4.67555555556e-06,1.98222222222,49.5444444444,0.0334444444444,2174.44444444,0.0141944444444
6921.0,1.0193,0.5854,0.4121,9843.0,1.1713,29.27,1.422,0.268,120.04,0.01223,0.9997,0.04205,4.248e-06,2.841,71.03,0.02723,2100.0,0.011806,5161.11111111,1.00344444444,0.478666666667,0.306111111111,8071.11111111,0.957444444444,23.9333333333,1.56444444444,0.360444444444,47.2888888889,0.00586555555556,0.998888888889,0.0457544444444,5.60688888889e-06,3.13,78.2666666667,0.0290277777778,2106.66666667,0.0110711111111,12922.2222222,0.992888888889,0.890777777778,0.746666666667,15400.0,1.78111111111,44.5333333333,1.19555555556,0.188111111111,212.111111111,0.0137777777778,0.999777777778,0.0473688888889,3.04966666667e-06,2.39222222222,59.7777777778,0.0265122222222,2162.22222222,0.0125744444444
11622.2222222,1.03944444444,0.967555555556,0.690555555556,16300.0,1.93555555556,48.3888888889,1.4,0.31,102.677777778,0.00630222222222,0.999777777778,0.0368777777778,2.24777777778e-06,2.80222222222,70.0888888889,0.0212,2104.44444444,0.00949444444444,6930.0,1.00622222222,0.798111111111,0.410111111111,13477.7777778,1.59555555556,39.9,1.94666666667,0.234777777778,71.7888888889,0.00532444444444,0.999666666667,0.0414333333333,3.09188888889e-06,3.89333333333,97.2444444444,0.0276822222222,2112.22222222,0.0128533333333,17333.3333333,0.988666666667,1.28555555556,0.985111111111,22611.1111111,2.57222222222,64.2666666667,1.30444444444,0.157777777778,213.666666667,0.00944888888889,0.999777777778,0.0665611111111,2.94911111111e-06,2.61111111111,65.2333333333,0.0412222222222,2203.33333333,0.0112122222222
