num,app,budget,ind_exec,exec,config,slowdown_p,slowdown_gt,success_p,success_gt,raw_qos,qos
2,swaptions,21.938838958740234,13.247070550918579,13.53403115272522,num-600000,1.3649450308146271,1.021662193214993,True,True,97.11033760092391,0.7982135488174102
2,ferret,1.9440078735351562,1.8949692249298096,1.926933765411377,hash-8-itr-14-probe-16,1.0227655286709096,1.0168681053291255,True,True,100.0,1.0
2,bodytrack,8.757810831069946,5.240943431854248,5.3283371925354,layer-5-particle-2266,1.009929788787399,1.0166751963301066,True,True,4.106774678867604,0.8052045732258866
2,swaptions,21.938838958740234,19.83025026321411,20.17591905593872,num-900000,1.0589456168595626,1.0174313883151458,True,True,98.44760252255469,0.8915953718683126
2,swaptions,21.938838958740234,17.648054838180542,19.871068954467773,num-800000,1.237533712732903,1.1259636904276764,True,True,97.31634315522797,0.8125990111953997
2,svm,17.03521704673767,13.437995910644531,13.892555713653564,batch-3-learning-67-regular-78,1.1566150004723443,1.0338264579057481,True,True,28.860000000000003,0.6754047802621436
2,swaptions,21.938838958740234,17.648054838180542,20.688592433929443,num-800000,1.2130284490313183,1.1722874063815165,True,True,97.31634315522797,0.8125990111953997
2,nn,21.02316689491272,14.150341987609863,15.020070791244507,batch-3-learning-1-regular-67,1.0208072738592175,1.0614634476252365,True,True,21.5,0.6779661016949152
2,swaptions,21.938838958740234,19.83025026321411,20.21131157875061,num-900000,1.034449752132642,1.0192161627048844,True,True,98.44760252255469,0.8915953718683126
2,facedetect,98.80850052833557,21.4960834980011,21.765965938568115,eyes-0-pyramid-9-selectivity-1,1.0117773519986555,1.0125549587017613,True,True,92.7307139386279,1.0
2,bodytrack,8.757810831069946,5.240943431854248,5.338913202285767,layer-5-particle-2266,1.223964738445021,1.018693155479615,True,True,4.106774678867604,0.8052045732258866
2,ferret,1.9440078735351562,1.8949692249298096,1.947627067565918,hash-8-itr-14-probe-16,1.0065171155160741,1.0277882310400366,True,True,100.0,1.0
2,ferret,1.9440078735351562,1.7170910835266113,1.8383586406707764,hash-8-itr-22-probe-6,1.0829917524940986,1.0706238348725812,True,True,99.25882352941177,1.0
2,svm,17.03521704673767,14.602787494659424,15.727110862731934,batch-4-learning-78-regular-45,1.0585797080892536,1.0769937498908138,True,True,28.02,0.610639938319198
2,ferret,1.9440078735351562,1.7595577239990234,1.9069294929504395,hash-8-itr-7-probe-8,0.19071738460107746,1.083755006693658,True,True,99.36078431372549,1.0
2,nn,21.02316689491272,14.150341987609863,15.457259893417358,batch-3-learning-1-regular-67,1.0693306501017146,1.0923594572450503,True,True,20.0,0.5508474576271186
2,facedetect,98.80850052833557,21.4960834980011,21.889752626419067,eyes-0-pyramid-9-selectivity-1,1.0921496562421926,1.0183135280645228,True,True,92.7307139386279,1.0
2,ferret,1.9440078735351562,1.8404779434204102,1.8758151531219482,hash-8-itr-25-probe-12,1.0280625981932718,1.0192000180321998,True,True,99.68627450980392,1.0
2,bodytrack,8.757810831069946,5.240943431854248,5.895801544189453,layer-5-particle-2266,1.1761614801789304,1.124950425596087,True,True,4.106774678867604,0.8052045732258866
2,svm,17.03521704673767,13.437995910644531,13.983952522277832,batch-3-learning-67-regular-78,1.1022285655687516,1.0406278298686515,True,True,28.62,0.6569005397070162
2,bodytrack,8.757810831069946,5.240943431854248,6.114868402481079,layer-5-particle-2266,1.0372313282915626,1.166749552249534,True,True,4.106774678867604,0.8052045732258866
2,nn,21.02316689491272,14.150341987609863,14.862437009811401,batch-3-learning-1-regular-67,1.0498348617556559,1.050323520295485,True,True,17.5,0.3389830508474576
2,bodytrack,8.757810831069946,5.240943431854248,5.319288730621338,layer-5-particle-2266,1.0328897644211192,1.0149487014667837,True,True,4.106774678867604,0.8052045732258866
2,facedetect,98.80850052833557,21.4960834980011,21.774355173110962,eyes-0-pyramid-9-selectivity-1,1.0151512538952998,1.0129452267495955,True,True,92.7307139386279,1.0
2,nn,21.02316689491272,13.015008211135864,15.534603118896484,batch-1-learning-67-regular-56,1.2996846191298637,1.1935914958243985,True,True,19.6,0.516949152542373
2,svm,17.03521704673767,13.449683904647827,15.558190107345581,batch-3-learning-56-regular-78,1.0477265326048224,1.1567699447545465,True,True,25.869999999999997,0.44487278334618324
2,facedetect,98.80850052833557,21.4960834980011,23.754615545272827,eyes-0-pyramid-9-selectivity-1,1.175897152535892,1.1050671415321656,True,True,92.7307139386279,1.0
2,svm,17.03521704673767,13.437995910644531,13.99665117263794,batch-3-learning-67-regular-78,1.13325310015557,1.0415728108349018,True,True,27.85,0.5975327679259831
2,facedetect,98.80850052833557,21.4960834980011,24.530500411987305,eyes-0-pyramid-9-selectivity-1,1.223121991665686,1.1411613847828779,True,True,92.7307139386279,1.0
2,nn,21.02316689491272,14.150341987609863,15.056719303131104,batch-3-learning-1-regular-67,1.082604211071967,1.0640533858697458,True,True,20.9,0.6271186440677965
3,bodytrack,8.757810831069946,8.757810831069946,8.997323751449585,layer-5-particle-4000,0.986496783852691,1.027348492106032,True,True,5.0,1.0
3,swaptions,21.938838958740234,13.247070550918579,13.515398502349854,num-600000,1.4695659779641441,1.020255644476255,True,True,97.11033760092391,0.7982135488174102
3,ferret,1.9440078735351562,1.8949692249298096,1.9724762439727783,hash-8-itr-14-probe-16,1.0028549219855256,1.0409014658514255,True,True,100.0,1.0
3,swaptions,21.938838958740234,13.247070550918579,15.849866151809692,num-600000,1.4012519535777161,1.1964808438882082,True,True,97.11033760092391,0.7982135488174102
