num,app,budget,ind_exec,exec,config,slowdown_p,slowdown_gt,success_p,success_gt,raw_qos,qos
2,swaptions,21.938838958740234,21.938838958740234,22.720820665359497,num-1000000,1.0,1.0356437142407542,True,True,99.99999999999432,1.0
2,ferret,1.9440078735351562,1.8949692249298096,1.9318585395812988,hash-8-itr-14-probe-16,1.0,1.0194669729545902,True,True,100.0,1.0
2,bodytrack,8.757810831069946,8.757810831069946,8.922839641571045,layer-5-particle-4000,1.0,1.018843614424238,True,True,5.0,1.0
2,swaptions,21.938838958740234,21.938838958740234,22.48151922225952,num-1000000,1.0,1.02473605210102,True,True,99.99999999999432,1.0
2,swaptions,21.938838958740234,21.938838958740234,24.710180521011353,num-1000000,1.0,1.1263212500662914,True,False,99.99999999999432,1.0
2,svm,17.03521704673767,13.437995910644531,13.841570377349854,batch-3-learning-67-regular-78,1.0,1.0300323403421816,True,True,30.36,0.7910562837316885
2,swaptions,21.938838958740234,21.938838958740234,25.8385751247406,num-1000000,1.0,1.1777549018585027,True,False,99.99999999999432,1.0
2,nn,21.02316689491272,14.150341987609863,14.948086261749268,batch-3-learning-1-regular-67,1.0,1.056376324673843,True,True,17.5,0.3389830508474576
2,swaptions,21.938838958740234,21.938838958740234,22.47442317008972,num-1000000,1.0,1.0244126050770848,True,True,99.99999999999432,1.0
2,facedetect,98.80850052833557,21.4960834980011,21.822333574295044,eyes-0-pyramid-9-selectivity-1,1.0,1.0151771868733337,True,True,92.7307139386279,1.0
2,bodytrack,8.757810831069946,8.757810831069946,9.011466979980469,layer-5-particle-4000,1.0,1.0289634194895636,True,True,5.0,1.0
2,ferret,1.9440078735351562,1.8949692249298096,1.955648422241211,hash-8-itr-14-probe-16,1.0,1.0320212046259742,True,True,100.0,1.0
2,ferret,1.9440078735351562,1.8949692249298096,2.0501058101654053,hash-8-itr-14-probe-16,1.0,1.081867601433655,True,True,100.0,1.0
2,svm,17.03521704673767,13.437995910644531,14.172562599182129,batch-3-learning-67-regular-78,1.0,1.0546634106322157,True,True,26.02,0.4564379336931379
2,ferret,1.9440078735351562,1.8949692249298096,2.039975166320801,hash-8-itr-14-probe-16,1.0,1.0765215284149865,True,True,100.0,1.0
2,nn,21.02316689491272,14.150341987609863,15.203195333480835,batch-3-learning-1-regular-67,1.0,1.0744047986114298,True,True,21.3,0.6610169491525424
2,facedetect,98.80850052833557,21.4960834980011,21.922956466674805,eyes-0-pyramid-9-selectivity-1,1.0,1.0198581741047572,True,True,92.7307139386279,1.0
2,ferret,1.9440078735351562,1.8949692249298096,1.9425945281982422,hash-8-itr-14-probe-16,1.0,1.0251324943127753,True,True,100.0,1.0
2,bodytrack,8.757810831069946,8.757810831069946,9.82174277305603,layer-5-particle-4000,1.0,1.1214837774540174,True,False,5.0,1.0
2,svm,17.03521704673767,13.437995910644531,13.880350828170776,batch-3-learning-67-regular-78,1.0,1.0329182208766596,True,True,27.82,0.5952197378565921
2,bodytrack,8.757810831069946,8.757810831069946,10.152992725372314,layer-5-particle-4000,1.0,1.1593071512064068,True,False,5.0,1.0
2,nn,21.02316689491272,14.150341987609863,14.91704249382019,batch-3-learning-1-regular-67,1.0,1.05418247183578,True,True,20.8,0.6186440677966102
2,bodytrack,8.757810831069946,8.757810831069946,8.898837804794312,layer-5-particle-4000,1.0,1.016102993823987,True,True,5.0,1.0
2,facedetect,98.80850052833557,21.4960834980011,21.781543731689453,eyes-0-pyramid-9-selectivity-1,1.0,1.0132796392289274,True,True,92.7307139386279,1.0
2,nn,21.02316689491272,14.150341987609863,17.128894805908203,batch-3-learning-1-regular-67,1.0,1.2104933450305568,True,True,20.9,0.6271186440677965
2,svm,17.03521704673767,13.437995910644531,16.211329698562622,batch-3-learning-67-regular-78,1.0,1.2063800142788608,True,True,27.839999999999996,0.5967617579028524
2,facedetect,98.80850052833557,21.4960834980011,23.588491201400757,eyes-0-pyramid-9-selectivity-1,1.0,1.0973390200868092,True,True,92.7307139386279,1.0
2,svm,17.03521704673767,13.437995910644531,13.868476629257202,batch-3-learning-67-regular-78,1.0,1.0320345921724592,True,True,28.02,0.610639938319198
2,facedetect,98.80850052833557,21.4960834980011,24.415900707244873,eyes-0-pyramid-9-selectivity-1,1.0,1.1358301948127103,True,True,92.7307139386279,1.0
2,nn,21.02316689491272,14.150341987609863,15.0039222240448,batch-3-learning-1-regular-67,1.0,1.0603222337087215,True,True,16.1,0.22033898305084756
3,bodytrack,8.757810831069946,8.757810831069946,8.994402408599854,layer-5-particle-4000,1.0,1.0270149221184997,True,True,5.0,1.0
3,swaptions,21.938838958740234,21.938838958740234,22.520265817642212,num-1000000,1.0,1.0265021708758357,True,True,99.99999999999432,1.0
3,ferret,1.9440078735351562,1.8949692249298096,1.9568195343017578,hash-8-itr-14-probe-16,1.0,1.032639215749923,True,True,100.0,1.0
3,swaptions,21.938838958740234,21.938838958740234,25.12053894996643,num-1000000,1.0,1.1450259057559942,True,False,99.99999999999432,1.0
3,ferret,1.9440078735351562,1.8949692249298096,2.050279140472412,hash-8-itr-14-probe-16,1.0,1.0819590700995976,True,True,100.0,1.0
3,svm,17.03521704673767,13.437995910644531,14.360774993896484,batch-3-learning-67-regular-78,1.0,1.0686693975342707,True,True,25.8,0.43947571318427137
3,swaptions,21.938838958740234,21.938838958740234,26.497878789901733,num-1000000,1.0,1.2078067959628838,True,False,99.99999999999432,1.0
3,ferret,1.9440078735351562,1.8949692249298096,2.0644049644470215,hash-8-itr-14-probe-16,1.0,1.089413451832437,True,True,100.0,1.0
