feature,LR-1,LR-2,LS-1,LS-2,EN-1,EN-2,BR-1,BR-2,nn,SVR-1,SVR-2,final
FREQ,8.98930235330736,6.780313655844601,9.169026487829194,7.643779364087817,9.203053504580874,7.732798675312642,8.99200123699548,6.771378440585556,6.68248907967775,13.104191404431514,14.190576762637622,7.706701123304089
INST,5.8840337934141695,3.650821070785599,5.916720525627924,4.427814945041285,5.943682894884166,4.501768466983979,5.882579470417887,3.6327204285289802,3.700051447119026,6.156629304449182,6.280386045406883,5.524558474860444
INSTnom%,7.180061281303156,5.454525273370208,7.436857914739075,6.323353939306352,7.461357483844553,6.363287063341103,7.183251889120408,5.418762684302263,5.791205096148968,16.036906736178867,19.41940423841322,12.94331344703355
IPC,5.08384644200354,2.941115724303164,5.131961377231946,3.77259287458762,5.16176574989237,3.8426967874665583,5.082354914921954,2.930299900128876,3.092821130192637,4.7317205204768,4.955073287446661,5.377121349923467
L2MISS,45.11683558638913,33.77816182046659,41.12729380295047,22.114953036275757,93.87745038865367,48.243716924979665,44.94792013277601,27.085168175620293,24.159132656920505,46.32006333481109,47.52186288476949,29.857248959541266
L2MPI,57.313354108873504,30.18249347144884,40.47925802364086,21.027405253079987,40.40268401686356,20.81316799835775,56.33029969000398,23.49878345256811,49.81187819886121,2765.3722181787584,2765.3722181787584,38.275811031169276
L3HIT,6.641938413829938,2.648988035530973,6.725540141255218,4.093535350291595,7.438487503397531,4.345270811562328,6.641074364972635,2.653251639269414,2.954266573301186,8.766577236110333,9.141280505497985,3.379938281499486
L3MISS,36.63106187902682,25.33422422094353,33.23763153737417,24.677556813919676,35.551679227879966,24.89006821295193,36.38903537790312,23.128769686487843,22.854262852479714,27.958783727367063,30.933508380220964,21.595335054548904
L3MPI,149.17136881653758,33.20668136250511,156.8208569495262,66.47648685927076,156.82041347140134,66.46762652014205,147.44035616731813,27.22362888119592,458.3485344350944,4319.717409580915,4319.717409580915,27.22362888019314
PhysIPC%,5.082658835698563,2.939507074586674,5.1295735555482,3.7727588197083177,5.153454443619081,3.8110864984305803,5.081237799665037,2.929317092830287,3.038429647397569,7.2797982916343225,7.177521873592855,5.3785210517134745
MEM,17.258882905876057,10.76580572678353,25.23409115147081,12.654952247553483,39.359641728485705,18.12511020904381,17.288363969876496,10.7048061989371,9.7108841241587,20.75608162958184,37.43107538162621,10.051288577726657
