Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-1-learning-23-regular-1,2602.5,1.024,0.1427,0.15475,2397.5,0.28525,7.145,0.962,3.64225,0.0017305,0.59425,1.95675,0.000913025,1.9225,48.025,1.97275,2100.0,1.9025
batch-2-learning-12-regular-1,4036.0,1.038,0.16864,0.2402,2828.0,0.3368,8.42,0.862,4.426,0.0017122,0.6112,1.9372,0.00082884,1.7254,43.16,2.1176,2100.0,1.858
batch-3-learning-67-regular-100,4022.0,1.0372,0.16658,0.2394,2796.0,0.333,8.31,0.8394,4.6916,0.0016026,0.6596,1.6402,0.0006442,1.6778,41.92,2.297,2100.0,1.97
batch-4-learning-12-regular-1,3838.0,1.0126,0.15958,0.228,2680.0,0.3192,7.966,0.8482,5.5296,0.0019932,0.6598,2.2844,0.0008858,1.693,42.38,2.3566,2100.0,1.938
batch-1-learning-12-regular-100,2527.5,1.01325,0.139875,0.1505,2347.5,0.2795,6.985,0.966,3.792,0.001783,0.572,2.182,0.001000875,1.93,48.25,1.958,2100.0,1.89
batch-2-learning-1-regular-67,3450.0,0.9796,0.15298,0.2052,2572.0,0.3062,7.65,0.8858,4.4428,0.0016666,0.6126,1.8928,0.00073492,1.7686,44.26,2.0946,2100.0,1.852
batch-4-learning-45-regular-1,3960.0,1.0294,0.16092,0.2354,2704.0,0.3214,8.044,0.8526,5.4562,0.0020106,0.6134,2.3084,0.00092914,1.7042,42.58,2.3796,2100.0,1.952
batch-3-learning-23-regular-100,3484.0,0.9896,0.15236,0.2076,2562.0,0.305,7.628,0.8782,5.0564,0.0018766,0.6216,1.9972,0.00077522,1.7566,43.9,2.194,2100.0,1.91
batch-3-learning-12-regular-100,3956.0,1.0294,0.16422,0.2352,2760.0,0.3286,8.206,0.8604,5.8018,0.002157,0.6292,2.2644,0.00094974,1.722,43.06,2.2974,2100.0,1.966
batch-4-learning-45-regular-100,3952.0,1.0206,0.16158,0.2352,2714.0,0.323,8.08,0.8592,5.3168,0.0019114,0.6232,2.1928,0.00086218,1.7216,43.0,2.3846,2100.0,1.964
