Configuration,stresser,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
layer-4-particle-4000,swaptions:num-300000,2290.0,1.0625,0.3535,0.13375,6047.5,0.707,17.675,2.6425,0.0619625,1.030125e-05,0.905,0.0057775,9.73375e-07,5.285,132.375,0.00339875,2137.5,0.000500375,1.0163840533
layer-4-particle-4000,stress:cpu_4_io_0_vm_0_vmbytes_256K,8805.0,1.04875,1.25625,0.521875,21200.0,2.515,62.85,2.40875,0.035975,1.7025e-06,0.90575,0.0029815,1.43025e-07,4.81625,120.625,0.002002,2107.5,0.00022175,1.03210963287
layer-4-particle-4000,stress:cpu_0_io_3_vm_1_vmbytes_256K,3467.5,1.045,0.185125,0.205875,3117.5,0.369875,9.25125,0.902375,16.2625,0.005215,0.99975,0.00492875,1.68525e-06,1.805,45.1375,0.00525625,2106.25,0.00155375,1.05837129
layer-4-particle-4000,stress:cpu_0_io_0_vm_3_vmbytes_128K,6720.0,1.04875,0.612125,0.391875,10475.0,1.225,30.5875,1.5625,0.267875,2.55125e-05,0.989375,0.002899125,2.774625e-07,3.12125,78.1,0.00200525,2145.0,0.0002248375,1.03791295338
layer-4-particle-4000,stress:cpu_4_io_3_vm_1_vmbytes_128K,12675.0,1.04875,1.2025,0.75175,20287.5,2.40375,60.125,1.6025,7.52625,0.000370875,0.998125,0.004061875,2.02925e-07,3.2,80.025,0.00500625,2107.5,0.001575,1.31310898568
layer-4-particle-4000,facedetect:eyes-1-pyramid-5-selectivity-0,2371.25,1.065,0.18775,0.138375,3217.5,0.375375,9.38625,1.3575,0.75575,0.00023525,0.915875,0.07175,2.23625e-05,2.7125,67.825,0.0753,2142.5,0.03865,1.02097288438
layer-4-particle-4000,stress:cpu_3_io_1_vm_0_vmbytes_1M,7008.75,1.0475,0.949375,0.415125,16037.5,1.9,47.4625,2.2875,2.20625,0.0001373,0.996875,0.003876375,2.427375e-07,4.5775,114.5,0.00486375,2110.0,0.00142375,1.02640926839
layer-4-particle-4000,facedetect:eyes-0-pyramid-5-selectivity-1,2283.75,1.06625,0.181875,0.135375,3068.75,0.36375,9.09,1.345,0.52425,0.0001715,0.933875,0.0378,1.237625e-05,2.6875,67.15,0.03055,2107.5,0.01486375,1.02568303161
layer-4-particle-4000,stress:cpu_1_io_0_vm_0_vmbytes_512K,2255.0,1.06875,0.323625,0.134,5456.25,0.64725,16.175,2.41875,0.034,6.22625e-06,0.877625,0.004218375,7.72375e-07,4.83625,120.875,0.002434875,2106.25,0.00026475,1.01814240689
layer-4-particle-4000,ferret:eyes-2-pyramid-11-selectivity-1,2313.75,1.07,0.18175,0.134625,3126.25,0.363625,9.0925,1.35125,0.488375,0.000156875,0.96,0.022705,7.3175e-06,2.70125,67.525,0.019325,2148.75,0.00998,1.01991287881
layer-4-particle-4000,stress:cpu_3_io_0_vm_2_vmbytes_256K,11350.0,1.04875,1.10875,0.652125,19300.0,2.21625,55.3875,1.70125,36.5,0.00189125,1.0,0.003878875,2.04575e-07,3.39875,85.0,0.002574,2176.25,0.0003346125,1.33542315378
layer-4-particle-4000,swaptions:num-100000,2291.25,1.06875,0.3545,0.135875,5976.25,0.709,17.7,2.60875,0.1495125,2.48125e-05,0.914125,0.0180675,2.9715e-06,5.21875,130.5,0.010185,2106.25,0.00314125,1.02338951249
layer-4-particle-966,stress:cpu_3_io_0_vm_2_vmbytes_256K,11037.5,1.04875,1.03125,0.651875,17450.0,2.0625,51.5625,1.58375,13.525,0.00077075,0.999875,0.003340125,1.867375e-07,3.16625,79.1625,0.0021215,2113.75,0.0002879375,1.26694949978
layer-4-particle-966,facedetect:eyes-0-pyramid-5-selectivity-1,2273.75,1.06625,0.180875,0.1345,3051.25,0.36175,9.04375,1.34125,0.521375,0.0001715,0.95125,0.0281125,9.25e-06,2.68625,67.1625,0.026925,2107.5,0.0137175,1.02196558781
layer-4-particle-966,facedetect:eyes-0-pyramid-11-selectivity-1,2306.25,1.06875,0.18125,0.134625,3098.75,0.36225,9.05875,1.34375,0.502,0.0001625,0.95675,0.0242875,7.90875e-06,2.69125,67.225,0.0207875,2138.75,0.0101625,1.01739286028
layer-4-particle-966,stress:cpu_4_io_3_vm_1_vmbytes_128K,12562.5,1.04875,1.20125,0.74725,20212.5,2.4075,60.15,1.61125,7.1625,0.00035425,0.9975,0.00560375,2.795e-07,3.21875,80.5,0.00507625,2100.0,0.00158125,1.28158997809
layer-4-particle-966,stress:cpu_0_io_0_vm_3_vmbytes_128K,6708.75,1.04875,0.632125,0.3925,10800.0,1.265,31.6125,1.6125,1.2275,0.000113625,0.99725,0.003376,3.15675e-07,3.22375,80.5625,0.002324,2137.5,0.000281,1.03618774557
layer-4-particle-966,stress:cpu_0_io_2_vm_1_vmbytes_256K,2831.25,1.0435,0.172375,0.1685,2898.75,0.345,8.62125,1.02375,12.9625,0.0044725,0.999625,0.00500125,1.7495e-06,2.0475,51.1875,0.00478125,2100.0,0.00149875,1.01789598842
