Configuration,stresser,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
eyes-0-pyramid-18-selectivity-1,stress:cpu_1_io_0_vm_0_vmbytes_512K,2242.5,1.0675,0.32425,0.133625,5450.0,0.6485,16.2125,2.4325,0.0258375,4.75125e-06,0.90325,0.002415625,4.482375e-07,4.86,121.5,0.0015485,2100.0,0.00012665,1.01993312925
eyes-0-pyramid-18-selectivity-1,stress:cpu_1_io_0_vm_0_vmbytes_128K,2256.66666667,1.07,0.325444444444,0.133777777778,5488.88888889,0.650888888889,16.2777777778,2.43333333333,0.0274777777778,4.99333333333e-06,0.917555555556,0.00252611111111,4.55444444444e-07,4.86777777778,121.555555556,0.00152722222222,2106.66666667,0.000159844444444,1.02115984188
eyes-0-pyramid-18-selectivity-1,ferret:eyes-1-pyramid-9-selectivity-0,2291.11111111,1.06666666667,0.182,0.134666666667,3098.88888889,0.364,9.09666666667,1.35222222222,0.51,0.000165111111111,0.951444444444,0.0272444444444,8.86333333333e-06,2.70222222222,67.6,0.0312,2127.77777778,0.0199444444444,1.02265131856
eyes-0-pyramid-18-selectivity-1,swaptions:num-900000,2305.55555556,1.06888888889,0.352444444444,0.134,6066.66666667,0.704555555556,17.6111111111,2.63,0.0931555555556,1.54544444444e-05,0.957333333333,0.00376688888889,6.29688888889e-07,5.26,131.555555556,0.00227611111111,2153.33333333,0.000297944444444,1.02090076071
eyes-0-pyramid-18-selectivity-1,ferret:eyes-1-pyramid-7-selectivity-2,2293.33333333,1.06333333333,0.182111111111,0.133666666667,3117.77777778,0.364111111111,9.10555555556,1.35888888889,0.407222222222,0.000132088888889,0.953111111111,0.0229677777778,7.44888888889e-06,2.72,68.0111111111,0.0167277777778,2138.88888889,0.00864111111111,1.0204203953
eyes-0-pyramid-18-selectivity-1,stress:cpu_1_io_0_vm_0_vmbytes_512K,2262.22222222,1.06888888889,0.321444444444,0.134222222222,5421.11111111,0.642888888889,16.0666666667,2.39666666667,0.0567111111111,1.04077777778e-05,0.869777777778,0.009273,1.69476666667e-06,4.79111111111,119.888888889,0.00526077777778,2106.66666667,0.000943744444444,1.01945913097
eyes-0-pyramid-18-selectivity-1,stress:cpu_1_io_2_vm_0_vmbytes_512K,2551.11111111,1.05222222222,0.322444444444,0.151555555556,5432.22222222,0.645,16.1333333333,2.13555555556,1.99988888889,0.000367733333333,0.984222222222,0.00579888888889,1.069e-06,4.27111111111,106.666666667,0.00544222222222,2105.55555556,0.00137044444444,1.05356132925
eyes-0-pyramid-18-selectivity-1,swaptions:num-700000,2297.77777778,1.06888888889,0.353444444444,0.134111111111,6065.55555556,0.707,17.6666666667,2.63888888889,0.0431444444444,7.13666666667e-06,0.899777777778,0.00490922222222,8.14766666667e-07,5.27333333333,131.777777778,0.00307466666667,2144.44444444,0.000427333333333,1.02014695617
eyes-0-pyramid-18-selectivity-1,ferret:eyes-0-pyramid-16-selectivity-2,2256.66666667,1.06555555556,0.180444444444,0.133777777778,3044.44444444,0.361111111111,9.02777777778,1.34888888889,0.406111111111,0.000134066666667,0.972555555556,0.01563,5.20855555556e-06,2.70111111111,67.4555555556,0.0103922222222,2106.66666667,0.005605,1.02183827293
eyes-0-pyramid-18-selectivity-1,stress:cpu_0_io_1_vm_2_vmbytes_1M,4836.66666667,1.04888888889,0.241111111111,0.287888888889,4054.44444444,0.482777777778,12.0666666667,0.838555555556,202.777777778,0.0500888888889,1.0,0.00956222222222,2.38855555556e-06,1.67777777778,41.9222222222,0.00769555555556,2100.0,0.001883,1.05058658707
eyes-0-pyramid-18-selectivity-1,swaptions:num-900000,2255.55555556,1.06888888889,0.355,0.133888888889,5983.33333333,0.709666666667,17.7333333333,2.65222222222,0.0356222222222,5.96e-06,0.926333333333,0.00321522222222,5.38577777778e-07,5.30222222222,132.888888889,0.00206088888889,2106.66666667,0.000273866666667,1.02271436369
eyes-0-pyramid-18-selectivity-1,stress:cpu_0_io_0_vm_1_vmbytes_128K,2285.55555556,1.06222222222,0.197777777778,0.134111111111,3372.22222222,0.395555555556,9.89222222222,1.47666666667,0.464222222222,0.000137111111111,0.982333333333,0.00833,2.45155555556e-06,2.95111111111,73.7666666667,0.00499666666667,2130.0,0.000677777777778,1.02067612473
eyes-0-pyramid-18-selectivity-1,ferret:eyes-1-pyramid-25-selectivity-0,2258.88888889,1.06333333333,0.180333333333,0.134,3041.11111111,0.360666666667,9.01333333333,1.34555555556,0.478222222222,0.000158111111111,0.957666666667,0.0227188888889,7.54111111111e-06,2.69222222222,67.3111111111,0.0223555555556,2106.66666667,0.0131955555556,1.0217559756
eyes-0-pyramid-18-selectivity-1,ferret:eyes-2-pyramid-7-selectivity-2,2301.11111111,1.06666666667,0.182,0.133777777778,3125.55555556,0.364222222222,9.1,1.35777777778,0.408222222222,0.000131966666667,0.965777777778,0.0173411111111,5.67222222222e-06,2.71888888889,67.9444444444,0.0151111111111,2146.66666667,0.00831,1.01973523758
eyes-0-pyramid-18-selectivity-1,stress:cpu_0_io_0_vm_1_vmbytes_128K,2266.66666667,1.06888888889,0.201,0.133777777778,3407.77777778,0.401777777778,10.0566666667,1.50444444444,0.0296333333333,8.70111111111e-06,0.898777777778,0.00302777777778,8.89155555556e-07,3.00222222222,75.1111111111,0.00186311111111,2118.88888889,0.000197988888889,1.02034611198
eyes-0-pyramid-18-selectivity-1,stress:cpu_2_io_2_vm_1_vmbytes_1M,7176.66666667,1.04888888889,0.754555555556,0.427111111111,12688.8888889,1.51,37.7111111111,1.76666666667,100.233333333,0.00791555555556,1.0,0.00856777777778,6.78111111111e-07,3.53555555556,88.3888888889,0.00765111111111,2100.0,0.00250666666667,1.02956703105
eyes-0-pyramid-18-selectivity-0,ferret:eyes-1-pyramid-25-selectivity-0,2266.66666667,1.06666666667,0.180444444444,0.134444444444,3041.11111111,0.361,9.02666666667,1.34111111111,0.465888888889,0.000153222222222,0.965222222222,0.0188911111111,6.17333333333e-06,2.68333333333,67.1,0.0185944444444,2105.55555556,0.0116966666667,1.02499777367
eyes-0-pyramid-18-selectivity-0,stress:cpu_0_io_0_vm_1_vmbytes_128K,2304.44444444,1.06777777778,0.220888888889,0.133888888889,3804.44444444,0.441444444444,11.0333333333,1.64777777778,2.64111111111,0.000694555555556,0.998,0.00497666666667,1.32211111111e-06,3.3,82.4444444444,0.00318666666667,2153.33333333,0.000418,1.02175017324
