Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-2-learning-34-regular-78,4570.0,1.048,0.20204,0.2714,3396.0,0.4038,10.084,0.7682,6.378,0.00195,0.7434,1.8066,0.0005642,1.534,38.36,2.338,2100.0,1.772,1.01688965414
batch-2-learning-34-regular-78,4124.0,1.0346,0.1846,0.2452,3106.0,0.3694,9.236,0.748,6.972,0.00246,0.7924,1.747,0.0006128,1.494,37.4,2.246,2100.0,1.704,1.05553473067
batch-2-learning-34-regular-78,8256.66666667,1.05,0.320666666667,0.490166666667,5406.66666667,0.640333333333,16.0183333333,0.721333333333,7.975,0.00167733333333,0.577,3.35566666667,0.000796166666667,1.445,36.1,4.02666666667,2108.33333333,3.01166666667,1.23685247722
batch-2-learning-34-regular-78,8125.0,1.05,0.319666666667,0.481666666667,5383.33333333,0.639166666667,15.985,0.732,9.58,0.00189133333333,0.572333333333,3.98416666667,0.0009075,1.465,36.5833333333,4.32,2105.0,3.10833333333,1.25142961083
batch-2-learning-34-regular-78,17600.0,1.05,1.06628571429,1.04,18000.0,2.13285714286,53.3,1.02528571429,72.5142857143,0.00402571428571,0.985714285714,1.02985714286,5.58714285714e-05,2.05,51.2142857143,1.761,2110.0,1.26085714286,1.47355030867
batch-2-learning-34-regular-78,6160.0,1.05,0.3474,0.3648,5862.0,0.6954,17.36,0.9888,5.19,0.000818,0.6752,1.878,0.00031314,1.976,49.4,2.452,2112.0,1.828,1.03976758545
batch-2-learning-34-regular-78,8401.66666667,1.05,0.316,0.5,5320.0,0.632333333333,15.79,0.748166666667,10.1383333333,0.00169683333333,0.561833333333,4.42333333333,0.000756,1.4945,37.4,4.44333333333,2103.33333333,3.14666666667,1.26988217815
batch-2-learning-34-regular-78,6096.0,1.05,0.5036,0.3602,8536.0,1.0058,25.16,1.508,4.429,0.0004854,0.635,1.7772,0.0002015,3.014,75.38,2.318,2120.0,1.758,1.03501948245
batch-2-learning-34-regular-78,4354.0,1.0282,0.1943,0.259,3268.0,0.3886,9.704,0.7562,6.218,0.00201,0.7626,1.5172,0.0004834,1.508,37.74,2.286,2100.0,1.738,1.03357556158
batch-5-learning-34-regular-23,10156.6666667,1.05,0.787333333333,0.598,13350.0,1.57333333333,39.3666666667,1.41916666667,10.52,0.0007705,0.791833333333,1.80633333333,0.00013165,2.83833333333,70.95,2.14916666667,2118.33333333,1.665,1.14604401033
batch-5-learning-34-regular-23,8745.0,1.05,0.329,0.508333333333,5653.33333333,0.658333333333,16.4666666667,0.731666666667,8.90166666667,0.0017055,0.576833333333,3.70866666667,0.000798,1.46333333333,36.5833333333,3.91666666667,2140.0,3.04166666667,1.16382494423
batch-5-learning-34-regular-23,4420.0,1.0296,0.2022,0.263,3398.0,0.404,10.094,0.7672,7.936,0.002552,0.7666,1.964,0.0005788,1.534,38.36,2.1162,2100.0,1.762,1.03029018363
batch-5-learning-34-regular-23,8366.66666667,1.05,0.524333333333,0.485666666667,8960.0,1.0485,26.2166666667,1.25316666667,6.24,0.000637833333333,0.665166666667,2.02933333333,0.000222633333333,2.505,62.6333333333,2.59333333333,2126.66666667,1.82333333333,1.11132798371
batch-5-learning-34-regular-23,8073.33333333,1.05,0.397,0.468166666667,6805.0,0.7935,19.8333333333,0.939333333333,5.835,0.000794,0.6795,1.974,0.000290933333333,1.88,46.95,2.38483333333,2128.33333333,1.74666666667,1.07948232008
batch-5-learning-34-regular-23,10360.0,1.05,0.598333333333,0.606166666667,10191.6666667,1.19683333333,29.9333333333,1.01283333333,13.1433333333,0.00127316666667,0.846666666667,1.84916666667,0.0001795,2.02833333333,50.7,2.27283333333,2126.66666667,1.70166666667,1.07943281418
batch-5-learning-34-regular-23,17625.0,1.05,1.101,1.0425,18662.5,2.205,55.125,1.059625,104.3375,0.00554875,0.988125,1.1755,6.40375e-05,2.11875,52.95,1.67125,2116.25,1.269875,1.46749065566
batch-5-learning-34-regular-23,6441.66666667,1.03933333333,0.262466666667,0.384,4410.0,0.524166666667,13.1266666667,0.746833333333,8.15333333333,0.001925,0.741166666667,2.20916666667,0.000556,1.49333333333,37.3166666667,2.27683333333,2100.0,1.71666666667,1.04830176442
batch-5-learning-34-regular-23,6346.0,1.05,0.349,0.3698,5978.0,0.6986,17.46,0.9948,5.35,0.0008102,0.6612,1.9962,0.00031652,1.988,49.7,2.303,2130.0,1.834,1.05813753291
batch-5-learning-34-regular-23,6044.0,1.05,0.3448,0.3568,5832.0,0.6902,17.26,1.002,5.108,0.0007944,0.655,2.0038,0.00032504,2.004,50.08,2.2208,2110.0,1.796,1.05148686092
batch-5-learning-34-regular-23,9247.14285714,1.05,0.359,0.549285714286,6045.71428571,0.717142857143,17.9514285714,0.745142857143,11.1328571429,0.00165057142857,0.571428571429,4.35528571429,0.000714714285714,1.48714285714,37.2571428571,4.34142857143,2102.85714286,3.04285714286,1.30975885085
batch-5-learning-34-regular-23,4666.0,1.048,0.21106,0.278,3550.0,0.4222,10.55,0.783,8.092,0.002396,0.777,2.0574,0.000587,1.57,39.2,2.2038,2100.0,1.806,1.01876648446
batch-5-learning-34-regular-23,7948.33333333,1.05,0.538166666667,0.467166666667,9120.0,1.07733333333,26.9166666667,1.37533333333,5.42333333333,0.00055,0.650833333333,1.895,0.000202166666667,2.74666666667,68.7333333333,2.2225,2116.66666667,1.7,1.06438432818
batch-5-learning-34-regular-23,11701.6666667,1.05,1.05616666667,0.6865,17933.3333333,2.11166666667,52.8,1.62316666667,7.36,0.00041,0.806,1.65983333333,8.99166666667e-05,3.24833333333,81.2166666667,2.02983333333,2125.0,1.59666666667,1.21498410388
batch-5-learning-34-regular-23,13216.6666667,1.05,0.526833333333,0.763333333333,9123.33333333,1.05333333333,26.3,0.6905,261.0,0.0300166666667,0.991833333333,2.1845,0.000224066666667,1.38,34.55,2.1545,2158.33333333,1.675,1.16146497311
batch-5-learning-34-regular-23,8776.66666667,1.05,0.333166666667,0.517333333333,5648.33333333,0.667333333333,16.6833333333,0.729,10.0616666667,0.0018635,0.575333333333,4.10533333333,0.000873,1.45833333333,36.4333333333,4.185,2125.0,3.15833333333,1.23639968365
batch-3-learning-78-regular-34,8585.0,1.05,0.333166666667,0.5105,5616.66666667,0.666166666667,16.65,0.7375,8.98166666667,0.00176733333333,0.5855,3.818,0.000853166666667,1.47333333333,36.8666666667,3.95333333333,2108.33333333,3.09833333333,1.21099389157
batch-3-learning-78-regular-34,12983.3333333,1.05,0.507333333333,0.763,8638.33333333,1.01566666667,25.4,0.671,252.5,0.0303666666667,0.993166666667,1.7555,0.000196666666667,1.34,33.5666666667,1.8705,2125.0,1.56666666667,1.21187815172
batch-3-learning-78-regular-34,11740.0,1.05,1.05,0.690166666667,17850.0,2.10333333333,52.55,1.60633333333,6.37666666667,0.000353666666667,0.772333333333,1.62383333333,8.77166666667e-05,3.21166666667,80.3666666667,1.96016666667,2118.33333333,1.59816666667,1.17168234426
batch-3-learning-78-regular-34,3800.0,1.0388,0.17286,0.2262,2908.0,0.346,8.646,0.7364,7.298,0.002686,0.8006,1.6952,0.0006124,1.472,36.8,1.9028,2100.0,1.668,1.06213902092
batch-3-learning-78-regular-34,9044.0,1.05,0.7874,0.5332,13380.0,1.576,39.36,1.506,10.114,0.0007464,0.807,1.6136,0.000117,3.018,75.38,1.9288,2124.0,1.678,1.10941045656
batch-3-learning-78-regular-34,6242.0,1.05,0.501,0.365,8536.0,1.0026,25.04,1.4988,4.271,0.0004584,0.6158,1.6346,0.00018264,3.0,74.86,2.104,2128.0,1.8,1.03109400401
batch-3-learning-78-regular-34,6160.0,1.05,0.3472,0.3648,5856.0,0.6938,17.34,0.9992,5.134,0.0007886,0.6616,1.9568,0.000317,1.998,49.92,2.2346,2106.0,1.836,1.03987936797
batch-3-learning-78-regular-34,17650.0,1.05,1.132875,1.0425,19162.5,2.26625,56.625,1.08775,80.125,0.00414,0.987125,1.003375,5.24125e-05,2.17375,54.3125,1.44525,2113.75,1.179375,1.52086841927
batch-3-learning-78-regular-34,4520.0,1.046,0.20286,0.2688,3410.0,0.406,10.142,0.777,6.384,0.00194,0.7776,1.6536,0.0004848,1.556,38.86,2.115,2100.0,1.776,1.0224774307
batch-3-learning-78-regular-34,6262.0,1.05,0.5014,0.3658,8542.0,1.0032,25.06,1.4968,5.1488,0.0005466,0.6342,1.887,0.00021006,2.998,74.98,2.1304,2128.0,1.81,1.03376655119
batch-3-learning-78-regular-34,8440.0,1.05,0.3255,0.502,5495.0,0.651833333333,16.3,0.726166666667,9.71333333333,0.0019205,0.591166666667,3.84983333333,0.0008625,1.45,36.2666666667,3.98833333333,2105.0,3.035,1.20464069422
batch-3-learning-78-regular-34,2029.96666667,1.04833333333,0.0625205,0.120444833333,1051.68166667,0.1249575,3.11685166667,0.344,2.39498333333,0.00733666666667,0.6625,0.616183333333,0.0026438,0.687833333333,17.1833333333,4.12833333333,2105.0,3.19333333333,1.25853312336
batch-3-learning-78-regular-34,6074.0,1.05,0.3446,0.3588,5818.0,0.6896,17.24,0.9976,4.548,0.000702,0.6718,1.4952,0.00024622,1.996,49.86,2.2222,2110.0,1.826,1.03452430431
batch-3-learning-78-regular-34,6070.0,1.05,0.3408,0.3594,5756.0,0.6814,17.06,0.9958,4.722,0.0007494,0.6636,1.8192,0.00029816,1.992,49.78,2.1436,2110.0,1.782,1.08761764209
batch-3-learning-78-regular-34,4418.0,1.026,0.20012,0.2626,3360.0,0.4,9.984,0.7672,7.098,0.002178,0.7518,1.8926,0.0005562,1.536,38.38,2.1014,2100.0,1.782,1.02090580416
batch-3-learning-78-regular-34,8568.0,1.05,0.56,0.5076,9446.0,1.1194,28.02,1.11,12.466,0.001301,0.8714,1.7622,0.00017936,2.218,55.48,2.0134,2110.0,1.72,1.06542425064
batch-3-learning-89-regular-45,17571.4285714,1.05,1.07371428571,1.03714285714,18142.8571429,2.14285714286,53.6142857143,1.03114285714,61.9,0.00341428571429,0.978714285714,1.30728571429,7.19285714286e-05,2.06571428571,51.6142857143,1.62557142857,2127.14285714,1.32228571429,1.44088946899
batch-3-learning-89-regular-45,6152.0,1.05,0.5034,0.3622,8538.0,1.007,25.18,1.508,4.7482,0.0005098,0.6198,1.9002,0.00021192,3.014,75.28,2.1188,2114.0,1.8,1.05771237031
batch-3-learning-89-regular-45,5956.0,1.05,0.4996,0.3534,8428.0,0.9994,24.98,1.51,4.8134,0.0005248,0.6262,1.8658,0.000212,3.022,75.58,2.09,2110.0,1.782,1.03900271344
batch-3-learning-89-regular-45,4446.0,1.0372,0.20002,0.2648,3360.0,0.3998,10.006,0.7616,6.822,0.002162,0.7502,1.878,0.0005628,1.522,38.1,2.0964,2100.0,1.77,1.03222033628
batch-3-learning-89-regular-45,12512.5,1.05,0.531625,0.73375,9057.5,1.06475,26.575,0.73025,356.5,0.0403875,0.9935,2.35475,0.0002610125,1.46,36.525,1.355125,2125.0,1.16125,1.58012845082
batch-3-learning-89-regular-45,6102.0,1.05,0.349,0.3612,5886.0,0.6986,17.46,1.0032,4.924,0.0007618,0.6532,1.9358,0.00031386,2.01,50.18,2.251,2114.0,1.848,1.05084745323
batch-3-learning-89-regular-45,7990.0,1.05,0.316833333333,0.4645,5415.0,0.634,15.8416666667,0.7695,9.17166666667,0.00148483333333,0.539333333333,3.88116666667,0.000680333333333,1.53833333333,38.4666666667,4.10833333333,2125.0,3.17166666667,1.35099353333
