Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-4-learning-67-regular-67,4048.0,1.0094,0.1858,0.2412,3126.0,0.3716,9.3,0.798,4.94,0.0015386,0.6346,2.047,0.0006582,1.598,39.88,2.2,2100.0,1.822
batch-4-learning-67-regular-45,4194.0,1.0282,0.18852,0.2498,3170.0,0.3772,9.418,0.791,5.3676,0.0014816,0.603,2.1808,0.0006708,1.58,39.52,2.246,2100.0,1.838
batch-3-learning-67-regular-45,4300.0,1.038,0.19148,0.2558,3218.0,0.3828,9.582,0.7882,5.207,0.001439,0.6226,1.983,0.0006314,1.576,39.4,2.1892,2100.0,1.83
batch-5-learning-56-regular-34,4254.0,1.0322,0.19494,0.2524,3278.0,0.3896,9.734,0.7986,5.0684,0.0014462,0.6108,2.0764,0.0006468,1.594,39.88,2.2504,2100.0,1.83
batch-2-learning-23-regular-34,4088.0,1.0118,0.18572,0.243,3122.0,0.3714,9.278,0.785,4.8258,0.001432,0.6392,1.78,0.0006022,1.57,39.24,2.0686,2100.0,1.764
batch-1-learning-23-regular-56,4058.0,1.0282,0.17884,0.242,3008.0,0.3576,8.942,0.781,3.9948,0.0013054,0.6386,1.5832,0.0005758,1.564,39.08,1.8574,2100.0,1.644
batch-2-learning-1-regular-78,4388.0,1.054,0.19182,0.2608,3224.0,0.384,9.598,0.7824,5.2712,0.0015208,0.6582,1.755,0.0005936,1.562,39.1,2.0606,2100.0,1.77
batch-5-learning-56-regular-45,4082.0,1.0204,0.18512,0.2434,3110.0,0.37,9.254,0.7878,5.099,0.0014816,0.6282,1.9162,0.000623,1.578,39.42,2.135,2100.0,1.78
batch-3-learning-89-regular-34,3960.0,1.0098,0.18096,0.2358,3042.0,0.362,9.046,0.7878,4.752,0.0014866,0.6192,1.948,0.0006656,1.574,39.4,2.1118,2100.0,1.796
batch-3-learning-78-regular-12,4278.0,1.0372,0.19092,0.255,3208.0,0.3816,9.538,0.7868,5.2488,0.0014574,0.6256,1.9768,0.0006312,1.574,39.32,2.1834,2100.0,1.836
batch-4-learning-45-regular-34,4666.66666667,0.969833333333,0.198816666667,0.27735,3346.66666667,0.398166666667,9.93166666667,0.835833333333,5.57,0.00196516666667,0.586833333333,2.0515,0.00086,1.67333333333,41.8166666667,2.13016666667,2100.0,1.65933333333
batch-4-learning-100-regular-89,4228.0,1.0294,0.18962,0.252,3188.0,0.3792,9.474,0.7928,5.346,0.0014834,0.6096,2.1654,0.0006628,1.582,39.62,2.2574,2100.0,1.842
batch-2-learning-12-regular-78,4148.0,1.0276,0.18578,0.2466,3128.0,0.3714,9.296,0.7804,3.902,0.001188,0.6342,1.3926,0.000492,1.56,39.04,2.0614,2102.0,1.768
batch-3-learning-89-regular-1,4174.0,1.0276,0.18744,0.2484,3154.0,0.375,9.388,0.7904,5.1346,0.001455,0.6202,1.9652,0.0006386,1.58,39.5,2.1712,2100.0,1.82
batch-5-learning-45-regular-34,4452.0,1.062,0.20084,0.2656,3376.0,0.4016,10.038,0.793,5.6188,0.0014682,0.6214,2.1654,0.000643,1.588,39.68,2.305,2100.0,1.854
