,EXEC,FREQ,L3MISS,INSTnom%,PhysIPC%,L3HIT,L2MISS,IPC,INST,L2MPI,L3MPI,MEM,GT,Pred
26,0.8228522611992098,0.5686608517188303,0.7519018404907973,0.8229279231179929,0.9391541547277938,0.844887950326221,0.09088053418493251,0.9384985673352436,0.6732869952958579,0.10601089045483668,0.46060149760628527,0.4376280757145677,1.0578063849917596,1.0379081908687076
35,0.9868247103422503,0.9934325295023092,0.5119836400817995,0.9868916177255745,0.6449467048710601,0.9963400258454945,0.8158397445202498,0.6449467048710601,0.9806615000580516,0.8093081358103782,0.2654724006710587,0.23791344738080422,1.161438799416598,1.0969469582615432
59,1.0,0.9885838891739356,0.5265118317265555,1.0,0.657433483422022,0.9968255969453688,0.869102917694876,0.6574559967253378,0.9636391365881388,0.8504678777340537,0.2709325843353423,0.2415074281203852,1.2264611406501644,1.09880549356433
28,0.7018230788853886,0.650419018299983,0.9131258047413462,0.7017302406517573,0.7677470020163433,0.7855162503254036,0.07787777616490058,0.7674901835933358,0.9028987878346553,0.11050608584240876,0.6737409695795883,0.9601286421289761,1.1127726458097316,1.0914610621721392
11,0.9730008720878498,0.9869676757311442,0.4516700749829582,0.9729987542267311,0.6410047755491882,0.9975772475599122,0.8016257802293512,0.6409837631327602,0.9875724181456664,0.8053010890454837,0.2370487063027675,0.21002519771095493,1.0993247185190682,1.0962220973253713
2,0.8016979016498479,0.5667008722421755,0.736451942740286,0.8016550987720239,0.9187153772683856,0.8401256553303708,0.08720423864131224,0.9187679083094559,0.6885905329506197,0.10450032030749522,0.4637243067774187,0.43277732661394386,1.0428515319953913,1.0386946053172679
34,0.6936213003007814,0.6400718317085689,0.9778459441036123,0.6935219789998225,0.749880611270296,0.7960412267154161,0.08648570184351868,0.749906876790831,0.8993842230201989,0.12431934657270986,0.7357093170751668,0.9937726741450232,1.1208484999501451,1.0946194573827235
58,0.7124608895296066,0.6365110312981016,1.0,0.7127816337426592,0.7839312320916907,0.791028461562707,0.08680447089563072,0.7837547277936963,0.870345051414193,0.12034977578475346,0.7219918981955074,1.0,1.10765795897107,1.0927022498410874
40,0.6912110794859476,0.6404467774401074,0.9310209218184674,0.6908866893917618,0.7602777165527881,0.7856254439921347,0.07770749355159288,0.7603746969363016,0.9022195413602587,0.11071490169023805,0.6986500140066162,0.9721202157335069,0.9993822057639672,1.0925360431834745
22,0.6947425561072846,0.6411621344279121,0.9870483980913427,0.6947677522690874,0.751561604584527,0.7975961588972591,0.08802075772971403,0.7520869149952245,0.8990343573455063,0.1264273702754645,0.7418402280507934,0.997567510132212,0.7597598904242393,1.0948838385394466
4,0.6912685797837168,0.653471208114615,0.9560327198364004,0.6910016838473862,0.745876129601058,0.7905908823108684,0.08270308295275634,0.7457549041216665,0.9235763867970627,0.11705144631153601,0.7106075723858778,0.999939282624205,1.1166186986879625,1.0960343893935511
10,0.6820723654937974,0.6361723961005645,0.9312883435582816,0.6823847659725932,0.7433772683858645,0.7756842226915039,0.07487153433009146,0.7439025787965616,0.91021667226691,0.10673446508648304,0.6962341612450047,0.9907431300819178,1.1322349935145264,1.094712678406418
30,0.7585805192724944,0.5154391529455667,0.5697155605131066,0.7583361646362183,0.955759312320917,0.869600598285945,0.08032766333680837,0.956160458452722,0.6622745337433851,0.10399583600256251,0.3840359485025798,0.33538587962228267,1.0344540515305696,1.0302307349097894
41,0.983107747343692,0.987044638276039,0.40382157464212665,0.9829151094500805,0.6469591690544412,1.0,0.904499020177094,0.6472152578796562,0.9780081069044843,0.896855981742473,0.20929150128892351,0.1938805423579593,1.1840302087693877,1.1021276517616456
33,0.7206616865434743,0.5334204020709922,0.5229596579289829,0.7206911614813379,0.8777650429799427,0.917967776227303,0.11504902413597434,0.8782234957020056,0.721213970695502,0.15716324034709692,0.3695267251672997,0.28574252520806054,1.0412873806993883,1.0328220920225368
43,0.6923487639489563,0.5298321483544675,0.3845895413380075,0.6925787506673788,0.849291854277528,0.9398754553354738,0.11277761649005662,0.8489766680311095,0.7458486816394068,0.15968472590830063,0.284451666832288,0.2209068899042184,1.0033024271027748,1.032196146022809
49,0.7235283764730079,0.5444387435151931,0.39809134287661885,0.7233236439856838,0.8635169266687894,0.9502176554844632,0.13724778632602702,0.8636103151862468,0.7332314823589808,0.18565022421524668,0.27942890310417634,0.23026221473374586,1.1911962629708557,1.0330228874437244
7,0.7006246996636236,0.5375284028439493,0.4030820917323984,0.700480512546717,0.8467703643061811,0.9321668340169933,0.10765454243825562,0.8467253376995499,0.7477474224974564,0.15080477258167851,0.29305471933034444,0.22958080073207815,1.0394870325135808,1.0325523471068134
