rate 31 0.7456752 25.8471078 0.9812477735288504 25.8471078 
rate 19 0.9874917 46.1466672 0.9504066819590242 46.1466672 
rate 12 0.9956517 51.3758204 0.893333543246972 51.3758204 
rate 16 0.9919625 48.338854 0.93256309567503 48.338854 
rate 8 0.997758 54.4045324 0.8591344335941802 54.4045324 
rate 4 0.9990492 58.3741464 0.8184694930443839 58.3741464 
rate 1 0.9995149 61.0672714 0.796530441569008 61.0672714 
rate 35 0.5821333 23.6290451 0.9916905513319555 23.6290451 
rate 23 0.9772048 43.3713072 0.9549762202915305 43.3713072 
rate 27 0.9574649 40.4232839 0.9734519040970241 40.4232839 
