,AFREQ,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MPI,L3HIT,MEM,PhysIPC%
0,-0.2473005918223049,-0.09170044512740572,-0.05542781400382129,0.04524933239748124,-0.09020869384827974,-0.03899097614507131,0.16320057338299646,-0.9060096245822328,-0.17770477592501108,0.924160501491555,-0.039020659433772246
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,-0.04535439735305786,-0.11984781776704712,-0.021871706148620485,0.10599781115812489,-0.11916275834505967,-0.0857767475604073,0.3376674485859688,-1.1691667438757631,-0.15383516434169844,0.9335567342824391,-0.08692796325424151
8,-0.24624790966247392,-0.07069112223087597,-0.12558667488753045,-0.06009784088086937,-0.07166602735701763,0.06876457591306667,0.04203282557182766,-0.8461039683022054,-0.06723259544968199,2.0691008554745114,0.0671725971575139
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,-0.25795600947401254,0.10514859491344719,0.2925498059067244,0.16780212707293246,0.10401588295537643,-0.14287368647900825,2.33008960589192,-0.9326818744149716,-0.17445550623737086,2.073867398182417,-0.14320589562024813
17,,,,,,,,,,,
18,0.02082249967743154,-0.22052334043216354,-0.2618360843814118,-0.05250203352780307,-0.2192579892659282,0.056588149925445703,0.4189603520799763,0.1690077956900229,-0.01629227042069088,0.5939355078583083,0.057594284658341086
19,-0.23835415349120012,-0.2622418001240179,-0.22400077419897615,0.04896155450014628,-0.2613956385800278,-0.042163569595515836,-0.6650850541206,3.3438477525139283,0.1342688209237419,2.56186720361839,-0.04110289162895112
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,-0.0031768714491362273,-0.16230558295036449,0.055090237721995,0.26419077710187394,-0.1617509247346558,-0.2071057063981088,-0.05595141971181032,1.4716391098661241,0.040915882084439616,0.1347915671856592,-0.2069570388918559
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,0.02614157163701532,-0.28080781234258584,-0.30387118467800694,-0.03812144939882036,-0.27825078625158517,0.04424898233322846,-0.722576169036438,15.729882851193205,0.4211210710906795,-0.19557965989063408,0.04379300860484129
32,,,,,,,,,,,
33,,,,,,,,,,,
34,0.016613077163878807,-0.18572052996932756,-0.4301250453591526,-0.3036803277960906,-0.18576920645176942,0.42606457455208546,-0.5995725253099712,0.5875713790141268,-0.010524994729014551,-0.19177216412855114,0.426418249860741
35,-0.25253500689563685,-0.26090703983953023,0.08328954701804832,0.4609538934940198,-0.25797186094447416,-0.3005700187769043,-0.6370296294065999,26.623390235824562,1.1329001673523362,1.5776280891204355,-0.30129159030814906
36,,,,,,,,,,,
37,0.033534700832136194,0.1293143451680406,0.009155752245193324,-0.10613758274627974,0.12713521283328702,0.1264923784480604,2.5718166056750666,-0.7901984960119651,0.002380910740971903,-0.4470049941487572,0.1263669871935851
38,,,,,,,,,,,
39,-0.22420400031749663,-0.4524397731092892,-0.3014456574190648,0.26790680102579106,-0.45117410024310606,-0.20255433550471938,0.33941997176467,-0.3787583909089307,-0.08538948991833295,1.7876420218358522,-0.20289923003533844
40,,,,,,,,,,,
41,-0.2608203844248902,0.15305819589356215,0.2548279327136747,0.07832175104284182,0.15424201934823156,-0.07985328600615314,3.470850393223483,-0.9670640356243899,-0.1888482693346069,1.8735798731939726,-0.08046516990432244
42,0.021146897614187855,-0.16196507193884122,-0.07040430686694522,0.1098667034942943,-0.1621293899627021,-0.09576728575032964,0.10058699155610475,-0.10424072860951177,-0.20312276517958422,0.04244246250635432,-0.09661458013358513
43,,,,,,,,,,,
44,,,,,,,,,,,
45,-0.016346569963402263,-0.18255603697064685,0.12195061730367836,0.37374603730945577,-0.1813158283702613,-0.27174977617641055,-0.600167344548924,3.6304631327120522,0.0608472445377751,-0.14302795159703013,-0.2716081712426048
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,-0.2624487724443503,0.07709816953574844,0.2363064409845088,0.14878555903879412,0.07619225790893072,-0.1270057272192238,3.8974049441417282,-0.9444994176297066,-0.1749785994579206,1.5880928041091154,-0.12654016786844577
53,,,,,,,,,,,
54,-0.25442302899392294,-0.2425249654506391,0.18558951441355298,0.5686281671340788,-0.24259828755679802,-0.35489100120685674,0.2178651673335914,-0.7921629189641672,0.0614964129956299,0.6841646010744341,-0.35477640041590724
55,0.02344937147597312,0.19365659036078584,0.026810363060641572,-0.1342765607998535,0.19243041903451477,0.16004396591022776,-0.01289383785923895,-0.6640370252549682,-0.11129084595051797,-0.171043562039063,0.1608502939740099
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,-0.05581177772745034,0.04602436262347728,0.1499601467290609,0.09460074408744899,0.04455602233730142,-0.08032784663990476,5.027279184008825,-1.0126280278952933,-0.20422595592810244,1.5685616555269846,-0.08008825016520693
60,0.00791580081281343,-0.15320223624244708,-0.14983371409373775,-0.006211203935967861,-0.15229753310304345,0.0012561135637882894,0.03177008485494185,0.24651205126361456,0.019163253260319216,0.135290229172066,0.0009493707064394098
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,-0.2258280255132584,-0.41687902645324604,0.12957650685831273,0.9534965692433002,-0.4174966694921892,-0.4825937363301051,-0.71907093901163,38.03103453133206,0.3315633348493066,1.3936353097022287,-0.4823538789718112
70,0.0024373421199757094,-0.12909629521703853,-0.007038179781106506,0.14275332594402051,-0.12847942028522397,-0.12674683129056274,0.052942220323802316,1.4772951795895874,0.0239758830640952,0.14801125248215158,-0.12449154944369831
71,,,,,,,,,,,
72,-0.24373317093331698,-0.31572449343825293,-0.23894646335343855,0.11586438228119023,-0.31637321539348306,-0.10209429087519105,-0.05349915197020776,1.010824656773659,0.01248310427377914,2.635261805418869,-0.10131360442544217
73,-0.25719542938959705,-0.2873226406566473,-0.1573098662094399,0.19681062330774937,-0.2876953393586181,-0.1632556775830368,1.8368455755527873,-0.6735251462547048,-0.05019607534577093,2.5394610195560774,-0.16295447767302443
74,-0.031079680034963152,0.4753109349423947,0.6148635329294693,0.10110156160437606,0.4748180008631378,-0.08861171559344165,2.2564996438692746,-0.8966921465436188,-0.07088152496944224,-0.3267118283250049,-0.08800974724008696
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,-0.022373410780993443,0.25583782075672734,0.13993703096865362,-0.09193489201124842,0.256324405948788,0.09487887829239426,3.0729767367646046,-1.004971190557622,-0.52142896292057,0.18632250722207003,0.09466645354964208
81,0.03690671511174587,0.10394753307019533,0.5272552631292946,0.3858526505957664,0.1012634469435599,-0.27806002062816254,-0.1841392928068754,7.077032352891693,0.5221523582300668,0.21355774981013012,-0.2787579536251879
82,0.025478555204343094,-0.10445895118384119,-0.38146145498785927,-0.3123841438775164,-0.10469873802026167,0.45095943320122717,0.16619809915269118,-0.8541695367632397,-0.49692350963683335,0.4591952329638604,0.45033163758618727
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,-0.01847556432353927,0.025548944459904535,0.033360092489782084,0.008561361021389624,0.02788101068858267,-0.0032185981379727223,4.329743140381312,-0.8919098806888288,-0.23435601078458926,-0.09685089025023823,-0.00360511833014603
87,-0.02041963205193167,0.26471502557345283,0.11487129435464535,-0.11763874376147425,0.26420229528553246,0.12715086515442664,0.03771066296598953,-0.6931533881614201,-0.2275988353553726,0.22094033830207446,0.1293650740042772
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,-0.21201769021292974,-0.01889667951046014,0.39868485277960314,0.4210671805952966,-0.017241426797340427,-0.2824074812354403,0.43528760444885684,-0.3600267007355847,0.04453500953305857,0.9088501306948614,-0.28219110534973485
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,0.0019249563787918146,-0.22829702444694144,-0.3381412511397303,-0.1435615148897406,-0.22727450673074306,0.16976061023385816,-0.739181798423875,14.460174914715145,0.6436814235900368,-0.04322469027743775,0.16961147301429355
103,0.03189014382059558,-0.2883091047183589,-0.36149023303365546,-0.10616824046938309,-0.287862811623395,0.12402925176719631,-0.6968167800649707,6.731629436345683,0.06594189881978857,0.06983907091461561,0.12274455090953641
104,-0.0008369381344398812,0.1242832703169327,0.5408426924452366,0.36812853698080517,0.12538242044052642,-0.26484881988495607,3.0029947201293337,-0.5362645781591913,-0.07626387976235972,-0.30813219053706814,-0.2648710344009175
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,,,,,,,,,,,
109,-0.2689322444023434,-0.17784240556420963,-0.21575449428940624,-0.04647958996922092,-0.1779476577841371,0.05006273514320772,0.2739702894410332,-0.9216866820572444,-0.20462179997884836,2.4167431729242126,0.05063855954460652
110,,,,,,,,,,,
111,0.015508666363084378,0.2083060359089721,0.07328900555842312,-0.1140634773321722,0.2083024944392146,0.12106421399744989,0.11775797782737235,-0.54585908520482,-0.060142070633695116,-0.17640361956989056,0.12196583209563408
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
115,-0.26518699179169064,-0.5336468546244302,-0.5483515649562128,-0.03198746188696757,-0.5336447919380479,0.037720718594240844,0.31561259669593766,-0.05562231951846541,-0.04343718928654869,3.299380175891308,0.03635506294300173
116,,,,,,,,,,,
117,,,,,,,,,,,
118,,,,,,,,,,,
119,-0.05779101444207399,0.14603312010807332,0.33429121899136,0.15535104912461561,0.1480934323191942,-0.13507426524047275,0.15823195118644331,0.22961981596128817,0.14903222656816928,-0.12909315126806656,-0.136693295540616
120,,,,,,,,,,,
121,,,,,,,,,,,
122,,,,,,,,,,,
123,,,,,,,,,,,
124,,,,,,,,,,,
125,,,,,,,,,,,
126,-0.22917008632635066,-0.496292736350007,-0.5000083690613404,-0.003941599010204588,-0.49560381119017693,0.009014234513992171,0.14888233209837776,0.057608204519758156,0.0127509342255923,2.8348350264850035,0.008368217380707055
127,,,,,,,,,,,
128,,,,,,,,,,,
129,,,,,,,,,,,
130,-0.2673453164284635,-0.3224576428930826,-0.0554614116974554,0.3954865303541655,-0.32341174482262325,-0.2779740323750687,0.18727632607332,-0.5453376082493763,-0.043271211644641656,1.0927898156994442,-0.27726302476778014
131,,,,,,,,,,,
132,,,,,,,,,,,
133,-0.008273691974916076,0.010737338377739103,0.01703581191396213,-0.0013240251635699262,0.01097863686648356,-0.002548881299377247,-0.0687693931647132,0.11645202700566423,0.04974988857456456,-0.2214590676561754,-0.0026165214157995633
134,,,,,,,,,,,
135,,,,,,,,,,,
136,-0.009771291219278971,0.3838391714794225,0.17230834441785978,-0.15059448077319965,0.38406637036086405,0.17897961296742743,3.4240678306690526,-0.971716405342684,-0.44024319327056843,-0.23410318649176254,0.1778065232923809
137,,,,,,,,,,,
138,,,,,,,,,,,
139,,,,,,,,,,,
140,,,,,,,,,,,
141,,,,,,,,,,,
142,,,,,,,,,,,
143,-0.015426729079215972,-0.11805119118534625,0.10819575709000002,0.258370593095954,-0.11789630242610591,-0.20085997133770966,-0.7680407691263955,6.462904226913651,0.0774932061408428,-0.13411916706710997,-0.20067812987445025
144,,,,,,,,,,,
145,,,,,,,,,,,
146,,,,,,,,,,,
147,,,,,,,,,,,
148,,,,,,,,,,,
149,,,,,,,,,,,
150,,,,,,,,,,,
151,,,,,,,,,,,
152,-0.0021591267150723264,-0.18282280497860978,-0.024382199562860644,0.19185998574842017,-0.18263250285367044,-0.1668845131193673,-0.0635173471496093,2.4741387581685705,0.16683304442057315,0.3473096245008228,-0.1670433372208382
153,,,,,,,,,,,
154,-0.031293083884119506,0.2618371934744947,0.15114332279190312,-0.08983619932745948,0.2620286593741866,0.09929647447002947,2.68547626036391,-0.9761146319835935,-0.4784062964393615,-0.03657864430782142,0.1006797926694366
155,0.004670529276896169,0.13357585141543074,0.1006735547737387,-0.02228953701535111,0.13320257527318471,0.01923090811552472,0.10172592809287906,-0.5971540797366525,-0.19131729676764772,0.19411963746633315,0.018534627070100958
156,,,,,,,,,,,
157,,,,,,,,,,,
158,,,,,,,,,,,
159,,,,,,,,,,,
160,-0.05866111403315238,0.19770511775870075,0.4641421134040362,0.23211069447290453,0.19901420907413445,-0.16973914060648035,0.354323545598688,-0.5300907605052396,0.014060566201109348,1.0322989830935998,-0.16978178243324543
161,,,,,,,,,,,
162,,,,,,,,,,,
163,,,,,,,,,,,
164,0.027558472931213787,0.40978052069593285,0.45087986420179155,0.031136454497798508,0.41028167659869735,-0.027104961109479717,2.514651572493381,-0.8091756850780003,-0.08270931289921196,-0.29678268106408245,-0.02673738020455371
165,,,,,,,,,,,
166,-0.0026440430251336053,-0.003976299229566567,0.00361583183579958,0.004864719563812725,-0.003682623091325319,-0.0021752879013742094,0.13597469176479968,-0.3239589905375079,-0.1237947433343633,-0.1572149927420564,-0.0015379769977429
167,-0.2420909110888507,-0.1459492228679213,-0.19555117753242815,-0.05864724674347904,-0.14591517631942968,0.055983952841487106,-0.7623192287476148,1.8638677279889053,0.0882161424313894,2.4964646459100464,0.05764445920206783
168,,,,,,,,,,,
169,,,,,,,,,,,
170,-0.2623671897563648,-0.10501742334430188,0.18545193064221718,0.33444398229380634,-0.10456639724794647,-0.24911150695105322,2.960386485838112,-0.9772801397432613,-0.05903251521405879,-0.3092150192612062,-0.24928474168414502
171,-0.01847508817755103,-0.24173157378619486,-0.19797777939987649,0.055321825213271544,-0.2423948626658259,-0.046521137347465234,0.0978680115613431,0.7454389850082153,-0.039575652968729794,-0.24629533630456385,-0.046143501988974496
172,,,,,,,,,,,
173,,,,,,,,,,,
174,,,,,,,,,,,
175,,,,,,,,,,,
176,,,,,,,,,,,
177,,,,,,,,,,,
178,,,,,,,,,,,
179,,,,,,,,,,,
180,-0.2605578190198173,-0.32872852438453876,-0.14296965002169937,0.29089241879402306,-0.3284879657991281,-0.2169602019616419,-0.6435653587782355,5.137492398939018,0.26454330489905903,0.9587012668820364,-0.21670376693679266
181,,,,,,,,,,,
182,,,,,,,,,,,
183,-0.039650686505988464,0.038754376700405074,0.3401526509304151,0.30072096606838683,0.038371289938443874,-0.22985620788758215,-0.6342859057076707,3.5641600227161887,-0.004209110034305042,-0.4179461176902314,-0.23070726023012494
184,-0.2494119583969367,0.020192290319696455,0.46173257038600696,0.44328648876325666,0.01919604047769294,-0.3033496465148637,3.0630043793394788,-0.886657935887912,-0.1821860852784748,1.3852377076094666,-0.3032137621830689
185,-0.24752045080945184,-0.3507249461539459,-0.2753205635207456,0.11801114436481557,-0.3513265471871486,-0.08269495394921074,-0.5713778003475394,0.7751831827378763,-0.007173541256924101,1.8675217577733143,-0.08317157302171058
186,,,,,,,,,,,
187,,,,,,,,,,,
188,-0.26214735626758595,-0.22991934374127332,0.26414879148673825,0.6511706280973775,-0.2299889771045309,-0.39178332641243935,-0.041973805504022965,0.18313913255266387,0.20214655467257142,1.3279872289838912,-0.39151656359161113
189,,,,,,,,,,,
190,-0.22823359972457744,-0.14899153957003922,0.06229131122599396,0.24396198872303457,-0.15033689923790078,-0.20140466614793875,-0.8270168039658731,7.629730619361597,0.18179557341760916,2.067094076467002,-0.2013840700576729
191,,,,,,,,,,,
192,,,,,,,,,,,
193,-0.02438102062345129,0.2452131875521131,-0.021444067997077366,-0.21322425672349987,0.24631671951875683,0.2764657415483216,0.15675377257193995,-0.4887607550985576,-0.13128642371543317,-0.06483542020136097,0.2774743918143941
194,,,,,,,,,,,
195,-0.22647626999065074,-0.028484860992803514,-0.016570613251999256,0.016713524518044354,-0.029538253396545023,-0.014304356830358467,0.36268248085467253,-1.000425792143299,-0.10529027129763399,0.8279488839015603,-0.01540614909461234
196,,,,,,,,,,,
197,,,,,,,,,,,
198,,,,,,,,,,,
199,,,,,,,,,,,
200,-0.24553030169836018,-0.058588436041366314,-0.18317410405181495,-0.13539579448079522,-0.05736630010173396,0.1535209058688021,0.061713433062145995,-0.5933909820185144,-0.010328072393003106,2.4982166359578803,0.15376640286048984
201,,,,,,,,,,,
202,,,,,,,,,,,
203,0.05739480342309152,0.10184087458802803,-0.0076310523483872515,-0.09550350657381695,0.10090457353533229,0.1276039752906784,3.668800924386862,-0.985470470077724,-0.2632914594275988,3.396524495201973,0.1281989576477916
204,,,,,,,,,,,
205,-0.014655843409982714,0.02602348573611405,0.09691791809149243,0.07075698495294759,0.02524996728130308,-0.041868756007815804,0.5679900716947156,-0.43767642930840983,-0.0045535433332671155,1.5335226859655708,-0.041913105368602474
206,-0.25802575240242265,-0.25169893528407034,-0.24615486888446125,0.006526364174007385,-0.25083444965856116,-0.011608913498808509,-0.6934458002314262,4.321504405681591,0.08543344887837633,2.488270689113188,-0.012448254636257787
207,,,,,,,,,,,
208,,,,,,,,,,,
209,,,,,,,,,,,
210,,,,,,,,,,,
211,,,,,,,,,,,
212,0.016177102179368928,0.03097459608428157,-0.32600702536840764,-0.34632829861274417,0.028141695600136133,0.5285009008914451,0.3153007281115125,-0.9578874388465036,-0.4910222949741822,0.3404090295905285,0.5282119700401762
213,-0.24055363117168982,-0.48742691013675554,-0.30401951114019127,0.35386835747986994,-0.4868241888825085,-0.25032188743464673,-0.6837322084284079,10.451980752044298,0.12447179915922651,1.7077407817801513,-0.24940027045443025
214,,,,,,,,,,,
215,,,,,,,,,,,
216,0.029451939025910805,-0.08881117378896897,0.4764795470590924,0.6212452144423519,-0.08876707107708769,-0.3868467807003876,-0.12164961698598206,7.718552662033639,0.4359530846618446,0.2964795718687362,-0.3864513656174705
217,-0.27375319542031873,-0.23561210887107467,0.008861996843023435,0.3129595358724879,-0.23654692734235136,-0.2458898686811424,0.27681186755884013,-0.5722903847859677,-0.17229073351874358,2.7277100670100416,-0.24582983004239617
218,-0.2606661066982069,-0.36041121256897646,-0.2513673191072934,0.17011151314999537,-0.3596518749208461,-0.14550003321730082,-0.6192957845927817,8.862647554772737,0.7381887544617295,3.2589560937674813,-0.14493627289762037
219,,,,,,,,,,,
220,,,,,,,,,,,
221,,,,,,,,,,,
222,-0.03508164780183352,-0.01428546113921688,-0.2688636311217986,-0.2567499781661622,-0.015392794246750613,0.34351730393671365,0.10369501586729363,-0.6136824501884636,-0.07210466299027375,0.20411601197073853,0.3444191231754841
223,0.012979900589199506,0.221459215265849,0.7514864568802099,0.4340798846313025,0.22178579494365674,-0.30104316672377535,1.7369385089120957,-0.6421148559136807,-0.15630644889864825,-0.01638967683859147,-0.3004674915192896
224,,,,,,,,,,,
225,,,,,,,,,,,
226,,,,,,,,,,,
227,,,,,,,,,,,
228,-0.2275131073756589,-0.23271292480149314,0.08429280145331398,0.4230790578443876,-0.23312771061157367,-0.29518102287716536,0.20675365374510582,-0.9656440354978392,-0.04107762670877618,0.8246143976573188,-0.29507338557549684
229,-0.239439107716341,-0.325260563841169,-0.228390317091173,0.15035061752138448,-0.3250489171732194,-0.1293946556335311,0.31208552587790506,-0.8089012056385533,-0.004245528429604687,-0.02360657528050917,-0.12886978611370237
230,,,,,,,,,,,
231,,,,,,,,,,,
232,,,,,,,,,,,
233,-0.25980509303091565,-0.36484032928620813,-0.21976132667529746,0.2323781730920335,-0.36339831944096856,-0.1878779456001483,-0.6079395333118898,2.1881264672547034,0.08097564210775647,0.438193117554266,-0.18783241768426895
234,,,,,,,,,,,
235,-0.015004508453115345,0.016261131551365174,0.03690077474812054,0.02823037020006698,0.01502241481646219,-0.026068797551426034,3.9603500567366754,-0.8184533682889047,-0.18270068371606177,-0.33845431155977973,-0.025389936324067917
236,,,,,,,,,,,
237,-0.2720207617949052,-0.14458637538854993,0.2195281767641659,0.4191981667661349,-0.14614386808907273,-0.29912285803010735,0.04639014306989249,0.5152916903002828,0.37056685409813883,1.120470826823347,-0.2983245532800938
238,,,,,,,,,,,
239,,,,,,,,,,,
240,0.01281908006715445,0.30058183977698616,0.01936905498720893,-0.20832531378028063,0.30007352311356345,0.2693562716818256,2.7911340736891024,-0.9275059613213399,-0.36537450864739185,0.00011515335805322489,0.2703478905061375
241,-0.28037725773392314,-0.39833307435041043,-0.48193051063040554,-0.12754927087232396,-0.3986056369139935,0.15156195946530723,0.06919038362167654,-0.4812749446996126,-0.02039673657098552,2.6630160706864934,0.15224209817374484
242,-0.22637957788595317,-0.12972027137772466,0.08083210969132211,0.23259621003927475,-0.13040781425715395,-0.19684419655417645,0.10123961115945308,-0.5412210741489827,-0.15094069270762467,1.8879924468765188,-0.19659118232082348
243,,,,,,,,,,,
244,,,,,,,,,,,
245,,,,,,,,,,,
246,0.018873292158515093,-0.06183029436271981,-0.06115299713635804,0.001850203010408454,-0.060473313979679505,-0.0012237742687590941,-0.21191592449296703,1.944460076288807,0.429899205927428,-0.08111005260110228,-0.0006604031229913147
247,,,,,,,,,,,
248,,,,,,,,,,,
249,,,,,,,,,,,
250,-0.28796066917834057,-0.09029417232211172,0.4204661295321893,0.5600512791360264,-0.09128296821045515,-0.35876175060999016,0.41594833501610584,-0.2499589774980313,0.03615710780642778,0.017888462740422315,-0.3591843848586424
251,,,,,,,,,,,
252,,,,,,,,,,,
253,,,,,,,,,,,
254,,,,,,,,,,,
255,,,,,,,,,,,
256,-0.02751251844604459,-0.04617046667987706,-0.1347218659925033,-0.09303269941359255,-0.04640967423028848,0.10122570576912626,-0.693700888324315,1.7097145646957863,0.060152129991616274,-0.3878090588974294,0.10165759544159671
257,,,,,,,,,,,
258,,,,,,,,,,,
259,,,,,,,,,,,
260,0.023902664936300694,-0.1274173408747244,-0.0763036323008888,0.05389563509240785,-0.12471114093398075,-0.05068973493905204,-0.0791273335721263,1.1481342163310138,0.03486121547171075,0.30724936551588944,-0.050940392525812075
261,,,,,,,,,,,
262,-0.25671911439444456,-0.4316723171510516,0.09384288119269027,0.9163041218102547,-0.43382495255329184,-0.47641578461439044,-0.822357396657489,68.41516690216032,1.684916039781829,1.204633285992097,-0.47697551807442523
263,-0.04282821532378206,-0.21375376095566476,-0.049578702426467655,0.20257626170021145,-0.21376621679789573,-0.171126450529867,0.10787585933131802,0.9022361937987954,0.3890988160373107,0.006878875392278099,-0.17076746908450138
264,,,,,,,,,,,
265,,,,,,,,,,,
266,,,,,,,,,,,
267,,,,,,,,,,,
