num,app,config,exec,ind_exec,slowdown_p,slowdown_gt
2,swaptions,num-600000,13.607688426971436,13.1856048107,1.562185420910616,1.0320109408958562
2,ferret,hash-8-itr-17-probe-8,1.7906677722930908,1.859779834748,1.0192134428979052,0.9628385784362085
2,bodytrack,layer-5-particle-2266,5.377744674682617,5.321421861659999,1.0255418614122818,1.0105841661283077
2,swaptions,num-300000,6.800020217895508,6.66946387291,2.434718106408496,1.0195752383509866
2,swaptions,num-300000,8.26025390625,6.66946387291,2.394809337473883,1.2385184272159362
2,svm,batch-5-learning-45-regular-23,3.600696325302124,3.31168484688,1.0740396567858024,1.0872702240052845
2,swaptions,num-300000,8.23232388496399,6.66946387291,1.8580918578656294,1.2343306811214627
2,nn,batch-4-learning-56-regular-67,3.8132808208465576,2.8383610248599997,1.058724703002292,1.3434798418691805
2,swaptions,num-800000,18.085188388824463,17.577978134200002,1.243867423171753,1.028854868901994
2,facedetect,eyes-0-pyramid-25-selectivity-0,5.754321813583374,5.65380501745,1.0517660393689152,1.0177786103028204
2,bodytrack,layer-5-particle-2266,5.416898250579834,5.321421861659999,1.1528842029354827,1.0179418943661893
2,ferret,hash-8-itr-25-probe-16,1.9354379177093506,2.00222611428,1.008214503173156,0.9666430299283822
2,ferret,hash-8-itr-25-probe-16,2.0779337882995605,2.00222611428,1.0610748875024287,1.037811750371054
2,svm,batch-5-learning-45-regular-23,3.815415620803833,3.31168484688,1.132845697381608,1.1521070987169588
2,ferret,hash-8-itr-25-probe-16,2.039541244506836,2.00222611428,1.034917251570557,1.0186368212664405
2,nn,batch-1-learning-100-regular-45,2.7109224796295166,2.62096381187,1.4051598072657232,1.0343227431649784
2,facedetect,eyes-0-pyramid-25-selectivity-0,5.799671411514282,5.65380501745,1.0193641008369325,1.0257996859838778
2,ferret,hash-8-itr-25-probe-16,1.9410555362701416,2.00222611428,1.0237366761750086,0.9694487163195076
2,bodytrack,layer-5-particle-2266,6.306538343429565,5.321421861659999,1.2441112026428915,1.1851227937531459
2,svm,batch-5-learning-45-regular-23,3.645490884780884,3.31168484688,1.0621800428582646,1.1007964384700943
2,bodytrack,layer-5-particle-2266,6.414920806884766,5.321421861659999,1.0847062722439125,1.2054899937746437
2,nn,batch-4-learning-56-regular-67,3.454918384552002,2.8383610248599997,1.0519686134365345,1.2172230221215123
2,bodytrack,layer-5-particle-2266,5.361927032470703,5.321421861659999,1.066613517601533,1.0076117195485923
2,facedetect,eyes-0-pyramid-25-selectivity-0,5.7564873695373535,5.65380501745,1.0636295041775048,1.018161636591717
2,nn,batch-1-learning-100-regular-45,3.1476809978485107,2.62096381187,1.2873940431616115,1.2009631661425764
2,svm,batch-5-learning-45-regular-23,4.134205102920532,3.31168484688,1.417304465579732,1.2483691214807
2,facedetect,eyes-0-pyramid-25-selectivity-0,6.948468208312988,5.65380501745,1.1125650903527258,1.2289897134526426
2,svm,batch-5-learning-45-regular-23,3.8768930435180664,3.31168484688,1.068689054815723,1.1706708889194453
2,facedetect,eyes-0-pyramid-25-selectivity-0,6.724610805511475,5.65380501745,1.0684426940325438,1.1893955990269423
2,nn,batch-4-learning-56-regular-67,3.49479603767395,2.8383610248599997,1.08653628283368,1.2312725573190002
3,bodytrack,layer-5-particle-4000,9.029911279678345,8.77696895598,0.8396622395884495,1.0288188695854972
3,swaptions,num-100000,2.3226230144500732,2.27190518379,5.345696352902898,1.02232392047958
3,ferret,hash-8-itr-14-probe-10,1.8765971660614014,2.24816179276,1.0016864081227734,0.8347251394916555
3,swaptions,num-300000,8.537416696548462,6.66946387291,2.167399364114926,1.2800754092432685
3,ferret,hash-8-itr-25-probe-16,2.05562424659729,2.00222611428,1.0428677159730961,1.0266693816130212
3,svm,batch-5-learning-45-regular-23,3.957373857498169,3.31168484688,1.1988324977837894,1.1949729640567957
3,swaptions,num-600000,14.954805135726929,13.1856048107,1.6153592448263692,1.134176653284136
3,ferret,hash-8-itr-25-probe-16,2.076436996459961,2.00222611428,1.0068208885947907,1.037064186532522
3,nn,batch-1-learning-100-regular-45,2.6998372077941895,2.62096381187,1.50427826880487,1.030093279261233
3,swaptions,num-600000,13.608988285064697,13.1856048107,1.5448458278052422,1.0321095225014727
3,facedetect,eyes-0-pyramid-25-selectivity-0,5.77932333946228,5.65380501745,0.984140776633455,1.0222006810678612
3,ferret,hash-8-itr-25-probe-16,1.9617831707000732,2.00222611428,0.9488629903016077,0.979801010839143
3,bodytrack,layer-5-particle-2266,5.8131513595581055,5.321421861659999,1.0479480468657874,1.092405659743111
3,swaptions,num-600000,14.711209058761597,13.1856048107,1.5459380716257065,1.1157022578762246
3,svm,batch-2-learning-34-regular-1,2.628147840499878,2.65918517113,1.0190180757849467,0.9883282552237861
3,bodytrack,layer-5-particle-4000,10.105879545211792,8.77696895598,0.9403913567612608,1.1514088287080437
3,swaptions,num-600000,15.298391580581665,13.1856048107,1.642460502452397,1.1602343464872509
3,nn,batch-2-learning-78-regular-67,2.764894485473633,2.6660990714999997,0.4988322835256579,1.037056167578217
3,bodytrack,layer-5-particle-4000,9.083472728729248,8.77696895598,0.8600337131722163,1.0349213691294212
3,swaptions,num-800000,18.01367735862732,17.577978134200002,1.1705086336328199,1.0247866518606945
3,facedetect,eyes-0-pyramid-25-selectivity-0,5.745912075042725,5.65380501745,0.9201302988096589,1.0162911627317257
3,swaptions,num-300000,9.001207113265991,6.66946387291,2.185671130837398,1.349614794350571
3,nn,batch-1-learning-100-regular-45,2.909475088119507,2.62096381187,1.3720195505189183,1.110078313535989
