num,app,config,exec,ind_exec,slowdown_p,slowdown_gt,success
2,swaptions,num-600000,13.634855508804321,13.1856048107,0.9873542697324671,1.034071300069585,True
2,ferret,hash-8-itr-17-probe-8,1.7711777687072754,1.859779834748,0.9675713943136963,0.9523588414148333,True
2,bodytrack,layer-5-particle-100,0.8454306125640869,0.867403030395,0.982470180998987,0.9746687329177219,True
2,swaptions,num-600000,13.579654216766357,13.1856048107,0.9442050655624801,1.0298848184610077,True
2,swaptions,num-600000,14.50421142578125,13.1856048107,1.1131964776292753,1.100003498816468,True
2,svm,batch-2-learning-89-regular-56,2.6888558864593506,2.57296705246,1.0798814595590769,1.0450409319810565,True
2,swaptions,num-600000,14.757255554199219,13.1856048107,1.1352706206393448,1.119194437120081,True
2,nn,batch-1-learning-34-regular-67,3.0644149780273438,2.59678077698,1.0485259136103036,1.1800822792562382,False
2,swaptions,num-600000,13.583590507507324,13.1856048107,0.989123546426514,1.0301833478646625,True
2,facedetect,eyes-0-pyramid-25-selectivity-1,27.935818910598755,27.3176190853,1.0117773519986555,1.0226300770710803,True
2,bodytrack,layer-5-particle-100,0.8529069423675537,0.867403030395,0.8947622126124808,0.9832879439897217,True
2,ferret,hash-8-itr-17-probe-8,1.7936198711395264,1.859779834748,0.9667321319320572,0.9644259162443074,True
2,ferret,hash-7-itr-12-probe-4,1.7456109523773193,2.02924013138,0.8879919264023612,0.8602288735489395,False
2,svm,batch-5-learning-45-regular-23,3.7305703163146973,3.31168484688,1.0605591652553024,1.1264871172235296,False
2,ferret,hash-7-itr-12-probe-4,1.7317044734954834,2.02924013138,0.9359896625432221,0.8533758261117302,False
2,nn,batch-1-learning-34-regular-67,2.7471272945404053,2.59678077698,1.2664278555857789,1.057897269917122,False
2,facedetect,eyes-0-pyramid-25-selectivity-1,27.99764633178711,27.3176190853,1.0921496562421926,1.0248933570807803,True
2,ferret,hash-8-itr-17-probe-8,1.7880024909973145,1.859779834748,0.9953416411747193,0.9614054618672585,True
2,bodytrack,layer-5-particle-100,0.892763614654541,0.867403030395,1.0193016995290674,1.0292373710615148,True
2,svm,batch-2-learning-89-regular-56,2.706186532974243,2.57296705246,1.1020644907156512,1.0517765979112996,True
2,bodytrack,layer-5-particle-100,0.921776294708252,0.867403030395,0.98041756384647,1.0626851214578894,True
2,nn,batch-1-learning-34-regular-67,2.751178741455078,2.59678077698,0.9971886047219214,1.0594574504878458,False
2,bodytrack,layer-5-particle-100,0.8486907482147217,0.867403030395,1.0057040793537746,0.9784272344866526,True
2,facedetect,eyes-0-pyramid-25-selectivity-1,28.101208209991455,27.3176190853,1.0151512538952998,1.0286843857894306,True
2,nn,batch-1-learning-34-regular-67,2.968794822692871,2.59678077698,1.2996846191298637,1.143259704096206,False
2,svm,batch-3-learning-56-regular-89,3.1873960494995117,2.7274599075299997,0.9268487459848467,1.1686316783978072,True
2,facedetect,eyes-0-pyramid-25-selectivity-1,29.638468265533447,27.3176190853,1.175897152535892,1.0849579596591685,True
2,svm,batch-2-learning-89-regular-56,2.7954630851745605,2.57296705246,1.0906307146963665,1.0864744974102305,True
2,facedetect,eyes-0-pyramid-25-selectivity-1,30.15342664718628,27.3176190853,1.223121991665686,1.1038087379808392,True
2,nn,batch-1-learning-34-regular-67,2.6899070739746094,2.59678077698,1.1087842955295821,1.035862209786886,False
3,bodytrack,layer-5-particle-100,0.8609528541564941,0.867403030395,0.8283437570187232,0.9925638071202396,True
3,swaptions,num-600000,13.701421022415161,13.1856048107,0.9511321098526927,1.0391196474580053,True
3,ferret,hash-8-itr-17-probe-8,1.8037827014923096,1.859779834748,0.9830645210842173,0.9698904503589921,True
3,swaptions,num-600000,16.902294158935547,13.1856048107,1.227280823479977,1.2818747718890746,True
3,ferret,hash-7-itr-12-probe-4,1.738936424255371,2.02924013138,0.9290321273799081,0.856939697458474,False
3,svm,batch-5-learning-45-regular-23,3.795435905456543,3.31168484688,1.0807334144395693,1.1460740018882818,False
3,swaptions,num-600000,14.987992525100708,13.1856048107,1.2500851982746068,1.1366935942853442,True
3,ferret,hash-7-itr-12-probe-4,1.731532335281372,2.02924013138,0.9575922274873623,0.8532909972088077,False
3,nn,batch-1-learning-34-regular-67,2.8639891147613525,2.59678077698,1.1426140496825288,1.1028998443573315,False
3,swaptions,num-600000,13.585296154022217,13.1856048107,0.9629152147238544,1.0303127045790021,True
3,facedetect,eyes-0-pyramid-25-selectivity-1,28.073151350021362,27.3176190853,1.0801634993190274,1.0276573248335514,True
3,ferret,hash-8-itr-17-probe-8,1.7943058013916016,1.859779834748,0.9433529634173897,0.964794739606761,True
3,bodytrack,layer-5-particle-100,0.9048736095428467,0.867403030395,0.9488624148393073,1.0431985799389971,True
3,swaptions,num-600000,16.989636421203613,13.1856048107,1.1605011978592161,1.2884988337748964,True
3,svm,batch-5-learning-45-regular-23,3.883760452270508,3.31168484688,1.1527682090192282,1.1727445792221054,False
3,bodytrack,layer-5-particle-100,0.9079723358154297,0.867403030395,0.9673623040022117,1.046770998023785,True
3,swaptions,num-600000,15.067691802978516,13.1856048107,1.2227204634508912,1.1427380100722584,True
3,nn,batch-1-learning-34-regular-67,2.7864582538604736,2.59678077698,0.9349259461392458,1.0730433152316632,False
3,bodytrack,layer-5-particle-100,0.8483052253723145,0.867403030395,0.9587494889883789,0.9779827780703179,True
3,swaptions,num-600000,13.705771923065186,13.1856048107,0.9557090072970467,1.039449620994486,True
3,facedetect,eyes-0-pyramid-25-selectivity-1,28.12416100502014,27.3176190853,1.0180959881312566,1.0295246052447578,True
