num,app,config,exec,ind_exec,slowdown_p,slowdown_gt,success
2,swaptions,num-800000,18.050355911254883,17.577978134200002,2.0,1.0268732713995028,True
2,ferret,hash-8-itr-17-probe-4,1.725684404373169,1.77865600586,2.0,0.9702181864777059,True
2,bodytrack,layer-5-particle-100,0.8791646957397461,0.867403030395,2.0,1.013559631373884,True
2,swaptions,num-800000,18.11775779724121,17.577978134200002,2.0,1.0307077218392373,True
2,swaptions,num-800000,19.347392082214355,17.577978134200002,2.0,1.10066083451155,True
2,svm,batch-1-learning-34-regular-89,2.71813702583313,2.52472400665,2.0,1.0766075890567401,True
2,swaptions,num-800000,19.968761682510376,17.577978134200002,2.0,1.1360101560064424,True
2,nn,batch-1-learning-34-regular-67,2.722994565963745,2.59678077698,2.0,1.0486039445850062,False
2,swaptions,num-800000,18.047935009002686,17.577978134200002,2.0,1.0267355478095817,True
2,facedetect,eyes-0-pyramid-25-selectivity-1,27.89997434616089,27.3176190853,2.0,1.0213179362023634,True
2,bodytrack,layer-5-particle-100,0.889563798904419,0.867403030395,2.0,1.0255484102924188,True
2,ferret,hash-8-itr-17-probe-4,1.7333183288574219,1.77865600586,2.0,0.9745101487565849,True
2,ferret,hash-8-itr-17-probe-4,1.7965192794799805,1.77865600586,2.0,1.0100431300718788,True
2,svm,batch-1-learning-34-regular-89,2.670523166656494,2.52472400665,2.0,1.0577485537518025,True
2,ferret,hash-8-itr-17-probe-4,1.8027112483978271,1.77865600586,2.0,1.0135243928328885,True
2,nn,batch-1-learning-34-regular-67,2.7681806087493896,2.59678077698,2.0,1.0660047368221524,False
2,facedetect,eyes-0-pyramid-25-selectivity-1,27.967531442642212,27.3176190853,2.0,1.0237909590624588,True
2,ferret,hash-8-itr-17-probe-4,1.7215962409973145,1.77865600586,2.0,0.9679197300238521,True
2,bodytrack,layer-5-particle-100,0.9477298259735107,0.867403030395,2.0,1.092606081329842,True
2,svm,batch-1-learning-34-regular-89,2.661259889602661,2.52472400665,2.0,1.0540795281357616,True
2,bodytrack,layer-5-particle-100,0.9394974708557129,0.867403030395,2.0,1.083115273908926,True
2,nn,batch-1-learning-34-regular-67,2.842991590499878,2.59678077698,2.0,1.094813861725446,False
2,bodytrack,layer-5-particle-100,0.883526086807251,0.867403030395,2.0,1.0185877335532352,True
2,facedetect,eyes-0-pyramid-25-selectivity-1,28.093467235565186,27.3176190853,2.0,1.0284010164957123,True
2,nn,batch-1-learning-34-regular-67,3.1883296966552734,2.59678077698,2.0,1.227800869799734,False
2,svm,batch-1-learning-34-regular-89,2.8861100673675537,2.52472400665,2.0,1.1431388380534586,True
2,facedetect,eyes-0-pyramid-25-selectivity-1,29.604240894317627,27.3176190853,2.0,1.083705018430691,True
2,svm,batch-1-learning-34-regular-89,2.6222283840179443,2.52472400665,2.0,1.0386198163090787,True
2,facedetect,eyes-0-pyramid-25-selectivity-1,30.207435846328735,27.3176190853,2.0,1.1057858209386846,True
2,nn,batch-1-learning-34-regular-67,2.728029489517212,2.59678077698,2.0,1.0505428543297564,False
3,bodytrack,layer-5-particle-100,0.905665397644043,0.867403030395,3.0,1.0441114060111354,True
3,swaptions,num-800000,18.19401264190674,17.577978134200002,3.0,1.0350458114695325,True
3,ferret,hash-2-itr-25-probe-20,1.5239620208740234,1.5811910629280002,3.0,0.9638063714147221,False
3,swaptions,num-800000,19.523226261138916,17.577978134200002,3.0,1.110663929155436,True
3,ferret,hash-2-itr-25-probe-20,1.588244915008545,1.5811910629280002,3.0,1.0044611003982546,False
3,svm,batch-1-learning-56-regular-34,2.663973808288574,2.4793539047200004,3.0,1.0744629087509892,False
3,swaptions,num-800000,20.435375452041626,17.577978134200002,3.0,1.1625555166826738,True
3,ferret,hash-2-itr-25-probe-20,1.5701661109924316,1.5811910629280002,3.0,0.993027438496172,False
3,nn,batch-1-learning-34-regular-67,2.891667366027832,2.59678077698,3.0,1.1135585227917386,False
3,swaptions,num-800000,18.109204053878784,17.577978134200002,3.0,1.0302211048178072,True
3,facedetect,eyes-0-pyramid-20-selectivity-0,4.652977705001831,4.541739940645,3.0,1.0244923236051762,True
3,ferret,hash-2-itr-25-probe-20,1.515188455581665,1.5811910629280002,3.0,0.9582576648111624,False
3,bodytrack,layer-5-particle-100,0.9345078468322754,0.867403030395,3.0,1.0773629029249725,True
3,swaptions,num-800000,19.619171857833862,17.577978134200002,3.0,1.1161222131493314,True
3,svm,batch-1-learning-56-regular-34,2.742074728012085,2.4793539047200004,3.0,1.105963421676888,False
3,bodytrack,layer-5-particle-100,0.9398531913757324,0.867403030395,3.0,1.0835253722225755,True
3,swaptions,num-800000,20.27845573425293,17.577978134200002,3.0,1.1536284537070185,True
3,nn,batch-1-learning-34-regular-67,2.748318910598755,2.59678077698,3.0,1.0583561519563427,False
3,bodytrack,layer-5-particle-100,0.8888022899627686,0.867403030395,3.0,1.0246704920526086,True
3,swaptions,num-800000,18.226645469665527,17.577978134200002,3.0,1.0369022722928223,True
3,facedetect,eyes-0-pyramid-20-selectivity-0,4.7135069370269775,4.541739940645,3.0,1.0378196459125275,True
3,swaptions,num-800000,21.094537496566772,17.577978134200002,3.0,1.2000548263013762,True
3,nn,batch-1-learning-34-regular-67,3.0854547023773193,2.59678077698,3.0,1.188184512812682,False
3,svm,batch-1-learning-56-regular-34,3.062239170074463,2.4793539047200004,3.0,1.2350956288429864,False
3,swaptions,num-800000,19.330700159072876,17.577978134200002,3.0,1.0997112416167334,True
