,num,app,config,exec,ind_exec,slowdown_p,slowdown_gt,success,mv
0,2,swaptions,num-900000,20.280068874359127,19.830250263214108,1.0111276204598556,1.0226834560923042,True,98.44760252255469
1,2,ferret,hash-8-itr-22-probe-16,1.9318904876708984,1.9071919918060305,1.0060568730446078,1.0129501885342334,True,0.6
2,2,bodytrack,layer-5-particle-2266,5.297886848449707,5.240943431854248,1.074500400184908,1.01086510803558,True,4.1067746788676
3,2,swaptions,num-900000,20.20317411422729,19.830250263214108,1.0128774468291315,1.0188058065865648,True,98.44760252255469
4,2,swaptions,num-900000,22.32088828086853,19.830250263214108,1.0309411420845378,1.1255979115036507,True,98.44760252255469
5,2,svm,batch-3-learning-67-regular-78,13.978260040283205,13.437995910644533,1.071479684595761,1.0402042189349616,True,28.470000000000002
6,2,swaptions,num-900000,23.16632103919983,19.830250263214108,1.0544507535269831,1.1682314005978158,True,98.44760252255469
7,2,nn,batch-3-learning-1-regular-67,15.113520383834839,14.150341987609865,1.0615304495917255,1.068067499504135,True,25.3
8,2,swaptions,num-900000,20.3091037273407,19.830250263214108,1.0120025515355446,1.0241476258630422,True,98.44760252255469
9,2,facedetect,eyes-0-pyramid-9-selectivity-1,21.77311682701111,21.496083498001102,1.0387144616315134,1.012887618762542,True,87.49160210475515
10,2,bodytrack,layer-5-particle-2266,5.355047702789307,5.240943431854248,1.1528842029354829,1.0217717043541317,True,4.1067746788676
11,2,ferret,hash-8-itr-22-probe-16,1.9372234344482424,1.9071919918060305,1.008214503173156,1.0157464181745923,True,0.6
12,2,ferret,hash-8-itr-22-probe-16,2.0485317707061768,1.9071919918060305,1.0358659018659828,1.074108836188172,True,0.6
13,2,svm,batch-3-learning-67-regular-78,14.078712701797485,13.437995910644533,1.0879502139467587,1.0476794899636357,True,28.470000000000002
14,2,ferret,hash-8-itr-22-probe-16,2.0367143154144287,1.9071919918060305,1.036349789644216,1.0679125773204123,True,0.6
15,2,nn,batch-3-learning-1-regular-67,15.292859077453613,14.150341987609865,1.0424481498100024,1.080741305817495,True,25.3
16,2,facedetect,eyes-0-pyramid-9-selectivity-1,22.04080605506897,21.496083498001102,1.0861522392199476,1.0253405489943563,True,87.49160210475515
