,num,app,config,exec,ind_exec,slowdown_p,slowdown_gt,success,mv
0,2,swaptions,num-600000,13.50009536743164,13.247070550918579,2.0,1.019100435491794,True,97.11033760092391
1,2,ferret,hash-2-itr-22-probe-20,1.4951870441436768,1.4660913944244385,2.0,1.0198457271012498,True,0.3824313725490196
2,2,bodytrack,layer-5-particle-2266,5.299968957901001,5.240943431854248,2.0,1.0112623856399592,True,4.1067746788676
3,2,swaptions,num-600000,13.458716869354248,13.247070550918579,2.0,1.0159768393791029,True,97.11033760092391
4,2,swaptions,num-600000,14.438242197036743,13.247070550918579,2.0,1.0899196272518958,True,97.11033760092391
5,2,svm,batch-2-learning-100-regular-45,13.164175033569336,12.768057584762573,2.0,1.0310240963574202,True,31.95
6,2,swaptions,num-600000,14.695164918899536,13.247070550918579,2.0,1.1093143093346434,True,97.11033760092391
7,2,nn,batch-1-learning-12-regular-12,13.347890377044678,12.970833778381348,2.0,1.0290695729438593,False,17.9
8,2,swaptions,num-600000,13.511115789413452,13.247070550918579,2.0,1.0199323493809402,True,97.11033760092391
9,2,facedetect,eyes-0-pyramid-9-selectivity-1,21.77414608001709,21.496083498001102,2.0,1.0129354997175113,True,87.49160210475515
10,2,bodytrack,layer-5-particle-2266,5.337674856185913,5.240943431854248,2.0,1.0184568724294438,True,4.1067746788676
11,2,ferret,hash-2-itr-22-probe-20,1.4934737682342532,1.4660913944244385,2.0,1.0186771260740974,True,0.3824313725490196
12,2,ferret,hash-2-itr-22-probe-20,1.551581621170044,1.4660913944244385,2.0,1.058311662608979,True,0.3824313725490196
13,2,svm,batch-2-learning-100-regular-45,13.46962022781372,12.768057584762573,2.0,1.0549467010462417,True,31.95
14,2,ferret,hash-2-itr-22-probe-20,1.5500693321228027,1.4660913944244385,2.0,1.0572801518498325,True,0.3824313725490196
15,2,nn,batch-1-learning-12-regular-12,13.598415613174438,12.970833778381348,2.0,1.0483840781183311,False,17.9
16,2,facedetect,eyes-0-pyramid-9-selectivity-1,21.85496544837952,21.496083498001102,2.0,1.0166952249888586,True,87.49160210475515
17,2,ferret,hash-2-itr-22-probe-20,1.4969739913940432,1.4660913944244385,2.0,1.0210645782978138,True,0.3824313725490196
18,2,bodytrack,layer-5-particle-2266,5.845340013504027,5.240943431854248,2.0,1.115322096013531,True,4.1067746788676
19,2,svm,batch-2-learning-100-regular-45,13.343717813491821,12.768057584762573,2.0,1.0450859674549278,True,31.95
20,2,bodytrack,layer-5-particle-2266,5.963319301605225,5.240943431854248,2.0,1.1378331743404069,True,4.1067746788676
21,2,nn,batch-1-learning-12-regular-12,13.553775787353516,12.970833778381348,2.0,1.044942524045275,False,17.9
22,2,bodytrack,layer-5-particle-2266,5.3227293491363525,5.240943431854248,2.0,1.0156051898566607,True,4.1067746788676
23,2,facedetect,eyes-0-pyramid-9-selectivity-1,21.835663080215454,21.496083498001102,2.0,1.015797276850266,True,87.49160210475515
24,2,nn,batch-1-learning-12-regular-12,15.207714557647705,12.970833778381348,2.0,1.1724546638624416,False,17.9
25,2,svm,batch-2-learning-100-regular-45,14.909681797027588,12.768057584762573,2.0,1.1677329694080354,True,31.95
26,2,facedetect,eyes-0-pyramid-9-selectivity-1,23.136589527130127,21.496083498001102,2.0,1.0763165080411776,True,87.49160210475515
27,2,svm,batch-2-learning-100-regular-45,13.23430848121643,12.768057584762573,2.0,1.0365169794511486,True,31.95
28,2,facedetect,eyes-0-pyramid-9-selectivity-1,23.43750548362732,21.496083498001102,2.0,1.0903151490738652,True,87.49160210475515
29,2,nn,batch-1-learning-12-regular-12,13.389291763305664,12.970833778381348,2.0,1.032261456131044,False,17.9
30,3,bodytrack,layer-3-particle-1833,2.9349973201751713,2.857672691345215,3.0,1.0270586022899482,True,3.55365639054235
31,3,swaptions,num-300000,6.787920713424683,6.6428964138031015,3.0,1.0218314859343944,True,96.20027589799918
32,3,ferret,hash-2-itr-22-probe-20,1.515645980834961,1.4660913944244385,3.0,1.0338004756040309,False,0.3824313725490196
33,3,swaptions,num-300000,7.139818906784058,6.6428964138031015,3.0,1.0748050943483651,True,96.20027589799918
34,3,ferret,hash-2-itr-22-probe-20,1.5834615230560305,1.4660913944244385,3.0,1.0800564883457824,False,0.3824313725490196
35,3,svm,batch-1-learning-1-regular-45,13.083290576934814,12.509435653686525,3.0,1.045873765942365,False,27.029999999999998
36,3,swaptions,num-300000,7.4198434352874765,6.6428964138031015,3.0,1.1169590752416336,True,96.20027589799918
37,3,ferret,hash-2-itr-22-probe-20,1.5599398612976074,1.4660913944244385,3.0,1.064012698819511,False,0.3824313725490196
38,3,nn,batch-1-learning-12-regular-12,13.7646803855896,12.970833778381348,3.0,1.0612024346909268,False,17.9
39,3,swaptions,num-300000,6.7894344329833975,6.6428964138031015,3.0,1.0220593563488074,True,96.20027589799918
40,3,facedetect,eyes-0-pyramid-9-selectivity-1,21.89431595802307,21.496083498001102,3.0,1.0185258147168532,True,87.49160210475515
41,3,ferret,hash-2-itr-22-probe-20,1.5049846172332764,1.4660913944244385,3.0,1.0265285117672398,False,0.3824313725490196
42,3,bodytrack,layer-3-particle-1833,3.131676435470581,2.857672691345215,3.0,1.095883529613177,True,3.55365639054235
43,3,swaptions,num-300000,7.190056324005128,6.6428964138031015,3.0,1.0823676715875168,True,96.20027589799918
44,3,svm,batch-1-learning-1-regular-45,13.110878467559814,12.509435653686525,3.0,1.0480791324663832,False,27.029999999999998
45,3,bodytrack,layer-3-particle-1833,3.211299180984497,2.857672691345215,3.0,1.123746323611616,True,3.55365639054235
