,num,app,config,exec,ind_exec,slowdown_p,slowdown_gt,success,mv
0,2,swaptions,num-1000000,22.555412769317627,21.938838958740234,1.0,1.028104213342236,True,99.99999999999432
1,2,ferret,hash-8-itr-4-probe-20,1.979015588760376,1.975313901901245,1.0,1.0018739739823468,True,0.6
2,2,bodytrack,layer-5-particle-4000,8.897733688354492,8.757810831069946,1.0,1.0159769216284216,True,5.0
3,2,swaptions,num-1000000,22.38612961769104,21.938838958740234,1.0,1.0203880733976858,True,99.99999999999432
4,2,swaptions,num-1000000,24.50384759902954,21.938838958740234,1.0,1.1169163347756572,True,99.99999999999432
5,2,svm,batch-3-learning-67-regular-78,14.025378465652466,13.437995910644533,1.0,1.043710577002234,True,28.470000000000002
6,2,swaptions,num-1000000,25.544177532196045,21.938838958740234,1.0,1.1643358876117498,True,99.99999999999432
7,2,nn,batch-3-learning-1-regular-67,15.028237581253052,14.150341987609865,1.0,1.062040591980878,True,25.3
8,2,swaptions,num-1000000,22.486082077026367,21.938838958740234,1.0,1.0249440327865718,True,99.99999999999432
9,2,facedetect,eyes-0-pyramid-9-selectivity-1,21.757890462875366,21.496083498001102,1.0,1.0121792867476818,True,87.49160210475515
10,2,bodytrack,layer-5-particle-4000,8.974398612976074,8.757810831069946,1.0,1.0247308129946977,True,5.0
11,2,ferret,hash-8-itr-4-probe-20,1.9845399856567385,1.975313901901245,1.0,1.0046706924639233,True,0.6
12,2,ferret,hash-8-itr-4-probe-20,2.1037466526031494,1.975313901901245,1.0,1.0650189069080551,True,0.6
13,2,svm,batch-3-learning-67-regular-78,14.244442224502563,13.437995910644533,1.0,1.0600123946472724,True,28.470000000000002
14,2,ferret,hash-8-itr-4-probe-20,2.092021942138672,1.975313901901245,1.0,1.059083288041002,True,0.6
15,2,nn,batch-3-learning-1-regular-67,15.434494733810425,14.150341987609865,1.0,1.0907506509259617,True,25.3
16,2,facedetect,eyes-0-pyramid-9-selectivity-1,21.92521476745605,21.496083498001102,1.0,1.0199632304877706,True,87.49160210475515
17,2,ferret,hash-8-itr-4-probe-20,1.9881134033203125,1.975313901901245,1.0,1.0064797303389341,True,0.6
18,2,bodytrack,layer-5-particle-4000,9.747737169265749,8.757810831069946,1.0,1.113033537409127,True,5.0
19,2,svm,batch-3-learning-67-regular-78,14.030755519866945,13.437995910644533,1.0,1.0441107151069209,True,28.470000000000002
20,2,bodytrack,layer-5-particle-4000,10.203248500823976,8.757810831069946,1.0,1.165045545928678,True,5.0
21,2,nn,batch-3-learning-1-regular-67,15.216839790344238,14.150341987609865,1.0,1.075369047876596,True,25.3
22,2,bodytrack,layer-5-particle-4000,8.92699146270752,8.757810831069946,1.0,1.019317685081456,True,5.0
23,2,facedetect,eyes-0-pyramid-9-selectivity-1,21.799745798110962,21.496083498001102,1.0,1.0141264012180684,True,87.49160210475515
24,2,nn,batch-3-learning-1-regular-67,17.26190447807312,14.150341987609865,1.0,1.219893094681935,True,25.3
25,2,svm,batch-3-learning-67-regular-78,16.411771297454838,13.437995910644533,1.0,1.221296047906571,True,28.470000000000002
26,2,facedetect,eyes-0-pyramid-9-selectivity-1,23.651180744171143,21.496083498001102,1.0,1.100255344019781,True,87.49160210475515
27,2,svm,batch-3-learning-67-regular-78,14.041436433792114,13.437995910644533,1.0,1.0449055444844706,True,28.470000000000002
28,2,facedetect,eyes-0-pyramid-9-selectivity-1,24.45267653465271,21.496083498001102,1.0,1.1375410100601135,True,87.49160210475515
29,2,nn,batch-3-learning-1-regular-67,15.143045425415039,14.150341987609865,1.0,1.0701540244521577,True,25.3
30,3,bodytrack,layer-5-particle-4000,9.004293680191038,8.757810831069946,1.0,1.0281443449596617,True,5.0
31,3,swaptions,num-1000000,22.530231475830078,21.938838958740234,1.0,1.026956418167892,True,99.99999999999432
32,3,ferret,hash-8-itr-4-probe-20,2.0033006668090816,1.975313901901245,1.0,1.0141682620068129,True,0.6
33,3,swaptions,num-1000000,25.42750430107117,21.938838958740234,1.0,1.1590177743175911,True,99.99999999999432
34,3,ferret,hash-8-itr-4-probe-20,2.105806827545166,1.975313901901245,1.0,1.066061867695216,True,0.6
35,3,svm,batch-3-learning-67-regular-78,14.97559118270874,13.437995910644533,1.0,1.1144214719433159,True,28.470000000000002
36,3,swaptions,num-1000000,26.782997131347656,21.938838958740234,1.0,1.22080285022,True,99.99999999999432
37,3,ferret,hash-8-itr-4-probe-20,2.096224546432495,1.975313901901245,1.0,1.061210850799396,True,0.6
38,3,nn,batch-3-learning-1-regular-67,16.257271766662598,14.150341987609865,1.0,1.148896032399611,True,25.3
39,3,swaptions,num-1000000,22.544004440307614,21.938838958740234,1.0,1.0275842072912564,True,99.99999999999432
40,3,facedetect,eyes-0-pyramid-9-selectivity-1,22.00963020324707,21.496083498001102,1.0,1.0238902451832086,True,87.49160210475515
41,3,ferret,hash-8-itr-4-probe-20,2.0108962059021,1.975313901901245,1.0,1.0180134934334266,True,0.6
42,3,bodytrack,layer-5-particle-4000,10.035506010055544,8.757810831069946,1.0,1.1458920732168292,True,5.0
43,3,swaptions,num-1000000,24.91034436225891,21.938838958740234,1.0,1.1354449708622734,True,99.99999999999432
44,3,svm,batch-3-learning-67-regular-78,14.382616996765135,13.437995910644533,1.0,1.0702947889255086,True,28.470000000000002
45,3,bodytrack,layer-5-particle-4000,10.523717880249023,8.757810831069946,1.0,1.201637953050344,True,5.0
46,3,swaptions,num-1000000,26.274786949157715,21.938838958740234,1.0,1.1976379879797643,True,99.99999999999432
