Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
eyes-0-pyramid-18-selectivity-1,1.82e+05,1.04,59,0,10.4,9.98,0,0,0,0,0,0,0,0,0.541,0.616,1.59e+05,1.08,27,0.878,0.99,43.3,0.000272,0.94,2.43,1.53e-05,1.76,43.9,4.27,3.68e+04,1.94
eyes-0-pyramid-18-selectivity-0,3.79e+04,1.04,39.8,0,12.2,30.3,0,0,0,0,0,0,0,0,0.368,0.415,3.36e+04,0.735,18.4,0.887,0.978,20.4,0.000609,0.933,1.33,3.97e-05,1.77,44.3,1.8,1.14e+04,0.776
eyes-0-pyramid-18-selectivity-2,3.26e+05,1.04,62.8,0,10.9,5.82,0,0,0,0,0,0,0,0,0.572,0.657,2.84e+05,1.14,28.6,0.871,0.984,128,0.000452,0.963,4.49,1.58e-05,1.74,43.6,7.89,6.21e+04,3.22
eyes-1-pyramid-13-selectivity-1,1.38e+05,1.02,53.7,0,11.6,12.3,0,0,0,0,0,0,0,0,0.485,0.55,1.22e+05,0.969,24.2,0.881,0.972,91.4,0.000752,0.977,2.02,1.66e-05,1.76,44,3.68,3.14e+04,1.54
eyes-1-pyramid-13-selectivity-0,3.46e+04,1.04,34.6,0,13.9,28.8,0,0,0,0,0,0,0,0,0.328,0.36,3.15e+04,0.655,16.4,0.91,0.965,23.6,0.000749,0.953,1.06,3.37e-05,1.82,45.5,1.73,1.2e+04,0.79
eyes-1-pyramid-13-selectivity-2,2.41e+05,1.03,60.6,0,13.1,3.22,0,0,0,0,0,0,0,0,0.545,0.622,2.12e+05,1.09,27.3,0.878,0.979,118,0.000559,0.974,2.95,1.39e-05,1.76,43.9,5.05,4.85e+04,2.05
eyes-1-pyramid-22-selectivity-1,2.23e+05,1.05,59.6,0,11.5,9.35,0,0,0,0,0,0,0,0,0.548,0.623,1.96e+05,1.1,27.4,0.878,0.985,83.9,0.000429,0.951,3.93,2.01e-05,1.76,43.9,6.81,4.47e+04,2.8
eyes-1-pyramid-22-selectivity-0,5.23e+04,1.01,42.1,0,13.6,20,0,0,0,0,0,0,0,0,0.381,0.424,4.7e+04,0.761,19,0.898,0.98,21.8,0.000464,0.914,1.77,3.77e-05,1.8,44.9,2.77,1.54e+04,1.16
eyes-1-pyramid-22-selectivity-2,3.93e+05,1,63.4,0,11.8,5.12,0,0,0,0,0,0,0,0,0.559,0.637,3.45e+05,1.12,27.9,0.877,0.985,149,0.000431,0.955,6.37,1.85e-05,1.75,43.9,10.9,7.72e+04,4.45
eyes-0-pyramid-7-selectivity-0,1.84e+04,1.03,27.6,0,11.6,39.7,0,0,0,0,0,0,0,0,0.253,0.284,1.64e+04,0.507,12.7,0.892,0.977,10.1,0.000618,0.909,0.885,5.39e-05,1.78,44.6,0.873,8.1e+03,0.44
eyes-0-pyramid-7-selectivity-1,8.63e+04,0.965,51.1,0,12,18.2,0,0,0,0,0,0,0,0,0.431,0.493,7.54e+04,0.861,21.5,0.874,0.98,42.4,0.000562,0.964,1.46,1.93e-05,1.75,43.7,2.06,2.19e+04,0.792
eyes-0-pyramid-7-selectivity-2,1.54e+05,1.02,55.5,0,14.6,8.56,0,0,0,0,0,0,0,0,0.493,0.566,1.35e+05,0.986,24.6,0.872,0.982,70.1,0.000521,0.969,2.08,1.54e-05,1.74,43.6,2.95,3.41e+04,1.12
eyes-2-pyramid-22-selectivity-0,5.2e+04,0.974,42.2,0,16.5,12.6,0,0,0,0,0,0,0,0,0.371,0.411,4.69e+04,0.742,18.5,0.902,0.98,21.5,0.000459,0.933,1.39,2.97e-05,1.8,45.1,2.43,1.58e+04,1.07
eyes-2-pyramid-22-selectivity-1,2.23e+05,1.04,59.6,0,11.8,8.62,0,0,0,0,0,0,0,0,0.546,0.622,1.96e+05,1.09,27.3,0.878,0.984,85,0.000434,0.953,3.79,1.93e-05,1.76,43.9,6.38,4.49e+04,2.74
eyes-2-pyramid-22-selectivity-2,3.93e+05,1.03,63.4,0,11.5,4.99,0,0,0,0,0,0,0,0,0.572,0.652,3.44e+05,1.14,28.6,0.877,0.984,154,0.000448,0.96,5.86,1.7e-05,1.75,43.8,10.8,7.53e+04,4.42
eyes-0-pyramid-16-selectivity-2,2.81e+05,1.05,61.4,0,11,7.6,0,0,0,0,0,0,0,0,0.562,0.642,2.46e+05,1.12,28.1,0.875,0.983,117,0.000475,0.968,3.59,1.46e-05,1.75,43.8,6.3,5.47e+04,2.55
eyes-0-pyramid-16-selectivity-1,1.58e+05,1.03,57.6,0,11.8,7.17,0,0,0,0,0,0,0,0,0.518,0.596,1.37e+05,1.04,25.9,0.869,0.982,68.8,0.000502,0.971,1.9,1.38e-05,1.74,43.4,3.52,3.31e+04,1.55
eyes-0-pyramid-16-selectivity-0,3.31e+04,1.04,37.6,0,12.5,28.6,0,0,0,0,0,0,0,0,0.346,0.391,2.93e+04,0.693,17.3,0.885,0.979,16.8,0.000572,0.929,1.14,3.87e-05,1.77,44.2,1.53,1.06e+04,0.68
eyes-0-pyramid-13-selectivity-2,2.36e+05,1.05,60.7,0,11.6,8.15,0,0,0,0,0,0,0,0,0.554,0.635,2.06e+05,1.11,27.7,0.874,0.979,121,0.000589,0.973,3.21,1.56e-05,1.75,43.7,5.27,4.64e+04,2.05
eyes-0-pyramid-13-selectivity-0,2.8e+04,1.04,34.8,0,12.1,30.6,0,0,0,0,0,0,0,0,0.323,0.36,2.51e+04,0.645,16.1,0.897,0.982,11.9,0.000472,0.894,1.2,4.78e-05,1.79,44.8,1.49,9.73e+03,0.639
