Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-2-learning-45-regular-1,3.94e+05,1.03,99.8,0,0.205,0,0,0,0,0,0,0,0,0,0.937,1.03,3.57e+05,1.87,46.9,0.908,0.788,211,0.000591,0.573,66.9,0.000187,1.82,45.4,70.8,4.76e+04,84.9,3.1528177528
batch-2-learning-45-regular-1,3.36e+05,1.01,98.7,0,1.3,0,0,0,0,0,0,0,0,0,0.97,1,3.26e+05,1.94,48.5,0.969,0.731,115,0.000352,0.362,63.6,0.000195,1.94,48.5,40.9,4.2e+04,87.9,2.75276606265
batch-2-learning-45-regular-1,3.18e+05,1.05,99.9,0,0.0659,0,0,0,0,0,0,0,0,0,1.12,1.04,3.42e+05,2.25,56.2,1.08,0.756,88.6,0.000259,0.457,43,0.000126,2.15,53.8,31.6,3.8e+04,55.8,2.5091858093
batch-2-learning-45-regular-1,3.24e+05,1.01,99.5,0,0.512,0,0,0,0,0,0,0,0,0,1.01,1,3.27e+05,2.02,50.5,1.01,0.786,155,0.000473,0.575,49.8,0.000152,2.02,50.5,50.6,4.05e+04,62.3,2.69610673303
batch-2-learning-45-regular-1,3.87e+05,1.01,100,0,0.0459,0,0,0,0,0,0,0,0,0,0.967,1.01,3.71e+05,1.93,48.3,0.959,0.775,146,0.000395,0.475,64.8,0.000175,1.92,47.9,51,4.79e+04,83.8,3.15300396458
batch-2-learning-45-regular-1,2.54e+05,1.01,99.9,0,0.082,0,0,0,0,0,0,0,0,0,1.13,1.01,2.83e+05,2.25,56.3,1.11,0.782,77,0.000272,0.534,32,0.000113,2.23,55.7,28.4,3.14e+04,46,2.06747772095
batch-2-learning-45-regular-1,3.49e+05,1.05,99.9,0,0.058,0,0,0,0,0,0,0,0,0,1.05,1.04,3.52e+05,2.11,52.7,1.01,0.788,116,0.000328,0.496,51.9,0.000147,2.02,50.4,42,4.18e+04,70,2.76528865843
batch-2-learning-45-regular-1,9.91e+04,1.05,63.3,0,32.6,0,0,0,0,0,0,0,0,0,0.938,0.661,1.41e+05,1.88,46.9,1.42,0.79,56.8,0.000404,0.625,18.9,0.000134,2.84,71,20,1.87e+04,31.5,1.25735129231
batch-2-learning-45-regular-1,2.81e+05,1.01,99.9,0,0.0605,0,0,0,0,0,0,0,0,0,1.02,1.01,2.84e+05,2.04,51.1,1.01,0.774,138,0.000487,0.471,61.2,0.000216,2.02,50.5,46.7,3.47e+04,76.8,2.31553231417
batch-2-learning-45-regular-1,1.61e+05,1.02,86.8,0,11.7,0,0,0,0,0,0,0,0,0,0.886,0.887,1.61e+05,1.77,44.3,0.999,0.763,126,0.000782,0.584,39.2,0.000243,2,49.9,41.1,2.27e+04,45.8,1.54273138338
