Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-2-learning-45-regular-1,1.26e+05,1.05,87.4,0,12.4,0,0,0,0,0,0,0,0,0,1.06,0.914,1.46e+05,2.12,53.1,1.16,0.746,47.9,0.000327,0.44,24.5,0.000167,2.32,58.1,24.7,1.72e+04,39.6,1.25024719025
batch-2-learning-45-regular-1,1.03e+05,0.992,72.5,0,26.3,0,0,0,0,0,0,0,0,0,0.836,0.719,1.2e+05,1.67,41.8,1.16,0.72,68.8,0.000572,0.443,32.7,0.000272,2.33,58.2,30.3,1.8e+04,44.6,1.30478476936
batch-2-learning-45-regular-1,1.1e+05,1.02,76.8,0,23,0,0,0,0,0,0,0,0,0,1.03,0.784,1.44e+05,2.06,51.5,1.31,0.738,56.1,0.000389,0.52,24,0.000167,2.63,65.7,27.5,1.75e+04,35.1,1.24946615272
batch-2-learning-45-regular-1,1.44e+05,1.02,83.5,0,16.5,0,0,0,0,0,0,0,0,0,0.668,0.852,1.13e+05,1.34,33.4,0.784,0.724,132,0.00117,0.447,54.9,0.000486,1.57,39.2,51.2,2.12e+04,60,1.5117459539
batch-2-learning-45-regular-1,1.07e+05,1.05,74.3,0,24.1,0,0,0,0,0,0,0,0,0,0.921,0.777,1.27e+05,1.84,46,1.19,0.694,50.9,0.000402,0.43,26.2,0.000207,2.37,59.3,23.6,1.72e+04,41,1.25834432629
batch-2-learning-45-regular-1,7.59e+04,1.05,53,0,41.4,0,0,0,0,0,0,0,0,0,0.626,0.554,8.57e+04,1.25,31.3,1.13,0.688,60.7,0.000708,0.351,36.2,0.000422,2.26,56.5,26.7,1.71e+04,44.4,1.22254770639
batch-2-learning-45-regular-1,1.4e+05,1.05,90.5,0,9.3,0,0,0,0,0,0,0,0,0,1.1,0.946,1.63e+05,2.21,55.1,1.17,0.741,56.9,0.00035,0.417,30.3,0.000186,2.33,58.3,27.3,1.84e+04,44.3,1.29098042372
batch-2-learning-45-regular-1,1.63e+05,1.05,99.9,0,0.109,0,0,0,0,0,0,0,0,0,1.23,1.04,1.92e+05,2.46,61.4,1.18,0.745,56.6,0.000295,0.422,30.3,0.000158,2.35,58.8,28.2,1.95e+04,39.7,1.37331955056
batch-2-learning-45-regular-1,1.02e+05,1.02,74.6,0,24,0,0,0,0,0,0,0,0,0,0.928,0.762,1.24e+05,1.86,46.4,1.22,0.717,46.4,0.000375,0.444,24.2,0.000196,2.44,60.9,22.6,1.66e+04,36.9,1.18257870725
batch-2-learning-45-regular-1,9.25e+04,0.985,64.2,0,35.2,0,0,0,0,0,0,0,0,0,0.539,0.632,7.88e+04,1.08,26.9,0.852,0.637,68.5,0.00087,0.38,35.2,0.000447,1.7,42.6,29.1,1.83e+04,57.4,1.33980636769
