,EXEC,GT,Pred
1046,0.3536819560949491,1.0201676639961557,1.0100775610573192
320,0.3506407281813314,1.018683261717449,1.0103198843138166
530,0.34995538104586815,1.0250935653756672,1.0103778962146217
1163,0.4988042120292701,1.021043166734367,1.0271708775948314
499,0.21681638804608644,1.0538227380285836,1.0453935240523429
1409,0.5002177404961626,1.019341871420205,1.027613427006794
1044,0.5229890580595559,1.029166842282316,1.0354766757922738
1282,0.3600214170979832,1.0247999456445678,1.0096516932463655
1081,0.2106248026469336,1.0411881999278676,1.0481716483388384
420,0.5216776726753524,1.0215429444145374,1.0349863298004265
723,0.920850672102351,1.5075463265932434,1.3959045794164413
880,0.3621137028240365,1.0357885056285348,1.0095346510538983
431,0.497262180974478,1.0184688268111035,1.0266941705172967
667,0.21693049053391728,1.0354782832932024,1.045343285912026
120,0.5184222737819026,1.013542070522124,1.0337889026131752
1135,0.21919576051291204,1.0347671886531162,1.0443530944906187
1172,0.35355345350704975,1.0246420337949362,1.0100873012290963
169,0.2119436016419775,1.0290811461783511,1.0475713472077264
481,0.2183720259750957,1.0241584158489467,1.0447115815330745
815,0.4974335177583437,1.0142179096130677,1.0267468249732983
1280,0.35853045758453567,1.030267540525208,1.0097422175158939
1170,0.5271604497590575,1.0223804511783154,1.037066900673472
790,0.35766553631982867,1.0220412773514318,1.0097974472770062
488,0.35248259860788855,1.025687038238119,1.0101701810298986
1161,0.9779352897682361,1.4525349649536523,1.4822303828272458
480,0.5187221131536678,1.0176040765303878,1.0338980108845344
701,0.4970480099946457,1.018808807927032,1.0266284624853228
1203,0.9117258611458146,1.41395846666507,1.3829108291287155
1118,0.3624020099122724,1.0342476547335382,1.0095194379154915
1488,0.5206924861681241,1.018869580415804,1.034620969712157
792,0.5201784758165268,1.0178832116109726,1.0344313740790034
1207,0.21211493842584328,1.0312455194762546,1.0474936970761246
828,0.5188934499375335,1.023884440134944,1.0339604660609067
56,0.3628550639080712,1.0302607107183124,1.0094959791950453
