,EXEC,FREQ,MEM,PhysIPC%,GT,Pred
1606,0.690590572514262,0.9662320187104771,0.4401856463660856,0.4406690024460898,1.5100875484,1.5396606456474484
2352,0.9380530973500333,0.8911190849965361,0.5515055467511886,0.6530927039953726,1.24467541249,1.2723024723601317
3495,0.24591656131541323,0.34857591388199727,0.6429160063391443,0.47422489588153627,1.05049598241,1.0455492656437508
1620,0.3632111251586934,0.5987889661355014,0.7043845747496038,0.39935215178158256,1.0789320178200001,1.0812019566130013
1038,0.35233881163173797,0.5902108095981622,0.6069730586370841,0.38901743020175844,1.19160048418,1.108164147697491
5754,0.24667509481731148,0.3505943036554888,0.6832963549920762,0.47385469689958354,1.03643661941,1.0293799208780343
3466,0.24773704171996902,0.34776855797260064,0.6788272583201269,0.4753354928273947,1.03916624091,1.0283332652240955
4868,0.250771175727562,0.3544292442251229,0.6587638668779716,0.4755205923183711,1.0262273612200001,1.0372942638340534
823,0.3443742098618063,0.5203408836061314,0.6076703645007925,0.41295696436834795,1.0671647744600001,1.0703074842399767
2598,0.24940581542414517,0.3505943036554888,0.6544532488114105,0.4753354928273947,1.02432994116,1.0381186176614436
524,0.24743362831920973,0.3505943036554888,0.6777496038034866,0.47366959740860715,1.04323465247,1.030378204738704
5838,0.7970922882422178,0.7232563355014888,0.49173269941838355,0.6825543729754744,1.3042744934200001,1.303024379447562
7640,0.9050568900174593,0.914162368243562,0.5225567881679873,0.6153015579204072,1.2337037465,1.341144122475015
4191,0.24697850821807077,0.3516034985422346,0.6843740095087164,0.4732993984266543,1.0287129785,1.0293662965434072
3517,0.24925410872376555,0.3528145324063296,0.6768304278922345,0.47440999537251266,1.04855839427,1.0305521319313389
7191,0.33785082174548137,0.5263960529266061,0.6307765451664026,0.4001850994909764,1.04132008941,1.0591317276752346
5065,0.2495575221245248,0.3532182103610279,0.6848177496038036,0.4749652938454419,1.01373739532,1.0282562284351142
3849,0.268141592921032,0.4632204530163194,0.744215530903328,0.43189881227857474,1.06582279481,1.0742195336642384
1354,0.24834386852148765,0.35503476115717036,0.6840570522979398,0.4731142989356779,1.04392059255,1.0303175969359262
7612,0.2456131479146539,0.34857591388199727,0.6758478605388273,0.47107820453493754,1.0386845794600001,1.0310531517364443
1357,0.24773704171996902,0.3552366001345195,0.6849762282091917,0.4725590004627488,1.04772717963,1.0306245662381697
6547,0.36940581542444867,0.3830903790087034,0.6348335974643423,0.6380379453956502,1.02154493722,1.0374620741429061
2788,0.24925410872376555,0.35079614263283804,0.6813312202852615,0.4749652938454419,1.03684008008,1.0280541853302854
3737,0.35044247787699234,0.3536218883157262,0.6589223454833598,0.6745025451180009,1.02275383529,1.018019168881536
2055,0.3483185840716772,0.354631083202472,0.6578446909667195,0.6720962517353077,1.01248274242,1.0201703920407716
3504,0.24864728192224692,0.3518053375195838,0.678161648177496,0.4749652938454419,1.0561517791500001,1.030102199304765
5385,0.2491024020233859,0.34615384615380734,0.6555625990491284,0.4788523831559463,1.01986134366,1.0357338540848362
6556,0.2509228824279417,0.35564027808921783,0.65689381933439,0.47440999537251266,1.0277240574,1.0385605553073374
6633,0.3957016434905075,0.7180421619196324,0.6400950871632329,0.3475242943081906,1.1577528320000001,1.1362984259906166
7301,0.35180783818040917,0.5383045525902065,0.6142313787638669,0.4079592781119852,1.0504174179799999,1.0701280573035636
3516,0.369254108724069,0.3933841668535105,0.6644374009508718,0.6217491901897271,1.03718559386,1.02088785273747
3138,0.3530214917834464,0.3528145324063296,0.6259904912836767,0.6791300323924109,1.00965934306,1.0422462781810662
4481,0.24879898862262656,0.3518053375195838,0.6768304278922345,0.4747801943544655,1.0204074029299999,1.0303781525894693
3173,0.38305941845861713,0.6717873962774533,0.5595351294247227,0.3590930124942156,1.22689770262,1.1648084712129934
2731,0.35120101137889054,0.5397174254316507,0.5915055467511886,0.40518278574733924,1.12356181698,1.0861681209030736
4858,0.24940581542414517,0.3491814308140448,0.6576545166402537,0.47718648773715877,1.02574070761,1.0360647562626744
2206,0.35044247787699234,0.5263960529266061,0.623676703645008,0.414807959278112,1.06394742683,1.060152390318632
1478,0.34710493046864,0.5328549002017793,0.6015847860538828,0.4038870893105044,1.09594162169,1.0756680965908965
2423,0.35180783818040917,0.35604395604391614,0.5967036450079239,0.6752429430819065,1.0431890955399998,1.0729640671459948
7854,0.3525663716823074,0.5086342229198803,0.6094136291600634,0.44090698750578433,1.03528671153,1.0711009890420051
3914,0.35378002528534463,0.5334604171338266,0.6193343898573693,0.4114761684405368,1.0566175288200002,1.0628819145212889
7269,0.756257901392557,0.7801076474544988,0.6174854727939779,0.6140675613142064,1.20800973348,1.195777576249028
5874,0.6765035217642895,0.9753147726911893,0.4611048222773377,0.42863753553262385,1.51431078025,1.5164630675603343
6788,0.37016434892634686,0.3566494729759636,0.6324564183835183,0.7105969458583989,1.02647408529,1.0450370332096837
2964,0.3492288242739551,0.5284144427000977,0.6079239302694136,0.41258676538639516,1.04313801862,1.0717977421123965
6375,0.24697850821807077,0.34756671899525143,0.6788589540412044,0.4749652938454419,1.0219089320399999,1.028793280197573
3254,0.2475853350195894,0.34978694774609226,0.6770839936608558,0.4751503933364184,1.05887204669,1.030157061440848
6737,0.8990789236103643,0.914042225995188,0.49189495132488115,0.6149269518084219,1.43833474012,1.4022322834786858
6946,0.801896333759297,0.733011886072692,0.48544638140412044,0.6770013882461824,1.3646468065600001,1.3142936549472155
1472,0.9481668773728147,0.9198090539201705,0.49739642291125213,0.6408408805451179,1.39380731852,1.3739218453335797
2962,0.24940581542414517,0.3514016595648855,0.6548969889064977,0.4758907913003239,1.0148300727,1.0384545951827473
3380,0.9275781108948865,0.9141863966934386,0.50459587955626,0.6310570503072652,1.4005756011500001,1.3644282273911128
5179,0.2491024020233859,0.3516034985422346,0.6566719492868464,0.47440999537251266,1.02279830973,1.0377980077808573
6628,0.2658659924153372,0.4613702623909552,0.7223983095610143,0.43159031312633045,1.11789680955,1.0719211371183017
5239,0.24424778761123708,0.3455483292217599,0.6356259904912837,0.4729291994447015,1.0699796881399999,1.0492175437393878
1829,0.38366624526013576,0.6581969051356069,0.5845641838351823,0.3626099028227672,1.10414167184,1.1317691698204841
4270,0.4001264222513278,0.725106526126853,0.6368726888526149,0.34783279345950946,1.1676630668,1.1412935581476118
2419,0.36728192161913353,0.3721910742318489,0.6039936608557845,0.6426654326700602,1.02446600961,1.0562943303452519
2229,0.34027812895155574,0.5328549002017793,0.6046592709984152,0.3988894030541416,1.10073610541,1.0772618564127576
2748,0.3977243994950639,0.7289751065257088,0.6238246170095089,0.3444393027922258,1.1400927032400001,1.1501152257879603
2604,0.24864728192224692,0.34756671899525143,0.6557527733755942,0.47700138824618227,1.04164036903,1.0365999285795722
4384,0.3683438685217911,0.3459520071764582,0.6222503961965136,0.7107820453493753,1.03588360088,1.0426373327834026
113,0.24925410872376555,0.35503476115717036,0.6375594294770207,0.4731142989356779,1.08986273487,1.0493888527947104
3457,0.344070796461047,0.4882484862076152,0.5756259904912837,0.4381304951411384,1.10169522696,1.087257358429329
1557,0.3907964601779793,0.6600134559317493,0.603391442155309,0.36871818602498846,1.09266664264,1.118983096938404
3678,0.3654614412145777,0.35382372729307543,0.6624088748019018,0.7065247570569182,1.02125405736,1.0200736604666263
5885,0.24895069532300623,0.3554384391118687,0.6817749603803487,0.4731142989356779,1.04549284767,1.030692301094235
7287,0.7661188369172343,0.7304552590266057,0.5788589540412045,0.6485886163813049,1.15843396248,1.1732501011974463
5422,0.3513527180792702,0.3505943036554888,0.6529001584786054,0.6770939379916704,1.0218126243999999,1.0191428029668779
5413,0.38670037926772877,0.6567840322941628,0.5747385103011095,0.36316520129569646,1.12277873543,1.1351391275306133
7845,0.25016434892604344,0.34857591388199727,0.6564183835182251,0.4755205923183711,1.03044034612,1.0354281485012082
1590,0.3630341340085033,0.36694326082077067,0.6235499207606973,0.6398889403054142,1.06617805708,1.0345232346459703
4920,0.3963337547418365,0.7136689840774038,0.6738510301109351,0.35107203455159647,1.11285244345,1.1257600986716998
3928,0.34877370417281617,0.34575016819910903,0.6273534072900159,0.6759833410458121,1.03958812731,1.0346752437071767
5686,0.2472819216188301,0.35301637138367875,0.6925515055467513,0.4716335030078668,1.03561847828,1.0278040264470727
1554,0.25107458912832137,0.3574568288853603,0.6840253565768623,0.4753354928273947,1.0168167939,1.029792840642302
6746,0.24773704171996902,0.3491814308140448,0.6772741679873218,0.4747801943544655,1.04036284846,1.0295808022615893
4080,0.2513780025290806,0.35503476115717036,0.6571790808240887,0.47626099028227675,1.0137429278399999,1.0379719655691426
7588,0.9087231352741056,0.8808252971517291,0.5589857369255151,0.635631652012957,1.1954332782700001,1.2481004088187797
6718,0.37168141593014337,0.46843462659817575,0.6989698890649763,0.5744254203304026,1.08471056661,1.0629755953323166
5421,0.38214917825633926,0.37279659116389635,0.6704595879556262,0.6608051827857474,1.03560554094,1.004360859296666
3789,0.2460682680157929,0.3491814308140448,0.6846275752773376,0.47348449791763064,1.01379895941,1.0286621702802679
3191,0.35903919089825304,0.5740636914102295,0.5983359746434231,0.40459663735955576,1.17225657573,1.1052308781363647
70,0.9342604298405419,0.9020520296026124,0.5595351294247227,0.6404442387783434,1.2288450221,1.2634727778636345
5365,0.9570164348974894,0.8907826867012907,0.5245905969350237,0.6652784204840352,1.22802722245,1.299966546912899
165,0.607680151708237,0.9770267997307719,0.40463549920760705,0.3840814437760296,1.69923503148,1.6143251693445189
