,EXEC,MEM,L2MISS,GT,Pred
3476,0.35120101137889054,0.6267194928684627,0.011694010889302808,1.02707399749,1.032262370658553
3243,0.25168141592983995,0.6588272583201268,0.013214156079866798,1.0219253923,1.0179195846656803
286,0.24849557522186727,0.6503011093502377,0.012030490018159735,1.02818544687,1.028414356192572
367,0.35347661188458535,0.6225356576862124,0.011065154264982818,1.01223372622,1.0369468972232068
5159,0.3678887484206521,0.6311251980982567,0.011707078039938026,1.0323168865299999,1.023875698234943
6665,0.2528950695328771,0.6599366085578448,0.012467695099829822,1.01595496313,1.0162882688447676
5153,0.804804045514045,0.4824617010031696,0.040653357531706576,1.33508165459,1.2933631994037806
7842,0.24819216182110798,0.6582884310618068,0.013246823956454852,1.01855476372,1.0195498788261634
6791,0.2500126422256638,0.6574009508716324,0.012789473684222131,1.03747194718,1.020002543345592
363,0.372288242731662,0.6319175911251982,0.01911615245010809,1.0137751735,1.0230856712348642
888,0.239506953224373,0.6351426307448494,0.010250226860263384,1.01100190534,1.0478885389311605
5175,0.24970922882490448,0.6559429477020603,0.012990925589848448,1.02032608155,1.0217402925942105
1607,0.2503160556264231,0.6540729001584786,0.012758983666073281,1.01047812844,1.0236654019385618
2973,0.37031605562672654,0.6302377179080825,0.012105626134312254,1.01934160639,1.024625926301776
3473,0.9178255372968847,0.5289223454833598,0.02499546279495008,1.26073149946,1.2452193406943648
3146,0.24986093552528416,0.6597781299524564,0.012945190562625176,1.02121526692,1.0173723461597088
7261,0.24864728192224692,0.6580982567353408,0.012969147005456412,1.0259836753,1.01962217115089
5157,0.2506194690271824,0.6574009508716324,0.013393829401101082,1.02849936143,1.0198441568809482
5193,0.24121365360364408,0.5953090332805071,0.07121597096195209,1.10098776704,1.0936004589184303
1823,0.6990428029633352,0.51677609237084,0.950868550688703,1.44074076866,1.400869008361734
4119,0.3892793931741828,0.5795879556259905,0.5564428312164759,1.079996757,1.1123831662156412
7304,0.3847281921627933,0.5970206022187005,0.6043557168789513,1.1370241101799998,1.0831263962030988
4114,0.7998735777517065,0.5219228737448495,0.05362976406538441,1.2372194280500002,1.2303488827349103
3138,0.3530214917834464,0.6259904912836767,0.01120072595282323,1.00965934306,1.0327791775785058
7573,0.2491024020233859,0.6581933438985738,0.012946823956454578,1.0403646994700002,1.0193808586199289
4392,0.38806573957114565,0.574231378763867,0.6059891107083538,1.09244723308,1.1161977572695723
3482,0.24879898862262656,0.6537876386687798,0.012378947368432284,1.0290661209799998,1.0244132473862537
4083,0.6667509481685633,0.4897253037496038,0.7382032667892361,1.3161790039799999,1.406497031011399
7306,0.24940581542414517,0.6566085578446911,0.01302903811253451,1.02955514098,1.0210797540333685
4945,0.24925410872376555,0.6578763866877972,0.012887477313986285,1.02528180191,1.0196916227710173
280,0.25319848293363645,0.6522662440570524,0.012980036297652429,1.02798157619,1.0248877400328285
7656,0.2475853350195894,0.6535340729001585,0.012731215970973438,1.01760894062,1.0250607678060524
7578,0.6175726927957462,0.5221870047543582,0.5117967332128056,1.2489999860299998,1.292245647114447
3151,0.24879898862262656,0.6543581616481776,0.013419963702371522,1.02680873619,1.0238024161126986
4390,0.24970922882490448,0.6606022187004755,0.013426497277689131,1.0305989440799999,1.0165024843849906
7658,0.24788874842034866,0.6565451664025356,0.012571687840301788,1.02494953314,1.021580827878029
5390,0.3493805309743348,0.6028209191759113,0.11967332123422837,1.05572709989,1.0725447952555511
6589,0.3468015170678807,0.5849445324881141,0.10780399274056969,1.08307571778,1.0941685173427795
1819,0.9747155499392535,0.48565768621236133,0.02300816696917695,1.30167917155,1.348841710038132
4701,0.9254108723158672,0.5311938721600634,0.029133393829518267,1.22903144881,1.2463594053624065
5181,0.3355752212397866,0.6281458003169572,0.011894918330319321,1.02198239806,1.0334520151887356
273,0.2515297092294603,0.6559429477020603,0.011717967332134045,1.02060803641,1.0211718062132686
4224,0.25046776232680273,0.6616164817749604,0.014477313974604786,1.01552444207,1.0151659161496815
5267,0.6857142857160197,0.48322390762916007,0.6572465646893441,1.50820904026,1.4216514235197333
5279,0.24879898862262656,0.6567036450079239,0.012925589836672345,1.01550980626,1.0211466199687154
7307,0.25168141592983995,0.6594928684627577,0.012500907441027675,1.024869937,1.0171458249719916
4879,0.24743362831920973,0.6581933438985738,0.011984754990936463,1.04214517933,1.0198441815645765
5163,0.3542351453864836,0.607797147385103,0.12092558983677035,1.05864099656,1.0660190007688537
4695,0.6766118836932405,0.44650215078129957,0.8785325382421765,1.44574802613,1.5023469106217648
1909,0.25046776232680273,0.6545483359746435,0.012552087114348957,1.0149430066299998,1.023079027337652
6498,0.6710854253220508,0.4205569390998415,0.8485869847031293,1.4799300009,1.540888114188137
6668,0.250771175727562,0.6595879556259905,0.012756805807634079,1.01715760502,1.0173134460127782
5607,0.2472819216188301,0.6541679873217116,0.011203448275872234,1.03785445838,1.024390980292248
6546,0.3549936788883818,0.6061172741679874,0.0837386569873718,1.04819274755,1.064846693729773
6659,0.35044247787699234,0.5784786053882726,0.08891107078047994,1.07485725246,1.1003066618227186
4699,0.2503160556264231,0.6599366085578448,0.012936479128868361,1.02517962918,1.0170594774831034
4702,0.2509228824279417,0.6568621236133122,0.012683303085310963,1.02094744454,1.020341668859861
7586,0.2503160556264231,0.6576862123613313,0.012424682395655556,1.03518514015,1.019581160198681
6671,0.3590897597986324,0.5725832012678289,0.02078221415609871,1.06999567321,1.0992089941015
7310,0.3663716814168556,0.6320443740095087,0.011593829401099449,1.0227741086700002,1.022974409529068
4864,0.3633375474092626,0.5770206022187006,0.04938294010893773,1.08649209635,1.0968251833232647
7595,0.24834386852148765,0.6566402535657686,0.012696914700555985,1.0308380461,1.0213442686541931
6949,0.6654867256651467,0.48927628103645016,0.7014519056276782,1.3827501220899998,1.4022970129097285
4862,0.25046776232680273,0.659904912836767,0.012616878402915258,1.02266340952,1.0170409242356175
7579,0.24864728192224692,0.6569889064976229,0.012800362976418147,1.02755776115,1.0208661004547621
4090,0.9393173198481399,0.5048335974643424,0.027037205081703295,1.2461767624,1.2994054343381372
5832,0.3612136536039475,0.6343581616481775,0.01979128856626115,1.02456468033,1.0219755356176088
5834,0.6402022756021246,0.4474756622139462,0.3655690951527818,1.46098800278,1.3969079094768024
4872,0.2509228824279417,0.6582250396196513,0.01286460980037465,1.02486485755,1.0188097787526473
4127,0.25016434892604344,0.6569255150554676,0.01317604355718074,1.0173539017,1.0205060816849998
5825,0.25213653603097885,0.6596196513470682,0.01313248638839667,1.02270253668,1.0168893120783613
7583,0.2509228824279417,0.6572424722662441,0.012468239564439626,1.02549572407,1.0199058666057024
4956,0.24879898862262656,0.6561965134706815,0.012529219600737322,1.0292289347299999,1.0217057839746022
6786,0.2527433628324975,0.6583835182250396,0.012517241379321701,1.03223495461,1.0180891659564326
2423,0.35180783818040917,0.5967036450079239,0.010431397459174619,1.0431890955399998,1.0690002229518798
7915,0.36713021491875386,0.6311568938193345,0.011587840290391638,1.01873995928,1.0239508403552415
7636,0.35059418457737196,0.6281774960380349,0.01133466424683424,0.9960010383700001,1.0305351084358767
6945,0.25016434892604344,0.6586370839936608,0.01256079854810577,1.0210115052200002,1.018557778901903
4874,0.24895069532300623,0.6542947702060221,0.012479128856635642,1.01806429912,1.0238013795757799
4123,0.2491024020233859,0.6550871632329636,0.012484573502733652,1.0348973471,1.022865224592301
3795,0.35226295828154813,0.5812044374009508,0.07448275862075723,1.1198003317,1.0953421510319785
7850,0.3495322376747144,0.6282725832012679,0.011821960072606007,1.01773214596,1.0306666579216457
3237,0.24879898862262656,0.6544849445324881,0.012641923774966098,1.0301801971,1.0236361873373259
1602,0.3634892541096423,0.6107131537242473,0.011541016333948766,1.0460833572900001,1.050023191131992
4124,0.34786346397053824,0.6265610142630745,0.011880762250464501,1.0203115213,1.033081612664693
6548,0.36728192161913353,0.6316957210776546,0.012203629764076409,1.02596115875,1.0233292015989024
5389,0.2500126422256638,0.6574326465927101,0.012800362976418147,1.02590433385,1.0199671484052288
5609,0.24986093552528416,0.6574960380348652,0.01282758620690819,1.02960889574,1.0199408348855248
4381,0.24986093552528416,0.6569572107765452,0.013638838475511467,1.0285642545,1.0205726939180557
2958,0.39125158027911827,0.6046592709984152,0.5597096188752809,1.06679388781,1.077675845510289
282,0.3508975979781313,0.5799366085578447,0.07551724137937886,1.13959687128,1.097141830330699
1812,0.24986093552528416,0.6527416798732172,0.013377495462807054,1.03927081998,1.0253163820038775
4698,0.35378002528534463,0.6048494453248812,0.08368421052639172,1.05266753716,1.0665511092625377
3798,0.36728192161913353,0.6317908082408875,0.012384936479140095,1.0266003966700001,1.0232331512528379
5829,0.36758533501989277,0.6305863708399366,0.01179854809438457,1.0133855277500001,1.0246120935717613
7913,0.8343868520880771,0.5254094030649763,0.06937386569870178,1.22393554926,1.2434741444570463
