,EXEC,FREQ,MEM,L3MISS,L2MISS,PhysIPC%,L3HIT,INST,L3MPI,GT,Pred
3069,0.2400758533507967,0.2888820363309835,0.6308637083993662,0.28439342881201163,0.010134528130680701,0.5224433132808884,0.6476930792377132,0.41716520999569473,0.45486749594350745,1.0012184497399998,1.016960424613525
1675,0.3510493046785109,0.3514016595648855,0.6518858954041206,0.28088458298219,0.012917422867525332,0.6757982415548357,0.628284854563691,0.34656722377732013,0.3123814674597193,1.00179191983,1.0267886095989667
6385,0.25198482933059924,0.35604395604391614,0.662123613312203,0.2650505475988774,0.01263157894737988,0.47644608977325303,0.6746238716148445,0.49085557994727924,0.41732468000698547,1.0104863034799998,1.0306525713680312
543,0.3474083438693993,0.5209464005381789,0.5928684627575277,0.24334877843292194,0.08499092558991377,0.416658954187876,0.9530591775325978,0.5193107445831808,0.26538669551094357,1.09429040473,1.0840713242131659
3213,0.4084161098081124,0.7612212860028301,0.7364047996386688,0.4963774220726637,0.6000777806602541,0.34164077477371585,0.9881071786790372,0.6471272608024522,0.429601586443431,1.19547662199,1.166703581932243
134,0.3493805309743348,0.35220901547428207,0.582757527733756,0.2567059814657722,0.009754627949192154,0.6754280425728829,0.6180541624874624,0.35005192156621406,0.2848458626282938,1.04404011496,1.0453448439477044
5869,0.3659924146659065,0.2906481273827887,0.6134310618066562,0.2599199663014912,0.008948956442839336,0.7908375751966682,0.5616850551654965,0.27549829145043503,0.27545069406871714,1.0381575607200002,1.0170364294594323
1425,0.6781289506970372,0.9718546759361997,0.4752377179080825,0.37703506739663983,0.7894736842112426,0.43105043961129114,0.994358074222668,0.4972787529752397,0.21156480980698855,1.56986978646,1.4954768720936007
1819,0.9747155499392535,0.9007064364206211,0.48565768621236133,0.1442853131142821,0.02300816696917695,0.6674379145460435,0.8152791708455365,0.31968403345592766,0.05644883120005962,1.30167917155,1.3297484901022876
7492,0.26750948166970295,0.46406144875493793,0.7418647649223455,0.3698294018532562,0.019621597096215623,0.4314360635511337,0.6633233032427283,0.6018982321462873,0.5154828435784125,1.08098592468,1.0740289995328263
