,EXEC,GT,Pred
1114,0.37394991599327937,1.0390448688751015,1.0314634910755538
1076,0.3819382473674817,1.0624437696353453,1.0313968200434813
24,0.5372835980724612,1.061744785784816,1.067025048957634
1199,0.5162997655197031,1.0405608484474764,1.0581094212150592
1295,0.5159305052096476,1.0435368958813591,1.057964004180273
868,0.38033196501873995,1.0503946379091111,1.0313953076460916
1250,0.377654827770837,1.0713224514670214,1.0314094750033025
1112,0.3777619132607531,1.050980863277609,1.0314085077965454
160,0.3794038907728004,1.0605410263741222,1.0313978567147162
600,0.5367124754595751,1.065759610043192,1.066765424150507
1484,0.38004640371229687,1.0538507123142444,1.0313958249665867
27,0.9038537717163715,1.4401926799118399,1.4295176734686712
1072,0.3857933250044619,1.0570796375714753,1.031431089001069
1334,0.38547206853471366,1.0377950850173014,1.03142658114067
40,0.3794518946131074,1.0428573568655055,1.0313976633859023
416,0.3780474745671961,1.0542274435465833,1.031406091750273
1416,0.5326432268427628,1.0502502731712402,1.0649430770052157
510,0.5332857397822595,1.049127451182368,1.0652276119284072
1249,0.2367992516324383,1.0338242362235601,1.0615766286877262
986,0.3729159871251238,1.04487076728226,1.0314856956037608
1078,0.37450380645836284,1.044335493409549,1.031452875670421
559,0.2487595930751383,1.026998988783399,1.0567715834015643
784,0.3797965375691594,1.052467603892167,1.031396472315581
861,0.9293490732005812,1.4652167053744836,1.4692760043242057
1242,0.5332500446189542,1.057820942160838,1.0652117729108599
692,0.37398684202428506,1.0482492219971666,1.0314627556015843
1088,0.3790469391397465,1.0524795380538416,1.0313995046465065
1480,0.37550080929551294,1.0409812521168005,1.0314360181450044
1290,0.5330272575652204,1.0301032134920594,1.0651129993983295
1495,0.25054435124040697,1.044098122199412,1.0560902602883486
512,0.3832589684097804,1.0538487153056015,1.0314036892870293
378,0.534963412457612,1.0529255838698637,1.0659762288833692
14,0.37986792789577023,1.046343043600573,1.0313962688164817
782,0.37986792789577,1.0627051651138983,1.0313962688164815
1197,0.9371440624340854,1.5572859843037263,1.481809442187148
936,0.5393182223808672,1.0506517986288344,1.0679576777607185
1016,0.3832589684097806,1.0474804665131052,1.0314036892870293
1070,0.3728052090321071,1.0454766759483922,1.0314882592008794
1499,0.5194003212564697,1.0466369521662495,1.05934609589834
5,0.5161889874266863,1.0463719384153949,1.0580657544341823
1243,0.2518293771194003,1.0449508859354466,1.0556054483255504
479,0.514970428403503,1.0458554421767872,1.0575877772009195
471,0.9281634838479386,1.5311731331389935,1.4673852089292436
52,0.37872568266999823,1.0453405404579932,1.031401304857489
265,0.24520792432625374,1.0493787350903183,1.0581549984482497
901,0.24872389791183291,1.046466223216232,1.0567853044292725
1292,0.3834374442263072,1.051875754651457,1.0314050069503067
346,0.37986792789577006,1.0510402970472092,1.0313962688164817
13,0.24686774941995354,1.042735514432542,1.0575039081125286
111,0.905096522211938,1.4960723408346954,1.431411803629977
415,0.2533642691415314,1.0412747026648077,1.0550326661702454
1149,0.9236995131345747,1.5161225219741497,1.4603027036984584
1013,0.5183306972250088,1.0351889373659209,1.0589163088029139
562,0.38022487952882383,1.0383717426767856,1.0313954738279114
269,0.5205831851163477,1.0478997697292114,1.0598252614456223
1351,0.2592608798282027,1.0734670945963196,1.052895973905093
1008,0.5376060854099096,1.045879926946576,1.0671720668244764
44,0.3777262180974477,1.0614083160402827,1.031408826490349
1478,0.3793325004461895,1.05260096690432,1.031398156633484
939,0.9264887165928549,1.4939177565732762,1.464721236767665
866,0.38058183116187755,1.059014215606584,1.0313950496842195
925,0.23840085668391928,1.0479454269763546,1.0609090429821537
345,0.9377374365773438,1.4920536921644232,1.4827707624475397
1487,0.5259682313046581,1.0545894089329155,1.0620581569952343
1479,0.945896331047143,1.4906148230048266,1.4960928351567364
1244,0.37365450774523484,1.0427648435878418,1.0314695177373947
1350,0.5328217026592895,1.0530118776829571,1.0650219939592946
603,0.9184875449376607,1.4904743487370915,1.4521068210636072
38,0.3813279752206478,1.083020650491109,1.0313953608735917
112,0.38918436551847213,1.052548340877649,1.0314969917089372
960,0.535907487983654,1.0478609525091096,1.0664010995383895
1248,0.5364983044797431,1.0461052662626835,1.0666683096054543
1419,0.8992830495858052,1.440866368332479,1.4225899058744322
45,0.9139093604036168,1.4583833324303148,1.4449727976911693
924,0.5335442219992984,1.0397210575772229,1.0653424189205436
1369,0.24609316437622705,1.0403204912818151,1.0578067523997996
97,0.24897019453863997,1.0452411485117947,1.0566907048235603
541,0.24059253971086916,1.0496650631115083,1.0600075979032342
1079,0.515635096961603,1.0404709778619978,1.0578479562926115
867,0.9093052310016646,1.52057120696251,1.4378598691538556
694,0.3750207708924407,1.0421670606667142,1.0314437735874928
964,0.37979653756915943,1.048137458279303,1.031396472315581
1392,0.532731849317176,1.0396366027689283,1.064982251766476
1150,0.38468677494199527,1.0527620507689073,1.031416826507397
1294,0.38033196501873984,1.0437939598209651,1.0313953076460916
418,0.3820453328573977,1.0778895900958814,1.0313971878782866
1148,0.3801891843655184,1.0622483725370313,1.0313955366387488
1245,0.8792714866205397,1.5076080316407343,1.3929746032027497
1353,0.9197860031429155,1.4332638003742155,1.4541412672018004
1293,0.9532698075508331,1.4503353024248098,1.508299123814893
