,EXEC,MEM,FREQ,GT,Pred
2795,0.24970922882490448,0.6811727416798732,0.35402556627042453,1.02422337416,1.03577616186739
1476,0.24743362831920973,0.6690966719492869,0.34776855797260064,1.0592700523899998,1.034350438000113
661,0.24834386852148765,0.6734389857369255,0.34958510876874305,1.04823444501,1.0346394124313854
670,0.34573957016522316,0.5811727416798733,0.5112581296254193,1.15472065563,1.1066739537938597
4662,0.24576485461503358,0.6742630744849446,0.3441354563803158,1.0440834005700002,1.0338824705450178
1450,0.24864728192224692,0.6763232963549921,0.35382372729307543,1.02950044474,1.0352944820412286
2254,0.2491024020233859,0.6849762282091919,0.3505943036554888,1.0301528343100002,1.0357494994018595
127,0.3951959544889892,0.5636027469619652,0.7135007849292765,1.23955005093,1.1844785701356901
2362,0.24804045512072834,0.6772424722662442,0.3493832697913939,1.04113188713,1.034769139328291
2249,0.24500632111313528,0.6328050713153726,0.3511998205875363,1.09310578176,1.0410252006136842
2236,0.2495575221245248,0.6831695721077655,0.3524108544516313,1.02968427119,1.0357793555076342
2241,0.251226295828701,0.6865293185419968,0.3562457950212653,1.03183629159,1.0368440907005283
2794,0.24834386852148765,0.6783518225039621,0.35402556627042453,1.03134667206,1.0354457689011491
5244,0.3581795195963545,0.6321394611727417,0.37602601480148284,1.0257712298700001,1.0536423598169784
5719,0.24864728192224692,0.6851664025356577,0.35200717649693297,1.02481970659,1.0359507676725581
5726,0.2471302149184504,0.6702377179080824,0.3459520071764582,1.02683970354,1.0341208426875244
2796,0.24682680151769115,0.6669413629160064,0.3471630410405531,1.043251181,1.034296820478584
4663,0.935163445913869,0.504392121348653,0.9192323711271676,1.4119253428100003,1.4036022874569307
1764,0.34710493046864,0.6240253565768621,0.5320475442923827,1.0690094037200002,1.0860360257684238
669,0.38412136536127467,0.5862757527733756,0.6608208118411459,1.13238923827,1.1483072251393436
3465,0.2475853350195894,0.670459587955626,0.34756671899525143,1.0494633356999998,1.0343263992656273
1420,0.933971464697684,0.4884989812091917,0.901211033863994,1.4205838052000002,1.4272149219648007
2671,0.34892541087319584,0.6600316957210777,0.35200717649693297,1.02972278646,1.0384332802842962
