,EXEC,FREQ,MEM,PhysIPC%,L3MPI,L3MISS,L2MISS,L3HIT,GT,Pred
6806,0.9362470652033786,0.920529907410415,0.5520262621695722,0.6309248363850068,0.08758788534332744,0.20709772535732643,0.030089447757468316,0.8658833643791374,1.39059920103,1.3269260252544113
6599,0.24773704171996902,0.34474097331236325,0.6489698890649763,0.47663118926422954,0.432796106003011,0.27767059814647105,0.012793284936490736,0.6772316950852558,1.01593223324,1.0277147122926014
4191,0.24697850821807077,0.3516034985422346,0.6843740095087164,0.4732993984266543,0.46126554894512645,0.2927969671439373,0.013535390199649304,0.664593781344032,1.0287129785,1.0364512387211884
3030,0.25107458912832137,0.3554384391118687,0.659904912836767,0.4755205923183711,0.4197728501890645,0.2646967144059542,0.012658802177869926,0.6834503510531594,1.0072778623799998,1.0244984200046987
6362,0.24652338811693184,0.35200717649693297,0.6843740095087164,0.4720037019898195,0.4989976563905721,0.3132898062340719,0.014297640653370506,0.6722166499498495,1.06184063576,1.039758086223491
222,0.25046776232680273,0.3570531509306619,0.6807606973058637,0.47348449791763064,0.41666846944271685,0.26227885425431247,0.01360834845736262,0.7055165496489468,1.03736556488,1.0222128521813207
1884,0.3466498103675011,0.51105629064807,0.5947068145800317,0.4270245256825544,0.2627870921217256,0.23751053074968934,0.09081669691478295,0.9532597793380141,1.05869434107,1.0755536704509023
6580,0.781441213655579,0.7034088360618185,0.5561965134706814,0.6837575196668209,0.09123345952762328,0.18974304970505906,0.03567332123415215,0.9231695085255768,1.18895006793,1.1340994303600045
5269,0.369254108724069,0.34857591388199727,0.6322345483359747,0.7141138361869505,0.28194339282479797,0.2698272957033404,0.011870417422878284,0.60641925777332,1.02068785457,1.0324601107439282
7386,0.3780025284457093,0.4613702623909552,0.7025356576862124,0.6429122319916706,0.3527762754640241,0.3535874754276101,0.01833439201452662,0.623370110330993,1.10119088704,1.0940679747708857
5278,0.3543868520868632,0.3453464902444107,0.627068145800317,0.6885701064322074,0.27770326302490844,0.2567649536645928,0.011452813067161026,0.6152457372116349,1.02412965348,1.023718075125801
5040,0.24682680151769115,0.35079614263283804,0.6853882725832012,0.4732993984266543,0.4590192897058992,0.29270850884570654,0.013600725952825408,0.6700100300902707,1.0413322894900001,1.0355209615694898
5795,0.24697850821807077,0.35301637138367875,0.6902694136291601,0.4725590004627488,0.4979376239405997,0.31921651221553526,0.014335753176056565,0.6555667001003008,1.05197406025,1.0467061497189745
4953,0.24864728192224692,0.34958510876874305,0.6552773375594295,0.47626099028227675,0.4542996214167365,0.2870766638583458,0.01363938294012127,0.6810431293881646,1.03738483879,1.0301772273668062
271,0.3548419721880022,0.5358824848620166,0.5772741679873217,0.4122165664044424,0.25062195781489965,0.2404591406907159,0.11281306715073756,0.9640922768304915,1.0369719902799999,1.089714421099169
2571,0.24986093552528416,0.3524108544516313,0.6561965134706815,0.4757056918093475,0.42439156300680136,0.2670261162593652,0.013096007259540013,0.6958876629889669,0.989974193379,1.0235946078930245
5720,0.2472819216188301,0.34756671899525143,0.674960380348653,0.4753354928273947,0.4613160266808395,0.28778433024419214,0.013621960072607641,0.6698094282848546,1.02480791997,1.03027029919497
7419,0.2471302149184504,0.35382372729307543,0.6512202852614897,0.4720037019898195,0.4113935460607113,0.25865206402684976,0.012069691470065399,0.6770310932798396,1.09707850741,1.0285057750589248
6404,0.78538558786545,0.7268221574343208,0.564500792393027,0.6663581675150393,0.10817378763289626,0.23577085088448366,0.07186932849371312,0.9550651955867603,1.1273664273200001,1.1195927583723237
4245,0.24895069532300623,0.3483740749046481,0.6580031695721078,0.47700138824618227,0.4125797728499662,0.2629865206401588,0.012225408348468443,0.6643931795386159,1.00372707285,1.0277468507513485
2779,0.24849557522186727,0.35564027808921783,0.6033597464342314,0.4731142989356779,0.43433567694225655,0.26634793597292905,0.011172413793113586,0.6830491474423269,1.04598435526,1.0248371913352412
2535,0.24637168141655216,0.34978694774609226,0.6809508716323297,0.47385469689958354,0.4858986839730562,0.30957455770837844,0.014119600725965626,0.676629889669007,1.02516137748,1.0379454937181247
4466,0.25016434892604344,0.36209912536439093,0.6997464342313788,0.46904211013419717,0.49238507301217294,0.31385004212286693,0.015294010889306072,0.675827482447342,1.0296216120100001,1.041583628409278
218,0.3560556257910394,0.5463781116841729,0.6328367670364501,0.41018047200370195,0.28971696412459547,0.2648441449030055,0.08264972776777009,0.9418254764292879,1.07887955677,1.0662143366600336
7113,0.26687737041761544,0.4628840547210739,0.7328050713153724,0.43174456270245254,0.4891713238380264,0.3510320134792118,0.019035390199645223,0.6768639251083249,1.10585471884,1.0846321936217589
1559,0.6646920715207705,0.979063210841671,0.48129952456418384,0.4200436305941693,0.15561564809762635,0.2893007582144948,0.7727508426241131,0.9965611119067201,1.42693667565,1.4930415404440325
7131,0.24576485461503358,0.35099798161018714,0.6859270998415214,0.4716335030078668,0.46785289345566916,0.2980749789383748,0.014014519056274058,0.6712136409227684,1.0049839731999999,1.0384108355806654
773,0.3451327433637046,0.2888820363309835,0.611014263074485,0.7496529384544193,0.3159590769783761,0.27458930075809834,0.009479809437395171,0.6035606820461384,1.0046339376200002,0.9855125294913907
5380,0.3604551201020493,0.33787844808249184,0.5852614896988906,0.6713558537714022,0.2303551469261419,0.2235636057286337,0.01876769509983554,0.8339017051153461,1.06956946281,1.0614744480465428
5341,0.37939317319969507,0.483236151603108,0.7222134178541998,0.5721116766931976,0.36007451475210384,0.3722865768046031,0.030521778584510453,0.8164493480441325,1.06400629766,1.0669221970647373
5217,0.36591656131571665,0.35382372729307543,0.6678605388272584,0.7083757519666821,0.31419866594538626,0.29618786857611784,0.013092196007271406,0.6066198595787362,1.03112469793,1.0264689450001652
5664,0.3632111251586934,0.591220004484908,0.6789223454833597,0.40012339966034244,0.307787993509839,0.31198750351060994,0.08439201451913284,0.9394851220330993,1.13555773923,1.1035438280970498
5166,0.6584070796476825,0.9708454810494539,0.4519130631648177,0.41898591921702916,0.11323237786188217,0.1884582982313865,0.601633393829947,0.9968476859147442,1.4225933035499998,1.4731369683163251
6225,0.24621997471617252,0.34998878672344136,0.6785736925515056,0.47348449791763064,0.4826176311517131,0.3044439764109922,0.013720508166981596,0.6676028084252758,1.02337620861,1.0375821754547665
2142,0.3998735777509479,0.725611123570226,0.6246434231378765,0.3462902977019899,0.28690283035859737,0.3244945240099728,0.5648820326683891,0.9926446004684053,1.19421850461,1.1753011362917072
3169,0.3468015170678807,0.5015698587126597,0.5694136291600634,0.4270245256825544,0.2590265008111093,0.2526368997471556,0.07584392014525938,0.9452357071213641,1.1398941681399999,1.0842798854189941
5671,0.36409608091116086,0.6364655752413505,0.7008188061283677,0.3711244794076816,0.33380505979231995,0.3257722549849091,0.12304900181499369,0.9540287529257774,1.12416111267,1.096370016515676
