,EXEC,L2MISS,MEM,L3MISS,GT,Pred
2341,0.3668268015179945,0.02208348457352276,0.6401267828843107,0.2678517270428526,1.0477485420000001,1.0561750317405374
1356,0.3681921618214114,0.01548947368422458,0.6773058637083993,0.3184498736308684,1.03703657069,1.0535325266270512
2142,0.3998735777509479,0.5648820326683891,0.6246434231378765,0.3244945240099728,1.19421850461,1.1626779516394845
340,0.24864728192224692,0.013757531760448055,0.6739461172741681,0.27416175231664947,1.03101624933,1.040261892485527
3178,0.24849557522186727,0.013667150635221113,0.6739144215530903,0.2778770008423429,1.06109994448,1.0420111684346272
4520,0.9373306844853032,0.02674487944001519,0.5639121575736926,0.18376158382490151,1.38053773015,1.2976761582503378
3908,0.3495322376747144,0.01263157894737988,0.6451030110935024,0.2772872788541376,1.04077299192,1.0527825094567878
2128,0.37332490518450906,0.09056261343029995,0.6787638668779714,0.30230623420374797,1.14480347292,1.0680208227809234
3382,0.3437673830602877,0.094029038112608,0.6099207606973059,0.23037489469240505,1.07340108506,1.0917900775822311
3510,0.3857901390654509,0.5411978221420519,0.5864342313787639,0.23500421229981677,1.10735786092,1.152103817624948
858,0.38882427307304385,0.5357531760440433,0.5724881141045959,0.20596040438070512,1.1442809248,1.1630570998892131
5955,0.24925410872376555,0.014416333938307092,0.679556259904913,0.2891112047176541,1.03217966934,1.044583363769163
3515,0.24697850821807077,0.013764065335765664,0.6683359746434232,0.2765796124682912,1.0543431019299998,1.0448458905107714
2200,0.8154235145406207,0.03639292196001487,0.5031959852091918,0.11369348497613156,1.34422106014,1.3509543492070475
692,0.24834386852148765,0.01364047186934087,0.6796196513470683,0.28147430497039533,1.04498475542,1.04051174917588
1596,0.2471302149184504,0.0142943738657117,0.6770206022187005,0.2896124684076286,1.03614346591,1.0465008151000534
5956,0.24773704171996902,0.014101633393842196,0.6800633914421553,0.2861331086772173,1.02675562456,1.0428345775774377
3378,0.6719658659941138,0.6142241379315918,0.41374801901743263,0.327516849199525,1.68083423266,1.6119324313721521
3168,0.7052465233898996,0.9575771324872572,0.5060221870047544,0.5316712299913514,1.63243463245,1.7004395870623294
5416,0.6596713021510993,0.6569872958254599,0.5615161119904913,0.2283206964339813,1.24309327907,1.3361880683356249
3517,0.24925410872376555,0.013715063520883588,0.6768304278922345,0.26620050547587776,1.04855839427,1.0349684612682015
2107,0.24637168141655216,0.012935390199648759,0.6830110935023772,0.279439764111087,1.04050505441,1.037642061500799
5763,0.24834386852148765,0.013524500907453288,0.6767353407290017,0.29011373209760316,1.03161426741,1.046561002447536
2059,0.26573957016476807,0.01704582577134033,0.7126518753296356,0.2987679022745161,1.08044564491,1.0308122452466606
689,0.6883149720085673,0.6529686284679246,0.4863255603359747,0.4204507160912298,1.5097092968599999,1.5909074585220924
2734,0.3519595448807888,0.012399092558994915,0.6495404120443741,0.2557034540858232,1.0340799037700001,1.0419024663484975
5421,0.38214917825633926,0.015404537205095646,0.6704595879556262,0.2937994945238863,1.03560554094,1.0438909320529266
2349,0.24652338811693184,0.013873502722335635,0.6700792393026942,0.28377422072439606,1.0512720892,1.0473887563005002
3907,0.2471302149184504,0.013277858439213499,0.6759112519809827,0.27289385004200806,1.03512422389,1.0385859076170085
