,EXEC,MEM,L3HIT,L3MISS,IPC,L3MPI,INSTnom%,PhysIPC%,L2MISS,L2MPI,FREQ,INST,GT,Pred
6950,0.4198830409356725,0.47399428367290963,0.6285140562248996,0.25705838876570586,0.6899082568807339,0.04698185291308501,0.42040133779264216,0.6894592117323557,0.011408168642951251,0.01065,0.34855089820359286,0.33047685242419084,1.00551387864,1.0419788566559316
4890,0.42968532442188806,0.4007264499231514,0.9976572958504017,0.24382852919438286,0.3192660550458715,0.04682425978987584,0.42976588628762546,0.31882065383409713,0.7250768555125165,0.7359848484840908,0.7097804391214371,0.6566853473001828,1.1377253077200002,1.2493480414282419
5536,0.2862155388471178,0.5073061807790308,0.6558232931726907,0.2765410199556541,0.45559633027522933,0.07328557784145177,0.2866220735785953,0.45572868927589366,0.013133069828722003,0.017559090909090906,0.3439520958083832,0.47662523693846537,1.02088974955,1.0295522892696014
7637,0.1347702589807853,0.42532690246531807,0.8206827309236948,0.25590539541759055,0.35678899082568805,0.1616523400191022,0.13501672240802676,0.3561869844179652,0.018866930171278,0.06877272727272726,0.19506586826347305,0.5743178787871175,1.07246692719,1.037605185909768
6596,0.4274575327209691,0.3991008693586635,0.9976572958504017,0.24843557526533627,0.3191896024463302,0.04729783508428845,0.42781493868394654,0.31897341888175984,0.729029424682477,0.739015151515909,0.7078642714567664,0.657455831550029,1.1581756122799998,1.2519533680117272
6595,0.4188805346700083,0.47879599857108923,0.6403614457831326,0.25883222468588324,0.6868807339449541,0.047024832855778416,0.4193979933110368,0.6865261228230982,0.012765744400527008,0.011795454545454545,0.35123353293413173,0.33413839930654143,0.9846146123880001,1.0419901367671183
4710,0.28855472013366745,0.5086566630941438,0.6634538152610442,0.28674057649667406,0.45733944954128436,0.07560171919770774,0.28896321070234116,0.4571952337305225,0.013523056653491438,0.017981818181818182,0.34740119760479043,0.47764035863149645,1.02126155256,1.0274712907691839
10,0.1555722639933166,0.492976062879776,0.7919678714859437,0.26586844050258684,0.3378899082568807,0.14312320916905444,0.15565217391304348,0.33730522456461964,0.01914097496706192,0.05581818181818181,0.2376047904191617,0.6059123752557619,0.996910905665,1.0093529311340763
85,0.8758006126399329,0.4734190782423985,0.759705488621486,0.26368563685587587,0.7402905198761468,0.023153454313920727,0.8762541806020068,0.73923006416132,0.01629776021080369,0.007780303030295453,0.6578842315372456,0.29968491711354994,1.12975904323,1.1159884378581926
6197,0.9052840434419381,0.36584941050388203,0.9868222891566265,0.19199926090169994,0.4774655963302752,0.017150191021967527,0.9059364548494983,0.4773143904674611,0.21824769433465085,0.10159090909090908,0.9976047904191617,0.43678534857118373,1.5017144177700001,1.4841196890616093
