,EXEC,MEM,FREQ,L3MISS,L2MPI,PhysIPC%,L3HIT,GT,Pred
2746,0.2870509607351713,0.5050803858522703,0.34644311377245507,0.2410347376201035,0.01524090909090909,0.4553620531622365,0.6477911646586345,1.0729242301100002,1.0556949339730646
6758,0.8794605561487051,0.42908181493423686,0.6795551753638324,0.24050258684405024,0.00959415584415909,0.7319628126223648,0.8032128514056225,1.27394536968,1.2436108096860283
1350,0.23294346978529654,0.8659342622368225,0.3611976047904192,0.5582409460458241,0.039897727272727265,0.3605255117626031,0.5866800535471888,1.21212052994,1.1860018466974802
3159,0.14738512949039265,0.4651661307611522,0.21595209580838323,0.2950776053215078,0.05627272727272727,0.35325389550870756,0.7590361445783131,1.0609539030500001,1.0343993145397168
42,0.29991645781119464,0.9233654876750351,0.5262617621901797,0.6437968535535846,0.037512987012954545,0.3414953515774519,0.5737234652901606,1.30975885085,1.2612207508061797
2745,0.28755221386800334,0.5102072168633477,0.34452694610778445,0.30273466371027347,0.01783181818181818,0.45701191567369387,0.6481927710843373,1.0699452413700001,1.0554368162219028
5422,0.883876357560568,0.4588388710255301,0.5807904191616766,0.20688839615668883,0.007240909090909091,0.8124656278643446,0.7678714859437752,1.1057871698200001,1.120690222441003
2310,0.3068385248838763,0.8849589138977796,0.5652694610778443,0.5824305775521064,0.04038961038954545,0.3230326044262145,0.6067125645441767,1.29262844069,1.1961526962450277
2315,0.3280423280426065,0.5111200428726371,0.45237524950131736,0.2892091648189209,0.017458333333340906,0.428505957836847,0.6693440428383535,1.10597467184,1.089081717034341
2749,0.2733221943751044,0.9182446111705673,0.4849500998007185,0.6267060852431633,0.0425340909090909,0.33348609838038495,0.5610776439086346,1.22500782957,1.2627064819631428
501,0.1742021720969089,0.4976277241873875,0.26079041916167667,0.30093126385809316,0.04427272727272727,0.3679193400549954,0.7512048192771084,1.01342933373,1.0401773739207936
5215,0.6739069896967419,0.4881743479815963,0.5679840319358085,0.27775314116777533,0.017037878787886363,0.6680415520925757,0.8130856760371485,1.13364438292,1.1250037692347898
5213,0.8939014202172096,0.4495355484103071,0.6406387225552096,0.2452820891840355,0.010655303030295453,0.7703941338221816,0.8500669344046186,1.20530504797,1.1992288992915663
3431,0.5206070732389306,0.487299035369949,0.5909780439118564,0.27110125646711014,0.027840909090909086,0.4850290253593035,0.8559236947791165,1.12972346903,1.1361127343201407
3154,0.41754385964912283,0.4943765630584117,0.3472095808383234,0.3043606799704361,0.012363636363636363,0.687442713107241,0.6130522088353414,1.05765953269,1.0491376493346687
5228,0.9241854636591478,0.3596128081458948,0.9976047904191617,0.20999630450849965,0.10732954545454544,0.4868240146654445,0.9883283132530121,1.46801510329,1.5367842103331193
2308,0.2762461709832916,0.9009467667027156,0.4752095808383234,0.5436807095343681,0.039090909090909086,0.3388328750384968,0.5749665327981928,1.17963650593,1.2068458176452221
3004,0.15639097744360902,0.47529474812449996,0.2397125748502994,0.27482631189948264,0.05754545454545454,0.33638863428047666,0.7682730923694779,1.0399952129799999,1.0377909288218454
3165,0.14581453634085212,0.4534869596286007,0.21307784431137725,0.27408721359940874,0.061090909090909085,0.34793767186067825,0.7889558232931727,1.07007179429,1.0398495243743309
6762,0.17025898078529658,0.49672740264397874,0.253125748502994,0.30167036215816706,0.05372727272727273,0.35728689275893677,0.763855421686747,1.02816522047,1.0344288029182682
6753,0.2719298245614035,0.9034476598788508,0.4747305389221557,0.5516876077856615,0.038659090909090914,0.33348609838038495,0.5570615796516064,1.24035521297,1.2259431126392437
5204,0.5291005291002506,0.49924080028599477,0.5844311377245509,0.2772850455772358,0.028159090909090908,0.49893064466819426,0.8524096385542169,1.09696855567,1.1207550546071452
2122,0.4519632414369257,0.4967399071098595,0.44838323353293413,0.29884207933037693,0.012375,0.6324472960586618,0.6357095046857429,1.06368595064,1.0971016315094033
33,0.2748538011695906,0.8701024175312148,0.4870259481034731,0.5482138457753142,0.038761363636363635,0.3353192789486709,0.5791499330652611,1.16382494423,1.1939188863885188
1093,0.6723753829014201,0.4990740740746692,0.574211576845988,0.2724316334072432,0.016140151515159087,0.6620837152456462,0.8078982597058233,1.10275127286,1.1111347119065673
5222,0.4187134502923976,0.4935262593785257,0.34970059880239523,0.30362158167036224,0.012272727272727272,0.6890925756186985,0.6152610441767068,1.06753268342,1.051311031362467
2742,0.6511278195488721,0.49755269739210345,0.5070179640718563,0.2777235772357724,0.014345454545454545,0.6982584784601283,0.7624497991967871,1.0464894676899998,1.07828849073251
2896,0.28922305764411027,0.5084816005718144,0.3447185628742515,0.292209903917221,0.018063636363636358,0.4586617781851512,0.6558232931726907,1.0677117998999999,1.0544040867064928
5208,0.29289891395154555,0.5069810646661332,0.35065868263473055,0.29516629711751663,0.017109090909090907,0.45976168652612276,0.65,1.0513597350200001,1.0578686176123224
44,0.44959621275438594,0.4904876741695215,0.4475848303396407,0.28011825572801186,0.012499999999999999,0.6300030553006416,0.6534471218202811,1.0643843281799998,1.0989566007868492
3156,0.2716513505989975,0.8894843396450123,0.4702594810376048,0.5734910076378419,0.04128030303022727,0.33745798961228235,0.5704484605090362,1.2058483293,1.2151309416762004
4762,0.5030632135898079,0.4530784804094151,0.5810778443113773,0.25422517861492977,0.02625757575749999,0.47922395355912006,0.850568942436747,1.23085470436,1.1717268899803508
2911,0.27652464494569756,0.8946945337623774,0.4739321357288623,0.5723084503577236,0.040624999999999994,0.3397494653226398,0.5789825970552208,1.1920300004100002,1.2103100823767325
