,EXEC,MEM,L3HIT,GT,Pred
354,0.8869793531411864,0.332743837084792,0.9849397590361446,1.52366271625,1.509673823504313
5829,0.2677527151211362,0.8990710968206141,0.5841700133865462,1.18124067209,1.204269756170826
6792,0.3954887218045112,0.4740443015364323,0.9947791164658635,1.15726195536,1.1278630840888073
2029,0.26858813700918965,0.8450934857686121,0.5726238286475904,1.1483805263,1.1678297790425791
893,0.6467836257309941,0.4563379778493949,0.7927710843373493,1.10837573896,1.0939572042338983
2332,0.48755221386800335,0.4453340478743999,0.8349397590361446,1.05969723186,1.1072159109683373
3476,0.4165413533834586,0.4685673454806962,0.6293172690763053,1.02884901998,1.0485831447107405
1862,0.2868838763575605,0.49170060735994703,0.6811244979919678,1.04176631736,1.0315981493931798
2979,0.26928432191562235,0.8911516017632694,0.612282463185743,1.20319061528,1.1579517152752676
6215,0.2684489000275689,0.9251220674049393,0.5548862115130522,1.25104241127,1.2753520480920129
4231,0.26677805625146195,0.8919852328223979,0.6045850066937751,1.25603322004,1.169750882474721
4082,0.8777499303842942,0.4043944265810662,0.8324966532801205,1.18694335917,1.217731778583227
904,0.28788638262322475,0.4913004644517654,0.6859437751004016,1.0277828629899999,1.0312603874606086
4238,0.26496797549456974,0.8828152911757352,0.5140562248995985,1.31883575777,1.2878913514384362
7844,0.24644945697577275,0.8530129808272072,0.5809906291837349,1.2174946525900001,1.171037399299256
1820,0.9299439073851294,0.33463737048922276,0.9835054503724899,1.5116037428799998,1.5159387115946268
4284,0.4913951545530492,0.4442336548769004,0.8377510040160643,1.0570535077399998,1.1102177426206006
5304,0.4245335561127819,0.370194712397417,0.9983266398925702,1.29243569323,1.3141515098875234
5526,0.8758006126399329,0.4469929736816531,0.7973560910311246,1.12588976426,1.1293877180337983
7297,0.48538011695906425,0.4465344765989448,0.8092369477911646,1.13696597119,1.0959077525624994
1206,0.2723475355054302,0.8936524949381542,0.5769745649267067,1.24291602011,1.2071500186955686
1710,0.24742411584544696,0.8580147671794778,0.5751338688082329,1.1796212772499999,1.1829238811934468
4091,0.2709551656917293,0.8648922234138495,0.5796519410973895,1.18215352349,1.175952501540142
7949,0.8842343955137844,0.3418006430871175,0.9830751577740965,1.46372106454,1.4861282863744745
7937,0.17186299081035922,0.4842479456950641,0.7578313253012049,1.01047299969,1.0269778683523574
4869,0.46733500417710944,0.46101464808876774,0.8865461847389559,1.0591163777,1.1058200001493739
894,0.16519632414369256,0.4720435869955241,0.7666666666666666,1.0364838677700001,1.0353709073256057
1600,0.6536340852130326,0.4442836727404231,0.7642570281124498,1.1380258267299999,1.0979186315017082
5742,0.6548036758563075,0.4429832082888328,0.8220883534136546,1.05442093521,1.12469169633348
1311,0.22639933166248957,0.8680600214365374,0.5018072289156627,1.3662084824599998,1.3029819652040564
303,0.8614870509607351,0.43903179707053913,0.7642570281124498,1.13300160661,1.1210157417092113
1258,0.26468950153132825,0.887191854233972,0.5801539491295181,1.19035840494,1.1988005625812723
5602,0.885547201336675,0.45066095033956793,0.7755020080321285,1.12207428331,1.11320390936956
1883,0.16823725981620719,0.48522329403375675,0.7315261044176707,1.00265861757,1.0278375264893174
5826,0.283375104427736,0.47541979278330665,0.6706827309236947,1.05840335379,1.0419508969601696
4281,0.16051796157059314,0.4453340478743999,0.8178714859437751,1.0328421806399999,1.0625882655240035
6124,0.14873851294903925,0.45316184351570316,0.7927710843373493,1.05609979804,1.0507946217414825
4854,0.2577276524644945,0.8482196022387811,0.5868473895582329,1.22193270606,1.155920284149868
731,0.16643274853801168,0.47116827438387676,0.769277108433735,1.03223712255,1.036154592411868
2989,0.2883876357560568,0.498302965344944,0.6634538152610442,1.02262099244,1.030732844813756
276,0.28989139515455303,0.5020292961773855,0.6883534136546184,1.03590619491,1.0250013567988936
468,0.29139515455304926,0.495602000714718,0.6710843373493975,1.0445932972,1.0308417741724707
1863,0.2738791422999164,0.8917768250560527,0.5684404283805221,1.22983084381,1.2165619788022113
470,0.15350041771094403,0.44088245802087916,0.7833333333333333,1.1061456846,1.0612336206734552
5615,0.264550264550543,0.875729427177519,0.5855087014728916,1.2086386913299998,1.18044856569546
6023,0.2920634920634921,0.5136084315828916,0.6676706827309238,1.0431129158299999,1.022696209008538
1709,0.42787524366499574,0.39980945575773486,0.9978246318604417,1.1553102339,1.2602499579218398
7575,0.2641325536065163,0.8663510777657615,0.566432396252008,1.23077863496,1.1970072533285847
4374,0.1332330827067669,0.4260021436228746,0.8112449799196787,1.08912559329,1.0772645453297858
5275,0.287719298245614,0.4924508753127876,0.6961847389558233,1.04515776735,1.0295207915484534
6009,0.26858813700918965,0.9059485530549859,0.5806559571616465,1.2897001249299997,1.2160769283931998
3233,0.4838763575605681,0.4596391568418934,0.8853413654618474,1.05874450175,1.1095375073030538
4857,0.17054302422723475,0.4801964987497249,0.7771084337349398,1.0235370390799998,1.0295684624462016
1260,0.1709440267335004,0.4778206502323965,0.7803212851405622,1.0288219558299998,1.0314790553742297
1057,0.28855472013366745,0.4948517327618774,0.6789156626506024,1.01221337698,1.030154855615653
4121,0.6491228070175439,0.43633083244031307,0.8182730923694779,1.14065996278,1.1310828927295433
3243,0.2882205513784461,0.49455162558074117,0.6853413654618474,1.03278746838,1.0295004808728572
5732,0.22406015037593982,0.8993211861382278,0.5305220883534136,1.18121582965,1.2979640384688003
6385,0.29106098579782785,0.5022793854949991,0.66285140562249,1.0237814455399998,1.0288817244197772
