,EXEC,MEM,L3HIT,GT,Pred
290,0.639766081871345,0.46166488031456293,0.7943775100401607,1.07457145665,1.0874962040426432
2950,0.39866332497911444,0.4578885316185987,0.9967871485943776,1.1284049502200002,1.1356258079891617
3619,0.14895572263993315,0.44758485173292156,0.8048192771084337,1.05738809245,1.0578306932487047
5299,0.40835421888053464,0.46746695248319664,0.6228915662650601,1.03506647348,1.0499289259988014
6118,0.4187134502923976,0.47106823865683145,0.6349397590361445,1.04078674722,1.0471077827134445
5180,0.26956279587886384,0.8896927474101071,0.5791499330652611,1.23109241938,1.2015610403390016
4457,0.2808688387635756,0.4759699892820564,0.6674698795180722,1.09106456629,1.0429815257998678
532,0.4193817878028404,0.47439442658109127,0.6349397590361445,1.0196359475399999,1.044895435512659
4872,0.16421052631578945,0.4682672382995599,0.7973895582329318,1.07115151365,1.0391796485149645
7621,0.16073517126148704,0.4732440157200691,0.7335341365461848,1.0241408007500001,1.0360493905754662
277,0.2908939014202172,0.495602000714718,0.6929718875502009,1.0316866954200001,1.0283985997149934
4945,0.9022556390977444,0.43633083244031307,0.8074297188755021,1.11993451672,1.1509558455381703
2094,0.1463659147869674,0.45126116470184047,0.8070281124497991,1.01981275336,1.053996686160565
7308,0.26928432191562235,0.8617661069436805,0.5880187416335341,1.20209736987,1.161602172404976
535,0.2677527151211362,0.9286649994040473,0.5806559571616465,1.23005227755,1.2452935139018686
7911,0.4895572263993316,0.43860664523059617,0.8240963855421687,1.13206976411,1.1138223347646952
4856,0.16890559732664995,0.48004644515915684,0.7534136546184739,1.02468727098,1.03027507768146
5168,0.9152643513533835,0.33881743479808457,0.9906769936887551,1.50026223426,1.5056496360381668
7471,0.2918964076858813,0.5032047159701691,0.673293172690763,1.03350350777,1.0261281750250215
4875,0.6507936507936508,0.44213290460894683,0.8142570281124497,1.12426424308,1.1227310570036027
4369,0.2681704260651629,0.913659640347236,0.5724564926375502,1.31454931762,1.2385621679418402
5256,0.28855472013366745,0.4960521614864223,0.6751004016064257,1.0392475333600002,1.0300189053325612
