,EXEC,MEM,INST,L3MISS,L3HIT,GT,Pred
6507,0.8788638262322472,0.45496248660252053,0.26900879586437487,0.24750923872875094,0.7682730923694779,1.1061299318100002,1.1227950845284431
1262,0.28888888888888886,0.4936012861738098,0.47279464487214756,0.2635920177383592,0.6684738955823293,1.03506954159,1.0484301218650118
7842,0.1680534670008354,0.4750446588068864,0.6032876515117336,0.2575314116777532,0.7512048192771084,1.02921962465,1.0325483127758317
501,0.1742021720969089,0.4976277241873875,0.5939769953366404,0.30093126385809316,0.7512048192771084,1.01342933373,1.0260906235768943
5254,0.8781676413283209,0.4054989877334425,0.28791030083847435,0.23737373737324466,0.8028781793845382,1.19456525328,1.214627642888033
6321,0.41637426900584795,0.47391925687762554,0.3313875037941261,0.25436807095343683,0.6325301204819277,1.0453717848000001,1.0307050355181986
5825,0.43038150932915614,0.3960164344410132,0.6535794437391181,0.26568120226607544,0.9974899598393575,1.2012371173799998,1.270322103774177
274,0.8972431077694236,0.4386816720258802,0.25539125154585907,0.19281596452328162,0.7718875502008032,1.09345071906,1.1178871458312925
7025,0.2684489000275689,0.8982374657627361,0.6596189971179628,0.5903917220990391,0.5896921017399598,1.1963558850700002,1.1975282844756654
357,0.41659704817627397,0.41983744194370126,0.6566980547579764,0.38359201773835927,0.9949799196787149,1.31112301258,1.2698888481069228
7849,0.4802005012531328,0.44818506609519404,0.43617659956689714,0.2514412416851441,0.8680722891566266,1.1293619027600001,1.1251813279958516
7524,0.28604845446950705,0.490000000000175,0.48766188014517375,0.27686622320768667,0.665863453815261,1.0615675179100001,1.0611218773778925
7669,0.28671679197994987,0.4884744551627326,0.47203041173570753,0.2522690317812269,0.6849397590361446,1.0387255439,1.044763568581775
1519,0.42172096908939016,0.4929010360844919,0.3294477063736276,0.2989504804138951,0.610843373493976,1.05472711,1.0348129076420718
2686,0.2905597326649958,0.5062057877815312,0.47348173659234416,0.27420546932742057,0.6817269076305221,1.04699428141,1.0393220204754714
7465,0.9121762740183792,0.30284253304762515,0.4356504806296919,0.15554323725055433,0.9907128514056225,1.5990588686200002,1.6019367590930362
6221,0.420718462823726,0.47682029296194245,0.3283493440394023,0.26039911308203995,0.6305220883534136,1.03567105904,1.029686635693908
5306,0.5010860484544695,0.45751339764217847,0.3912208646405652,0.24798226164079823,0.8072289156626506,1.07242595682,1.0948205977959546
5217,0.45148585750125314,0.41848874598157143,0.6462957203788793,0.3428360257634886,0.9956970740100402,1.2872612752600001,1.2708161516462568
2736,0.16725146198830407,0.4922257949269354,0.5911816849121587,0.31098300073909835,0.7409638554216867,1.0266392150900001,1.0361848027882643
3634,0.4346580737560568,0.32854590925235033,0.6091556002879748,0.37195649878640064,0.9974182444066266,1.42290697119,1.482994110546857
881,0.40150375939849625,0.46571632725990203,0.6677564530088864,0.3379157427937916,0.9959839357429718,1.17490597072,1.1508387298422567
6210,0.14758563074352546,0.44733476241530806,0.6000421450494471,0.249519586104952,0.809437751004016,1.06424209857,1.0444489350815935
5389,0.6407685881370092,0.44290818149354877,0.3068514201705402,0.2538359201773836,0.8214859437751004,1.08475454473,1.1059462562697073
5831,0.29223057644110273,0.5004787424081816,0.4738705366582476,0.27142645971914264,0.6726907630522089,1.0258769505,1.0457734177336746
3799,0.16233639654720133,0.8605156603556129,0.6500599169653393,0.30162601626016267,0.607429718875502,1.1754163664200001,1.1476313895149524
3487,0.8699526594235587,0.405832440157344,0.299326016178345,0.2188716432623799,0.8236278447118474,1.22010003844,1.2203486755980881
6323,0.2666388192706767,0.8911516017632694,0.7019226428164387,0.578837152007391,0.5865127175371486,1.23059997338,1.2027249823050021
5262,0.2882205513784461,0.5013290460880676,0.47791242114015003,0.2514412416851441,0.6917670682730924,1.03037313333,1.0342068758428833
2123,0.29371046664243944,0.9599857091818363,0.7087916765679693,0.7253721887864006,0.589787722318273,1.33883175189,1.2667038716912782
6760,0.29347177467502084,0.8519113969281358,0.7476987151571685,0.5476507232609018,0.6044176706827309,1.20018878906,1.1725565430094749
5417,0.2581453634085213,0.8744789805894514,0.699046904953791,0.6190440995314118,0.5098728246315262,1.31652882256,1.2789166592882462
4850,0.27123363965497077,0.8953197570564113,0.7293079226238419,0.6251539788130082,0.5383199464528112,1.26953331823,1.2720973328664928
38,0.9197994987468671,0.367771972133036,0.4297885349238855,0.1737620103473762,0.992093373493976,1.4674906556600003,1.4687654377455277
2553,0.2754107490952381,0.8913600095271137,0.682427528255313,0.5757575757575758,0.5701137884869478,1.1906197066600002,1.2236315697242082
4756,0.4469507101086048,0.4894456353452981,0.404951314324842,0.26427691549593496,0.6313587684066265,1.1061118462000001,1.0703888805900619
5259,0.420718462823726,0.4789710610934187,0.3343700255943785,0.25830007390983,0.6335341365461847,1.0193569304899999,1.0302824189397308
844,0.29106098579782785,0.4954269381923885,0.4752424867960344,0.25963045084996306,0.676706827309237,1.03188688187,1.045127385187896
4736,0.16808688387635753,0.4765702036443289,0.6030186868877871,0.2706577974870658,0.7606425702811246,1.04922372442,1.0336372057071221
4001,0.8883319409607351,0.45482910563270984,0.2846507004192832,0.2542005420059128,0.7881526104417671,1.20339096328,1.148003223636844
7959,0.9404463539766084,0.3351732761703591,0.42065825419391123,0.1495512617457502,0.9876649454959839,1.53270665058,1.5300511062381803
4389,0.22690058479532163,0.8970703822797059,0.6140015068660429,0.6013008130081301,0.5267068273092369,1.1812611023000001,1.2496269535141804
4694,0.41952102478446107,0.4153566750035424,0.6502535203633711,0.3582163094353289,0.9954819277108434,1.26555346611,1.2669700788085516
273,0.41687552213868,0.47394426580938687,0.33330703107048754,0.25942350332594233,0.6329317269076304,1.03185416967,1.0339136310183596
5200,0.9054928989139515,0.3675375133977733,0.4383364329055984,0.1672579453067258,0.9888303212851405,1.4608422326800001,1.4646101331598125
4123,0.47401837928153717,0.4485101822080917,0.414994783247822,0.24396156688839618,0.8682730923694779,1.08411910168,1.1100109300773815
911,0.44016290726817037,0.2950585030369043,0.627751514950682,0.3203436807095344,0.997991967871486,1.5263441719600002,1.5425531065011642
1299,0.4128654970760233,0.4523865666311012,0.3410184877177505,0.266459719142646,0.615863453815261,1.09186533507,1.062165086054091
4226,0.41785018100835414,0.42112957008428764,0.6815244060752343,0.3051983247110126,0.9968206157961846,1.22034736158,1.233458376840938
4396,0.4220551378446115,0.47914612361574815,0.329047357246808,0.2470066518847007,0.6327309236947791,1.02706488351,1.0228843372180745
7461,0.2709551656917293,0.8673931165899847,0.6868142548591619,0.5306972160635625,0.5831659973222891,1.16757648255,1.1890366402918593
5165,0.2701197438036758,0.8942777182334384,0.693209187723752,0.5695245134264597,0.582998661312249,1.2686292827799999,1.2104880402943077
4462,0.2870509607351713,0.5058056448733497,0.47373672811891515,0.2903178122690318,0.6568273092369478,1.04330811642,1.0505146254693452
6661,0.15939849624060148,0.4596391568418934,0.6097159730975243,0.2697117516629712,0.7688755020080321,1.0497468524299998,1.0487711886399365
2957,0.9055973266499583,0.32411575562712547,0.4369840131942873,0.17567310738063563,0.9859437751004015,1.5258398972100002,1.5574042267114256
6669,0.2766638819273183,0.9299154459933654,0.7607889528812587,0.7086228135003696,0.5421686746987953,1.2088490161399998,1.3058829113354367
