,EXEC,MEM,FREQ,L2MISS,L3HIT,L3MISS,GT,Pred
4910,0.6598440545806181,0.4893414314646264,0.5708582834328144,0.02648221343873518,0.8042168674698794,0.2702636117265336,1.13483088331,1.0996481117704224
941,0.27220829852380946,0.9224127664637094,0.4716966067861078,0.026174791392173918,0.5895247657299197,0.5662232076866223,1.1883901258299998,1.2338370063830757
5051,0.32205513784461154,0.4996576158149338,0.4538123752498204,0.015397452788748354,0.6788821954487952,0.29822616407982266,1.10309200804,1.1070702675909967
4393,0.4259259259256475,0.39659997618127785,0.7147305389221558,0.7119016249459816,0.997991967871486,0.23407243163340724,1.22078711056,1.2520680281582903
4113,0.42556390977443603,0.48374776705983696,0.3567904191616767,0.012950197628458499,0.6696787148594378,0.2728455284552846,1.0040727915899998,1.0213760879847884
4397,0.293734335839599,0.49850303679903485,0.35142514970059885,0.013343873517786561,0.6787148594377509,0.27222468588322246,1.04353060554,1.0456327618415475
1728,0.48858256752965745,0.4775872335355404,0.5849101796407187,0.040685111989459816,0.8693105756355421,0.2760778516881005,1.1719100756799998,1.140468175467412
3616,0.4243943191311612,0.4095629391446622,0.7182435129743714,0.6842336407562583,0.997991967871486,0.23638827297413156,1.16976988237,1.2264583999656535
6720,0.658590921748538,0.4785667500291099,0.5817165668665869,0.02571805006587615,0.7817938420351406,0.2559743779260902,1.14165593338,1.1117859929671319
4881,0.6544138123082706,0.4086876265342653,0.5625548902198803,0.024782608695652172,0.8294846050873494,0.2099285538314856,1.1654810997299998,1.1727727088615745
2695,0.26998050682289054,0.8723949029422552,0.4772854291420359,0.024734299516916993,0.5764725568945783,0.5801675289475241,1.21315894339,1.2074152426297506
7049,0.4177109440267335,0.48674883887119924,0.3466347305389222,0.013143083003952569,0.620281124497992,0.2932742054693274,1.05815770009,1.0437566882087657
3794,0.2673350041771094,0.8955281648202557,0.4664271457082635,0.02670180061475626,0.518574297188755,0.6730721852668146,1.3111977372299999,1.297726912377808
5068,0.49011417432497906,0.45382874836225573,0.571497005988024,0.027874396135177865,0.821285140562249,0.2550135501359941,1.09386319266,1.1458653592295396
3263,0.28421052631578947,0.4912504465882427,0.34644311377245507,0.01283794466403162,0.6600401606425703,0.2814190687361419,1.0519388449,1.0610314874645757
6027,0.42055137844611523,0.4983529832084667,0.35123353293413173,0.01416231884057971,0.6236947791164659,0.2977974870657798,1.05772958411,1.0372799761675293
2545,0.1726315789473684,0.48712397284761955,0.2592574850299401,0.0169433465085639,0.7421686746987951,0.29229859571322986,1.02489802269,1.0296150347767812
6788,0.15211361737677526,0.4551625580566113,0.22936526946107785,0.01772859025032938,0.7993975903614458,0.2018329637841833,1.05453893796,1.0482955419173856
3761,0.4105263157894737,0.45841371918558715,0.6742994011976048,0.6492753623188406,0.9963855421686747,0.2797930524759793,1.12992136047,1.1226380323187795
2254,0.2862155388471178,0.50618077884977,0.3439520958083832,0.01312779973649539,0.6582329317269076,0.2832520325203252,1.0510526377200002,1.0493819532094713
5935,0.4202172096908939,0.48484816005733644,0.34778443113772456,0.011908300395256916,0.607429718875502,0.28405025868440503,1.0511057243700002,1.052181890655282
584,0.20492898913951543,0.49125878289924657,0.3294211576843114,0.021409749670619236,0.7707496653283132,0.30206947524020694,1.0578585435899999,1.051716196535864
4361,0.6482873851294902,0.4566380850305311,0.5052934131736527,0.02606587615283268,0.8050200803212851,0.2613451589061345,1.11566691112,1.0950303480258294
3855,0.6558061821219716,0.490775276884777,0.4822994011976048,0.01890909090909091,0.6839357429718875,0.2825129342202513,1.0873900720799998,1.0524549832139858
6891,0.29106098579782785,0.5086566630941438,0.3498922155688623,0.013812911725955206,0.6791164658634539,0.2836067997043607,0.993033617968,1.039355699539641
