,EXEC,L3HIT,FREQ,L2MISS,GT,Pred
3341,0.2930659983291562,0.6624497991967873,0.3531497005988024,0.013686429512516468,1.01890827191,1.0479311502229667
2359,0.6578111946532998,0.8146586345381526,0.5240718562874253,0.027610013175230565,1.02548143687,1.049604607488385
565,0.13868003341687551,0.7718875502008032,0.20023952095808384,0.017654808959156786,1.0607723541,1.0287075340891318
2362,0.8873224728487886,0.9855672690763052,0.9988023952095809,0.17753623188405798,1.4872603313100001,1.5065808472514322
3340,0.28905597326649957,0.6779116465863454,0.3472095808383234,0.01383399209486166,1.0249518485,1.039616578648719
7603,0.1727986633249791,0.736144578313253,0.2615568862275449,0.018308300395256917,1.00661542265,1.0258652188843982
5052,0.28387635756056806,0.6518072289156627,0.3395449101796407,0.013201581027667983,1.0634167131299999,1.048002918350936
7020,0.16738512949039264,0.7355421686746988,0.25350898203592814,0.017475625823451912,1.00969758849,1.0262344846799647
5048,0.1699749373433584,0.7281124497991968,0.2575329341317365,0.017665349143610013,1.0126487430700002,1.0267375135301329
6882,0.26970203285964905,0.5256024096385542,0.44806387225580835,0.022700922266139657,1.2874788882700001,1.2330635542273032
2364,0.28905597326649957,0.6714859437751004,0.34644311377245507,0.013523056653491438,1.01931802378,1.0417999526552502
6890,0.6502923976608187,0.8196787148594378,0.48804790419161675,0.02676679841897233,1.03906569424,1.0256397958687182
3123,0.15744360902255639,0.781726907630522,0.241437125748503,0.01914624505928854,1.02444678963,1.028158061698883
5053,0.42121971595655805,0.6072289156626506,0.3498922155688623,0.013138339920948618,1.03571085881,1.0357485735794554
7610,0.2896527031862991,0.5344234079176707,0.5456971770740121,0.02959533220395257,1.28116553485,1.3191008985268493
4630,0.2812587023116123,0.6077643908965863,0.4974051896210778,0.025423803249881426,1.1574062081299998,1.193656786447756
6840,0.4927318295739348,0.7945783132530121,0.5102754491017963,0.026076416337285906,1.0791474547,1.0643177086894116
3343,0.8664717348955723,0.7826305220883534,0.6529341317365269,0.018076416337285902,1.16016618899,1.1635317630354491
7021,0.4187134502923976,0.6226907630522088,0.35085029940119766,0.01279262187088274,1.02684039779,1.028580775215683
120,0.2868838763575605,0.6706827309236947,0.3531497005988024,0.01321212121212121,1.0713178964,1.0468687569728212
3333,0.16666666666666666,0.7401606425702811,0.25868263473053893,0.01800263504611331,1.02640211956,1.0272193614324014
6835,0.8469785575020884,0.7802878179387551,0.6495808383233532,0.01686868686869565,1.15472545421,1.1621571529476047
3129,0.4203842940685046,0.6337349397590362,0.35085029940119766,0.01259973649538867,1.02262300957,1.022596389968802
4554,0.42155388471177946,0.6206827309236947,0.3527664670658683,0.013292226613965745,1.03022333276,1.0297356156809185
117,0.27123363965497077,0.5461847389558233,0.4844710578845509,0.028199385155994728,1.21992437281,1.2434428601809124
198,0.2678919521027569,0.6012382864789158,0.47504990019928145,0.023530961791831357,1.21190700344,1.1833724547816824
6887,0.2830409356725146,0.6700803212851406,0.35085029940119766,0.012142292490118578,1.04935297015,1.0478254254385244
3329,0.41921470342522976,0.6154618473895582,0.3470179640718563,0.011749143610013175,1.0290805189499999,1.0306799124877895
124,0.4838763575605681,0.8700803212851406,0.5035688622754491,0.034050065876152835,1.08540829832,1.0629985338946704
5062,0.8883319409607351,0.8002008032128515,0.6307385229537725,0.018568291611778653,1.13402903679,1.1372772107636453
1719,0.4188805346700083,0.6146586345381526,0.35123353293413173,0.012126482213438736,1.02307887387,1.0336891243974837
572,0.26928432191562235,0.5341365461847389,0.45636726546874257,0.024677206851119893,1.31235541052,1.2307357386340594
5045,0.25995544416624894,0.5210843373493976,0.4394411177647904,0.02403162055335968,1.3608787127000002,1.2326900813858992
4557,0.29039264828738515,0.6668674698795181,0.3472095808383234,0.013559947299077734,1.02788387279,1.043592095174798
5040,0.43553327763826233,0.9961512717540161,0.7275049900196406,0.6780851998234518,1.12792050925,1.184366207221375
4550,0.14873851294903925,0.783132530120482,0.2205508982035928,0.017976284584980236,1.0442147885200002,1.0292566517878352
5041,0.8764967975522139,0.7508366800532128,0.6561277445106586,0.01759332454985507,1.16007180984,1.1728418558007552
5066,0.40601503759398494,0.615863453815261,0.3458682634730539,0.010212384716732543,1.0516804391399999,1.0346405326567605
2352,0.40818713450292393,0.6261044176706828,0.34452694610778445,0.012082213438735178,1.0678999987200002,1.026313809841968
3132,0.8299916457811195,0.9879518072289157,0.9952095808383234,0.16093544137022397,1.5494251833700001,1.5107143657109774
5050,0.14369256474519632,0.7863453815261044,0.2090538922155689,0.018756258234519103,1.06211997605,1.0296604656873976
573,0.2883876357560568,0.6662650602409639,0.3458682634730539,0.012332015810276679,1.0169429634799998,1.0446510844904382
7019,0.27179058757978275,0.5788152610441767,0.48431137724550893,0.024782608695652172,1.19419459016,1.21100162171511
194,0.4870509607351712,0.8726907630522088,0.5070179640718563,0.03639525691699605,1.07056610172,1.063235428990813
3338,0.2783625730994152,0.6588353413654618,0.3439520958083832,0.012137022397891963,1.0836981716299998,1.0500096859722863
127,0.15746031746031747,0.7991967871485943,0.24392814371257485,0.021976284584980237,1.03651761009,1.0293565229094142
3336,0.6598440545806181,0.8273092369477912,0.59433133732503,0.03025911286772068,1.10984613401,1.1073587026002
119,0.29289891395154555,0.6853413654618474,0.35219161676646704,0.01457707509881423,1.0212667141399998,1.0380610381653577
3342,0.2656641604010025,0.5766398929046186,0.47712574850299405,0.0225472112428722,1.17378926888,1.2095443009740514
7615,0.28972431077694233,0.6654618473895582,0.35219161676646704,0.013976284584980235,1.03824917393,1.0469355503249922
1727,0.6649958228905596,0.813420348059237,0.5823552894208384,0.025507246376811593,1.1085300114799999,1.0997180491704548
5049,0.26747424115873014,0.5615796519407631,0.4736127744507785,0.02270531400967062,1.19330322707,1.2203840019123633
7609,0.874825953776107,0.7598728246315261,0.6468662674653893,0.01766359244619236,1.1306104186200001,1.1602170201673887
4635,0.20831244778613198,0.7871485943775101,0.33117764471089817,0.022485726833544138,1.0432427657899999,1.0341566119320202
3328,0.42397660818713445,0.9974899598393575,0.6962075848306588,0.7949055775151516,1.26087560679,1.2629001193809213
561,0.2955722639933166,0.6885542168674699,0.3588982035928144,0.014403162055335969,1.02631422916,1.0400981554852484
7607,0.4188805346700083,0.6142570281124499,0.34203592814371264,0.012125428194993413,1.03232062977,1.028004847103614
5054,0.8712406015037594,0.9843122489959839,0.9964071856287426,0.18886693017127798,1.52467387303,1.494394365865712
4548,0.9096700083542189,0.9892068273092369,0.9988023952095809,0.18306982872200261,1.5878167376499999,1.50418787876138
5064,0.26928432191562235,0.5824966532801205,0.4621157684627545,0.02318840579710145,1.1851303641600002,1.1876251722354745
2363,0.8888888888888888,0.746987951807229,0.5805988023952096,0.014856389986824769,1.11946752384,1.093538280343703
7015,0.1541687552213868,0.7883534136546185,0.22840718562874252,0.018266139657444006,1.0298600472,1.0292640890732212
3130,0.14486215538847116,0.7465863453815261,0.20388023952095807,0.01657971014492754,1.0200116225,1.0250093149284236
7606,0.2893901420217209,0.653012048192771,0.3504670658682635,0.01296969696969697,1.02216124825,1.0522490202961126
6889,0.2683096630467836,0.5806559571616465,0.45604790419161684,0.025577514273175228,1.1777678545399999,1.1824194172102356
5051,0.32205513784461154,0.6788821954487952,0.4538123752498204,0.015397452788748354,1.10309200804,1.1002183851855634
192,0.16825396825396824,0.7425702811244981,0.2565748502994012,0.01861923583662714,1.01364083591,1.025558338363998
7018,0.2902255639097744,0.6614457831325302,0.34970059880239523,0.013064558629776022,1.018090409,1.0477082876358785
4625,0.42005012531328323,0.6082329317269076,0.3479760479041917,0.010363636363636365,1.03566112512,1.036188153289825
2361,0.10105820105847953,0.5230923694779117,0.15409181636694613,0.009577953447509882,1.1823657119700002,1.1183172344701968
116,0.9079179430075188,0.9849397590361446,0.9974717232191617,0.13643683208906454,1.52327222769,1.5359040055688378
3339,0.2731829573934837,0.5699464524769076,0.4667465069863473,0.025533596837944664,1.20321913687,1.2012660651719245
