,EXEC,FREQ,L3MPI,MEM,GT,Pred
53,0.9218442972159913,0.998100426226677,0.23102603210755124,0.5014126066559466,1.895399073686518,1.8865187114030615
2391,0.3904695286277444,0.5832005463236971,0.6255588499185276,0.7253711305719429,1.0873257106973049,1.1575023892412157
2310,0.4149803242087659,0.56697193086904,0.8307296162824485,0.9156756985202832,1.1517876155526592,1.0876938688579871
728,0.45663136661623815,0.43778283633052606,0.6158118336281032,0.8141542476478261,1.0269303887909458,1.046093494718359
850,0.3671897402430463,0.5006976339363428,0.884543305532734,0.8803047625203501,1.0985341208065469,1.0737875751727715
1635,0.918983843288104,0.972319599362622,0.22808614428464946,0.5485256091854153,1.9803065004104417,1.7578417310171899
1417,0.7299410581339235,0.8379922604142955,0.4338427869952568,0.7846811301067141,1.4366299840077286,1.4659268991860062
1118,0.45371771166022307,0.43752788527202413,0.595415334914252,0.8033308151912639,1.040324428269053,1.0471840145316542
2083,0.9164234793559469,0.9976005045284414,0.2015740627698257,0.47081525881509206,1.9546521757573456,1.860520823453204
703,0.9196794149447255,0.9992665098515318,0.28186064354741536,0.60679084413718,1.8664599115981009,1.9131541655641517
2399,0.666326165569736,0.8878915757586374,0.2642766197454626,0.5800320138621077,1.3635627843487577,1.5047344544938293
1213,0.9202374774959133,0.9988816199685264,0.23359991944830355,0.5156358706849444,1.9269970805683705,1.8885739792908218
326,0.3701808509586386,0.5002477203036921,0.8828264704249492,0.8834012693051944,1.0980834844594016,1.076118846664626
1073,0.9420289855072461,0.9965953740634806,0.1927613128409266,0.49445809682206454,1.627566260349678,1.7938095619257832
1005,0.9341393716509024,0.9504000266499372,0.1818829313944475,0.5576272066545949,1.4632423488242805,1.5633222390239871
2114,0.45489438000784466,0.4330343728659233,0.5907370836538792,0.7996428816702147,1.039199931048249,1.043161466089014
2255,0.9553171656046089,0.952763694307059,0.18882200385448142,0.5574464166422133,1.5082173387889806,1.5503764090545364
1009,0.6792996883768443,0.8836015339088413,0.2730682701179263,0.5875336119138054,1.3937005952209465,1.5226120642446812
982,0.3219588726396594,0.43644434327338977,0.8136604090826174,0.7924112354920675,1.0577072534858356,1.0603203013140519
330,0.3673395579598303,0.4890424849450576,0.899965415894893,0.8967228774247518,1.070688722155443,1.066535373458814
1982,0.41536823685083907,0.5614806773013014,0.841356385385508,0.908195231730703,1.1206221449302856,1.1136650047862826
2463,0.9468406626392366,0.997626093460375,0.22505225174130647,0.49238600735260085,1.6959023932589603,1.8404963857410577
1097,0.7034608991240356,0.7914530692768803,0.3996845211815826,0.7879953299910719,1.3038031255268172,1.2843230922166313
820,0.48190064264194366,0.6719308690399063,0.8927657398951027,0.9800124674446488,1.198908851459281,1.257406124230259
2398,0.44041015296688524,0.41569110732591846,0.5674986865937939,0.7599444903604097,1.0243008126588458,1.0592194074265668
33,0.9229460515390921,0.9987997433934147,0.3278967312372817,0.5597673736194441,1.8699084632153689,2.0234951851739478
1239,0.6986546135983017,0.9162657763613836,0.2710133420515934,0.5478294378438597,1.7695574836657468,1.6696642445029672
1058,0.5231001978354474,0.5684918314101107,0.6356083396222347,0.8898215993195729,1.1296288376975545,1.1064247749444927
195,0.936201300800393,0.9664508221121016,0.2501930596151252,0.5479568710940181,1.854142400176836,1.7486934934298772
