,EXEC,IPC,PhysIPC%,INSTnom%,L3MPI,FREQ,MEM,INST,L2MPI,L3HIT,L2MISS,L3MISS,GT,Pred
765,0.2619309838472834,0.677860696517413,0.6773631840796022,0.2627131099353321,0.005091982496636828,0.29924171062532656,0.029299140708899413,0.4537528513038674,0.005014005602240896,0.93825,0.003480113636360473,0.01608639705883536,1.01253487924,1.0238813407837402
628,0.38546255506607935,0.992537313432836,0.9935323383084578,0.3858024691358024,0.0027386348954873403,0.29981278259216876,0.014105800214815197,0.3091428519850925,0.003207282913165266,0.9495,0.003286818181815194,0.012738970588244662,1.03260173765,1.0217669097270505
762,0.9471365638766521,0.8109452736318409,0.8111940298507464,0.9483392122281011,0.0007695073108520546,0.9040069235112441,0.011801825993548981,0.37903055791786666,0.1323529411764706,0.99975,0.32931818181788247,0.008829044117653551,1.1856799329,1.1239418585267245
766,0.26064610866372984,0.5334577114427861,0.5333333333333334,0.26124338624338617,0.1188520584417265,0.43858327053482976,0.6750805585388426,0.6676091805092137,0.02084733893557423,0.64425,0.016505681818166813,0.4230882352944288,1.02962994268,1.0836276513993641
992,0.8578071463509545,0.8888888888905473,0.8893864013263683,0.8595434058392121,0.0006772945068886461,0.7471524899522933,0.006691192266376643,0.3459590676195732,0.12212885154061624,0.999833333333,0.27867424242388306,0.007083823529409621,1.09652865869,1.092204532772785
997,0.916544297599119,0.937810945273632,0.936981757877612,0.9166176758774248,0.0005862912844572853,0.7568607133886112,0.008520408163271473,0.3284184152842945,0.0016895424836610641,0.967333333333,0.004088636363632647,0.00662867647059311,1.11320767559,1.1083465370334111
994,0.4556534508076359,0.5890547263681594,0.5894527363184081,0.4562022339800117,0.0012414575644703327,0.5984834212506531,0.008339419978513245,0.5214649971354297,0.07047619047619047,0.9986,0.08495454545446823,0.006820588235299133,1.01627386975,1.038105467290414
1000,0.2618208516886931,0.67363184079602,0.6746268656716418,0.26190476190476186,0.003952343236542758,0.300383854559011,0.02129323308269533,0.4552241674611298,0.004571428571428571,0.9488,0.003152545454542589,0.012388235294126757,1.01455248053,1.0215803821626717
631,0.37298091042584436,0.4850746268656717,0.4850746268656717,0.37330981775426214,0.0031143166894123373,0.5956280614164419,0.014548872180443314,0.6333561298009044,0.934173669467787,1.0,0.9354545454536951,0.01425000000001048,1.03880943964,1.0310599781467156
634,0.7525697503671072,0.7810945273631842,0.7805970149253731,0.7539682539682538,0.001428017728044451,0.746962132629632,0.012043501611164319,0.39285794408896707,0.11092436974789915,0.9995,0.21938636363616423,0.012904411764715372,1.03839326294,1.079814681343722
635,0.26101321585903087,0.6691542288557214,0.6701492537313434,0.2608759553203997,0.005998101368916154,0.30152599849269546,0.03147422126743745,0.4586146055895421,0.006848739495798319,0.9455,0.0046804545454502905,0.01861764705883722,1.02160255285,1.0223981464350733
767,0.27643171806167405,0.4210199004975125,0.4213930348258707,0.2766754850088183,0.11253377372571519,0.6233250518082899,0.7693340494088243,0.8946959113533726,0.02913865546218487,0.70975,0.0252636363636134,0.4380882352944398,1.0439523525799999,1.0809996772149708
993,0.2612334801762115,0.67363184079602,0.67363184079602,0.2613168724279835,0.0037721867399105437,0.30015542577227405,0.024167561761533746,0.4563634636171837,0.004985994397759103,0.9526,0.003436363636360513,0.011863235294126369,1.0130506810700002,1.0206715990294928
763,0.26596916299559475,0.48034825870646775,0.48034825870646775,0.26601998824221046,0.06633131673988238,0.5199610258098469,0.6388292158965421,0.7775730340372488,0.018662464985994394,0.723,0.015423863636349617,0.24744485294135843,1.03035150099,1.0758876731826714
1007,0.3859030837004405,0.9970149253731344,0.9950248756218907,0.3862433862433862,0.0016068934912882849,0.29924171062532656,0.007227712137482692,0.3079781295893766,0.0022386554621848737,0.9640000000000001,0.0023029999999979065,0.007561764705887913,1.01560229783,1.0183125731721598
