,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
1288,0.51075,0.5275,1.0331333904598685,0.2555,0.96825,299.5,0.0342,0.99975,0.078625,8.98e-06,0.484,0.0878,1.018930921,1.035703273690455
1000,0.3566,0.263,0.7370845672918723,0.1782,1.354,0.9908,0.00016319999999999998,0.9488,0.05616,9.258e-06,0.6779999999999999,0.13216,1.01455248053,1.027477625204251
146,0.3862,0.615,1.5878070973612375,0.1932,0.8166,6.148,0.0008187999999999998,0.7018,1.5802,0.00021064,0.4086,3.8264000000000005,1.05215917403,1.1313349859751554
818,0.523909090909,0.262636363636,0.5009604691137396,0.262272727273,1.99545454545,0.525272727273,5.85636363636e-05,0.971363636364,0.017532727272700003,1.96327272727e-06,0.997545454545,0.026473636363700002,1.02048087911,1.015393571958361
617,0.617375,0.5240833333330001,0.8499799277368125,0.30870833333299996,1.1775,22.7291666667,0.0021858333333299998,0.9996666666670001,0.012537916666700002,1.20808333333e-06,0.589,0.01621541666667,1.01955950817,1.0226933399996825
1144,0.621857142857,0.523428571429,0.8404600811944808,0.311,1.18857142857,21.842857142899998,0.00207,0.9988571428569999,0.0237714285714,2.2645714285700002e-06,0.594142857143,0.036467142857099996,1.0212705636,1.0226725487571044
1282,0.614,0.52325,0.8509523809523809,0.30725,1.175,20.725,0.001975,0.99825,0.037275,3.5475e-06,0.5870000000000001,0.06405,1.0236150388299998,1.0228167419651943
1354,1.242,0.8358,0.6744075829383887,0.6206,1.485,105.7,0.005019,0.9999,0.01864,8.920999999999999e-07,0.7424,0.027596999999999997,1.22826694415,1.1703415928274383
867,0.35625,0.26275,0.7382220401474805,0.178125,1.35625,0.889125,0.000145625,0.959125,0.0397625,6.53125e-06,0.6775,0.1070625,1.02003392332,1.0260314735780878
1291,0.3595,0.26375,0.734020618556701,0.17975000000000002,1.3625,1.195,0.000197,0.951,0.0614,1.00825e-05,0.6807500000000001,0.16555,1.00440121972,1.0269234058222492
563,0.518285714286,0.538428571429,1.0383986928099547,0.259142857143,0.962857142857,288.857142857,0.0330285714286,0.9998571428569999,0.054185714285699994,6.16285714286e-06,0.481428571429,0.055600000000000004,1.0324139070899998,1.0374265597822026
1421,0.5266,0.262,0.4974116587891065,0.2634,2.01,0.5886,6.61e-05,0.9598,0.02806,3.1560000000000004e-06,1.004,0.04932,1.01932383893,1.0169658724895316
158,0.49975,0.26225,0.5251692670002944,0.25,1.905,0.65575,7.6975e-05,0.955,0.034375,4.01e-06,0.9522499999999999,0.051925,1.03503802839,1.0190192455579004
69,0.357285714286,0.263857142857,0.7371601208464965,0.178857142857,1.3557142857100002,0.981,0.000159857142857,0.9581428571430001,0.0446,7.274285714289999e-06,0.6778571428569999,0.11831428571430001,1.02145560263,1.0259723346848153
199,0.622,0.523545454545,0.8419080068160354,0.311,1.18818181818,13.236363636400002,0.00124,0.998454545455,0.0209354545455,1.96418181818e-06,0.593909090909,0.0333727272727,1.01522579094,1.0224971603332034
1415,1.31,0.7928,0.6066606660666066,0.6537999999999999,1.6480000000000001,1.4706,6.606e-05,0.9756,0.030719999999999997,1.359e-06,0.8248000000000001,0.0567,1.04966291698,1.152382166580046
532,1.215,0.6995,0.5766283524904214,0.6068,1.7380000000000002,4.114,0.00019781,0.9858,0.020036,9.493000000000001e-07,0.8684999999999999,0.036819000000000005,1.14675209563,1.0931598457783591
996,0.4982,0.263,0.5274647887323943,0.2492,1.896,0.613,7.23e-05,0.9624,0.02792,3.306e-06,0.9472,0.04586,1.00600330843,1.0179844376050842
756,1.355,0.78725,0.5823336968375137,0.67625,1.7175,1.13,4.945e-05,0.96275,0.036775,1.57175e-06,0.8590000000000001,0.069525,1.20755142984,1.1552386881873713
627,1.2166666666700001,0.7843333333329999,0.6451612903199272,0.608,1.5533333333300001,106.333333333,0.00514,0.9996666666670001,0.04836666666669999,2.33e-06,0.7753333333329999,0.07693333333329999,1.09296307073,1.137214141646285
333,0.522551724138,0.262310344828,0.5022438725016686,0.261137931034,1.99034482759,0.500379310345,5.5675862069e-05,0.9788620689659999,0.0126234482759,1.40789655172e-06,0.9954482758620001,0.01566206896552,1.0189761457,1.0144884817628241
