,EXEC,INST,L3HIT,L2MISS,INSTnom%,PhysIPC%,L2MPI,IPC,FREQ,L3MPI,MEM,L3MISS,GT,Pred
400,0.36086637298091045,0.3300745977730386,0.9686666666670001,0.0016715151515125715,0.36118459729570834,0.9305970149253733,0.001779178338002801,0.9307628524029852,0.30009831857558983,0.000975349627108216,0.004820622986033931,0.00415110294117217,1.01284877715,1.0210497493013873
1051,0.25370444533406755,0.7542079153184233,0.624727272727,0.02243760330577051,0.25386136497207523,0.49253731343283585,0.03143111790168067,0.49226594301243787,0.48094642734795695,0.18427812953683384,0.7758519675801419,0.5509692513379052,1.12980065866,1.1118618698321032
825,0.2611800827657856,0.4570451827578969,0.962727272727,0.002777727272724748,0.2613435946766608,0.6721845318855723,0.004048892284173669,0.6720940750796021,0.3005915170926158,0.0024264076194427556,0.014033297529530597,0.007572192513380567,1.02030861638,1.0215485955546832
648,0.4540833615726872,0.5226751006956513,0.999538461538,0.07993706293706371,0.4544837878174602,0.5876769996169154,0.06640810170224089,0.5874473784925375,0.5980441351218736,0.0007329078913305816,0.003947368421044067,0.004023020361995606,1.02625230971,1.0257440321380213
870,0.368942731277533,0.6644233952647054,0.99375,0.940227272726418,0.36945179306290415,0.4625621890547264,0.974439775910364,0.4625621890547264,0.6173287961564465,0.09445408739307468,0.08265306122444542,0.41470588235324607,1.0367898873499999,1.0453252900746766
774,0.03314814977973569,0.7709549184478235,0.612266666667,0.003804818181814723,0.033177376053350964,0.26833167495820903,0.15633986928095236,0.2681923714761194,0.06442232400771783,0.8048441680731525,0.694199785177393,0.12992485294134554,1.09676805939,1.0714224994272308
124,0.3781204111600588,0.6471728207645265,1.0,0.8903305785110088,0.37838704505437976,0.47489823609253734,0.8966131907310924,0.47471732247860704,0.616446230389197,0.0022785411282360882,0.0064804218338149954,0.01028342245990462,1.0638642775700002,1.0407844772314114
1046,0.36409691629955954,0.32722535199773156,0.9679,0.002071045454543572,0.364344503233392,0.9386069651741294,0.0021753501400560223,0.9388059701492537,0.30015542577227405,0.0011620520943907311,0.005953920515571454,0.005030735294121346,1.01455966284,1.0210081647914513
304,0.9618208516886932,0.37359346338069516,0.975333333333,0.004872954545450116,0.9621791103277483,0.8213930348258708,0.001915966386554622,0.8208955223880597,0.9059104967344324,0.0005711359393614472,0.008051825993550994,0.006676470588247557,1.10533561074,1.1385604686329682
24,0.4529185022026432,0.5273080290703167,0.99925,0.100306818181727,0.45340975896531444,0.5827114427860697,0.08389355742296918,0.582089552238806,0.6016243170682853,0.0012137617049466007,0.006442669172928872,0.006603860294122503,1.0215494932200002,1.0261760383029348
411,0.2977851199214391,0.5984068211385299,1.0,0.5995075757580914,0.29810895551587296,0.5135986733004975,0.7719421101764705,0.5140961857363184,0.44876738727723015,0.0010369315575328533,0.003961063372710547,0.0036511029411865083,1.0143277425100001,1.018777810076371
117,0.26248164464023493,0.8186102787419774,0.632666666667,0.02333333333330152,0.26246815598618456,0.46359867330049753,0.03156629318403362,0.46388888888905483,0.5397581873266635,0.1852723150001041,0.7600026852853061,0.5747426470592462,1.11946806616,1.114899680829335
21,0.9104258443465493,0.3457776765875074,0.982,0.010531818181808608,0.9105754784773662,0.8896627971253734,0.0044534702770028,0.8899944720845774,0.7923940802142228,0.00046609208423163375,0.0059185463659044485,0.005113235294121408,1.10999920199,1.0835280438924968
769,0.2945248584016153,0.6051949870580043,1.0,0.6740909090898418,0.2945746199720752,0.5076759061830846,0.8649459783921568,0.5071073205422885,0.44886256593798973,0.0010187929168053312,0.004077873254556349,0.0036044117647085327,1.02149353585,1.0207985959126131
287,0.21470526536637302,0.6449394771401263,0.7314285714290001,0.010510909090904082,0.21481061560405637,0.5282160625442787,0.018239295718291314,0.5272921108756219,0.34916971686892057,0.10105596307353404,0.6350314561913883,0.25512920168180525,1.0730453195,1.073359771822146
872,0.2653777125139501,0.8721214580816469,0.67,0.026097979797949002,0.26536677771310985,0.4243228302925374,0.03171179582941176,0.4239911553343284,0.5824934061790707,0.15859274113752683,0.8006086645178299,0.56561274509821,1.11427284592,1.1253265202437455
651,0.38534959900587373,0.3087200214246249,0.9712307692309999,0.0014979020979000019,0.38551982996472656,0.9943360122467663,0.001486533074767507,0.9957902793731345,0.29941742507683833,0.0008562195291109267,0.003631083202507717,0.003947171945694079,1.02437449192,1.0214367022318087
1054,0.3783406754772394,0.6474734771391877,1.0,0.9580454545445838,0.37860082304526743,0.4745273631840796,0.9689075630252099,0.4745273631840796,0.6171003673697096,0.0010984423361011578,0.005706605800211758,0.004932352941180097,1.0237167058399999,1.0425607323218014
1055,0.3867107195301028,0.3101240313294967,0.9604,0.0019762272727254764,0.3868312757201645,0.99044776119403,0.0019605042016806722,0.992039800995025,0.3022112848529061,0.0012645107654611848,0.006278410311489647,0.005799705882357207,1.01502447927,1.0200811409812691
362,0.3778267254038179,0.6445366500456422,1.0,0.874681818181023,0.37815990593768367,0.4766169154228856,0.8865546218487393,0.4767661691542289,0.6134455067819194,0.00161628553613641,0.0070665950590724684,0.007191176470593522,1.04141556447,1.0400146691108005
414,0.25886301657195304,0.7844442378484145,0.5915,0.02257499999997948,0.25909129083774246,0.4867093105900498,0.029967987194957985,0.4863539445626866,0.5118436457098956,0.18435242316194964,0.7557541813723118,0.5848266806717535,1.12434902449,1.1119525047189458
314,0.3639255996086638,0.32752126294068873,0.9675,0.002161515151512126,0.36473642955173424,0.9381426202318408,0.0022707749766582635,0.937810945273632,0.30000313991483024,0.0013967109118854576,0.006023093447912986,0.00604779411765886,1.02789049512,1.020860405159448
493,0.2616005873715125,0.4567065774293457,0.9519,0.0030749090909062957,0.26190476190476186,0.6727363184079603,0.004406162464985995,0.672636815920398,0.3009549265258532,0.0036577745572152036,0.019087540279259355,0.01164926470589092,1.01945012494,1.0206803141137746
315,0.24229074889867844,0.6667577546123328,0.6835,0.014796515151491095,0.2422594552219282,0.5014925373134329,0.024094304388431367,0.5009121061343283,0.40622252574748424,0.1460605277591825,0.6388292158965421,0.3847794117642535,1.0767090122299998,1.071839835745704
779,0.24718551150293686,0.6794620411715108,0.6394,0.015137181818168057,0.24730550656525568,0.5090547263681592,0.022035480859019605,0.5092537313432837,0.42335468475275106,0.13916448998144398,0.6662728249185467,0.4261029411775192,1.0825391414499999,1.079119044551312
28,0.8516886930983848,0.3477151723950703,0.999875,0.2453181818179588,0.8522560258671367,0.8829601990049752,0.10833333333333332,0.8824626865671642,0.7463910606627896,0.0004562612696106149,0.004208780880771102,0.004722518382356414,1.05639448604,1.0563698634236154
782,0.4594084329765052,0.5163933329728885,0.9992142857140001,0.06234090909098878,0.45991853531599053,0.5945984363890547,0.05120048019215686,0.5952380952388059,0.5979939309928702,0.0007381293428367282,0.004653751726254214,0.004080409663878001,1.04042952278,1.0257498809634018
816,0.24996662661894278,0.7081057022820303,0.659545454545,0.018046694214865412,0.25012025012051725,0.5058344640437812,0.02472370766487395,0.5053369516069652,0.44616295300341124,0.13856370959210185,0.7100869055748066,0.44123663101576566,1.09446399028,1.091827343036413
492,0.894273127753304,0.3530858442775299,0.9873,0.012017727272716348,0.8947677836566724,0.8711442786069652,0.005120728291316526,0.8711442786069652,0.7945895346642735,0.00039604545480025023,0.0050268528463990195,0.004270588235297258,1.07674513142,1.0835157294415128
647,0.8889238514757711,0.36518080164481054,0.990071428571,0.01686590909088012,0.8900226757363314,0.8419331911870649,0.00725430172070028,0.8415067519552241,0.8178566382271273,0.000442310423772287,0.005168175540883368,0.00469994747898875,1.0641235424,1.0927129005265543
279,0.9021659324522762,0.341879669078021,0.9835,0.009101988636355363,0.9036963550852437,0.8982587064676618,0.0038686974789915963,0.89863184079602,0.778799394781086,0.0004340618908786833,0.005878759398493084,0.004786764705885873,1.10886425727,1.0774840307412268
408,0.2630934899654919,0.4560168659032668,0.9624166666670001,0.0032258333333197945,0.26332549480746614,0.6739635157542289,0.004698879551820728,0.6741293532338309,0.30200189179877807,0.00278950847174944,0.017357679914056203,0.008715073529410821,1.01804025348,1.0214240724158044
