,EXEC,MEM,L2MISS,IPC,L3HIT,L2MPI,INSTnom%,PhysIPC%,FREQ,L3MISS,INST,L3MPI,GT,Pred
918,0.8925949234287813,0.008216970998921474,0.01016590909089985,0.8798862828706467,0.976857142857,0.004336534613837534,0.8917023599559081,0.8790334044069654,0.7849792092797406,0.006920168067225676,0.3502431010375794,0.000639085960801956,1.0438339512700001,1.0969797024145223
1301,0.38516886930983846,0.006819763694948004,0.0020828181818162883,0.9950248756218907,0.965,0.002015686274509804,0.38565549676660776,0.9936318407960201,0.29969856819880036,0.005960294117651441,0.3087322880417127,0.0012636569432022645,1.02590690817,1.023236883014989
927,0.26248164464023493,0.02168367346938685,0.0029378787878750565,0.6766169154228857,0.943333333333,0.004234360410840336,0.26283558690917097,0.6762852404646768,0.300383854559011,0.012742647058840251,0.45438507665490446,0.004041425358891548,1.02249348213,1.020187079596368
919,0.3866862457173275,0.006768259935560276,0.0018603030303023997,0.9991708126019901,0.9618333333329999,0.001811858076563025,0.3867822849309229,0.9980099502487563,0.299432067947988,0.005878676470592558,0.30748936734679866,0.0012586763133571389,1.02026332828,1.0223961372626083
1226,0.37500000000000006,0.008607679914066269,0.9553409090900407,0.48059701492537316,1.0,0.9691876750700279,0.37588183421516747,0.48059701492537316,0.6041941409190753,0.007626838235299726,0.6394803003707173,0.0016969717396043923,1.01825604175,1.0329377985739407
1141,0.23348017621145378,0.6350314561913883,0.01164181818181669,0.506823027716418,0.693,0.01915966386554622,0.23347610649176948,0.5070362473343284,0.38473934223239953,0.29807773109360153,0.6543865319718716,0.1148329950945015,1.06174160569,1.0647489778406172
151,0.2683553597650514,0.641648764768721,0.015466818181804124,0.5130597014925373,0.6835,0.017948179271708685,0.26785714285714285,0.5121890547263682,0.5019722588543168,0.24959558823547764,0.7468605250773304,0.06645939007872045,1.04310376031,1.0722682361886045
1310,0.25868820362187966,0.7806122448975401,0.022739393939383873,0.46915422885572144,0.659333333333,0.03059757236218487,0.25891632373162843,0.46932006633532347,0.5112997676464539,0.5595955882349704,0.7885608605345445,0.17394493969856847,1.14159369845,1.1158858252290502
1282,0.45080763582966227,0.01031954887217491,0.06594318181812188,0.5845771144278608,0.99825,0.05532212885154062,0.4515726043503821,0.5840796019900499,0.5976268133003897,0.008222426470594282,0.52554904329549,0.0015144672317601463,1.0236150388299998,1.0239376189751543
1097,0.3763582966226138,0.008661654135333695,0.9583636363627652,0.47980099502487566,1.0,0.9596638655462186,0.3765432098765431,0.4798009950248756,0.606935286359918,0.007800000000005736,0.6405167689495754,0.001735820652385273,1.03221742677,1.034062308075646
