,EXEC,L3MISS,L2MISS,PhysIPC%,INSTnom%,L2MPI,IPC,L3MPI,INST,FREQ,L3HIT,MEM,GT,Pred
944,0.2543644966549192,0.3131127450972891,0.013239545454533421,0.5138750690985074,0.2547521066034685,0.019156551509495797,0.5141514648955224,0.10930822296960375,0.6882333556162993,0.44112136816498576,0.667222222222,0.6263873970641104,1.06044234795,1.0718411138804678
1307,0.3732745961820852,0.007601470588240885,0.9271818181809753,0.47681592039801,0.37389770723104054,0.9518207282913166,0.4770149253731344,0.001734966830126352,0.6442652228253927,0.6057931424262335,1.0,0.007450053705688803,1.03026114404,1.0292685670990374
1225,0.9508076358296623,0.00758272058824087,0.0035262499999967945,0.8161691542288558,0.9501763668430334,0.0013977591036414565,0.8171641791044777,0.0006576565949334759,0.3760223788867724,0.9000094197433485,0.965,0.00890171858216493,1.0688326022799999,1.150083904359071
1096,0.24278022515932454,0.36033088235320615,0.013973484848482752,0.5038142620228856,0.24274936312022335,0.022306255835658265,0.5043117744626866,0.13619176548344492,0.6609672135942269,0.40355752323479255,0.6970000000000001,0.6479591836720473,1.07749585755,1.0681626610287445
1286,0.37041116005873714,0.009512867647065817,0.0029399999999973276,0.9437810945273631,0.3703703703703703,0.003010504201680672,0.9427860696517414,0.002140959314243026,0.3256408900456697,0.3040958223434854,0.9555,0.011789742212668214,1.0055011257200002,1.019691588354628
1142,0.26169498636490457,0.009545168067227607,0.0029690909090886648,0.6749111584935324,0.2622406987492651,0.0043417366946778705,0.6751954513134328,0.0030621725443152016,0.4553523778647041,0.2998943643012281,0.9570000000000001,0.018977290164173485,1.01387937275,1.024838160553275
636,0.381424375917768,0.015540441176482015,0.003444318181815051,0.9810945273631841,0.3821281599059376,0.003490196078431372,0.982587064676617,0.0034579801486278186,0.3132043873076965,0.3009549265258532,0.9415,0.01393662728248446,1.0280287636499998,1.0188850052675438
1302,0.8737151248164464,0.009452205882359892,0.3383333333319652,0.7348258706467662,0.8747305506569664,0.14757236227815124,0.7354892205621891,0.0008880463011336,0.4171604792430652,0.9205680105496685,0.9996666666670001,0.008515574650903053,1.15208105722,1.1458496573417212
752,0.8553597650513951,0.010516544117654793,0.26528409090884975,0.8853233830845771,0.8568489124044678,0.11792717086834734,0.8855721393034827,0.0010198906882804763,0.3465730718490453,0.7478187405798953,0.9995,0.011225832438232426,1.05487460699,1.091922455735897
152,0.9599853157121881,0.008007352941182358,0.003500795454542272,0.8261194029850748,0.9600970017636683,0.001387955182072829,0.8258706467661692,0.0006906354796842782,0.37264240244734076,0.8988672758096641,0.965,0.009272287862508447,1.0846158209,1.1523409030235905
