,EXEC,FREQ,IPC,L2MISS,MEM,INST,PhysIPC%,INSTnom%,L3HIT,L3MPI,L2MPI,L3MISS,GT,Pred
34,0.38304454233994123,0.6301893368497336,0.47048756218905474,0.9541212121214054,0.002162062298602491,0.6531110651363699,0.4705008291870647,0.38334313149176946,1.0,0.000526865255236422,0.957684407095238,0.00237923529412675,1.02713558966,1.044111418890894
1061,0.26169236417033775,0.30081215853414267,0.67363184079602,0.0027006477272702722,0.01343917830289289,0.4562126568648156,0.67363184079602,0.2618680188124632,0.96835,0.0019240884604772319,0.003953781512605042,0.005979044117651456,1.0211257788299999,1.0218316140184083
1256,0.3852276064610867,0.29960719668410557,0.9948258706467663,0.0014183272727259835,0.0031132330827050953,0.30881446575580596,0.9951442786069652,0.38565549676660776,0.97416,0.0006141201979511221,0.001412549019607843,0.002803058823531473,1.01686798224,1.0224109958470473
333,0.3836649956960353,0.29959616908797704,0.9902213072587066,0.0015921159874599166,0.0025234267935840366,0.31018631900278426,0.9904957968776121,0.3838006041064079,0.9788620689659999,0.0006010467070579406,0.0015595479571148458,0.0027845841785094005,1.0189761457,1.022694214040284
141,0.29403654756093983,0.4506011628145668,0.5051299060248756,0.6554191919189497,0.002775460078767575,0.608358751496755,0.5050967385293533,0.29438565549676654,0.9999777777779999,0.0009455464868153725,0.8514161220056021,0.003521615196090825,1.02142758901,1.0232385121217156
364,0.4643171806167401,0.5980265636771792,0.6014925373134329,0.03474545454542296,0.005989849624056934,0.5116288745111967,0.6011940298507464,0.46487360376249254,0.9979,0.0009211461440363265,0.02818207282913165,0.005163529411768503,1.0263793270100001,1.0211242478738405
548,0.4446436498994127,0.5997849341056355,0.5738748119850747,0.12401691331897817,0.0039898583668447965,0.5356484752271915,0.5737359713064678,0.4449161232113462,0.9995581395350001,0.0009605202567888951,0.10704188652212886,0.0051318570451581854,1.02049766459,1.023996584256445
278,0.8453954268942732,0.7456568252766865,0.8770433546567163,0.26331818181780614,0.005052861746211035,0.35078653414007377,0.8764747690119403,0.8453010833965314,0.9998571428569999,0.0004719197599667837,0.11844737895154062,0.004783928571422635,1.0278985819700002,1.0437292161163725
467,0.293174281047724,0.4487085690027388,0.5058862988407961,0.6177732379980747,0.0011718045112775663,0.6075902066049796,0.5058192185144278,0.2934493259082892,1.0,0.0003986726371103078,0.8106253737450979,0.0013894084600135216,1.02006330216,1.0212293924436573
1127,0.9037315366666667,0.9810344540981394,0.7136376938855723,0.3538368983955874,0.006137328615657284,0.43122332946249026,0.7131401814457713,0.9044420237228099,0.999852941176,0.0005810386034030466,0.15069204152240898,0.00611425173011479,1.2018134803799998,1.2048086457156642
