,EXEC,L3MISS,INST,IPC,L3HIT,GT,Pred
1,0.25532753124889873,0.00874713055955055,0.4592864502334939,0.6688508676119403,0.960146341463,1.0203377197399999,1.0267465126493311
6,0.26161312273935394,0.005567431850783506,0.45670511086668963,0.6724912025223883,0.9727073170730001,1.01644651895,1.0145624406229592
8,0.17984837619089578,0.19600957592352647,0.6610208999951793,0.5903968529452737,0.842348837209,1.1311043567799999,1.129008359443596
9,0.3797766622268723,0.0026544459644357757,0.652154631401171,0.47130625940049764,1.0,1.05560647807,1.0403050777780423
13,0.8885662795374449,0.005059742647062544,0.3763893657951153,0.8171641791044777,0.9904318181820001,1.08969341406,1.0984051774384402
