Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C4res%,C5res%,C6res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,Proc Energy (Joules),READ,TIME(ticks),WRITE,Slowdown
num-400000,6.04E+05,1.01,99,0,0.915,0,0,0,0,0,0,0,0,1.02,1,6.13E+05,2.04,50.9,1.02,0.733,360,0.000588,0.334,201,0.000329,2.03,50.8,1.18E+03,125,7.53E+04,192,1.470372633
num-400000,2.58E+05,1.02,55.4,0,39.3,0,0,0,0,0,0,0,0,0.819,0.563,3.76E+05,1.64,40.9,1.45,0.724,187,0.000498,0.406,91.1,0.000242,2.91,72.7,776,61.8,5.74E+04,94.3,1.132013132
num-400000,4.78E+05,1.01,91.2,0,8.76,0,0,0,0,0,0,0,0,1.17,0.922,6.07E+05,2.34,58.6,1.27,0.704,174,0.000287,0.522,75.8,0.000125,2.54,63.5,1.01E+03,52.2,6.48E+04,115,1.273813348
num-400000,2.32E+05,1.02,51.9,0,46.5,0,0,0,0,0,0,0,0,1.01,0.529,4.44E+05,2.02,50.6,1.91,0.713,72.4,0.000163,0.319,46.4,0.000105,3.83,95.7,783,31.4,5.48E+04,59.3,1.069854213
num-400000,6.01E+05,1.01,99.8,0,0.189,0,0,0,0,0,0,0,0,1.21,1,7.22E+05,2.41,60.3,1.2,0.697,150,0.000208,0.267,97.9,0.000136,2.4,60,1.18E+03,61.6,7.48E+04,140,1.456899748
num-400000,4.51E+05,1.01,87.1,0,12.7,0,0,0,0,0,0,0,0,1.2,0.878,6.18E+05,2.41,60.1,1.37,0.757,145,0.000235,0.425,72.6,0.000117,2.74,68.5,992,50.3,6.42E+04,81.6,1.264046972
num-400000,5.97E+05,1.02,99.8,0,0.159,0,0,0,0,0,0,0,0,1.24,1.01,7.31E+05,2.48,62.1,1.23,0.765,276,0.000377,0.497,104,0.000142,2.45,61.3,1.20E+03,90.5,7.36E+04,105,1.433266714
num-400000,5.93E+05,1.01,99.3,0,0.694,0,0,0,0,0,0,0,0,1.32,1.01,7.76E+05,2.63,65.9,1.31,0.752,133,0.000171,0.433,60.2,7.75E-05,2.62,65.5,1.18E+03,54,7.37E+04,76.6,1.435935776
num-400000,4.09E+05,1.01,80.1,0,19.2,0,0,0,0,0,0,0,0,0.891,0.81,4.50E+05,1.78,44.6,1.1,0.694,210,0.000467,0.251,135,0.000299,2.2,55,908,74.7,6.31E+04,160,1.233315909
num-400000,3.29E+05,1.01,65.6,0,33.7,0,0,0,0,0,0,0,0,0.971,0.665,4.80E+05,1.94,48.6,1.46,0.695,144,0.0003,0.295,89.5,0.000186,2.92,73,892,53,6.18E+04,114,1.209459528
num-400000,4.57E+05,1.01,84.5,0,14.2,0,0,0,0,0,0,0,0,0.834,0.853,4.47E+05,1.67,41.7,0.977,0.738,469,0.00105,0.54,150,0.000336,1.95,48.9,973,134,6.70E+04,143,1.312745384
num-400000,2.86E+05,1.02,61.1,0,38.4,0,0,0,0,0,0,0,0,0.788,0.621,3.63E+05,1.58,39.4,1.27,0.724,201,0.000554,0.282,127,0.000349,2.54,63.5,789,68.7,5.75E+04,124,1.129189219
num-400000,2.98E+05,1,63.5,0,35.5,0,0,0,0,0,0,0,0,0.777,0.638,3.63E+05,1.55,38.9,1.22,0.731,217,0.000597,0.298,132,0.000363,2.44,60.9,776,74.8,5.84E+04,127,1.145148422
num-400000,5.10E+05,1.01,90.7,0,9.07,0,0,0,0,0,0,0,0,1.04,0.914,5.81E+05,2.08,52.1,1.14,0.738,266,0.000458,0.331,150,0.000258,2.28,57,1.05E+03,83.9,6.97E+04,144,1.366349521
num-400000,6.41E+05,1.01,99.9,0,0.147,0,0,0,0,0,0,0,0,1.17,1.01,7.40E+05,2.33,58.4,1.16,0.737,280,0.000378,0.35,153,0.000206,2.31,57.8,1.26E+03,100,7.93E+04,148,1.54178793
num-400000,6.23E+05,1,99.5,0,0.453,0,0,0,0,0,0,0,0,1.34,1,8.34E+05,2.68,66.9,1.34,0.704,112,0.000134,0.321,73,8.75E-05,2.68,66.9,1.22E+03,41.9,7.78E+04,72.9,1.515272794
num-400000,5.59E+05,1.01,97.3,0,2.67,0,0,0,0,0,0,0,0,1.15,0.981,6.54E+05,2.3,57.4,1.17,0.778,211,0.000323,0.35,125,0.000191,2.34,58.5,1.10E+03,81.6,7.12E+04,136,1.392625155
num-400000,6.42E+05,1,99.3,0,0.707,0,0,0,0,0,0,0,0,1.11,0.997,7.13E+05,2.21,55.3,1.11,0.73,355,0.000498,0.391,170,0.000239,2.22,55.5,1.25E+03,121,8.06E+04,166,1.580373207
num-400000,5.88E+05,1.01,99.8,0,0.191,0,0,0,0,0,0,0,0,1.32,1.01,7.69E+05,2.63,65.8,1.31,0.756,145,0.000188,0.417,74.1,9.63E-05,2.62,65.4,1.17E+03,55.9,7.31E+04,82.2,1.421715424
num-400000,5.94E+05,1.01,99.2,0,0.791,0,0,0,0,0,0,0,0,1.13,0.998,6.72E+05,2.26,56.5,1.13,0.751,313,0.000466,0.406,150,0.000223,2.26,56.6,1.16E+03,102,7.43E+04,147,1.447813524
num-700000,9.30E+05,1.01,92,0,7.58,0,0,0,0,0,0,0,0,0.792,0.927,7.95E+05,1.58,39.6,0.855,0.752,826,0.00104,0.465,317,0.000399,1.71,42.7,1.81E+03,270,1.25E+05,316,1.447586505
num-700000,9.74E+05,1.01,95.8,0,4.2,0,0,0,0,0,0,0,0,0.906,0.969,9.11E+05,1.81,45.3,0.935,0.74,667,0.000733,0.333,359,0.000394,1.87,46.8,1.90E+03,217,1.26E+05,339,1.457842699
num-700000,1.03E+06,1.01,99.8,0,0.165,0,0,0,0,0,0,0,0,1.16,1.01,1.19E+06,2.33,58.2,1.16,0.758,413,0.000348,0.337,241,0.000203,2.32,57.9,1.99E+03,143,1.27E+05,234,1.470676953
num-700000,7.18E+05,1.01,83,0,16.8,0,0,0,0,0,0,0,0,1.2,0.84,1.03E+06,2.4,60.1,1.43,0.758,199,0.000193,0.391,113,0.00011,2.86,71.6,1.63E+03,66.5,1.07E+05,116,1.247240831
num-700000,9.80E+05,1.01,96.9,0,3.06,0,0,0,0,0,0,0,0,1.03,0.978,1.03E+06,2.06,51.4,1.05,0.736,489,0.000475,0.319,278,0.00027,2.1,52.6,1.93E+03,179,1.25E+05,320,1.449451928
num-700000,9.86E+05,1.01,96.1,0,3.86,0,0,0,0,0,0,0,0,1.07,0.97,1.09E+06,2.14,53.5,1.1,0.75,575,0.000528,0.371,289,0.000266,2.21,55.2,1.98E+03,197,1.27E+05,279,1.467792215
