Configuration,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,READ,WRITE,SLOWDOWN
num-200000,1.22,0.755,369000,2.44,1.61,0.715,42.9,0.000116,0.392,23.5,0.0000637,3.23,20.3,34.6,1.3547471361
num-200000,1.27,1,400000,2.53,1.26,0.647,68.1,0.00017,0.255,44.7,0.000112,2.52,29.8,66,1.4340138737
num-200000,1.12,1,356000,2.24,1.11,0.693,128,0.00036,0.298,81.6,0.000229,2.23,43.1,87.7,1.4175620001
num-200000,1.29,1.01,413000,2.58,1.28,0.741,101,0.000246,0.49,39.6,0.0000959,2.55,37.8,51.8,1.426982965
num-200000,1.11,1.01,352000,2.22,1.1,0.737,133,0.000378,0.326,79.1,0.000225,2.2,49.4,89.5,1.4180371498
num-200000,0.982,0.988,331000,1.96,0.993,0.736,219,0.000662,0.37,108,0.000328,1.99,77.6,107,1.5358994692
num-200000,1.17,1,373000,2.34,1.17,0.675,92.3,0.000248,0.296,56.2,0.000151,2.33,36.1,89.7,1.4491965501
num-200000,1.18,1.01,393000,2.36,1.17,0.746,112,0.000284,0.354,65.8,0.000167,2.34,43.2,82.4,1.4820488258
num-200000,1.21,0.761,316000,2.42,1.59,0.742,30.5,0.0000967,0.371,18,0.0000571,3.17,17,29.8,1.1947651077
num-200000,1.11,0.987,353000,2.22,1.12,0.711,221,0.000626,0.502,78.9,0.000224,2.25,73.6,78.6,1.4333656565
num-200000,0.705,0.662,185000,1.41,1.06,0.679,99,0.000535,0.296,60.1,0.000325,2.13,37.3,91,1.1914605739
num-200000,0.967,1,312000,1.93,0.966,0.739,221,0.000707,0.416,102,0.000326,1.93,79,104,1.4424447608
num-200000,1.17,1.01,395000,2.34,1.16,0.696,118,0.000298,0.305,70.3,0.000178,2.31,41.9,87.6,1.5024641901
num-200000,1.13,1,360000,2.26,1.13,0.682,102,0.000284,0.313,60.5,0.000168,2.26,39.4,97.2,1.4397363014
num-200000,1.12,0.658,318000,2.23,1.7,0.744,45.1,0.000142,0.379,26.5,0.0000831,3.39,20.7,40.2,1.2943208445
num-200000,1.05,0.946,343000,2.1,1.11,0.701,148,0.000431,0.254,100,0.000293,2.22,50,102,1.4595124922
num-200000,0.761,0.956,236000,1.52,0.796,0.748,236,0.001,0.383,115,0.000486,1.59,80.8,109,1.3970714951
num-200000,1.36,1,423000,2.73,1.36,0.727,31.7,0.0000749,0.366,19.3,0.0000455,2.73,19.5,35.8,1.3925611054
num-200000,1.35,1,424000,2.7,1.35,0.744,41.1,0.0000969,0.372,24.1,0.0000568,2.7,21.5,37.7,1.4001020671
num-200000,1.34,1,419000,2.68,1.34,0.753,51.3,0.000122,0.437,24.5,0.0000586,2.67,24.6,35.4,1.4109837023
num-200000,1.25,1,397000,2.5,1.24,0.744,91.6,0.000231,0.371,52.1,0.000131,2.49,34,60.6,1.425497389
num-200000,1,0.637,248000,2,1.57,0.717,80.5,0.000325,0.47,32.5,0.000131,3.14,31.1,43.3,1.1111302427
num-200000,1.18,0.643,292000,2.37,1.84,0.714,31.6,0.000108,0.397,17.1,0.0000587,3.68,16.1,28.1,1.1235096063
num-200000,1.19,0.762,304000,2.37,1.56,0.752,26.4,0.0000868,0.355,15.7,0.0000517,3.11,16.6,30.7,1.1482300037
num-200000,0.906,0.955,296000,1.81,0.948,0.746,247,0.000833,0.429,108,0.000364,1.9,86.5,101,1.4797032466
num-200000,1.14,1.02,511000,2.28,1.12,0.731,211,0.000414,0.35,115,0.000225,2.24,71.4,113,1.9989727228
num-200000,1.19,0.921,823000,2.38,1.29,0.738,220,0.000267,0.473,87.8,0.000107,2.58,77.4,118,3.0736177903
num-200000,1.26,0.765,322000,2.52,1.65,0.675,38.1,0.000118,0.275,26.6,0.0000826,3.29,15.5,27.9,1.1540358741
num-200000,0.718,0.697,191000,1.44,1.03,0.67,136,0.000714,0.247,91.7,0.000481,2.06,43.1,89.1,1.2034210639
num-200000,0.636,0.378,172000,1.27,1.68,0.71,36.5,0.000212,0.341,21.9,0.000128,3.37,19.7,38.4,1.2244567016
num-200000,0.664,0.388,157000,1.33,1.71,0.701,35.8,0.000228,0.308,23.2,0.000148,3.42,17.1,32.6,1.0748230456
num-200000,1.14,1.01,360000,2.29,1.13,0.719,148,0.000411,0.329,82.8,0.00023,2.26,50.4,80.2,1.413290775
num-200000,1.15,1.01,367000,2.3,1.13,0.738,166,0.000453,0.442,72.7,0.000198,2.26,51.6,75.9,1.4231953681
num-200000,1.29,0.958,396000,2.57,1.34,0.742,58.6,0.000148,0.417,31.7,0.0000801,2.69,25.1,45.1,1.3823973526
num-200000,1.15,1,365000,2.29,1.14,0.69,122,0.000335,0.309,76.6,0.00021,2.29,42.3,76.5,1.4216134905
num-300000,1.19,1.01,572000,2.38,1.18,0.77,182,0.000317,0.422,87.8,0.000153,2.35,63.3,107,1.5278872407
num-300000,0.885,0.996,400000,1.77,0.888,0.742,322,0.000804,0.378,160,0.000401,1.78,111,151,1.4208569814
num-300000,1.3,1.01,588000,2.61,1.29,0.673,86,0.000146,0.301,54.3,0.0000924,2.58,37.3,81.2,1.4233380706
num-300000,1.03,0.802,392000,2.06,1.29,0.738,105,0.000268,0.314,62.4,0.000159,2.57,43,88.7,1.2051389095
num-300000,1.24,1.01,757000,2.49,1.23,0.629,163,0.000216,0.241,114,0.000151,2.46,55.6,125,1.9085993023
num-300000,1.01,0.578,357000,2.02,1.75,0.741,76,0.000213,0.472,31.2,0.0000872,3.51,33.4,55.7,1.1059904264
num-300000,1.23,1.01,556000,2.46,1.22,0.725,146,0.000263,0.356,79.5,0.000143,2.44,57.3,98.5,1.4269126238
num-300000,0.682,0.427,237000,1.36,1.6,0.749,61.5,0.00026,0.384,32.2,0.000136,3.19,29.9,51.9,1.0946854574
num-300000,1.33,1.01,600000,2.65,1.31,0.758,97,0.000162,0.419,52.5,0.0000874,2.62,38.5,65.4,1.4341264923
num-300000,1.17,1.01,533000,2.34,1.16,0.766,206,0.000388,0.417,98.2,0.000184,2.32,71.4,103,1.4381315432
num-300000,1.19,1.01,545000,2.37,1.17,0.728,176,0.000322,0.294,113,0.000207,2.34,65.3,109,1.4440569882
num-300000,1.17,1.01,531000,2.34,1.15,0.732,200,0.000376,0.36,110,0.000206,2.31,74.8,109,1.4329118399
num-300000,1.18,0.93,492000,2.36,1.27,0.686,116,0.000236,0.348,67.6,0.000137,2.54,43,95.3,1.3275456975
num-300000,1.23,0.982,535000,2.46,1.25,0.762,153,0.000286,0.491,61,0.000114,2.5,56.8,77.3,1.3674958327
num-300000,1.21,0.998,554000,2.42,1.21,0.713,138,0.000249,0.347,76.1,0.000137,2.42,52.5,99.9,1.4471980491
num-300000,1.25,1.01,568000,2.51,1.24,0.694,106,0.000187,0.254,72.9,0.000128,2.49,44.8,93.9,1.4235033567
num-300000,1.22,0.665,416000,2.43,1.83,0.761,36.5,0.0000877,0.352,22.2,0.0000533,3.66,22.4,42.2,1.092320665
num-300000,1.09,1,530000,2.17,1.08,0.762,255,0.000482,0.412,127,0.000239,2.16,96.2,125,1.5357553408
num-300000,1.24,0.983,569000,2.49,1.26,0.784,148,0.000261,0.49,63.6,0.000112,2.53,56.4,79.6,1.4386526076
num-300000,1.14,0.775,484000,2.27,1.47,0.724,134,0.000277,0.425,65.3,0.000135,2.93,48.3,75.1,1.3460950815
num-300000,1.21,1,554000,2.41,1.2,0.739,192,0.000347,0.448,81.8,0.000148,2.41,63.7,84.5,1.438421811
num-300000,0.948,0.677,445000,1.9,1.4,0.719,201,0.000452,0.49,75.8,0.00017,2.8,70.6,90.2,1.4843830913
num-300000,1.17,0.946,569000,2.35,1.24,0.732,232,0.000408,0.473,93.2,0.000164,2.48,69.3,94,1.5212951606
num-300000,0.919,0.775,361000,1.84,1.19,0.685,127,0.000353,0.343,70.6,0.000196,2.37,49.3,127,1.2484027288
num-300000,1.13,1.01,629000,2.25,1.12,0.703,206,0.000328,0.28,132,0.000209,2.24,75.8,156,1.7566314737
num-300000,1.25,1.01,641000,2.49,1.24,0.706,109,0.00017,0.345,63.2,0.0000985,2.48,43.3,102,1.6152742774
num-300000,1.3,1,586000,2.59,1.29,0.756,83.8,0.000143,0.392,44.6,0.0000761,2.58,36.4,59.5,1.4284467179
num-300000,1.3,1,634000,2.6,1.3,0.785,117,0.000184,0.486,54.2,0.0000855,2.59,42.6,68.7,1.5310105325
num-300000,0.749,0.828,312000,1.5,0.904,0.715,261,0.000837,0.317,152,0.000487,1.81,86.7,146,1.3265627902
num-300000,1.24,1,600000,2.48,1.24,0.668,147,0.000244,0.241,103,0.000171,2.47,49.9,100,1.5184328377
num-300000,0.762,0.804,315000,1.52,0.948,0.723,230,0.000732,0.314,133,0.000423,1.9,83.6,148,1.3057441468
num-300000,1.06,1,695000,2.12,1.06,0.704,297,0.000427,0.293,187,0.000269,2.12,107,199,2.053141233
num-300000,1.14,0.999,521000,2.29,1.14,0.76,203,0.00039,0.399,97.9,0.000188,2.29,73.6,117,1.4490604195
num-300000,1.28,0.88,597000,2.56,1.46,0.719,55.1,0.0000923,0.352,33.6,0.0000563,2.91,30.2,54.1,1.4671863934
num-300000,0.758,0.847,324000,1.52,0.895,0.731,248,0.000767,0.335,139,0.00043,1.79,88.3,156,1.3558241545
num-300000,0.979,0.512,349000,1.96,1.91,0.721,48.7,0.000139,0.332,30.4,0.0000871,3.83,25.2,49.1,1.1367009333
