ACYC-1,AFREQ-1,EXEC-1,FREQ-1,INST-1,INSTnom%-1,INSTnom-1,IPC-1,L2HIT-1,L2MISS-1,L2MPI-1,L3HIT-1,L3MISS-1,L3MPI-1,PhysIPC%-1,PhysIPC-1,READ-1,TIME(ticks)-1,WRITE-1,ACYC-2,AFREQ-2,EXEC-2,FREQ-2,INST-2,INSTnom%-2,INSTnom-2,IPC-2,L2HIT-2,L2MISS-2,L2MPI-2,L3HIT-2,L3MISS-2,L3MPI-2,PhysIPC%-2,PhysIPC-2,READ-2,TIME(ticks)-2,WRITE-2,ACYC-C,AFREQ-C,EXEC-C,FREQ-C,INST-C,INSTnom%-C,INSTnom-C,IPC-C,L2HIT-C,L2MISS-C,L2MPI-C,L3HIT-C,L3MISS-C,L3MPI-C,PhysIPC%-C,PhysIPC-C,READ-C,TIME(ticks)-C,WRITE-C
11560.0,0.9856,1.143,0.6872,19200.0,2.284,57.09,1.662,0.758,21.62,0.0011153,0.9979,0.032497,1.7092e-06,3.325,83.11,0.2974,2100.0,0.01619,13950.0,1.0048,1.334,0.8286,22480.0,2.667,66.72,1.609,0.928,3.763,0.0001699,0.9145,0.034716,1.6182e-06,3.221,80.49,0.3015,2104.0,0.020924,17877.7777778,1.02866666667,1.33666666667,1.02733333333,23322.2222222,2.67444444444,66.8555555556,1.30333333333,0.734555555556,26.3333333333,0.001131,0.998555555556,0.0286022222222,1.24011111111e-06,2.61,65.2444444444,0.308222222222,2180.0,0.00965333333333
8114.0,1.0275,0.7715,0.4827,12958.0,1.543,38.59,1.601,0.8526,6.901,0.0005224,0.9521,0.2319,1.753e-05,3.202,80.03,0.4753,2100.0,0.06883,8813.33333333,1.03155555556,0.783,0.518,13322.2222222,1.56666666667,39.1333333333,1.51333333333,0.762333333333,22.0444444444,0.00165111111111,0.997555555556,0.0372811111111,2.77666666667e-06,3.02333333333,75.6111111111,0.305888888889,2125.55555556,0.0173388888889,15133.3333333,1.05,1.12555555556,0.883444444444,19311.1111111,2.25666666667,56.3666666667,1.28111111111,0.776111111111,28.8555555556,0.00149333333333,0.993666666667,0.150133333333,7.75888888889e-06,2.56111111111,64.0666666667,0.443,2138.88888889,0.0731222222222
9933.0,1.0306,1.1051,0.5889,18610.0,2.209,55.19,1.872,0.7497,3.421,0.00018888,0.9197,0.03266,1.8422e-06,3.744,93.61,0.3015,2108.0,0.018075,8528.88888889,0.997111111111,0.789,0.505222222222,13311.1111111,1.57666666667,39.4555555556,1.56111111111,0.811333333333,11.8133333333,0.000886111111111,0.966777777778,0.309111111111,2.32888888889e-05,3.12555555556,78.1222222222,0.524222222222,2108.88888889,0.119877777778,16855.5555556,1.03955555556,1.24666666667,0.978444444444,21411.1111111,2.48666666667,62.2,1.27222222222,0.699111111111,36.7555555556,0.00171333333333,0.997222222222,0.0898111111111,4.18222222222e-06,2.54222222222,63.5777777778,0.365444444444,2152.22222222,0.0320333333333
5945.0,0.9822,0.6735,0.3523,11375.0,1.347,33.68,1.913,0.9888,0.3972,3.439e-05,0.9122,0.032006,2.7814e-06,3.827,95.65,0.3,2109.0,0.0169275,11810.0,0.9865,0.9181,0.6998,15510.0,1.837,45.89,1.311,0.05421,190.2,0.01223,0.9999,0.048238,3.209e-06,2.623,65.57,0.31,2109.0,0.017461,17020.0,1.0328,1.2029,0.9836,20780.0,2.407,60.16,1.219,0.2471,174.68,0.008233,0.9999,0.023261,1.168e-06,2.439,60.99,0.3011,2159.0,0.007865
10603.0,1.008,1.0159,0.632,17070.0,2.032,50.76,1.609,0.1925,72.24,0.004253,0.9998,0.027439,1.6088e-06,3.216,80.4,0.2957,2100.0,0.018881,12460.0,0.9837,0.8741,0.7408,14710.0,1.748,43.7,1.18,0.05171,191.1,0.01304,0.9999,0.03722,2.5768e-06,2.359,58.94,0.2971,2103.0,0.018244,17944.4444444,1.02866666667,1.21444444444,1.02155555556,21288.8888889,2.42888888889,60.7555555556,1.18777777778,0.0839222222222,211.666666667,0.00995777777778,1.0,0.0306622222222,1.45155555556e-06,2.37444444444,59.3666666667,0.308,2193.33333333,0.0103462222222
6486.0,0.9987,0.8017,0.3859,13493.0,1.604,40.1,2.081,0.7693,3.279,0.0002419,0.9824,0.05795,4.222e-06,4.163,104.1,0.3264,2100.0,0.027838,9001.0,0.9892,0.8773,0.5358,14750.0,1.754,43.88,1.641,0.9513,3.644,0.0002454,0.9469,0.031273,2.1205e-06,3.277,81.95,0.2991,2100.0,0.017512,15466.6666667,1.05,1.23222222222,0.885444444444,21522.2222222,2.46222222222,61.5666666667,1.39555555556,0.946,6.07444444444,0.000282333333333,0.985777777778,0.0407777777778,1.88088888889e-06,2.78777777778,69.7555555556,0.324444444444,2187.77777778,0.0166122222222
11140.0,1.046,1.0456,0.6616,17570.0,2.089,52.23,1.578,0.1334,103.19,0.005889,0.9976,0.2291,1.2963e-05,3.158,78.93,0.46,2103.0,0.06886,13030.0,1.031,1.404,0.7758,23580.0,2.808,70.19,1.81,0.9945,0.25512,1.0676e-05,0.8498,0.025602,1.0846e-06,3.618,90.45,0.2947,2100.0,0.014881,18077.7777778,1.05,1.37888888889,1.04444444444,23888.8888889,2.75777777778,68.9666666667,1.32222222222,0.336333333333,85.4333333333,0.00355333333333,0.998666666667,0.1144,4.79e-06,2.64444444444,66.1,0.381444444444,2164.44444444,0.0310111111111
9503.0,0.9785,0.7204,0.5638,12140.0,1.442,36.01,1.279,0.05806,187.8,0.01544,1.0,0.037294,3.0785e-06,2.557,63.91,0.2989,2107.0,0.019213,12950.0,1.0277,0.9533,0.7659,16110.0,1.903,47.6,1.243,0.7049,17.1,0.0010736,0.9827,0.2567,1.6075e-05,2.49,62.24,0.4741,2113.0,0.0879,17880.0,1.05,1.0407,1.0277,18040.0,2.078,52.01,1.0083,0.3169,129.72,0.007131,0.9992,0.10963,6.08e-06,2.018,50.45,0.3688,2168.0,0.0377
13444.4444444,1.04666666667,1.13333333333,0.796,19155.5555556,2.26777777778,56.7,1.42444444444,0.211444444444,88.7555555556,0.00463444444444,0.997777777778,0.184,9.55555555556e-06,2.85111111111,71.2444444444,0.445666666667,2111.11111111,0.0708,15466.6666667,1.04333333333,1.35,0.917555555556,22733.3333333,2.69888888889,67.4777777778,1.47111111111,0.866111111111,9.23888888889,0.000406333333333,0.961777777778,0.2826,1.24766666667e-05,2.94,73.5444444444,0.461777777778,2104.44444444,0.104533333333,17311.1111111,0.997111111111,1.32111111111,0.992111111111,23022.2222222,2.64111111111,66.0222222222,1.32888888889,0.455888888889,57.8666666667,0.00250333333333,0.991777777778,0.439,1.91666666667e-05,2.66111111111,66.5111111111,0.806666666667,2175.55555556,0.284888888889
8567.77777778,1.02588888889,0.724666666667,0.502888888889,12355.5555556,1.44888888889,36.2444444444,1.44222222222,0.200222222222,138.888888889,0.0112444444444,0.999777777778,0.0284133333333,2.283e-06,2.88222222222,72.1,0.296666666667,2130.0,0.0149736666667,10482.0,0.9852,1.0692,0.6213,18050.0,2.139,53.49,1.717,0.08028,92.35,0.005147,0.9995,0.06296,3.454e-06,3.432,85.83,0.3325,2108.0,0.050234,17211.1111111,0.988666666667,1.03777777778,0.977777777778,18277.7777778,2.07888888889,51.9444444444,1.06111111111,0.159222222222,123.888888889,0.00679555555556,0.999666666667,0.0511555555556,2.81566666667e-06,2.12555555556,53.1222222222,0.334555555556,2197.77777778,0.0386655555556
