Configuration,AFREQ,EXEC,FREQ,INST,INSTnom,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,READ,WRITE,SLOWDOWN
layer-1-particle-4000,1.03,1.1,1.03,139000,2.21,1.08,0.65,103,0.000738,0.641,34.5,0.000248,2.15,21.2,35.7,1.3658954591
layer-1-particle-4000,1.02,1.1,0.765,116000,2.2,1.44,0.686,53.2,0.000457,0.785,10.9,0.000094,2.88,9.59,15.3,1.150474154
layer-1-particle-4000,1.01,0.884,0.573,224000,1.77,1.54,0.594,110,0.000494,0.525,48.5,0.000217,3.08,26.9,62.4,2.7203683249
layer-1-particle-4000,1,1.18,1,155000,2.36,1.18,0.676,72.8,0.00047,0.586,28.8,0.000186,2.36,16,31.5,1.4197675649
layer-1-particle-4000,1.02,0.918,0.677,178000,1.84,1.36,0.715,100,0.000564,0.554,41.9,0.000235,2.71,28,53,2.1374248987
layer-3-particle-2266,1.02,0.793,0.891,201000,1.59,0.89,0.703,203,0.00101,0.589,71,0.000353,1.78,54,90.5,2.1914461202
layer-3-particle-2266,0.987,0.891,0.632,116000,1.78,1.41,0.717,75.6,0.000652,0.733,19,0.000164,2.82,14.6,32.1,1.1848718672
layer-3-particle-2266,0.991,0.799,0.99,142000,1.6,0.808,0.678,312,0.0022,0.764,54.9,0.000386,1.62,63.2,53.2,1.5478557339
layer-3-particle-2266,1.03,1.37,1.03,246000,2.74,1.33,0.701,70.2,0.000285,0.838,11.1,0.000045,2.67,12.7,20.5,1.5790799237
layer-3-particle-2266,1.01,0.706,0.859,243000,1.41,0.821,0.738,295,0.00121,0.539,108,0.000445,1.64,85.7,130,2.980992492
layer-3-particle-2266,0.999,1.19,0.999,444000,2.38,1.19,0.658,143,0.000322,0.547,60.1,0.000135,2.38,37.9,85.9,3.2303091542
layer-3-particle-2266,1,1.24,1,223000,2.48,1.24,0.679,96.2,0.000432,0.634,34.4,0.000154,2.48,18.2,33.2,1.5594016932
layer-3-particle-2266,0.991,1.07,0.99,191000,2.14,1.08,0.641,180,0.000944,0.709,48.8,0.000255,2.16,31.9,49,1.5528210985
layer-3-particle-2266,0.99,1.01,0.989,175000,2.02,1.02,0.688,170,0.000968,0.691,44.8,0.000256,2.04,36.7,49.5,1.5191606641
layer-3-particle-2266,0.993,0.795,0.703,143000,1.59,1.13,0.692,184,0.00129,0.69,47,0.00033,2.26,41.8,47.1,1.6401900635
layer-3-particle-2266,1.02,0.943,0.632,115000,1.89,1.49,0.698,77.8,0.000677,0.706,21.9,0.000191,2.98,13.5,29.3,1.0893290348
layer-3-particle-2266,1.01,1.31,1,228000,2.62,1.3,0.643,91.4,0.000402,0.846,14.1,0.0000619,2.6,12.2,20.5,1.5157571363
layer-3-particle-2266,1.02,0.885,0.924,173000,1.77,0.958,0.686,193,0.00111,0.588,70.4,0.000406,1.92,44.2,66.9,1.7062980266
layer-3-particle-2266,1.04,1.3,0.897,177000,2.6,1.45,0.673,73.1,0.000412,0.829,12.4,0.00007,2.9,9.43,15.3,1.1959988637
layer-3-particle-2266,0.995,1.19,0.978,215000,2.38,1.22,0.683,102,0.000474,0.733,24.9,0.000116,2.44,20.4,38.7,1.5660443413
layer-3-particle-2266,1.03,0.961,0.642,120000,1.92,1.5,0.687,78.5,0.000654,0.729,20,0.000167,3,14.5,31.5,1.1201897007
layer-3-particle-2266,1.01,1.35,1.01,241000,2.71,1.34,0.708,72.7,0.000302,0.819,12.7,0.000053,2.69,12.4,18.3,1.5380637724
layer-3-particle-2266,1,0.745,0.773,176000,1.49,0.965,0.723,222,0.00126,0.605,71.9,0.000408,1.93,58.5,75.9,2.0478921476
layer-3-particle-2266,1.03,1.13,1.01,200000,2.27,1.13,0.616,133,0.000664,0.667,41.6,0.000208,2.25,24.5,54,1.5353286486
layer-3-particle-2266,1.03,1.08,0.648,130000,2.16,1.67,0.717,66.9,0.000514,0.784,14,0.000108,3.33,10.1,17.2,1.0830950528
layer-2-particle-3133,1.02,1.16,1.02,190000,2.33,1.14,0.716,122,0.000644,0.665,35,0.000185,2.29,29.7,40.3,1.452971223
layer-2-particle-3133,1.03,1.2,0.647,151000,2.4,1.86,0.683,66.6,0.00044,0.856,9.05,0.0000598,3.72,9.99,16.4,1.1507738795
layer-2-particle-3133,0.999,1.09,0.735,142000,2.17,1.48,0.719,76.3,0.000538,0.747,18.5,0.000131,2.95,14.1,24.3,1.208994136
layer-2-particle-3133,1.02,0.978,0.618,113000,1.96,1.58,0.694,77.3,0.000685,0.73,20.2,0.000179,3.16,12.9,21.7,1.0616911827
layer-2-particle-3133,0.99,0.947,0.496,116000,1.89,1.91,0.716,58.2,0.000504,0.839,9.08,0.0000786,3.82,9.53,17.6,1.1220784619
layer-2-particle-3133,1.02,0.883,0.804,127000,1.77,1.1,0.637,121,0.000957,0.579,48.6,0.000384,2.2,23.8,45.3,1.3313632052
layer-2-particle-3133,0.987,1.23,0.964,204000,2.45,1.27,0.656,88.5,0.000433,0.721,22.6,0.000111,2.54,17.2,35.4,1.5076652725
layer-2-particle-3133,1.03,1.06,1,172000,2.11,1.06,0.594,145,0.000845,0.619,52.3,0.000305,2.11,28.8,54,1.4822477856
layer-2-particle-3133,1,0.941,0.515,117000,1.88,1.83,0.645,79.1,0.000678,0.816,14.3,0.000123,3.65,10.3,17.5,1.1611652142
layer-2-particle-3133,1.02,0.641,0.368,74700,1.28,1.74,0.707,58.4,0.000782,0.823,10.3,0.000138,3.49,8.71,15.9,1.069791844
layer-2-particle-3133,1.05,0.961,0.675,121000,1.92,1.42,0.667,85.1,0.000704,0.741,20.2,0.000167,2.85,15.5,32.7,1.2050827733
layer-2-particle-3133,1.01,0.995,1,193000,1.99,0.993,0.689,205,0.00106,0.673,57.1,0.000295,1.99,46.2,58,1.7176969336
layer-2-particle-3133,0.995,1.14,0.994,217000,2.27,1.14,0.657,136,0.000625,0.642,45.9,0.000211,2.29,28.5,47.3,1.6935707485
layer-2-particle-3133,1.01,1.11,0.556,534000,2.21,1.99,0.689,90.4,0.000169,0.65,30.1,0.0000564,3.98,32.4,67.3,4.2573898604
layer-2-particle-3133,0.992,1.31,0.975,224000,2.62,1.34,0.684,76.1,0.000339,0.724,20.8,0.0000926,2.69,12.8,20.2,1.5261770414
layer-2-particle-3133,1.02,1.16,1.02,221000,2.33,1.15,0.692,146,0.00066,0.706,38,0.000172,2.29,32.2,46.6,1.7083190345
layer-2-particle-3133,0.99,0.677,0.498,82300,1.35,1.36,0.668,79.7,0.000968,0.711,21.4,0.000261,2.72,14.1,30.8,1.1066194621
layer-2-particle-3133,1.01,0.91,1.01,176000,1.82,0.905,0.693,228,0.00129,0.669,63.2,0.000359,1.81,53,64.5,1.7165790633
layer-2-particle-3133,1.01,1.36,1.01,221000,2.73,1.35,0.681,63.2,0.000286,0.872,8.07,0.0000365,2.71,9.3,17.4,1.4364735145
layer-2-particle-3133,0.993,1,0.992,169000,2,1.01,0.663,206,0.00122,0.726,46.4,0.000274,2.02,42.3,48.8,1.5135987719
layer-3-particle-4000,1.01,1.29,1,363000,2.59,1.29,0.764,135,0.000371,0.754,31.8,0.0000877,2.58,26.1,42.2,1.6733280312
layer-3-particle-4000,1.01,1.2,0.934,305000,2.4,1.28,0.672,188,0.000618,0.763,39.5,0.00013,2.57,35.9,49.8,1.5164581187
layer-3-particle-4000,1.05,0.734,0.555,159000,1.47,1.32,0.703,151,0.000952,0.691,43.6,0.000274,2.64,29.4,60.7,1.3090900686
layer-3-particle-4000,1.01,1.35,0.992,368000,2.7,1.36,0.664,133,0.000363,0.779,29.4,0.0000799,2.72,16.9,28.6,1.6235718639
layer-3-particle-4000,1.02,0.712,0.652,141000,1.42,1.09,0.671,163,0.00115,0.711,43.7,0.000309,2.18,29.4,69.6,1.2082788024
layer-3-particle-4000,1.01,0.977,1,249000,1.95,0.973,0.675,248,0.000995,0.678,73.9,0.000297,1.95,50.5,85.8,1.5305099401
layer-3-particle-4000,1.01,0.973,0.737,247000,1.95,1.32,0.664,240,0.000973,0.74,53.8,0.000218,2.64,45,56.7,1.5661905584
layer-3-particle-4000,1.01,1.22,0.754,276000,2.45,1.62,0.701,114,0.000412,0.851,16.6,0.0000601,3.24,16.4,28.3,1.3744973338
layer-3-particle-4000,1.01,0.894,0.635,505000,1.79,1.41,0.679,352,0.000698,0.664,93.2,0.000185,2.82,85.8,118,3.3601155434
layer-3-particle-4000,1.01,1.27,1.01,854000,2.54,1.25,0.675,207,0.000242,0.58,81.3,0.0000952,2.51,57.9,123,3.9958839019
layer-3-particle-4000,1.01,1.1,1.01,280000,2.21,1.09,0.659,252,0.000901,0.764,55.6,0.000198,2.18,40,68.9,1.5356972701
layer-3-particle-4000,1.05,1.05,0.689,239000,2.1,1.52,0.687,201,0.00084,0.755,45.9,0.000192,3.04,32.5,45.2,1.3768217403
layer-3-particle-4000,1,1.04,0.818,466000,2.07,1.27,0.647,344,0.000738,0.656,94,0.000202,2.54,77.8,97.7,2.7039088238
layer-3-particle-4000,1,1.18,0.778,223000,2.35,1.51,0.712,115,0.000513,0.836,18.1,0.0000812,3.02,15.5,24.2,1.1445998294
layer-3-particle-4000,1.01,1.25,0.986,663000,2.5,1.27,0.711,280,0.000422,0.743,65.6,0.000099,2.54,57.3,83,3.1500485401
layer-3-particle-4000,1.01,0.734,0.565,242000,1.47,1.3,0.641,272,0.00112,0.706,68.7,0.000284,2.6,57.1,78.3,1.9860639862
layer-3-particle-4000,1.02,1.19,0.785,239000,2.39,1.52,0.734,105,0.000442,0.822,18.5,0.0000774,3.04,15.3,27.2,1.241927104
layer-3-particle-4000,1.01,0.981,0.624,357000,1.96,1.57,0.7,224,0.000629,0.723,56.8,0.000159,3.14,44.1,75.8,2.2897167597
layer-3-particle-4000,1.01,1.16,1.01,317000,2.32,1.15,0.694,165,0.00052,0.673,50.6,0.000159,2.3,34.2,76.2,1.6464129372
layer-3-particle-4000,1.01,1.17,0.9,410000,2.35,1.3,0.679,240,0.000585,0.719,60,0.000146,2.61,42.7,64.5,2.0922088159
layer-4-particle-966,1.04,0.684,0.643,112000,1.37,1.06,0.659,124,0.00111,0.591,43.7,0.000392,2.13,31.2,49.1,1.0204158962
layer-4-particle-966,0.995,0.964,0.994,130000,1.93,0.969,0.75,129,0.00099,0.598,40.1,0.000308,1.94,37.8,39.5,0.8458736378
layer-4-particle-966,0.992,0.867,0.857,121000,1.73,1.01,0.661,117,0.000971,0.583,43.6,0.000361,2.02,27.9,47.8,0.8878932254
layer-4-particle-966,0.996,1.01,0.853,128000,2.01,1.18,0.654,64.7,0.000505,0.589,23.9,0.000186,2.36,16.7,41.3,0.7937386301
layer-4-particle-966,1.03,1.21,0.995,203000,2.43,1.22,0.647,112,0.000553,0.631,36.8,0.000181,2.44,25.1,38.9,1.0258919444
layer-4-particle-966,1.01,1.13,0.57,344000,2.27,1.99,0.632,73.8,0.000215,0.666,23.1,0.0000672,3.98,22.1,41.8,1.8474466638
layer-4-particle-966,1.01,1.25,0.677,570000,2.51,1.85,0.666,74.8,0.000131,0.549,31.8,0.0000559,3.7,30,54.1,2.7394618403
layer-4-particle-966,1.03,1.24,1.03,227000,2.49,1.21,0.763,81.3,0.000359,0.533,36.3,0.00016,2.42,23.8,36,1.1165086066
layer-4-particle-966,0.994,0.738,0.741,74100,1.48,0.996,0.713,79.4,0.00107,0.574,31.3,0.000422,1.99,20.3,36.1,0.6659819713
layer-4-particle-966,0.979,0.629,0.63,84300,1.26,0.998,0.605,98.4,0.00117,0.487,47,0.000558,2,21.8,45.3,0.8586932808
layer-4-particle-966,0.998,0.821,0.751,110000,1.64,1.09,0.621,86,0.000779,0.507,39.1,0.000355,2.19,21,45,0.8558853822
layer-4-particle-966,1.03,1.15,0.634,133000,2.29,1.81,0.654,52.5,0.000396,0.763,12.2,0.000092,3.61,8.94,16.4,0.7282898582
layer-4-particle-966,1,1.19,0.983,198000,2.37,1.21,0.665,119,0.000603,0.7,31,0.000157,2.41,23.5,32.1,1.03365981
layer-4-particle-966,1.03,1.04,0.849,131000,2.08,1.22,0.682,88.7,0.000677,0.647,28.8,0.00022,2.45,18.3,32.1,0.7888569819
layer-4-particle-966,1.01,1.14,0.642,321000,2.27,1.77,0.672,95.7,0.000298,0.592,37.2,0.000116,3.54,25,45.9,1.7285609838
layer-4-particle-966,0.988,1.21,0.987,166000,2.42,1.22,0.656,65.6,0.000395,0.703,18.5,0.000111,2.45,15.5,28.8,0.8415356282
layer-4-particle-966,1.01,0.77,0.712,453000,1.54,1.08,0.602,273,0.000602,0.339,155,0.000342,2.16,87,204,3.5682329883
layer-4-particle-966,1.02,0.637,0.611,134000,1.27,1.04,0.649,118,0.000878,0.422,61.7,0.000459,2.09,32,74.8,1.282661951
layer-4-particle-966,1.02,1.14,0.889,127000,2.27,1.28,0.729,52,0.000411,0.666,17.1,0.000135,2.56,12.1,24.6,0.7199370656
layer-4-particle-966,1.01,0.709,0.649,278000,1.42,1.09,0.704,262,0.000942,0.43,121,0.000435,2.19,82.6,123,2.3711623791
layer-5-particle-2266,1,1.06,0.773,192000,2.12,1.37,0.71,127,0.00066,0.776,27.2,0.000142,2.74,20.7,41.4,1.1628029328
layer-5-particle-2266,1.02,1.05,0.829,208000,2.1,1.26,0.683,152,0.000732,0.692,45.1,0.000217,2.53,24.7,48.3,1.2644530387
layer-5-particle-2266,0.996,0.844,0.677,162000,1.69,1.25,0.729,137,0.000847,0.714,37.5,0.000231,2.49,25.2,49.8,1.2295474847
layer-5-particle-2266,1.05,1.06,0.794,189000,2.11,1.33,0.7,126,0.000664,0.735,32,0.000169,2.66,20.1,41.6,1.1436838619
layer-5-particle-2266,1.01,0.558,0.332,183000,1.12,1.68,0.733,103,0.000561,0.773,22.7,0.000124,3.36,24,47.9,2.0832661435
layer-5-particle-2266,1.01,1.26,0.92,707000,2.52,1.37,0.709,218,0.000308,0.654,73.2,0.000104,2.74,53.3,87.6,3.5423801081
layer-5-particle-2266,1.01,1.08,1.01,570000,2.15,1.07,0.692,344,0.000604,0.561,131,0.000231,2.13,92.5,158,3.3086763489
layer-5-particle-2266,1,1.24,1,468000,2.47,1.23,0.706,183,0.000391,0.643,62,0.000133,2.47,42.5,72.1,2.359724434
layer-5-particle-2266,1.02,0.95,0.769,196000,1.9,1.23,0.68,185,0.000943,0.696,53,0.00027,2.47,32.3,55.9,1.3353218262
layer-5-particle-2266,1.01,1.07,1,435000,2.13,1.06,0.754,284,0.000653,0.556,109,0.000251,2.12,84,115,2.5503984053
layer-5-particle-2266,1,0.844,0.981,279000,1.69,0.861,0.709,339,0.00122,0.589,117,0.000421,1.72,85.7,112,2.0877286223
layer-5-particle-2266,1.01,1.33,0.949,771000,2.66,1.4,0.696,140,0.000182,0.697,40.4,0.0000524,2.8,38.6,68.3,3.6141999441
layer-5-particle-2266,1.03,0.972,0.759,260000,1.94,1.28,0.652,255,0.00098,0.724,59.5,0.000229,2.56,50.1,61.9,1.6990220557
layer-5-particle-2266,1.01,1.08,0.832,212000,2.17,1.3,0.728,138,0.000653,0.707,38.8,0.000183,2.6,24.2,46.7,1.2641534307
layer-5-particle-2266,1.01,1.12,0.989,338000,2.24,1.13,0.672,201,0.000596,0.583,79.4,0.000235,2.27,43.7,89.4,1.890719783
layer-5-particle-2266,1.01,0.635,0.601,267000,1.27,1.06,0.637,232,0.000871,0.549,93.4,0.00035,2.12,60.2,152,2.6564932843
layer-5-particle-2266,1.01,0.862,1.01,249000,1.72,0.853,0.732,307,0.00123,0.605,98.5,0.000395,1.71,79.4,97.4,1.8225051132
layer-5-particle-2266,1.01,1.07,0.996,279000,2.14,1.08,0.651,221,0.000793,0.65,72.9,0.000262,2.15,41.2,78.1,1.6398755761
layer-5-particle-2266,1.01,1.23,0.991,302000,2.45,1.24,0.624,172,0.000569,0.744,42.2,0.00014,2.48,25.3,51.1,1.5461190341
layer-5-particle-2266,1.02,0.991,0.517,171000,1.98,1.92,0.737,94.8,0.000553,0.813,17.3,0.000101,3.84,13.9,24.7,1.1138232394
layer-5-particle-4000,1.01,1.3,1.01,670000,2.59,1.29,0.697,277,0.000413,0.782,57.5,0.0000859,2.57,45.1,72.2,2.1076084724
layer-5-particle-4000,1.04,1.23,0.935,413000,2.46,1.31,0.677,238,0.000577,0.719,64.2,0.000156,2.63,35.5,74.9,1.3971650318
layer-5-particle-4000,1.01,1.13,1.01,475000,2.25,1.11,0.667,344,0.000723,0.642,118,0.000248,2.22,61.7,114,1.7283025249
layer-5-particle-4000,1,1.13,1,728000,2.25,1.12,0.725,428,0.000588,0.62,136,0.000186,2.25,111,169,2.633283581
layer-5-particle-4000,1.01,1.17,0.83,989000,2.34,1.41,0.648,323,0.000327,0.611,114,0.000115,2.82,80.4,181,3.458772693
layer-5-particle-4000,1,1.32,1,499000,2.64,1.31,0.665,239,0.00048,0.823,42,0.0000843,2.63,27.1,41.6,1.5496811905
layer-5-particle-4000,1.03,0.903,1,410000,1.81,0.899,0.722,522,0.00127,0.66,147,0.000359,1.8,123,140,1.8722698177
layer-5-particle-4000,1.01,1.05,1.01,408000,2.1,1.04,0.654,407,0.000998,0.716,106,0.00026,2.08,74.2,122,1.5930601968
layer-5-particle-4000,1,1.19,0.885,383000,2.37,1.34,0.709,196,0.000512,0.783,40.1,0.000105,2.68,31.9,70.2,1.3412773213
layer-5-particle-4000,1.01,1.16,1.01,442000,2.33,1.15,0.63,301,0.00068,0.752,70.9,0.00016,2.3,46.5,107,1.5629642364
layer-5-particle-4000,1.02,1.27,0.994,589000,2.55,1.28,0.705,266,0.000451,0.761,59.7,0.000101,2.56,46.7,70.4,1.8905596834
layer-5-particle-4000,1,1.24,1,511000,2.48,1.24,0.695,270,0.000528,0.744,66.5,0.00013,2.48,43.1,75.4,1.6794030796
layer-5-particle-4000,1.01,1.23,1.01,484000,2.45,1.21,0.671,248,0.000514,0.753,58,0.00012,2.43,40.9,91.4,1.6278329906
layer-5-particle-4000,1.01,1.19,1.01,469000,2.37,1.17,0.729,283,0.000604,0.671,86.7,0.000185,2.35,59.5,96.4,1.6385095909
layer-5-particle-4000,1,1.11,1,480000,2.22,1.11,0.651,383,0.000797,0.687,115,0.000239,2.22,63.3,114,1.7743384066
layer-5-particle-4000,1.01,1.17,1.01,755000,2.34,1.16,0.632,401,0.000532,0.625,142,0.000188,2.32,79.8,167,2.6318999561
layer-5-particle-4000,1.01,1.22,1.01,509000,2.44,1.21,0.683,240,0.000471,0.717,63.7,0.000125,2.42,45.3,104,1.7289494764
layer-5-particle-4000,1.01,1.19,0.97,780000,2.37,1.22,0.716,326,0.000418,0.634,107,0.000138,2.45,81.4,147,2.7343565211
layer-5-particle-4000,1.01,0.733,0.707,240000,1.47,1.04,0.692,307,0.00128,0.616,112,0.000467,2.07,57.8,111,1.3498283304
layer-5-particle-4000,1.01,0.718,0.681,229000,1.44,1.05,0.653,337,0.00147,0.72,87,0.00038,2.11,61.5,97.6,1.3188152139
layer-4-particle-3133,1,1.18,0.989,428000,2.36,1.2,0.652,335,0.000784,0.756,69.8,0.000163,2.39,62.8,72.8,2.1045902221
layer-4-particle-3133,1.01,0.698,0.685,170000,1.4,1.02,0.668,219,0.00129,0.634,76,0.000446,2.04,42.2,84.7,1.4194363085
layer-4-particle-3133,1.02,1.08,1,412000,2.15,1.07,0.75,285,0.000692,0.579,97.8,0.000238,2.15,74.7,102,2.2155098934
layer-4-particle-3133,1.01,1.31,0.991,365000,2.62,1.32,0.692,140,0.000383,0.8,27.9,0.0000765,2.64,18,31,1.6342299437
layer-4-particle-3133,1.01,1.21,1.01,361000,2.42,1.19,0.638,243,0.000673,0.734,61.3,0.00017,2.39,40,63.5,1.7415147068
layer-4-particle-3133,1.01,1.01,0.969,291000,2.02,1.04,0.702,247,0.000849,0.646,82.5,0.000284,2.09,54.1,95.4,1.6727751284
layer-4-particle-3133,1.01,1.07,0.923,309000,2.14,1.16,0.698,285,0.000922,0.718,67.7,0.000219,2.32,61.1,67.4,1.696596968
layer-4-particle-3133,1.02,1.19,1.02,416000,2.37,1.17,0.677,209,0.000502,0.642,71.3,0.000171,2.33,44.4,91.6,2.0413509539
layer-4-particle-3133,1.01,1.04,0.807,228000,2.08,1.29,0.663,182,0.000797,0.706,51.9,0.000228,2.57,27.7,50.5,1.2961092991
layer-4-particle-3133,1.01,0.684,0.65,176000,1.37,1.05,0.653,219,0.00124,0.562,90.7,0.000514,2.1,41.3,86.3,1.5270426373
layer-4-particle-3133,1.01,0.971,0.68,254000,1.94,1.43,0.682,216,0.000848,0.718,54.5,0.000214,2.86,36.5,53.6,1.5518776036
layer-4-particle-3133,1.01,1.23,0.991,376000,2.47,1.25,0.675,229,0.000609,0.748,53.4,0.000142,2.49,39.5,54,1.7741436806
layer-4-particle-3133,1.01,1.27,1.01,337000,2.55,1.26,0.719,130,0.000385,0.752,30.7,0.000091,2.53,25,52.3,1.5533591926
layer-4-particle-3133,1.01,1.19,1.01,473000,2.38,1.18,0.716,238,0.000503,0.68,67.9,0.000144,2.36,54.2,85.5,2.3137248529
layer-4-particle-3133,1.01,1.25,1.01,325000,2.51,1.24,0.659,169,0.000521,0.685,51.5,0.000158,2.48,29.7,55,1.5214684197
layer-4-particle-3133,1.03,1.11,1.03,346000,2.21,1.08,0.67,261,0.000754,0.656,82.3,0.000238,2.15,53.3,89.7,1.8121424562
layer-4-particle-3133,1,0.941,0.622,339000,1.88,1.51,0.712,231,0.000681,0.681,65.2,0.000193,3.03,49.8,70.2,2.113064498
layer-4-particle-3133,1.01,1.09,1,387000,2.18,1.09,0.662,319,0.000823,0.674,91.6,0.000237,2.17,65.3,93.2,2.0555852715
layer-4-particle-3133,0.997,1.13,0.777,227000,2.26,1.46,0.699,138,0.00061,0.831,23.2,0.000103,2.91,15.4,27.1,1.1887691744
layer-4-particle-3133,1.01,0.925,0.602,349000,1.85,1.54,0.699,210,0.0006,0.723,52.8,0.000151,3.07,43.7,74.6,2.2176617436
