Configuration;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C3res%;C6res%;C6res%;C7res%;C7res%;C8res%;C9res%;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);WRITE;SLOWDOWN
layer-1-particle-966;1.2e+05;1.04;96.1;0;3.88;0;0;0;0;0;0;0;0;0;1.38;1;1.65e+05;2.76;69.1;1.38;0.643;29.9;0.000181;0.625;10.7;6.46e-05;2.76;68.9;246;7.16;1.5e+04;14.7;1.66264493114
layer-1-particle-966;7.67e+04;1.02;68.1;0;31.6;0;0;0;0;0;0;0;0;0;0.877;0.696;9.67e+04;1.75;43.9;1.26;0.634;47.7;0.000493;0.47;23;0.000238;2.52;63;194;14.7;1.38e+04;32.2;1.62158272712
layer-1-particle-966;1.03e+05;1.01;99.9;0;0.147;0;0;0;0;0;0;0;0;0;1.2;1.01;1.22e+05;2.4;60;1.19;0.654;38.5;0.000316;0.52;16.2;0.000133;2.38;59.4;192;11.1;1.27e+04;29;1.46702616664
layer-1-particle-966;1.24e+05;1.03;99;0;0.951;0;0;0;0;0;0;0;0;0;1.13;1.02;1.38e+05;2.25;56.3;1.11;0.661;68.5;0.000498;0.38;38.9;0.000283;2.22;55.4;240;17.6;1.53e+04;37.3;1.69536273387
layer-1-particle-966;1.67e+05;1.02;100;0;0.0192;0;0;0;0;0;0;0;0;0;1.17;1.02;1.91e+05;2.33;58.4;1.14;0.677;99.7;0.000521;0.524;38.6;0.000202;2.29;57.2;319;27.6;2.05e+04;40.5;2.26925698299
layer-1-particle-966;9.89e+04;1;72.8;0;27.2;0;0;0;0;0;0;0;0;0;0.855;0.728;1.16e+05;1.71;42.8;1.17;0.628;62.4;0.000537;0.414;32;0.000275;2.35;58.7;224;17.7;1.7e+04;46.1;1.90629885133
layer-1-particle-966;1.04e+05;1;99.9;0;0.0788;0;0;0;0;0;0;0;0;0;1.18;1;1.23e+05;2.37;59.2;1.18;0.634;40.1;0.000327;0.564;15.1;0.000123;2.37;59.2;186;11.1;1.3e+04;30.2;1.46609274532
layer-1-particle-966;1.46e+05;1.03;93;0;7.05;0;0;0;0;0;0;0;0;0;1.15;0.955;1.76e+05;2.3;57.6;1.21;0.728;90.2;0.000513;0.551;30.5;0.000174;2.41;60.3;306;25.3;1.91e+04;32.9;2.11214877506
layer-1-particle-966;2.14e+05;1;99.5;0;0.513;0;0;0;0;0;0;0;0;0;0.863;0.995;1.85e+05;1.73;43.1;0.867;0.72;220;0.00119;0.545;71.1;0.000384;1.73;43.3;391;64.5;2.69e+04;70.3;3.08487553318
layer-1-particle-966;3.2e+05;1;100;0;0.0392;0;0;0;0;0;0;0;0;0;1.16;1;3.69e+05;2.32;58;1.16;0.68;89.6;0.000243;0.389;48.3;0.000131;2.31;57.8;580;29.4;3.98e+04;83.6;4.35647083183
