Configuration;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C3res%;C6res%;C6res%;C7res%;C7res%;C8res%;C9res%;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);WRITE;SLOWDOWN
layer-2-particle-3133;2.31e+05;1;99.8;0;0.153;0;0;0;0;0;0;0;0;0;1.24;1;2.86e+05;2.48;62;1.24;0.729;147;0.000514;0.755;30.5;0.000107;2.48;61.9;428;26.4;2.88e+04;38.7;1.54930507686
layer-2-particle-3133;2.36e+05;1.01;99.5;0;0.505;0;0;0;0;0;0;0;0;0;1.11;1;2.63e+05;2.23;55.7;1.11;0.701;157;0.000596;0.619;55.6;0.000211;2.23;55.7;440;32.1;2.95e+04;71.2;1.55284400677
layer-2-particle-3133;1.68e+05;1.01;64.1;0;35.4;0;0;0;0;0;0;0;0;0;0.952;0.649;2.46e+05;1.9;47.6;1.47;0.678;154;0.000628;0.664;49.2;0.0002;2.93;73.3;443;27.9;3.23e+04;66;1.69363483246
layer-2-particle-3133;5.67e+05;1.01;100;0;0.0218;0;0;0;0;0;0;0;0;0;1.15;1.01;6.46e+05;2.3;57.4;1.14;0.672;227;0.000351;0.461;110;0.00017;2.28;57;1.03e+03;57.9;7.03e+04;161;3.69858127657
layer-2-particle-3133;6.56e+04;1;42;0;41.2;0;0;0;0;0;0;0;0;0;0.718;0.421;1.12e+05;1.44;35.9;1.7;0.731;84.8;0.000758;0.749;20.8;0.000186;3.41;85.2;212;11.5;1.95e+04;26;1.04357951575
layer-2-particle-3133;6.27e+05;1.01;99.9;0;0.0555;0;0;0;0;0;0;0;0;0;1.17;1.01;7.3e+05;2.34;58.6;1.17;0.655;245;0.000335;0.471;116;0.000159;2.33;58.3;1.13e+03;61.1;7.79e+04;163;4.06134165956
layer-2-particle-3133;4.22e+05;1;99.9;0;0.0749;0;0;0;0;0;0;0;0;0;0.862;1;3.63e+05;1.72;43.1;0.861;0.706;513;0.00141;0.671;127;0.000349;1.72;43.1;767;126;5.27e+04;139;2.77471413989
layer-2-particle-3133;2.76e+05;1.01;98.8;0;1.17;0;0;0;0;0;0;0;0;0;1.06;0.999;2.92e+05;2.12;52.9;1.06;0.682;213;0.000729;0.556;88.3;0.000302;2.12;53;507;43.6;3.45e+04;83.1;1.81249854952
layer-2-particle-3133;4.55e+05;1.02;100;0;0.0451;0;0;0;0;0;0;0;0;0;1.18;1.01;5.28e+05;2.35;58.8;1.16;0.677;196;0.000371;0.611;70.1;0.000133;2.32;58;851;44.6;5.61e+04;121;2.92414609551
layer-2-particle-3133;2.5e+05;1.01;98.9;0;1.08;0;0;0;0;0;0;0;0;0;0.98;0.998;2.46e+05;1.96;49;0.981;0.741;205;0.000835;0.536;82.7;0.000336;1.96;49.1;465;51.5;3.14e+04;80.2;1.65788589291
layer-4-particle-966;1.79e+05;1.02;98;0;2.03;0;0;0;0;0;0;0;0;0;1.1;1;1.96e+05;2.2;55;1.1;0.712;121;0.000619;0.51;55.2;0.000282;2.2;54.9;342;26.8;2.23e+04;51.4;1.62024829378
layer-4-particle-966;1.77e+05;1.01;99.9;0;0.112;0;0;0;0;0;0;0;0;0;1.31;1.01;2.31e+05;2.63;65.7;1.31;0.701;85.1;0.000368;0.78;18.4;7.96e-05;2.61;65.3;327;12.5;2.2e+04;24.3;1.59474371056
layer-4-particle-966;1.63e+05;0.993;99.9;0;0.119;0;0;0;0;0;0;0;0;0;1.22;0.992;2.01e+05;2.44;60.9;1.23;0.697;104;0.000516;0.761;23.5;0.000117;2.46;61.4;293;16.6;2.06e+04;28.3;1.507683686
layer-4-particle-966;1.73e+05;0.99;99.8;0;0.179;0;0;0;0;0;0;0;0;0;0.929;0.989;1.63e+05;1.86;46.5;0.94;0.682;197;0.00121;0.665;54.3;0.000333;1.88;47;306;44.1;2.19e+04;57.2;1.6221943088
layer-4-particle-966;5.61e+04;1.02;46.7;0;43.6;0;0;0;0;0;0;0;0;0;0.773;0.474;9.15e+04;1.55;38.6;1.63;0.728;66.2;0.000723;0.672;21;0.00023;3.26;81.5;182;11.8;1.48e+04;24.1;1.1011287444
layer-4-particle-966;2.27e+05;1.01;99.9;0;0.0555;0;0;0;0;0;0;0;0;0;1.15;1.01;2.58e+05;2.3;57.6;1.14;0.695;163;0.000629;0.639;50;0.000194;2.28;57;422;34.1;2.81e+04;50.8;2.02491261886
layer-4-particle-966;1.47e+05;1.01;58.7;0;40.9;0;0;0;0;0;0;0;0;0;0.891;0.595;2.2e+05;1.78;44.6;1.5;0.635;102;0.000466;0.549;42.7;0.000194;2.99;74.9;415;22.7;3.08e+04;63.6;2.21319605072
layer-4-particle-966;2.09e+05;1.02;99.9;0;0.0744;0;0;0;0;0;0;0;0;0;1.25;1.02;2.56e+05;2.5;62.5;1.23;0.688;123;0.000479;0.749;25.9;0.000101;2.45;61.3;402;23;2.56e+04;37.5;1.84823381593
layer-4-particle-966;1.39e+05;0.991;86.8;0;12.9;0;0;0;0;0;0;0;0;0;1.01;0.86;1.63e+05;2.02;50.4;1.17;0.664;90.9;0.000557;0.54;38.3;0.000234;2.34;58.6;278;19;2.02e+04;50.7;1.49503241098
layer-4-particle-966;2.72e+05;1.01;94.4;0;5.64;0;0;0;0;0;0;0;0;0;1.34;0.952;3.82e+05;2.67;66.8;1.4;0.69;70.2;0.000184;0.789;14.1;3.69e-05;2.81;70.1;533;13.1;3.58e+04;34.1;2.57206359405
layer-4-particle-966;2.03e+05;1.01;71.2;0;27.6;0;0;0;0;0;0;0;0;0;0.796;0.72;2.24e+05;1.59;39.8;1.11;0.639;143;0.000639;0.501;62.9;0.000281;2.21;55.3;465;35.7;3.52e+04;96.8;2.53549201862
layer-4-particle-966;9.05e+04;0.983;61.7;0;36.7;0;0;0;0;0;0;0;0;0;1.08;0.607;1.62e+05;2.17;54.2;1.79;0.732;55.7;0.000344;0.771;12.1;7.47e-05;3.58;89.4;233;8.98;1.87e+04;20.2;1.38160991176
layer-4-particle-966;1.78e+05;0.999;96.5;0;3.55;0;0;0;0;0;0;0;0;0;0.988;0.964;1.82e+05;1.98;49.4;1.03;0.639;171;0.000938;0.616;60.7;0.000333;2.05;51.3;329;33.4;2.3e+04;60.8;1.68967153545
layer-4-particle-966;2.34e+05;1.01;80.7;0;18.8;0;0;0;0;0;0;0;0;0;1.07;0.814;3.08e+05;2.14;53.6;1.32;0.751;147;0.000475;0.54;62.5;0.000203;2.63;65.9;518;37.5;3.6e+04;73.3;2.63732095434
layer-4-particle-966;2.14e+05;1;97.4;0;2.19;0;0;0;0;0;0;0;0;0;0.882;0.975;1.93e+05;1.76;44.1;0.904;0.749;228;0.00118;0.643;62;0.000321;1.81;45.2;395;64.4;2.74e+04;67.9;2.03455602673
layer-4-particle-966;2.04e+05;1.02;99.9;0;0.125;0;0;0;0;0;0;0;0;0;1.18;1.02;2.36e+05;2.35;58.8;1.16;0.659;107;0.000453;0.585;40.7;0.000173;2.31;57.8;381;21.5;2.5e+04;56.1;1.83803435278
layer-4-particle-966;6.2e+04;1;49.8;0;44.9;0;0;0;0;0;0;0;0;0;0.966;0.498;1.2e+05;1.93;48.3;1.94;0.691;60.6;0.000505;0.797;11.9;9.93e-05;3.88;96.9;191;7.75;1.55e+04;17.9;1.15928538793
layer-4-particle-966;6.14e+04;1.02;50.8;0;44.3;0;0;0;0;0;0;0;0;0;0.724;0.52;8.55e+04;1.45;36.2;1.39;0.715;66;0.000772;0.649;21.3;0.000249;2.79;69.6;190;12.4;1.48e+04;31;1.11510822696
layer-4-particle-966;1.88e+05;1.02;99.3;0;0.715;0;0;0;0;0;0;0;0;0;1.05;1.01;1.95e+05;2.09;52.4;1.04;0.65;178;0.000913;0.649;56.1;0.000288;2.08;51.9;353;34.8;2.33e+04;56.3;1.7251121534
layer-4-particle-966;1.7e+05;1.02;99.9;0;0.0965;0;0;0;0;0;0;0;0;0;1.19;1.02;1.98e+05;2.37;59.3;1.17;0.63;110;0.000556;0.682;33;0.000167;2.33;58.3;319;17.8;2.08e+04;42.9;1.50555562695
layer-4-particle-966;2.5e+05;1.01;100;0;0.0476;0;0;0;0;0;0;0;0;0;1.16;1.01;2.88e+05;2.32;57.9;1.15;0.718;164;0.000571;0.614;54.2;0.000188;2.3;57.6;455;36.1;3.11e+04;56.4;2.26608769525
layer-4-particle-966;2.06e+05;1.02;99.9;0;0.0995;0;0;0;0;0;0;0;0;0;1.29;1.02;2.62e+05;2.59;64.7;1.27;0.668;84.9;0.000324;0.613;31.3;0.00012;2.54;63.5;388;15.5;2.53e+04;38.4;1.84500385505
layer-4-particle-966;9.65e+04;1.01;52.7;0;40.6;0;0;0;0;0;0;0;0;0;0.7;0.532;1.27e+05;1.4;35;1.31;0.646;103;0.000812;0.675;31.3;0.000247;2.63;65.7;282;19.5;2.27e+04;52.2;1.62648690711
layer-4-particle-966;4.72e+05;1.01;100;0;0.0455;0;0;0;0;0;0;0;0;0;1.19;1.01;5.57e+05;2.39;59.7;1.18;0.61;175;0.000315;0.47;84.2;0.000151;2.36;58.9;864;43.3;5.83e+04;121;4.169119478
layer-4-particle-966;1.46e+05;1.01;59.2;0;31.5;0;0;0;0;0;0;0;0;0;0.666;0.598;1.62e+05;1.33;33.3;1.11;0.706;148;0.000911;0.618;47;0.00029;2.23;55.7;375;36.4;3.04e+04;69.6;2.233944216
layer-4-particle-966;1.77e+05;1.02;99.9;0;0.118;0;0;0;0;0;0;0;0;0;1.19;1.02;2.06e+05;2.37;59.3;1.16;0.697;87.8;0.000426;0.616;30.3;0.000147;2.33;58.2;334;18.9;2.17e+04;48.8;1.57993839059
layer-4-particle-966;2.38e+05;1.01;94.9;0;4.53;0;0;0;0;0;0;0;0;0;1.13;0.959;2.8e+05;2.26;56.6;1.18;0.684;203;0.000723;0.68;51.8;0.000185;2.36;59;470;43.7;3.1e+04;54.6;2.23405765442
layer-4-particle-966;1.42e+05;1.02;66.5;0;32.5;0;0;0;0;0;0;0;0;0;0.718;0.678;1.51e+05;1.44;35.9;1.06;0.677;151;0.001;0.538;64.9;0.000431;2.12;52.9;352;33.2;2.62e+04;75;1.93203546646
layer-4-particle-966;1.94e+05;1.02;98.7;0;1.35;0;0;0;0;0;0;0;0;0;1.1;1.01;2.1e+05;2.19;54.8;1.08;0.667;127;0.000607;0.623;44.3;0.000211;2.17;54.2;377;27.6;2.4e+04;62;1.7409359205
layer-4-particle-966;3.79e+05;1;99.9;0;0.0825;0;0;0;0;0;0;0;0;0;1.31;1;4.96e+05;2.62;65.6;1.31;0.714;107;0.000215;0.627;35.5;7.15e-05;2.62;65.4;673;23.3;4.73e+04;46.3;3.45437712385
layer-3-particle-966;3.09e+05;1;100;0;0.0471;0;0;0;0;0;0;0;0;0;1.18;1;3.64e+05;2.36;59.1;1.18;0.619;118;0.000323;0.575;45.3;0.000124;2.35;58.8;561;27.7;3.85e+04;81.4;3.18469402086
layer-3-particle-966;2.15e+05;1.02;99.9;0;0.0528;0;0;0;0;0;0;0;0;0;1.16;1.02;2.44e+05;2.31;57.8;1.14;0.695;162;0.000663;0.643;46.2;0.000189;2.27;56.8;410;32.8;2.64e+04;48.7;2.19120853293
layer-3-particle-966;1.69e+05;0.991;99.9;0;0.0877;0;0;0;0;0;0;0;0;0;1.21;0.99;2.06e+05;2.41;60.3;1.22;0.726;79.8;0.000387;0.585;32.4;0.000157;2.44;60.9;295;15.5;2.14e+04;33.5;1.77436230888
layer-3-particle-966;1.69e+05;0.997;99.9;0;0.0814;0;0;0;0;0;0;0;0;0;1.14;0.996;1.93e+05;2.27;56.8;1.14;0.64;98.5;0.00051;0.642;32.6;0.000169;2.28;57;303;18.6;2.12e+04;46.2;1.76816619708
layer-3-particle-966;1.2e+05;1.02;66.1;0;33.2;0;0;0;0;0;0;0;0;0;0.676;0.673;1.2e+05;1.35;33.8;1;0.644;120;0.000997;0.526;52.1;0.000434;2.01;50.2;292;27.8;2.22e+04;65.1;1.88772803638
layer-3-particle-966;6.17e+04;0.985;48.1;0;43.3;0;0;0;0;0;0;0;0;0;0.907;0.474;1.18e+05;1.81;45.3;1.91;0.692;48.7;0.000413;0.757;11.4;9.67e-05;3.82;95.6;182;8.09;1.63e+04;18.8;1.39701999297
layer-3-particle-966;1.99e+05;1.01;79.8;0;19.6;0;0;0;0;0;0;0;0;0;0.947;0.802;2.34e+05;1.89;47.3;1.18;0.684;123;0.000523;0.511;53.8;0.000229;2.36;59;427;31.1;3.1e+04;67.9;2.60828078187
layer-3-particle-966;7.82e+05;1.01;91.2;0;8.84;0;0;0;0;0;0;0;0;0;1.29;0.92;1.1e+06;2.58;64.6;1.4;0.671;111;0.000101;0.556;47.4;4.31e-05;2.81;70.2;1.54e+03;35.1;1.06e+05;101;8.72599593237
layer-3-particle-966;2.06e+05;1.02;99.9;0;0.0733;0;0;0;0;0;0;0;0;0;1.17;1.02;2.37e+05;2.34;58.6;1.15;0.695;80.4;0.00034;0.616;27.5;0.000116;2.3;57.4;399;19.2;2.52e+04;52.4;2.10261488677
layer-3-particle-966;1.4e+05;0.988;97.6;0;2.39;0;0;0;0;0;0;0;0;0;1.31;0.964;1.9e+05;2.62;65.6;1.36;0.724;51.8;0.000272;0.761;12;6.32e-05;2.72;68;248;8.44;1.81e+04;17.1;1.53902774087
layer-3-particle-966;1.77e+05;0.992;98.3;0;1.67;0;0;0;0;0;0;0;0;0;1.07;0.975;1.95e+05;2.15;53.7;1.1;0.702;117;0.000599;0.457;56.8;0.000291;2.2;55;316;29.9;2.27e+04;54.3;1.90092748
layer-3-particle-966;8.76e+04;1.02;75;0;23;0;0;0;0;0;0;0;0;0;0.841;0.768;9.59e+04;1.68;42;1.09;0.697;74.7;0.000779;0.614;26.3;0.000275;2.19;54.7;198;15.6;1.42e+04;37.5;1.19319730621
layer-3-particle-966;2.57e+05;1.01;100;0;0.0483;0;0;0;0;0;0;0;0;0;1.21;1.01;3.07e+05;2.42;60.4;1.19;0.716;146;0.000476;0.7;34.9;0.000114;2.39;59.7;488;30.3;3.18e+04;49.5;2.66527647716
layer-3-particle-966;3.94e+05;1.01;86.6;0;13.2;0;0;0;0;0;0;0;0;0;0.855;0.878;3.84e+05;1.71;42.8;0.974;0.717;351;0.000915;0.538;118;0.000307;1.95;48.7;820;99.5;5.61e+04;136;4.60732762839
layer-3-particle-966;2.5e+05;1.01;92.3;0;7.68;0;0;0;0;0;0;0;0;0;0.991;0.931;2.66e+05;1.98;49.6;1.06;0.686;178;0.000668;0.45;89.8;0.000338;2.13;53.2;490;44.5;3.35e+04;87;2.78899758374
layer-3-particle-966;1.6e+05;0.999;99.9;0;0.0893;0;0;0;0;0;0;0;0;0;1.15;0.998;1.84e+05;2.3;57.5;1.15;0.679;79.5;0.000431;0.55;32.6;0.000177;2.3;57.6;286;18.3;2e+04;45.6;1.69433525141
layer-3-particle-966;3.52e+05;1.01;76.9;0;18.2;0;0;0;0;0;0;0;0;0;0.681;0.775;3.09e+05;1.36;34;0.878;0.727;352;0.00114;0.565;112;0.000361;1.76;43.9;751;102;5.68e+04;146;4.75948635027
layer-3-particle-966;1.04e+05;1.03;58;0;41.6;0;0;0;0;0;0;0;0;0;0.722;0.596;1.26e+05;1.44;36.1;1.21;0.692;96;0.000762;0.558;39.2;0.000311;2.42;60.6;302;25.8;2.18e+04;55.2;1.80444540168
layer-3-particle-966;1.7e+05;1.05;95.8;0;3.74;0;0;0;0;0;0;0;0;0;1.23;1;2.08e+05;2.46;61.4;1.23;0.694;124;0.000593;0.628;36.2;0.000174;2.45;61.4;361;29.5;2.12e+04;36.8;1.80734924816
layer-3-particle-966;6.92e+04;1.03;63.4;0;35.7;0;0;0;0;0;0;0;0;0;0.982;0.654;1.04e+05;1.96;49.1;1.5;0.699;59.3;0.000571;0.72;15.8;0.000152;3.01;75.1;192;11;1.32e+04;27.7;1.13340250568
layer-3-particle-966;1.94e+05;0.997;98.2;0;1.76;0;0;0;0;0;0;0;0;0;1.07;0.98;2.12e+05;2.14;53.5;1.09;0.646;111;0.000524;0.552;46.2;0.000218;2.18;54.6;353;27;2.48e+04;62.4;2.04635287152
layer-3-particle-966;1.97e+05;1.02;99.5;0;0.489;0;0;0;0;0;0;0;0;0;1.09;1.02;2.11e+05;2.18;54.5;1.07;0.716;123;0.000582;0.539;51.5;0.000244;2.14;53.5;379;31.7;2.42e+04;58.5;2.02553147581
layer-3-particle-966;2.74e+05;1.01;99.9;0;0.0715;0;0;0;0;0;0;0;0;0;1.2;1.01;3.25e+05;2.4;59.9;1.19;0.71;149;0.00046;0.549;55.4;0.000171;2.38;59.4;509;35.4;3.39e+04;56.9;2.80761916773
layer-3-particle-966;5.22e+04;1.04;49.6;0;43;0;0;0;0;0;0;0;0;0;0.731;0.514;7.42e+04;1.46;36.6;1.42;0.697;52.9;0.000712;0.727;13.1;0.000176;2.84;71.1;167;10.1;1.27e+04;27.7;1.10570045397
layer-3-particle-966;1.71e+05;1.02;99.9;0;0.111;0;0;0;0;0;0;0;0;0;1.31;1.02;2.2e+05;2.62;65.6;1.29;0.715;77.6;0.000352;0.751;16.3;7.4e-05;2.58;64.5;323;15.2;2.1e+04;23.4;1.78310537714
layer-3-particle-966;6.65e+04;1.03;62.1;0;36.4;0;0;0;0;0;0;0;0;0;1.1;0.642;1.14e+05;2.2;55;1.71;0.701;47.6;0.000418;0.768;10.7;9.37e-05;3.42;85.6;191;6.81;1.29e+04;15;1.12102919938
layer-3-particle-966;1.66e+05;1.02;99.9;0;0.143;0;0;0;0;0;0;0;0;0;1.28;1.02;2.09e+05;2.55;63.8;1.26;0.729;83.6;0.000401;0.68;23.2;0.000111;2.51;62.8;324;19.4;2.05e+04;29.7;1.7215999941
layer-3-particle-966;1.13e+05;0.993;86.8;0;12.5;0;0;0;0;0;0;0;0;0;0.99;0.862;1.3e+05;1.98;49.5;1.15;0.71;74;0.00057;0.681;21.4;0.000165;2.3;57.4;224;16;1.64e+04;40.8;1.38014183061
layer-3-particle-966;6.03e+04;1.05;43.7;0;42.9;0;0;0;0;0;0;0;0;0;0.735;0.457;9.7e+04;1.47;36.7;1.61;0.686;67.5;0.000696;0.633;23.9;0.000246;3.22;80.4;211;13;1.65e+04;27.2;1.4286857513
layer-3-particle-966;1.88e+05;1.01;98.9;0;1.08;0;0;0;0;0;0;0;0;0;0.952;1;1.79e+05;1.9;47.6;0.95;0.747;152;0.000851;0.511;62.2;0.000348;1.9;47.5;349;42.9;2.34e+04;62.1;1.94635324004
layer-3-particle-533;5.85e+04;0.974;61.5;0;37.8;0;0;0;0;0;0;0;0;0;0.696;0.599;6.79e+04;1.39;34.8;1.16;0.645;59.7;0.000879;0.465;29.7;0.000437;2.32;58.1;136;12.7;1.22e+04;32.1;1.2505784514
layer-3-particle-533;1.35e+05;1;99.9;0;0.101;0;0;0;0;0;0;0;0;0;1.24;1;1.67e+05;2.48;62;1.24;0.684;54.8;0.000328;0.502;26.1;0.000156;2.48;62.1;242;11.8;1.68e+04;26.8;1.68522314068
layer-3-particle-533;1.17e+05;1.01;99.9;0;0.0797;0;0;0;0;0;0;0;0;0;1.13;1.01;1.31e+05;2.27;56.7;1.12;0.645;65.5;0.000499;0.576;25;0.000191;2.24;56.1;218;14.7;1.45e+04;33.4;1.43538819884
layer-3-particle-533;5.85e+04;1.04;47.1;0;42.3;0;0;0;0;0;0;0;0;0;0.654;0.491;7.79e+04;1.31;32.7;1.33;0.617;58.5;0.000751;0.5;26.4;0.000339;2.66;66.6;192;12.5;1.49e+04;31.2;1.51489807888
layer-3-particle-533;4.58e+04;1.01;50.5;0;40.6;0;0;0;0;0;0;0;0;0;0.921;0.508;8.31e+04;1.84;46.1;1.81;0.699;31.7;0.000382;0.775;6.37;7.67e-05;3.63;90.7;136;6.74;1.12e+04;14.1;1.13640751619
layer-3-particle-533;1.37e+05;1.02;99.9;0;0.115;0;0;0;0;0;0;0;0;0;1.21;1.02;1.62e+05;2.43;60.7;1.19;0.681;54.2;0.000334;0.468;26;0.00016;2.38;59.5;256;13.9;1.67e+04;34.1;1.68877558208
layer-3-particle-533;1.3e+05;0.999;99.9;0;0.107;0;0;0;0;0;0;0;0;0;1.23;0.998;1.6e+05;2.46;61.6;1.23;0.8;56.7;0.000355;0.676;15.8;9.86e-05;2.47;61.7;235;15.7;1.62e+04;23.3;1.61068102388
layer-3-particle-533;2.36e+05;1;99.7;0;0.113;0;0;0;0;0;0;0;0;0;0.824;1;1.94e+05;1.65;41.2;0.822;0.724;258;0.00133;0.596;73.8;0.00038;1.64;41.1;425;68.2;2.95e+04;72.8;2.90661114614
layer-3-particle-533;1.39e+05;1.02;98.8;0;1.15;0;0;0;0;0;0;0;0;0;1.14;1.01;1.57e+05;2.28;56.9;1.13;0.739;103;0.000658;0.635;30.1;0.000192;2.25;56.3;273;22.8;1.72e+04;31.3;1.70810586573
layer-3-particle-533;9.8e+04;0.974;86.9;0;13.1;0;0;0;0;0;0;0;0;0;0.995;0.847;1.15e+05;1.99;49.8;1.18;0.669;51.7;0.000448;0.543;20.5;0.000178;2.35;58.8;187;14.1;1.45e+04;37.4;1.44914529692
layer-3-particle-533;2.88e+05;1.01;80.3;0;19.5;0;0;0;0;0;0;0;0;0;1.05;0.813;3.73e+05;2.1;52.6;1.3;0.664;149;0.000398;0.459;71;0.00019;2.59;64.8;649;49.3;4.43e+04;95.3;4.35908240595
layer-3-particle-533;4.49e+04;1.04;46.5;0;42.7;0;0;0;0;0;0;0;0;0;0.706;0.485;6.55e+04;1.41;35.3;1.46;0.663;37.3;0.000569;0.693;10.1;0.000155;2.91;72.8;152;8.13;1.16e+04;25.6;1.16548834152
layer-3-particle-533;1.19e+05;0.991;99.1;0;0.942;0;0;0;0;0;0;0;0;0;1.08;0.982;1.32e+05;2.17;54.2;1.1;0.658;68.3;0.000518;0.592;25.4;0.000193;2.21;55.2;214;16.2;1.52e+04;38.3;1.57822260975
layer-3-particle-533;4.26e+04;1;49;0;41.9;0;0;0;0;0;0;0;0;0;0.69;0.493;5.96e+04;1.38;34.5;1.4;0.685;36.1;0.000606;0.71;9.23;0.000155;2.8;70;128;7.91;1.08e+04;23.4;1.14616983051
layer-3-particle-533;1.37e+05;1.05;99.9;0;0.125;0;0;0;0;0;0;0;0;0;1.31;1.04;1.72e+05;2.62;65.5;1.26;0.731;61.1;0.000356;0.637;18.6;0.000108;2.51;62.8;278;14.3;1.64e+04;23.2;1.63584513154
layer-3-particle-533;2.36e+05;1;99.4;0;0.555;0;0;0;0;0;0;0;0;0;1.03;0.999;2.44e+05;2.07;51.7;1.04;0.647;143;0.000586;0.417;75.4;0.000309;2.07;51.8;430;37.2;2.95e+04;72.9;2.89622961042
layer-3-particle-533;9.31e+04;1.01;59.5;0;40.1;0;0;0;0;0;0;0;0;0;1.13;0.601;1.75e+05;2.26;56.5;1.88;0.696;39.9;0.000228;0.65;12.6;7.21e-05;3.76;94.1;273;9.99;1.93e+04;22.3;1.90514149648
layer-3-particle-533;1.45e+05;1.01;99.9;0;0.0908;0;0;0;0;0;0;0;0;0;1.17;1.01;1.68e+05;2.34;58.5;1.16;0.637;66.9;0.000398;0.557;27.4;0.000163;2.32;58;265;15.1;1.8e+04;38.7;1.8028201062
layer-3-particle-533;1.42e+05;1.04;99.9;0;0.0843;0;0;0;0;0;0;0;0;0;1.18;1.04;1.62e+05;2.36;59.1;1.14;0.731;98.2;0.000607;0.593;29.7;0.000184;2.28;56.9;286;27.4;1.71e+04;31.5;1.68844807119
layer-3-particle-533;1.15e+05;0.974;99.9;0;0.15;0;0;0;0;0;0;0;0;0;0.886;0.972;1.05e+05;1.77;44.3;0.911;0.702;122;0.00117;0.675;29.4;0.000281;1.82;45.5;193;29.6;1.48e+04;37.4;1.47798690613
layer-3-particle-533;2.57e+05;1.02;68;0;31.6;0;0;0;0;0;0;0;0;0;0.832;0.694;3.08e+05;1.66;41.6;1.2;0.602;144;0.000467;0.358;79.5;0.000258;2.4;60;642;44.4;4.62e+04;127;4.52631657161
layer-3-particle-533;1.91e+05;0.997;99.9;0;0.0812;0;0;0;0;0;0;0;0;0;1.25;0.996;2.4e+05;2.5;62.4;1.25;0.672;85.4;0.000356;0.65;21.6;9e-05;2.51;62.7;345;21;2.4e+04;31.4;2.77673763637
layer-3-particle-533;2.21e+05;1;100;0;0.0469;0;0;0;0;0;0;0;0;0;1.12;1;2.48e+05;2.24;56.1;1.12;0.715;140;0.000564;0.512;51.8;0.000209;2.24;56.1;406;41.5;2.76e+04;54.2;2.70836438125
layer-3-particle-533;1.61e+05;1.03;98.5;0;1.49;0;0;0;0;0;0;0;0;0;1.08;1.02;1.72e+05;2.17;54.2;1.06;0.738;105;0.000613;0.51;42.2;0.000246;2.13;53.2;321;28;1.97e+04;47.2;1.92538406298
layer-3-particle-533;1.41e+05;1.01;94.6;0;5.42;0;0;0;0;0;0;0;0;0;0.986;0.953;1.46e+05;1.97;49.3;1.03;0.701;99.3;0.000681;0.456;49.6;0.00034;2.07;51.7;266;26.5;1.85e+04;47.9;1.80952134196
layer-3-particle-533;2.26e+05;1.01;93.1;0;6.91;0;0;0;0;0;0;0;0;0;1.28;0.944;3.06e+05;2.56;64;1.36;0.693;40.9;0.000134;0.715;11.3;3.7e-05;2.71;67.8;447;10.5;2.99e+04;30.4;2.99798842306
layer-3-particle-533;1.39e+05;0.982;96.6;0;3.37;0;0;0;0;0;0;0;0;0;1.3;0.948;1.91e+05;2.6;65;1.37;0.688;36.9;0.000193;0.708;10.1;5.29e-05;2.74;68.5;245;8.12;1.83e+04;17.3;1.79730202044
layer-3-particle-533;1.2e+05;0.992;99.9;0;0.101;0;0;0;0;0;0;0;0;0;1.14;0.991;1.37e+05;2.28;56.9;1.15;0.711;48.5;0.000352;0.507;21;0.000153;2.3;57.4;210;14.2;1.51e+04;34.5;1.54364174361
layer-3-particle-533;7.29e+04;1.02;65.8;0;33.5;0;0;0;0;0;0;0;0;0;0.917;0.674;9.92e+04;1.83;45.9;1.36;0.636;54.3;0.000548;0.563;21.6;0.000218;2.72;68;192;13;1.35e+04;29.7;1.45633258818
layer-3-particle-533;3.78e+04;0.995;32;0;36.9;0;0;0;0;0;0;0;0;0;0.567;0.318;6.73e+04;1.13;28.4;1.78;0.713;25.5;0.000379;0.724;6.89;0.000102;3.56;89.1;133;5.97;1.48e+04;16.9;1.44577745432
layer-3-particle-100;1.32e+05;0.996;100;0;0.0366;0;0;0;0;0;0;0;0;0;1.11;0.995;1.46e+05;2.21;55.3;1.11;0.681;43.7;0.000298;0.418;21.8;0.000149;2.22;55.6;240;14.5;1.65e+04;39.3;2.25828256425
layer-3-particle-100;9.47e+04;0.974;99.9;0;0.0891;0;0;0;0;0;0;0;0;0;1.25;0.973;1.22e+05;2.5;62.5;1.29;0.684;26.2;0.000215;0.495;11.2;9.24e-05;2.57;64.3;161;8.31;1.22e+04;15.5;1.65354944899
layer-3-particle-100;1.63e+05;1.02;92.8;0;7.17;0;0;0;0;0;0;0;0;0;1.17;0.948;2.01e+05;2.33;58.3;1.23;0.544;56.9;0.000283;0.288;34.3;0.000171;2.46;61.5;328;19.4;2.15e+04;54.4;2.94151422808
layer-3-particle-100;3.46e+05;1.02;100;0;0.0174;0;0;0;0;0;0;0;0;0;1.15;1.02;3.9e+05;2.29;57.3;1.13;0.636;110;0.000283;0.326;63.7;0.000163;2.25;56.4;645;35.6;4.25e+04;99.2;5.62466905861
