Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C6res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,Proc,Energy,(Joules),READ,TIME(ticks),WRITE
layer-2-particle-4000,19000,1.04,10.8,0,14.1,18.8,0,0,0,0,0,0.252,0.112,42800,0.504,12.6,2.25,0.685,98,0.00229,0.994,0.626,0.0000146,4.5,113,114,0.698,21300,0.309,,
layer-1-particle-4000,11700,1.06,9.79,0,10.2,26,0,0,0,0,0,0.237,0.103,26900,0.474,11.8,2.29,0.711,49.5,0.00184,0.989,0.523,0.0000194,4.58,114,73.4,0.584,14200,0.239,,
layer-3-particle-4000,50300,1.04,21,0,23.4,0.582,0,0,0,0,0,0.412,0.219,94800,0.824,20.6,1.88,0.735,186,0.00196,0.893,19.9,0.00021,3.76,94.1,226,7.82,28700,1.74,,
layer-1-particle-100,3670,0.865,6.83,0,8.11,48.6,0,0,0,0,0,0.161,0.0591,9970,0.321,8.03,2.72,0.715,3.06,0.000306,0.886,0.327,0.0000328,5.44,136,23.2,0.427,7760,0.135,,
layer-1-particle-3133,10000,0.945,9.76,0,13.2,27,0,0,0,0,0,0.214,0.0923,23300,0.429,10.7,2.32,0.73,36.5,0.00157,0.985,0.554,0.0000238,4.64,116,53.5,0.603,13600,0.235,,
layer-3-particle-2266,17500,1.02,11,0,33.5,0,0,0,0,0,0,0.249,0.112,38700,0.498,12.5,2.21,0.713,78.1,0.00202,0.988,0.913,0.0000236,4.43,111,105,0.97,19400,0.343,,
layer-2-particle-966,7560,0.971,8.56,0,16,36.1,0,0,0,0,0,0.195,0.0831,17800,0.391,9.77,2.35,0.682,26.4,0.00149,0.98,0.518,0.0000291,4.7,118,44.9,0.575,11400,0.199,,
layer-3-particle-533,7390,0.945,9.54,0,15.8,32.6,0,0,0,0,0,0.21,0.0902,17200,0.421,10.5,2.33,0.686,22.4,0.0013,0.952,1.07,0.0000621,4.66,117,39.9,0.923,10200,0.279,,
layer-5-particle-533,8780,1.02,9.05,0,9.19,34.3,0,0,0,0,0,0.217,0.0924,20600,0.434,10.8,2.35,0.756,26.7,0.0013,0.982,0.479,0.0000233,4.69,117,55,0.562,11900,0.166,,
layer-3-particle-3133,22200,1.03,11.3,0,16,10.1,0,0,0,0,0,0.257,0.116,49300,0.514,12.8,2.22,0.722,103,0.00209,0.991,0.968,0.0000196,4.43,111,129,0.898,24000,0.374,,
layer-2-particle-100,3910,0.932,6.18,0,11.1,54,0,0,0,0,0,0.154,0.0576,10400,0.307,7.68,2.66,0.708,4.18,0.000402,0.895,0.413,0.0000397,5.33,133,28.3,0.502,8470,0.158,,
layer-5-particle-966,12600,1.05,9.66,0,11.1,26.5,0,0,0,0,0,0.236,0.101,29400,0.472,11.8,2.33,0.73,51.5,0.00175,0.993,0.376,0.0000128,4.66,117,77.5,0.439,15600,0.16,,
layer-1-particle-2700,8670,1.06,8.71,0,10.4,31.4,0,0,0,0,0,0.221,0.092,20900,0.443,11.1,2.41,0.726,31.4,0.0015,0.99,0.327,0.0000157,4.81,120,56.8,0.395,11800,0.153,,
layer-4-particle-2700,24600,1.05,11.2,0,14.9,14,0,0,0,0,0,0.262,0.118,54900,0.525,13.1,2.23,0.722,118,0.00215,0.995,0.647,0.0000118,4.46,111,144,0.625,26100,0.289,,
layer-3-particle-1833,14500,1.03,10.4,0,11.1,23.9,0,0,0,0,0,0.241,0.106,32800,0.483,12.1,2.27,0.695,67.1,0.00205,0.991,0.592,0.000018,4.53,113,86.7,0.636,17000,0.243,,
layer-2-particle-2700,14000,1.06,10.2,0,15.4,22.7,0,0,0,0,0,0.245,0.107,32000,0.49,12.3,2.28,0.744,54.5,0.0017,0.989,0.59,0.0000184,4.56,114,86,0.635,16300,0.256,,
