Configuration,ACYC,AFREQ,C0res%,C10res%,C1res%,C2res%,C3res%,C3res%,C6res%,C6res%,C7res%,C7res%,C8res%,C9res%,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
batch-3-learning-78-regular-5,2.91e+04,1.02,22.8,0,8.17,24.2,0,0,0,0,0,0,0,0,0.228,0.233,2.85e+04,0.456,11.4,0.978,0.748,54,0.0019,0.769,10.9,0.000382,1.96,48.9,11.5,1.56e+04,9.29
batch-3-learning-78-regular-4,3.32e+04,1.04,25.2,0,11,23.5,0,0,0,0,0,0,0,0,0.246,0.264,3.1e+04,0.492,12.3,0.934,0.752,53.6,0.00173,0.761,11.2,0.000362,1.87,46.7,12.1,1.57e+04,9.3
batch-3-learning-78-regular-1,2.81e+04,0.923,23.6,0,9.66,22,0,0,0,0,0,0,0,0,0.22,0.218,2.84e+04,0.44,11,1.01,0.752,52.9,0.00186,0.756,11.3,0.000398,2.02,50.5,11.9,1.62e+04,9.41
batch-3-learning-78-regular-3,2.83e+04,0.973,22.9,0,8.24,25.8,0,0,0,0,0,0,0,0,0.219,0.223,2.78e+04,0.439,11,0.985,0.758,53.5,0.00192,0.784,9.98,0.000359,1.97,49.2,11.5,1.59e+04,9.31
batch-3-learning-78-regular-2,2.99e+04,1.05,23.2,0,7.65,27.3,0,0,0,0,0,0,0,0,0.235,0.244,2.88e+04,0.47,11.8,0.962,0.75,53.4,0.00186,0.766,10.9,0.000379,1.92,48.1,11.8,1.53e+04,9.29
batch-1-learning-45-regular-3,2.09e+04,1.05,17.6,0,8.96,27.8,0,0,0,0,0,0,0,0,0.174,0.185,1.97e+04,0.348,8.69,0.942,0.757,31.1,0.00158,0.644,9.95,0.000505,1.88,47.1,10.3,1.42e+04,8.32
batch-1-learning-45-regular-2,2.35e+04,1.05,19.8,0,18.2,0,0,0,0,0,0,0,0,0,0.175,0.208,1.98e+04,0.35,8.74,0.841,0.758,31.1,0.00157,0.674,9.16,0.000463,1.68,42.1,9.78,1.41e+04,8.26
batch-1-learning-45-regular-1,1.99e+04,0.962,17.6,0,27.2,4.68,0,0,0,0,0,0,0,0,0.165,0.17,1.93e+04,0.33,8.24,0.971,0.746,33.3,0.00172,0.666,9.91,0.000512,1.94,48.6,10.3,1.47e+04,8.33
batch-1-learning-45-regular-5,2.3e+04,1.05,19.1,0,11.8,10.6,0,0,0,0,0,0,0,0,0.174,0.2,2e+04,0.348,8.71,0.871,0.74,36,0.0018,0.659,11.1,0.000556,1.74,43.6,10.3,1.44e+04,8.3
batch-1-learning-45-regular-4,2.16e+04,1.04,18.2,0,11,21.9,0,0,0,0,0,0,0,0,0.176,0.189,2.02e+04,0.352,8.79,0.933,0.75,33,0.00164,0.667,9.8,0.000486,1.87,46.6,10.3,1.43e+04,8.32
batch-1-learning-1-regular-4,2.07e+04,0.954,18.2,0,8.96,23.7,0,0,0,0,0,0,0,0,0.165,0.174,1.96e+04,0.33,8.26,0.949,0.768,30.4,0.00155,0.679,8.75,0.000446,1.9,47.4,10.1,1.48e+04,8.38
batch-1-learning-1-regular-5,2.03e+04,1,17.7,0,13.3,24.9,0,0,0,0,0,0,0,0,0.168,0.177,1.94e+04,0.336,8.41,0.952,0.756,31.6,0.00164,0.67,9.4,0.000486,1.9,47.6,10.3,1.44e+04,8.3
batch-1-learning-100-regular-4,1.94e+04,0.9,17.9,0,9.66,23.3,0,0,0,0,0,0,0,0,0.16,0.161,1.92e+04,0.319,7.98,0.989,0.771,28.9,0.0015,0.672,8.56,0.000445,1.98,49.4,10.2,1.51e+04,8.38
batch-3-learning-56-regular-2,2.8e+04,0.997,23.2,0,8.27,23.3,0,0,0,0,0,0,0,0,0.23,0.231,2.79e+04,0.46,11.5,0.996,0.746,55.5,0.00199,0.791,10.1,0.000362,1.99,49.8,11.2,1.51e+04,9.2
batch-1-learning-100-regular-2,2.08e+04,1.03,17.7,0,9.28,25.6,0,0,0,0,0,0,0,0,0.173,0.182,1.98e+04,0.347,8.67,0.952,0.759,30.8,0.00156,0.648,9.73,0.000492,1.9,47.6,10.3,1.43e+04,8.33
batch-1-learning-1-regular-1,2.22e+04,0.946,19.4,0,12,21.9,0,0,0,0,0,0,0,0,0.175,0.183,2.11e+04,0.349,8.73,0.952,0.756,32.3,0.00153,0.687,9.07,0.00043,1.9,47.6,10.4,1.51e+04,8.47
batch-1-learning-1-regular-2,2.04e+04,0.959,18.1,0,9.86,21.7,0,0,0,0,0,0,0,0,0.169,0.174,1.98e+04,0.338,8.45,0.973,0.752,32.4,0.00164,0.66,9.91,0.0005,1.95,48.6,10.5,1.47e+04,8.42
batch-1-learning-1-regular-3,1.95e+04,0.967,17.5,0,9.03,26.6,0,0,0,0,0,0,0,0,0.163,0.169,1.88e+04,0.326,8.16,0.966,0.763,29.8,0.00158,0.677,8.67,0.000461,1.93,48.3,10.1,1.44e+04,8.31
batch-1-learning-78-regular-3,1.98e+04,0.955,17.8,0,14,15.8,0,0,0,0,0,0,0,0,0.164,0.17,1.92e+04,0.328,8.2,0.966,0.757,32,0.00167,0.666,9.6,0.000501,1.93,48.3,10.2,1.46e+04,8.3
batch-1-learning-78-regular-2,2.03e+04,1.05,17.2,0,10,29.5,0,0,0,0,0,0,0,0,0.17,0.181,1.91e+04,0.34,8.5,0.941,0.763,30.5,0.00159,0.661,9.24,0.000482,1.88,47.1,9.64,1.41e+04,8.24
batch-1-learning-78-regular-1,1.97e+04,0.955,17.5,0,9.55,26.5,0,0,0,0,0,0,0,0,0.161,0.167,1.91e+04,0.323,8.07,0.968,0.759,31.2,0.00164,0.653,9.71,0.000509,1.94,48.4,10.2,1.48e+04,8.4
batch-3-learning-1-regular-4,3.2e+04,1.05,24.5,0,9.19,26.7,0,0,0,0,0,0,0,0,0.242,0.257,3e+04,0.483,12.1,0.94,0.75,55.2,0.00184,0.773,10.9,0.000363,1.88,47,11.6,1.55e+04,9.28
batch-1-learning-78-regular-5,2.12e+04,0.975,18.5,0,13.5,19.7,0,0,0,0,0,0,0,0,0.175,0.18,2.06e+04,0.351,8.77,0.971,0.755,33.9,0.00165,0.65,10.7,0.000518,1.94,48.6,10.6,1.47e+04,8.45
batch-1-learning-78-regular-4,1.98e+04,0.96,17.8,0,10.6,24.4,0,0,0,0,0,0,0,0,0.166,0.171,1.93e+04,0.333,8.31,0.975,0.76,30.7,0.00158,0.671,9.08,0.00047,1.95,48.8,10.1,1.45e+04,8.28
batch-5-learning-100-regular-4,3.94e+04,0.989,28.9,0,8.53,22.7,0,0,0,0,0,0,0,0,0.28,0.286,3.86e+04,0.559,14,0.978,0.778,68.9,0.00179,0.805,11.6,0.000301,1.96,48.9,14.2,1.72e+04,10.1
batch-3-learning-12-regular-5,2.83e+04,0.984,23.1,0,14,8.38,0,0,0,0,0,0,0,0,0.225,0.227,2.8e+04,0.451,11.3,0.991,0.749,55,0.00196,0.774,10.8,0.000385,1.98,49.5,11.9,1.55e+04,9.28
batch-3-learning-12-regular-4,2.95e+04,0.969,23.6,0,8.8,24.4,0,0,0,0,0,0,0,0,0.226,0.229,2.91e+04,0.451,11.3,0.986,0.752,55,0.00189,0.766,11.1,0.000383,1.97,49.3,12.4,1.61e+04,9.42
batch-5-learning-100-regular-1,3.64e+04,1,27.8,0,8.18,21.6,0,0,0,0,0,0,0,0,0.282,0.279,3.69e+04,0.563,14.1,1.01,0.773,69.3,0.00188,0.809,11.3,0.000307,2.02,50.6,14,1.64e+04,9.96
batch-3-learning-12-regular-1,3.05e+04,1.04,24.2,0,10.3,13.8,0,0,0,0,0,0,0,0,0.239,0.251,2.9e+04,0.477,11.9,0.949,0.749,54.1,0.00187,0.761,11.4,0.000393,1.9,47.5,12.1,1.52e+04,9.29
batch-3-learning-12-regular-3,3.16e+04,0.998,24.5,0,13.9,7.56,0,0,0,0,0,0,0,0,0.232,0.244,3e+04,0.464,11.6,0.951,0.759,53.7,0.00179,0.765,11,0.000368,1.9,47.5,12,1.62e+04,9.36
batch-3-learning-12-regular-2,2.8e+04,0.984,22.7,0,14.5,26.5,0,0,0,0,0,0,0,0,0.223,0.223,2.79e+04,0.445,11.1,0.996,0.756,54.4,0.00195,0.763,11.2,0.000401,1.99,49.8,11.9,1.57e+04,9.27
