Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
hash-3-itr-22-probe-18,2382.0,1.068,0.252,0.1392,4312.0,0.5038,12.6,1.812,0.6294,1.688,0.0003924,0.4362,0.9358,0.0002192,3.626,90.64,0.6302,2140.0,0.041946
hash-6-itr-7-probe-12,2275.0,1.0045,0.217,0.133,3700.0,0.43375,10.8425,1.625,0.51925,3.06,0.00082625,0.37525,1.9075,0.00051575,3.255,81.35,0.95775,2132.5,0.0552
hash-6-itr-19-probe-18,2225.0,1.00966666667,0.227,0.132333333333,3816.66666667,0.454,11.3416666667,1.71,0.585166666667,2.38666666667,0.000655833333333,0.35,1.5545,0.0004315,3.42166666667,85.5,0.812666666667,2100.0,0.038865
hash-6-itr-7-probe-16,2302.5,1.02775,0.214,0.1355,3642.5,0.42875,10.725,1.585,0.459,3.385,0.0009335,0.36425,2.1625,0.00059325,3.1625,79.075,1.026,2125.0,0.0506
hash-6-itr-7-probe-14,2375.0,1.0575,0.22525,0.1395,3830.0,0.4505,11.275,1.6175,0.48325,3.155,0.0008245,0.359,2.0125,0.000528,3.235,80.825,0.9865,2125.0,0.05115
hash-8-itr-7-probe-10,2290.0,1.0338,0.2156,0.1356,3640.0,0.4314,10.77,1.59,0.478,3.144,0.0008646,0.3416,2.052,0.0005658,3.18,79.44,0.9918,2110.0,0.045206
hash-8-itr-7-probe-12,2370.0,1.0504,0.2166,0.14,3670.0,0.4334,10.832,1.552,0.4592,3.31,0.0009032,0.3456,2.172,0.0005926,3.104,77.64,1.0178,2112.0,0.046594
hash-8-itr-7-probe-14,2346.0,1.062,0.218,0.1388,3682.0,0.4362,10.92,1.572,0.456,3.434,0.0009322,0.3348,2.264,0.0006154,3.138,78.5,1.0468,2110.0,0.045034
hash-8-itr-7-probe-16,2382.0,1.064,0.2164,0.1394,3698.0,0.4328,10.78,1.556,0.4718,3.622,0.000979,0.328,2.426,0.0006548,3.106,77.64,1.0924,2138.0,0.040994
hash-5-itr-25-probe-16,2270.0,1.03916666667,0.2395,0.134833333333,4025.0,0.478833333333,11.965,1.77166666667,0.593833333333,2.04,0.000529833333333,0.379166666667,1.26383333333,0.000333666666667,3.545,88.6166666667,0.725166666667,2101.66666667,0.0374166666667
hash-8-itr-7-probe-18,2286.0,1.0368,0.2106,0.1358,3542.0,0.4212,10.544,1.554,0.4488,3.65,0.0010412,0.328,2.466,0.000703,3.104,77.6,1.1006,2100.0,0.045156
hash-6-itr-17-probe-12,2454.0,1.064,0.2438,0.1438,4162.0,0.4878,12.2,1.702,0.53,2.626,0.000632,0.3998,1.5502,0.0003762,3.404,85.08,0.8366,2132.0,0.04924
hash-7-itr-17-probe-6,2335.0,1.06,0.238333333333,0.1385,4013.33333333,0.4765,11.9166666667,1.72166666667,0.602666666667,2.295,0.0005755,0.3805,1.42066666667,0.000358666666667,3.44,86.0166666667,0.7535,2105.0,0.03966
hash-8-itr-25-probe-14,2378.57142857,1.06142857143,0.239285714286,0.140428571429,4051.42857143,0.478285714286,11.9571428571,1.70714285714,0.517,2.61,0.000657285714286,0.355,1.67285714286,0.000425428571429,3.41142857143,85.3285714286,0.854,2115.71428571,0.04068
hash-4-itr-19-probe-16,2352.0,1.05,0.2452,0.138,4182.0,0.4908,12.26,1.776,0.5664,1.974,0.000476,0.415,1.1514,0.0002778,3.55,88.78,0.6956,2130.0,0.04442
hash-7-itr-7-probe-6,2262.5,1.01825,0.2225,0.1345,3737.5,0.44475,11.1325,1.655,0.512,2.6775,0.000716,0.412,1.57,0.000419,3.315,82.85,0.8635,2100.0,0.0500175
hash-6-itr-9-probe-18,2366.0,1.06,0.2246,0.1384,3832.0,0.4492,11.24,1.622,0.4802,3.066,0.0007992,0.3334,2.024,0.0005296,3.244,81.12,0.9684,2134.0,0.038314
hash-7-itr-7-probe-4,2275.0,1.023,0.227,0.1355,3815.0,0.454,11.37,1.6725,0.6115,2.385,0.00063025,0.42225,1.38975,0.00036775,3.3475,83.7,0.80675,2100.0,0.0505
hash-4-itr-25-probe-20,2193.33333333,0.951333333333,0.230666666667,0.1285,3936.66666667,0.461,11.535,1.8,0.599,1.90633333333,0.000491833333333,0.440833333333,1.06416666667,0.000273683333333,3.59833333333,90.0333333333,0.663166666667,2133.33333333,0.036133
hash-4-itr-19-probe-20,2306.66666667,1.038,0.2375,0.135,4061.66666667,0.475,11.9,1.76,0.592333333333,1.98166666667,0.000496,0.400666666667,1.20683333333,0.000303833333333,3.51833333333,87.9666666667,0.707333333333,2136.66666667,0.0380166666667
hash-8-itr-9-probe-16,2326.0,1.0208,0.2176,0.1364,3712.0,0.4348,10.876,1.592,0.4478,3.41,0.000937,0.3524,2.22,0.0006186,3.182,79.58,1.0338,2134.0,0.0481
hash-7-itr-19-probe-2,2362.0,1.064,0.2496,0.1386,4252.0,0.4994,12.48,1.802,0.5992,1.644,0.0003874,0.4354,0.918,0.000218,3.608,90.12,0.651,2132.0,0.037898
hash-8-itr-9-probe-14,2360.0,1.068,0.2216,0.1394,3752.0,0.4432,11.1,1.592,0.4716,3.308,0.0008818,0.3368,2.18,0.0005848,3.186,79.64,1.021,2112.0,0.04469
