Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
hash-7-itr-7-probe-20,10532.3809524,1.04988095238,0.830238095238,0.499178571429,17345.2380952,1.66035714286,41.4988095238,1.73892857143,0.962952380952,3.943,0.000177405952381,0.859142857143,0.383676547619,1.66345952381e-05,3.47773809524,86.9452380952,0.617666666667,2662.14285714,0.0910863095238,31.1614278995
hash-7-itr-7-probe-20,17090.0,1.05,1.286,0.9914,22180.0,2.573,64.29,1.308,0.83,12.006,0.0005413,0.5089,2.928,0.00013202,2.616,65.42,2.117,2155.0,0.5976,2.69913888907
hash-7-itr-7-probe-20,11900.0,1.05,0.95675,0.699,16325.0,1.915,47.875,1.37,0.70875,25.85,0.00159,0.75625,5.3175,0.00032825,2.7375,68.475,3.095,2130.0,0.8325,1.14990515342
hash-5-itr-14-probe-20,15425.0,1.05,1.2325,0.9125,20825.0,2.4625,61.575,1.3525,0.82375,9.0525,0.0004345,0.46425,2.29,0.0001099,2.7,67.475,0.81625,2117.5,0.0391925,0.194483494093
hash-5-itr-14-probe-20,8138.39285714,1.05,0.699625,0.471232142857,12073.2142857,1.39928571429,34.9660714286,1.50607142857,0.853125,17.9875,0.00145607142857,0.985589285714,0.334276428571,2.37573928571e-05,3.01321428571,75.3232142857,0.471607142857,2154.28571429,0.06352,2.81872378652
hash-5-itr-14-probe-20,11033.3333333,1.03666666667,0.749666666667,0.645333333333,12800.0,1.5,37.4666666667,1.16,0.228333333333,130.666666667,0.01025,0.977666666667,2.94333333333,0.000230666666667,2.32333333333,58.0666666667,1.019,2126.66666667,0.0502133333333,0.154229622414
hash-5-itr-14-probe-20,13450.0,1.05,0.96375,0.795,16350.0,1.9275,48.2,1.21,0.86025,11.5,0.000703,0.6445,2.4475,0.00015,2.4275,60.65,0.869,2120.0,0.042395,0.18842478724
hash-5-itr-14-probe-20,13420.8196721,1.05,1.12901639344,0.634262295082,24170.4918033,2.25819672131,56.4606557377,1.82426229508,0.885836065574,12.4055737705,0.000531475409836,0.981245901639,0.319978688525,1.00431967213e-05,3.64836065574,91.1901639344,0.194659180328,2678.19672131,0.0671649180328,3.55786754124
hash-5-itr-14-probe-20,9077.27272727,1.05,0.950818181818,0.538818181818,16009.0909091,1.90090909091,47.5181818182,1.79,0.852454545455,9.18727272727,0.000565181818182,0.921545454545,0.872061818182,5.04870909091e-05,3.58363636364,89.5818181818,0.303049090909,2104.54545455,0.0236627272727,0.590357552086
hash-5-itr-14-probe-20,8500.0,1.05,0.797,0.497666666667,13600.0,1.59333333333,39.8666666667,1.60333333333,0.814666666667,16.7666666667,0.00123,0.824,2.98,0.000218,3.20666666667,80.1333333333,1.03066666667,2133.33333333,0.0500366666667,0.153088922512
