,EXEC,L2MISS,L3MISS,L3HIT,MEM,L3MPI,L2MPI,INSTnom%,IPC,PhysIPC%,INST,FREQ,GT,Pred
2723,0.4075221238938053,0.7436587240584167,0.4541282187545292,0.9892703862660943,0.5322851559292529,0.4398706262863863,0.7611173448296226,0.40730088495575223,0.37021653275228095,0.37050163576881134,0.9590857072900087,0.8216306732879085,1.060704678439483,1.093546094970237
2408,0.4057522123893804,0.012982321291314375,0.4427267017730324,0.3184549356223176,0.5124024107861331,0.43785441256773217,0.01360656705840666,0.40575221238938075,0.9505651641018656,0.9518811341330424,0.3738969920162427,0.31857027370366087,1.0225656610895184,1.0212526921018859
2636,0.40420353982300883,0.013747117601844737,0.4563183406605793,0.33764902241297096,0.5271257232632104,0.44555522885425847,0.014224886316659779,0.4042035398230089,0.9445503654273909,0.9454516539440201,0.3760609909266498,0.31952303961196443,1.0247392094209915,1.0312924008433653
2718,0.27499999999999997,0.013996925441967715,0.46630271993816114,0.33905579399141633,0.5788251523163582,0.6804721300457847,0.021642945727278096,0.27477876106194693,0.6441508920059918,0.6453107960741549,0.5513523079344925,0.31822381337336875,1.0342785177342972,1.0265486138216284
1912,0.27876106194690264,0.014374839866769155,0.47458009243602745,0.34382451120648544,0.6166226002988849,0.6729393315691464,0.021624638280281105,0.27876106194690264,0.6458531935176356,0.646787531806616,0.5497964529717866,0.32194826192400966,1.0057398834130489,1.0250719035996416
39,0.9433997050147491,0.2806815270304894,0.3519332656972156,0.9765617548879352,0.43123883971337706,0.14654513378418113,0.12377015295576686,0.9452064896755163,0.7276771528439783,0.7286895674300253,0.48871028834136265,0.9692805173807598,1.0945013237431076,1.2061063398389102
73,0.6396017699115045,0.019373558800922373,0.44098748731822784,0.4630901287553648,0.5268533328954067,0.2747091191666316,0.012780960255123134,0.6393805309734514,0.9144763720550184,0.9156215921483098,0.3889309016190509,0.5219424875851713,1.0285278048005295,1.0436345352626366
2083,0.6323008849557522,0.023320522674865493,0.47055413304990573,0.45107296137339065,0.5492716732629367,0.2967194522619398,0.015587314710919504,0.6320796460176991,0.8838349448454309,0.8841330425299891,0.40255035924252136,0.5347615198059822,1.0369508004279049,1.048182892038067
2548,0.2792772861356931,0.012940046118370485,0.405365798669823,0.3726990939437292,0.532720236042457,0.5784573164755463,0.019582472095907407,0.27927728613569314,0.6514140451223386,0.6523536895674301,0.5454610562522121,0.31992724333063866,1.0299819599101283,1.0225187207289603
1911,0.8938053097345132,0.29669485011529595,0.3909367602299629,0.9749642346208869,0.46601021463879255,0.17389843323392276,0.13939644481190575,0.8942477876106195,0.6856870488900993,0.6864776444929118,0.5178703392677193,0.9733802979558841,1.1431500123911829,1.1675369137196177
