,EXEC,L2MISS,FREQ,INSTnom%,INST,L2MPI,IPC,PhysIPC%,MEM,L3HIT,L3MPI,L3MISS,GT,Pred
1150,0.27157079646017696,0.01616833205226749,0.32082226585056006,0.27168141592920353,0.561959392876595,0.025349317899958663,0.6318943211221572,0.6329062159214831,0.6850836713579559,0.3214592274678112,0.8118620573780819,0.5492052756171796,1.028443536451263,1.0314783575424933
462,0.2730088495575221,0.01570714834742506,0.3209954960157061,0.272787610619469,0.5602041136580954,0.02448827732829386,0.634618003540787,0.6352235550708832,0.642720838191582,0.3402002861230329,0.7649850884193724,0.5200251219865692,1.0276544675511836,1.027759745468997
2458,0.2724557522123894,0.016072252113758647,0.32116872618085224,0.27256637168141595,0.5612981360498209,0.024707966692257725,0.6332561623314721,0.6339967284623772,0.671216724418242,0.3333333333333333,0.7765783173016338,0.5360645441808782,1.0320887720607652,1.023527772799254
2513,0.4096238938053098,0.835767358442224,0.8310428455941793,0.4095378564405114,0.9679847965115342,0.8537963345735152,0.3678635737739646,0.36832061068702293,0.5768938958500976,0.9883007470990303,0.5229834362442418,0.5413895464622553,1.2353474222753986,1.1602620357477027
2114,0.400221238938053,0.01429285165257494,0.3189167340339531,0.40022123893805317,0.37984132638746604,0.01518336975137306,0.9362658314040582,0.9374318429661941,0.5746276255070369,0.3065808297567955,0.49834082412735753,0.4974153340741097,1.020311372177867,1.0159811056528147
1310,0.39999999999999997,0.014673328209069948,0.3190899641990992,0.399778761061947,0.37987855374370355,0.015544794188861987,0.9362658314040582,0.9366139585605235,0.5889149820176375,0.30414878397711015,0.5104381064392824,0.5109425576114787,1.0268528480722479,1.0177825541618595
168,0.2713495575221238,0.015799385088393545,0.3192631943642453,0.2714601769911505,0.5600695462514996,0.02461583889446642,0.634618003540787,0.6349509269356598,0.6472665166767938,0.3446351931330472,0.7638089637501575,0.5192521377844339,1.0297324325685466,1.0272214338595749
3891,0.9524336283185839,0.2949173712528824,0.9723625707356505,0.9534015486725664,0.48567860397610296,0.1299090533278214,0.732840800762631,0.7325858778625954,0.4641930106908841,0.9726394849785407,0.17863863569538374,0.4293202570172472,1.1925608255570035,1.2119437630251202
2480,0.4039823008849557,0.014896233666410453,0.32168841667629056,0.4037610619469026,0.3790513806963081,0.015672355755034548,0.9383085932180306,0.9390676117775354,0.584257632240159,0.31759656652360524,0.5025412693745537,0.5063046523986666,1.0216879616562886,1.0199761921430832
616,0.2746681415929203,0.015157571099154499,0.3208222658505601,0.2747787610619469,0.5561631545749052,0.023060296462528787,0.6393844477733895,0.6398582333696836,0.6359351649614897,0.35064377682403436,0.7076910152476161,0.49277742886129766,1.0191261714275135,1.0114035741241387
