,AFREQ,EXEC,FREQ,INST,INSTnom%,IPC,L2HIT,L2MPI,L3HIT,PhysIPC%,MEM,GT,Pred
554,1.05,0.352666666667,0.264,0.7491694352159468,0.17633333333299997,1.33666666667,0.641333333333,0.000967333333333,0.319333333333,0.667,1.5086666666633,0.997660462341,1.0254316162338193
6121,1.02633333333,1.235,0.990166666667,0.8012668250213776,0.617666666667,1.24833333333,0.690666666667,0.001205,0.921,0.624166666667,0.8451333333333,1.33284168043,1.3348812493010915
7076,0.974,0.9985,0.907333333333,0.9084645669289536,0.498833333333,1.1031666666700002,0.603666666667,0.0024,0.940666666667,0.550833333333,0.8293166666667,1.28234930596,1.3309247371595025
1813,1.05,0.514,0.261666666667,0.5091047040965443,0.257,1.96333333333,0.614,0.0006490000000000001,0.29100000000000004,0.981666666667,1.3668999999967,1.03209558346,1.020321423389698
881,1.05,0.354666666667,0.259666666667,0.7326086956520286,0.177333333333,1.36333333333,0.684,0.000801,0.335,0.682,1.2655,1.0376349733,1.0245350132567763
2304,1.05,0.472,0.262666666667,0.5564784053157988,0.23600000000000002,1.8,0.748,0.00155,0.762,0.898666666667,1.1558333333333,1.03795626869,1.0198984810003366
3208,1.05,0.518666666667,0.261,0.5035355414959048,0.25933333333299996,1.98666666667,0.62,0.000601333333333,0.29166666666700003,0.993333333333,1.3330666666667,1.00890302716,1.0204760295298223
1698,1.05,0.517666666667,0.261666666667,0.5044943820224719,0.259,1.97666666667,0.612666666667,0.000605666666667,0.294,0.991333333333,1.33593333333,1.0313895695,1.0196272289355202
2467,1.05,0.353666666667,0.262333333333,0.7423245614029604,0.17666666666699998,1.34666666667,0.687,0.0008553333333330001,0.332333333333,0.673666666667,1.3643,1.03254428184,1.0227774531183356
6337,1.05,1.224,0.9196,0.7514506769825918,0.612,1.334,0.873,0.00033012,0.4476,0.6656,0.89646,1.13776424085,1.2108492155539858
3979,1.05,0.478,0.264666666667,0.5537325676781978,0.239,1.80666666667,0.734333333333,0.0014933333333299998,0.677666666667,0.903666666667,1.4890333333333,1.0079923433,1.020527018780822
3762,1.05,0.524666666667,0.260666666667,0.49668141592920356,0.262333333333,2.01333333333,0.657,0.0005076666666670001,0.30766666666700004,1.008,1.1390666666667,1.02931458792,1.0215931095175987
892,1.05,0.361,0.266666666667,0.7392721347095387,0.180333333333,1.35333333333,0.644666666667,0.000909,0.407666666667,0.6773333333329999,1.2760666666667,1.0209535731,1.0200209690097872
4006,1.05,0.34600000000000003,0.261666666667,0.7564245810046053,0.173333333333,1.32333333333,0.622,0.00103366666667,0.329333333333,0.661333333333,1.5619666666699998,1.01927187912,1.0306611008475155
7760,1.02628571429,1.22,0.996428571429,0.8165075034089703,0.609714285714,1.22571428571,0.636428571429,0.00153571428571,0.952142857143,0.612571428571,0.7296257142861,1.50025841991,1.4710596020438298
1688,1.05,0.35,0.262666666667,0.75,0.175,1.33333333333,0.636,0.000967,0.317666666667,0.667,1.4764333333367001,1.01334671787,1.0257606975057647
